xac,yac,zac,xang,yang,zang,tempo,amostra
-10989,-9890,13105,-192,147,413,1,0
-10287,-10725,12677,-174,81,493,5083,1
-9316,-11490,12421,-142,23,618,15037,2
-8075,-12178,12294,-107,-45,712,25175,3
-7108,-12531,12166,-91,-102,772,35030,4
-6492,-12564,12114,-83,-169,816,45180,5
-6314,-12560,12190,-79,-213,842,55037,6
-6158,-12791,12152,-54,-245,876,65126,7
-5804,-13102,12051,-15,-262,927,74956,8
-5509,-12961,11941,18,-285,989,85083,9
-5208,-12720,11914,36,-301,1034,95172,10
-5049,-12586,11999,46,-330,1080,105044,11
-4719,-12222,12123,61,-355,1142,115206,12
-4742,-11859,11859,83,-372,1202,125072,13
-4921,-11440,11577,98,-391,1239,135222,14
-5014,-11019,11589,107,-428,1262,145083,15
-4947,-10864,11695,133,-478,1286,155222,16
-5400,-10602,11429,166,-528,1302,165081,17
-5611,-10611,11091,197,-591,1322,174947,18
-5715,-10265,11252,228,-655,1352,185387,19
-5898,-9724,11011,272,-714,1374,195611,20
-5904,-9393,10867,317,-797,1383,205204,21
-5996,-9165,10974,353,-931,1398,215083,22
-5952,-8815,11259,393,-1086,1429,225235,23
-5790,-8355,11386,441,-1221,1474,235095,24
-5506,-8167,11672,491,-1346,1535,244966,25
-4947,-7967,12037,537,-1446,1610,255113,26
-4851,-7393,12370,576,-1504,1666,265087,27
-4618,-6734,12715,604,-1524,1732,274967,28
-4199,-5917,13113,632,-1498,1805,285119,29
-3828,-5395,13556,666,-1441,1877,295012,30
-3450,-4804,13744,703,-1378,1952,304910,31
-3514,-4507,14357,739,-1317,2011,315098,32
-4273,-3829,13846,819,-1222,2022,324982,33
-4823,-3159,13042,887,-1033,2021,335136,34
-3991,-2045,12356,950,-866,2080,345011,35
-3223,-1137,12261,1021,-757,2117,354907,36
-3613,-388,11439,1099,-751,2086,365093,37
-4653,187,11468,1135,-788,2052,374987,38
-7074,11495,7941,1155,-810,2083,384872,39
1323,1405,9763,1178,-1309,2127,395601,40
368,1609,15272,1176,-467,2177,404965,41
331,4311,14419,1359,-503,2295,414852,42
450,4529,13562,1429,-129,2231,425013,43
726,2955,13780,1475,269,1974,434918,44
-931,5077,11719,1549,683,1947,444828,45
1440,2907,9987,1608,959,1811,455000,46
1867,3162,8193,1586,1059,1437,464891,47
-5085,11868,7030,1671,778,1645,475102,48
-7571,6277,5703,1728,1109,2143,485027,49
-6724,5296,9497,1597,1124,2033,494950,50
-3521,6823,6337,1630,678,1837,504907,51
-1989,7457,6478,1607,585,1798,514889,52
374,8552,6299,1590,535,1844,524809,53
140,9068,6854,1497,592,1740,535008,54
919,8738,8049,1417,598,1700,544947,55
4326,6705,7741,1322,807,1784,554858,56
939,6713,7832,1206,971,1286,564787,57
-1186,7187,7366,1014,439,1036,575005,58
-1575,6031,8293,756,330,935,584914,59
