xac,yac,zac,xang,yang,zang,tempo,amostra
387,1197,6813,-6,231,-773,1,0
275,1125,6829,9,203,-855,11783,1
-736,1374,6888,17,198,-865,21730,2
-130,1222,6402,25,243,-832,31739,3
135,1001,6674,30,218,-840,41743,4
481,668,7142,45,205,-846,51686,5
1415,345,7089,49,213,-834,61610,6
2182,38,7452,49,291,-863,71610,7
1358,411,7491,50,344,-869,81595,8
746,913,7208,48,309,-843,91584,9
1926,335,6988,44,311,-810,101600,10
2993,64,7164,41,352,-774,111598,11
2918,507,7234,38,413,-769,121596,12
2315,450,6762,37,462,-769,131599,13
2571,204,6894,36,458,-736,141593,14
2889,481,6349,37,457,-718,151595,15
2912,555,7047,27,462,-721,161603,16
2925,-58,7079,33,511,-708,171604,17
3246,373,7562,34,531,-688,181605,18
3009,696,7565,44,534,-712,191604,19
3023,-240,7207,58,514,-727,201578,20
3399,-425,6585,75,522,-741,211505,21
3916,-465,6401,88,602,-757,221788,22
3859,-636,5828,119,707,-791,231573,23
3143,-904,4516,161,792,-852,241605,24
2544,-1086,3784,192,873,-920,251609,25
2678,-1287,3631,198,939,-993,261610,26
3027,-1961,4269,192,998,-1079,271626,27
3267,-2460,6414,190,1049,-1145,281856,28
2977,-5518,10109,255,1051,-1249,291606,29
1474,-9129,4700,486,681,-1379,301604,30
972,-9935,4792,393,312,-1560,311607,31
5274,-6472,12578,247,647,-1443,321607,32
8642,-7484,14018,401,916,-1418,331612,33
1250,-11614,10979,526,881,-1820,341614,34
-4488,-14205,9197,526,776,-2042,351625,35
-3985,-15302,8895,546,676,-2080,361627,36
-1130,-15028,8129,583,678,-2157,371672,37
-1065,-15049,6855,605,911,-2345,381646,38
-3001,-15580,5429,596,1270,-2444,391634,39
-3712,-16024,7348,567,1584,-2448,402191,40
-222,-16831,3707,558,1757,-2452,411757,41
-476,-13554,1808,662,1267,-2491,421465,42
336,-8058,-3774,599,909,-2635,431465,43
6595,-7613,-3685,463,-79,-2945,441465,44
11110,-10510,1082,387,-602,-3241,451467,45
12236,-10997,885,331,-531,-3174,461469,46
16585,-10950,1262,228,-98,-2830,471522,47
25572,-12969,-2055,243,337,-2686,481535,48
26961,-17469,763,282,483,-2888,491540,49
25237,-21002,4050,317,1336,-2752,501545,50
24378,-18911,2877,539,2039,-2487,511657,51
21439,-12319,7238,529,2349,-2410,521673,52
17888,-3779,7916,766,2585,-2304,531674,53
17085,1922,4821,760,2304,-2132,541674,54
13495,3482,8113,559,2065,-1889,551675,55
14205,5112,11142,460,2070,-1652,561676,56
15147,7923,10403,526,1498,-1558,571359,57
13087,11416,11397,350,439,-1467,581358,58
10553,13918,12673,111,-474,-1274,591358,59
9212,15776,13022,-21,-1190,-1052,601359,60
8948,16817,13259,-121,-1810,-844,611890,61
8910,17078,12696,-227,-2228,-635,621660,62
8767,17104,13457,-267,-2373,-390,631346,63
8748,17504,10006,-280,-2249,-101,641349,64
12010,17676,10844,-401,-2051,189,651352,65
7675,19754,15898,-170,-1939,442,661360,66
6178,18426,13555,-137,-1447,745,671373,67
3144,19491,13788,-113,-1159,1265,681475,68
3063,20381,12455,-35,-1204,1672,691495,69
4734,19451,13401,-12,-1000,1699,701516,70
3681,18770,11742,28,-1018,1801,711458,71
2225,18856,11912,10,-1088,2051,721497,72
-232,18039,11826,33,-968,2164,731304,73
-1430,17448,11814,98,-931,2277,741342,74
-2904,17778,12554,144,-925,2519,751369,75
197,18344,11694,211,-971,2802,761435,76
1852,18336,11836,215,-928,2806,771538,77
471,17825,11906,242,-805,2719,781259,78
-796,17941,12014,270,-616,2719,791345,79
-1664,18410,11806,274,-478,2782,801382,80
-2284,18737,11385,257,-403,2868,811718,81
-2405,18964,11646,235,-338,2954,821394,82
-1690,18980,11333,212,-265,2994,831509,83
-1076,18963,11583,173,-226,2957,841221,84
-472,18718,12319,134,-90,2887,851288,85
32,18689,12741,117,119,2841,861363,86
468,18615,12858,97,293,2814,871409,87
752,18507,13080,71,377,2766,881209,88
1124,18285,13060,53,380,2696,891269,89
1324,18003,13225,40,312,2642,901356,90
1583,17640,13527,28,243,2593,911407,91
1648,17202,13421,23,185,2558,921423,92
2022,16593,13545,20,141,2542,931516,93
2125,15968,13370,17,134,2535,941253,94
2622,15067,13276,-8,94,2542,951361,95
3165,13648,13564,-39,32,2553,961423,96
3930,11798,12983,-68,-55,2589,971263,97
5008,9949,11615,-128,-153,2659,981405,98
6101,8087,10522,-212,-231,2750,991191,99
7006,5961,9196,-299,-209,2854,1001270,100
7889,3704,7676,-403,-43,2974,1011371,101
8567,975,6405,-550,281,3125,1022249,102
8449,-2860,6813,-675,770,3309,1031383,103
7619,-7505,7568,-748,1284,3462,1041190,104
6123,-12771,8954,-776,1700,3544,1051282,105
3764,-17245,8731,-776,1844,3581,1061397,106
829,-19785,8656,-826,1596,3578,1071266,107
-2290,-19865,8882,-864,1037,3594,1081172,108
-2671,-19139,8752,-855,355,3652,1091259,109
-800,-19383,9022,-831,-378,3596,1101394,110
828,-22183,8590,-747,-1059,3394,1111217,111
220,-24849,8809,-587,-1588,3164,1121357,112
622,-23962,7557,-419,-2061,2987,1131426,113
2416,-21469,6238,-243,-2553,2681,1141228,114
4490,-18184,4494,-86,-2810,2317,1151392,115
9467,-13240,2515,43,-2780,2010,1161231,116
14969,-7514,-667,118,-2482,1616,1171271,117
20356,-4519,-6019,-48,-2205,1139,1181421,118
19882,-1584,-19780,-374,-1558,816,1191240,119
-539,-3465,-6615,-1146,-61,539,1201413,120
28941,-27936,22335,-263,4493,882,1211234,121
29633,-14634,23343,132,6710,1937,1221346,122
-16350,593,17526,318,4042,749,1231297,123
3206,5911,3044,284,817,-449,1241412,124
8512,7832,-3413,-171,-358,-835,1251239,125
-3063,3119,-3743,-451,272,-1045,1261416,126
-9077,-446,-1367,-367,497,-1142,1271283,127
-6933,2493,-1151,-293,-1062,-1315,1281350,128
-5519,4688,9085,-386,-2869,-1514,1291247,129
-6248,3228,11949,-297,-2229,-1455,1301420,130
2094,1053,11225,-17,-566,-921,1311247,131
11271,2866,8000,383,920,-532,1321083,132
10723,5751,4554,547,2016,-698,1331082,133
-1864,6750,5394,402,2387,-1108,1341264,134
-14774,5797,5414,137,1746,-1147,1351087,135
-18129,2168,7457,-128,222,-968,1361259,136
-15258,-1112,7495,-225,-1087,-1023,1371136,137
-8441,525,7629,-236,-1744,-978,1381285,138
255,3595,7102,-219,-1836,-820,1391093,139
6302,5015,6717,-149,-1285,-774,1401271,140
5255,4182,6196,-41,-367,-860,1411099,141
-696,2619,6000,59,392,-888,1421270,142
-5012,1897,6672,101,637,-820,1431568,143
-6722,1509,7180,83,441,-794,1441093,144
-6833,1848,7332,50,38,-858,1451271,145
-5970,2504,7302,11,-346,-929,1461103,146
-4026,2892,7246,-14,-579,-931,1471331,147
-2482,3147,6998,-22,-613,-893,1481141,148
302,3037,6057,-27,-479,-745,1491288,149
-445,2431,5812,-18,-490,-872,1501127,150
-3556,3180,5467,-20,-361,-834,1511285,151
-3357,3865,5497,-19,-286,-678,1521125,152
-3027,2732,6589,-6,-375,-718,1531280,153
-3536,1929,7188,-1,-474,-765,1541314,154
-2519,2179,7059,5,-482,-756,1551134,155
-1748,2201,7022,15,-491,-823,1561294,156
-2289,2033,6218,22,-546,-899,1571162,157
-2123,1905,6546,22,-629,-892,1581312,158
-1248,1579,7184,38,-644,-864,1591136,159
-376,1218,7498,47,-597,-843,1601299,160
-90,1188,7884,52,-518,-818,1611127,161
-188,1270,7955,59,-453,-799,1621293,162
-630,989,8162,60,-403,-792,1631344,163
-992,980,8081,61,-377,-773,1641028,164
-1145,897,7917,60,-350,-761,1651175,165
-739,1102,7816,65,-341,-741,1660992,166
-661,1282,7597,74,-310,-737,1671174,167
-697,1254,7656,81,-264,-746,1680995,168
-980,1200,7786,79,-211,-769,1691156,169
-1052,1287,7655,88,-175,-787,1700993,170
-1199,1691,7264,99,-188,-797,1711160,171
-1039,2190,6973,94,-211,-824,1720995,172
-630,2041,6957,94,-248,-847,1731756,173
-311,1977,6735,103,-269,-872,1741153,174
-250,2150,7161,105,-250,-912,1751000,175
-562,2076,7148,118,-224,-950,1761167,176
-538,1951,6895,122,-247,-983,1771040,177
-182,1884,7024,116,-281,-1011,1780973,178
616,1762,7220,96,-305,-1024,1791158,179
1307,1439,7599,78,-286,-1034,1801009,180
1546,1074,7660,63,-227,-1051,1811182,181
1425,1019,7723,50,-149,-1056,1821039,182
1646,1329,7589,28,-94,-1058,1830941,183
2424,1066,8014,10,-50,-1062,1841197,184
2406,273,8811,-5,25,-1063,1851050,185
3285,-135,8847,-29,166,-1030,1860985,186
3359,86,8042,-41,234,-1037,1871207,187
1382,958,7729,-74,217,-1037,1881072,188
3348,1262,7848,-123,317,-959,1890998,189
4705,611,8126,-158,414,-968,1900861,190
4028,128,7416,-155,532,-968,1911058,191
3120,264,6558,-156,597,-940,1921004,192
2978,254,6330,-150,608,-929,1930865,193
3961,-255,7243,-121,572,-916,1941576,194
4726,-719,7511,-76,547,-902,1951173,195
4667,-471,7561,-24,571,-895,1961033,196
3901,-891,6536,27,583,-924,1971058,197
3813,-1925,5584,66,583,-942,1981055,198
4796,-2675,5316,81,640,-941,1991003,199
5707,-3039,5697,84,789,-974,2000874,200
5450,-3760,5399,77,1020,-1028,2011112,201
4912,-4949,6663,77,1196,-1097,2021017,202
4287,-5994,7824,119,1302,-1172,2030884,203
4430,-6526,9099,139,1357,-1253,2041023,204
4477,-8286,12099,205,1380,-1357,2051181,205
3067,-11663,6754,420,1204,-1524,2061060,206
275,-12695,5675,401,880,-1775,2071081,207
1511,-12687,8550,341,986,-1800,2081048,208
4966,-14355,9706,418,1176,-1788,2091022,209
1827,-18288,8064,483,1390,-2118,2100909,210
-2750,-22977,6857,528,1567,-2390,2110869,211
-6630,-24813,4033,578,1798,-2470,2121118,212
-11689,-23238,4123,332,1945,-2392,2131040,213
-13101,-18894,-367,391,2206,-2269,2141334,214
-3241,-15985,5731,452,2585,-2393,2151098,215
3405,-8196,-5556,554,1193,-2602,2161034,216
10898,249,-13620,333,-748,-2876,2170890,217
15713,-454,-4668,69,-1848,-3156,2180891,218
13518,-4532,1637,12,-1074,-3101,2190873,219
14644,-7274,4806,-58,537,-2548,2201136,220
15618,-9399,1333,17,1547,-2011,2211056,221
13197,-10239,5085,46,1935,-1697,2221044,222
10305,-7321,5267,95,2271,-1585,2230842,223
10646,-4699,8198,152,2472,-1336,2241084,224
15852,-3104,8521,190,2229,-1347,2251736,225
11740,-1347,9990,214,1687,-1634,2261057,226
9565,673,8569,80,1374,-1498,2271120,227
7028,1497,14246,101,910,-1196,2281077,228
8509,2963,12909,86,762,-971,2291059,229
12036,6009,10809,79,148,-865,2301059,230
10773,9227,12394,-13,-733,-824,2311060,231
9742,10921,12363,-111,-1260,-679,2321062,232
10486,11208,11978,-181,-1645,-434,2331065,233
12349,10652,13277,-214,-1801,-154,2340724,234
15458,11053,12523,-208,-1606,83,2351510,235
17873,11431,13749,-224,-1309,247,2360766,236
17506,11254,14076,-193,-918,439,2370792,237
16407,11935,13995,-173,-555,660,2380755,238
14387,13252,12808,-156,-337,841,2390729,239
13025,14144,12680,-137,-301,981,2400729,240
11999,13960,12212,-125,-433,1110,2410736,241
11546,13442,13202,-123,-528,1228,2420742,242
12502,14065,11399,-29,-564,1358,2430735,243
12812,15157,11825,-9,-748,1457,2440736,244
11058,15076,11629,32,-784,1540,2451006,245
10487,15557,10389,71,-838,1610,2460924,246
9232,16317,9707,94,-971,1666,2470968,247
7985,16988,9717,123,-1015,1723,2480956,248
6790,17187,9735,155,-970,1784,2490928,249
6033,17080,9804,200,-900,1872,2500939,250
5653,17235,9240,233,-808,1966,2510935,251
5372,17178,10426,259,-734,2041,2520930,252
4930,17462,10199,296,-562,2102,2530940,253
4115,17997,10162,316,-431,2167,2540940,254
3013,18553,9850,311,-373,2210,2551604,255
1920,19182,9374,276,-346,2222,2560804,256
1231,19641,9056,232,-341,2230,2570820,257
