xac,yac,zac,xang,yang,zang,tempo,amostra
-3231,616,8459,-38,77,-1721,0,0
-1010,549,8181,-109,-400,-1647,3410,1
2866,582,8395,-146,-688,-1607,13216,2
5956,-36,8522,-142,-635,-1548,23322,3
7878,-393,8488,-116,-342,-1457,33125,4
6761,-482,8384,-112,-42,-1397,43268,5
4277,-375,7553,-103,122,-1336,53264,6
3139,-292,7078,-89,100,-1232,63408,7
3811,-240,7094,-77,-19,-1131,73228,8
4777,-135,7225,-64,-102,-1037,83348,9
5536,-268,7510,-47,-143,-949,93147,10
5857,-356,7897,-25,-147,-863,103181,11
5687,-249,8066,-9,-139,-785,113300,12
5702,-162,7936,-1,-142,-698,123112,13
5854,-114,8212,-1,-140,-624,133269,14
6191,-124,8354,-1,-103,-550,143090,15
6194,-150,8323,-1,-31,-487,153241,16
5730,-174,8293,-2,27,-439,163064,17
5430,-218,8109,0,57,-397,173217,18
5218,-228,7911,2,64,-361,183354,19
5100,-175,7802,6,67,-336,193166,20
4891,-113,7282,13,70,-318,203553,21
4977,-25,7591,17,63,-304,213358,22
5496,-266,7800,25,85,-285,223023,23
5773,-386,7679,29,139,-283,233104,24
5586,-680,7803,35,200,-284,243189,25
5067,-575,7722,32,232,-294,253274,26
4964,-339,7570,22,227,-295,263043,27
5548,-304,7973,8,210,-299,273173,28
5810,-58,7412,0,230,-309,283271,29
5860,22,5965,-21,266,-329,293040,30
6244,-207,5196,-57,364,-349,303072,31
5904,-502,6409,-55,570,-342,313199,32
5531,-667,9327,-37,668,-366,323299,33
5332,256,9739,-19,635,-407,333072,34
4991,563,11084,-9,589,-456,343175,35
4910,358,11906,14,514,-500,353279,36
4583,-58,11515,43,382,-560,363050,37
5021,-176,10720,67,219,-615,373164,38
5996,230,9262,75,116,-661,383260,39
7289,-5,8490,63,122,-693,393036,40
7492,-206,7574,65,207,-717,403800,41
7003,-133,6816,46,331,-743,413091,42
7183,-303,7015,29,427,-753,423192,43
6954,-586,7590,32,501,-785,432991,44
6250,-918,8523,44,536,-828,443094,45
5727,-1166,10431,82,479,-884,453214,46
5632,-1506,11021,151,346,-950,463014,47
6142,-1803,9689,225,172,-1018,473217,48
7437,-2369,7602,250,106,-1069,483017,49
8460,-4250,8587,238,240,-1098,493136,50
7962,-6853,6155,355,351,-1108,502946,51
5725,-5629,4424,352,430,-1185,513044,52
8572,-4578,7575,232,651,-1145,523175,53
9396,-6037,10202,235,927,-1182,532988,54
6674,-8107,10459,267,1192,-1274,543106,55
5720,-9400,10489,280,1354,-1344,552915,56
5717,-11266,11278,300,1507,-1429,563058,57
4126,-9874,11472,358,1644,-1558,573208,58
2122,-11011,11088,407,1825,-1670,583025,59
913,-12482,10944,472,1954,-1785,593168,60
-1177,-14415,9820,534,2152,-1909,602988,61
-5325,-13406,10226,559,2343,-1992,613185,62
-5240,-10844,10217,612,2316,-2068,623011,63
-1911,-10581,14547,791,1972,-2254,633146,64
4978,-8011,2734,903,1023,-2623,642956,65
12773,-9943,-5384,756,-1059,-3098,653093,66
11605,-11977,2176,543,-1876,-3404,662919,67
15441,-9924,6852,556,-1323,-3316,673068,68
16630,-7633,-81,520,-564,-3183,682894,69
10240,-7017,3914,407,184,-2876,693048,70
5477,-5589,6445,495,1223,-2497,702904,71
3588,-1057,5486,529,1451,-2291,713000,72
2913,1758,5494,471,1265,-2009,722858,73
3415,4064,6212,416,1247,-1682,733006,74
3210,6302,7042,390,1314,-1394,742838,75
2818,8844,7246,341,1300,-1099,752996,76
1993,10706,7466,259,1179,-785,762831,77
1029,12060,7670,165,989,-465,772987,78
263,13105,7886,66,717,-145,782811,79
-757,13666,7942,-46,355,172,792973,80
-1598,13799,8161,-165,-50,506,803085,81
