xac,yac,zac,xang,yang,zang,tempo,amostra
1245,-12512,9172,840,585,-1449,1,0
5135,-6689,7477,962,247,-1439,5380,1
8713,1076,5527,915,174,-1572,15512,2
10781,2652,5180,744,371,-1650,25333,3
11595,589,6988,577,637,-1641,35543,4
12579,-34,9758,498,838,-1610,45351,5
13649,1179,11561,459,993,-1512,55518,6
14312,1102,13306,446,1111,-1409,65359,7
12562,626,13753,489,1140,-1272,75512,8
11789,1633,9893,470,996,-1008,85402,9
10960,2537,9871,403,693,-849,96232,10
11008,3546,12148,452,406,-768,105415,11
11139,5234,12356,493,66,-697,115567,12
11415,6434,11997,508,-217,-603,125381,13
11598,6630,11537,488,-334,-514,135529,14
10189,6928,10726,471,-374,-378,145354,15
9137,8117,8492,407,-225,-207,155551,16
5429,9151,6579,284,33,53,165377,17
2391,10024,6138,134,220,402,175529,18
236,9673,7001,-18,337,649,185359,19
-739,8508,7784,-153,339,859,195512,20
88,7470,9386,-259,210,1045,205251,21
1735,6486,10758,-343,68,1210,215393,22
3836,6181,10896,-420,-106,1340,225217,23
6188,5687,13304,-505,-301,1439,235373,24
7895,5027,11405,-562,-458,1487,245539,25
8362,4409,11069,-626,-614,1578,255378,26
7129,4332,10449,-687,-613,1704,265549,27
5682,3974,9969,-753,-618,1801,275387,28
5325,3181,10491,-770,-712,1854,285314,29
5592,2850,10324,-796,-860,1889,295470,30
5457,1875,10734,-823,-917,1947,305614,31
5392,805,10908,-828,-827,2009,315439,32
5751,-14,10919,-813,-721,2044,325275,33
6233,-434,10692,-812,-642,2070,335430,34
6130,-1029,10622,-821,-554,2102,345268,35
5919,-1433,10482,-833,-419,2124,355436,36
5895,-1373,9956,-840,-264,2119,365290,37
5621,-1098,9662,-850,-159,2098,375448,38
5144,-663,9520,-874,-84,2072,385295,39
4246,-544,9598,-898,-22,2042,395456,40
3463,-596,9568,-916,13,2013,405217,41
2579,-734,9618,-915,32,1989,415197,42
2264,-825,9870,-903,66,1975,425392,43
1890,-961,9857,-887,102,1970,435256,44
1881,-899,9818,-874,131,1974,445430,45
1495,-726,9657,-877,140,1962,455289,46
1346,-503,9588,-884,122,1970,465134,47
1202,-520,9008,-897,52,1949,475321,48
1201,-806,8608,-909,-71,1926,485175,49
1415,-1042,8821,-917,-199,1899,495371,50
1983,-1185,8889,-928,-292,1862,505829,51
2269,-1417,8948,-938,-337,1825,515288,52
2592,-1598,8998,-938,-349,1780,525132,53
3276,-1471,8905,-930,-357,1723,535344,54
3553,-1450,8835,-927,-362,1653,545225,55
3585,-1541,8678,-924,-342,1580,555098,56
3569,-1280,8726,-918,-307,1505,565302,57
3427,-1125,8849,-909,-291,1432,575158,58
5370,-1108,9565,-881,-214,1315,585374,59
6122,-412,10006,-827,-175,1170,595253,60
5779,-111,10279,-753,-191,1083,605115,61
4594,156,10055,-711,-180,993,615228,62
3389,-108,9781,-691,-199,882,625107,63
2819,-303,9605,-650,-252,769,635317,64
2981,-261,9577,-591,-350,655,645190,65
3402,254,9121,-552,-454,525,655123,66
3494,444,9184,-517,-519,405,665348,67
3231,397,9390,-475,-534,290,675243,68
2304,552,9351,-424,-537,181,685129,69
1519,1293,9673,-376,-524,95,695345,70
310,1605,9839,-317,-508,46,705237,71
-1095,2421,9556,-264,-563,13,715512,72
-2416,3501,8756,-232,-709,-11,725090,73
-3715,4497,8483,-230,-874,11,735312,74
-4334,4979,8018,-256,-1012,81,745452,75
-3730,5052,7844,-294,-1087,172,755023,76
-2348,4793,7933,-340,-1056,253,765280,77
-1011,4347,8121,-365,-928,321,775162,78
-103,4072,8274,-371,-748,372,785161,79
398,3753,8384,-375,-552,399,795066,80
674,3406,8459,-372,-346,410,805308,81
1187,3321,8798,-357,-148,401,815194,82
1672,3554,9208,-335,59,369,825032,83
2244,4040,8963,-317,248,314,835281,84
2568,4088,9235,-301,330,231,845168,85
3215,3759,9785,-268,340,114,855161,86
4460,3177,9988,-235,327,-29,865134,87
5924,1881,10920,-180,295,-215,875038,88
8687,125,12832,-86,314,-442,885297,89
12197,-5522,21020,176,404,-744,895188,90
13385,-8344,16843,579,282,-1147,905123,91
2314,-5510,13100,639,-246,-1451,915659,92
-9593,-2865,8687,385,-359,-1355,925131,93
-15342,-1752,8118,326,-211,-1120,935051,94
-15016,2322,8832,395,-339,-1259,944986,95
-10313,2586,9593,409,-657,-1409,955000,96
-681,2230,9518,345,-952,-1363,964977,97
6154,526,9684,294,-989,-1345,975217,98
8641,-196,10084,292,-629,-1279,985158,99
6075,452,9362,317,18,-1213,995095,100
1341,1085,7704,349,492,-1126,1005016,101
-1663,2327,6504,374,625,-1026,1014961,102
-2435,3694,6129,356,531,-977,1025018,103
-1896,3455,5863,324,388,-965,1034938,104
-436,2384,6455,312,247,-951,1045131,105
1055,1774,6945,336,172,-952,1055027,106
1573,1865,6623,347,154,-983,1064920,107
605,1272,6834,333,152,-1021,1075105,108
-1622,525,6044,288,205,-1030,1085160,109
-3635,-423,5979,227,123,-1032,1095039,110
-3029,-1849,7589,187,55,-1020,1104918,111
-638,-3602,8690,201,45,-1004,1115112,112
979,-3750,9552,247,70,-1011,1125349,113
2160,-3678,10584,310,229,-998,1134906,114
2493,-3251,11172,389,447,-945,1145104,115
2454,-1489,11978,499,626,-901,1154995,116
587,229,11869,589,589,-883,1164940,117
-862,3187,10288,651,364,-859,1175160,118
606,5665,9293,647,31,-865,1185053,119
4650,6388,6733,598,-168,-899,1194944,120
7243,5787,4468,504,-32,-879,1205172,121
7561,5195,3172,394,355,-850,1215061,122
5599,2998,3949,291,666,-838,1225202,123
4532,249,5862,222,833,-837,1234942,124
3062,-1766,8850,196,944,-850,1245225,125
857,-2998,11462,222,975,-878,1255122,126
-173,-3972,11866,280,823,-915,1265037,127
580,-4786,11169,349,585,-951,1274944,128
2561,-5178,9283,399,439,-989,1284912,129
3416,-6162,7289,398,470,-1017,1295146,130
2773,-8342,6058,362,616,-1060,1305046,131
1176,-10552,7433,322,744,-1079,1314964,132
-252,-10519,10948,328,859,-1108,1325479,133
-1253,-6212,13926,405,985,-1143,1334933,134
-2250,-902,16235,504,972,-1174,1344854,135
-3547,2598,17307,607,802,-1175,1354841,136
-3450,5223,16639,725,529,-1197,1364826,137
-173,7661,13811,827,136,-1239,1375080,138
3477,8179,10666,857,-151,-1309,1384986,139
5999,7030,9046,854,-172,-1371,1394923,140
7068,4966,8198,884,6,-1415,1404849,141
7625,3437,5114,892,141,-1490,1415105,142
10081,3001,1965,835,172,-1607,1425022,143
10384,1823,558,701,440,-1757,1435109,144
6168,-4512,4903,633,808,-1695,1445045,145
3297,-9790,7017,765,746,-1458,1455009,146
6488,-8590,5335,920,244,-1298,1464975,147
13052,-2145,6685,960,-376,-1377,1474913,148
17384,2670,7658,899,-521,-1403,1484848,149
18276,2961,6780,763,-124,-1351,1494790,150
15848,1223,4009,647,339,-1286,1505061,151
11261,1032,4937,621,467,-1122,1514984,152
11496,2310,5959,630,600,-820,1524929,153
10080,4258,6268,649,558,-668,1534876,154
7678,6035,6926,654,456,-441,1544816,155
4722,7415,6870,648,357,-161,1554768,156
1864,7553,7203,625,220,51,1565045,157
-453,7612,7823,577,31,290,1574991,158
-52,7512,8721,494,-150,500,1584938,159
1946,6968,9246,381,-307,613,1594883,160
2752,7126,9735,246,-351,792,1604837,161
4545,8055,9086,90,-357,1028,1614793,162
4712,8371,9031,-96,-266,1181,1624754,163
4878,8416,8844,-284,-136,1330,1634975,164
4269,8144,8857,-475,-7,1433,1644779,165
3344,7410,10190,-653,40,1514,1654736,166
3133,6328,11782,-769,-43,1568,1665012,167
2791,5122,12402,-838,-254,1615,1674972,168
2255,4116,12227,-896,-541,1700,1684947,169
1577,2556,13973,-925,-749,1810,1694916,170
713,407,16736,-828,-718,1945,1704891,171
1983,273,15857,-705,-680,1995,1714857,172
1974,174,14940,-643,-892,1973,1724836,173
3358,-23,13099,-614,-1167,1959,1735109,174
5167,-520,11586,-587,-1357,1943,1744720,175
7020,-840,10518,-567,-1363,1939,1754935,176
7562,-1218,9327,-562,-1117,1937,1764920,177
7240,-1358,9263,-566,-764,1915,1774885,178
6357,-1151,9170,-580,-523,1854,1784934,179
5198,-1202,9010,-619,-414,1790,1794917,180
3264,-1799,9792,-654,-308,1751,1804896,181
1835,-2143,10350,-648,-152,1712,1814882,182
1478,-2159,10503,-620,-83,1648,1824858,183
1666,-2035,10480,-591,-90,1591,1835406,184
1870,-1649,10037,-578,-119,1545,1844704,185
1601,-1346,9904,-578,-103,1522,1854741,186
918,-869,9485,-596,-69,1505,1864738,187
-554,-718,9395,-627,-91,1477,1874715,188
-988,27,9234,-649,-126,1454,1884685,189
-1599,-226,9323,-706,-221,1435,1894654,190
-1268,-460,9289,-730,-348,1428,1904642,191
-596,-951,9515,-752,-413,1400,1914626,192
-304,-1210,9770,-754,-422,1398,1924618,193
-296,-1214,9576,-751,-406,1389,1934617,194
-202,-1121,9463,-740,-421,1376,1945450,195
107,-1013,9332,-735,-441,1360,1954802,196
387,-1120,9403,-723,-452,1336,1964826,197
627,-1076,9386,-705,-447,1311,1974841,198
676,-1084,9612,-692,-412,1281,1984867,199
962,-849,9836,-671,-351,1245,1994874,200
1072,-554,9813,-648,-284,1195,2004562,201
1379,-153,10047,-630,-236,1134,2014564,202
1583,-114,9941,-611,-183,1066,2024575,203
1371,-249,9862,-600,-106,1005,2034622,204
1279,-276,9912,-584,-28,947,2044646,205
2365,-157,9714,-566,34,862,2054664,206
2323,-282,9883,-546,74,757,2064735,207
2188,25,9807,-521,67,696,2074739,208
1688,257,9839,-502,78,627,2084736,209
1657,430,10043,-488,127,554,2094736,210
1829,587,10078,-464,189,476,2104744,211
1999,902,9967,-436,232,403,2114769,212
1840,1346,9882,-411,266,337,2124797,213
1935,1474,9778,-393,281,273,2134842,214
2161,1697,9596,-375,272,194,2144782,215
1966,1846,9632,-360,265,115,2154689,216
1870,2013,9647,-338,279,49,2164780,217
1681,2482,9729,-313,292,-19,2174489,218
