xac,yac,zac,xang,yang,zang,tempo,amostra
-2984,1032,4885,-268,295,-1117,1,0
-3149,2108,4187,-172,505,-956,4418,1
-4351,2197,2898,-50,631,-886,14227,2
-3739,2242,2399,73,681,-881,24449,3
-4356,2022,4303,198,609,-891,34274,4
-3750,1906,5317,232,521,-918,45069,5
-3330,1209,5988,280,463,-990,54202,6
-3095,1082,6278,279,420,-1004,64191,7
-3360,693,8334,236,382,-1024,74132,8
-3302,273,6912,203,372,-1075,84155,9
-2188,159,6126,183,335,-1133,94240,10
-2871,790,6158,165,330,-1145,104183,11
-2330,974,5577,156,375,-1086,114186,12
-1509,505,6149,165,445,-1059,124300,13
-1768,1052,6054,190,465,-1050,134033,14
-1875,1375,6087,168,451,-1045,144051,15
-1707,1354,5886,139,460,-1052,154067,16
-936,779,5831,99,461,-1027,164062,17
-262,7,6399,99,501,-1005,174064,18
-51,365,6436,110,547,-1005,184062,19
714,1184,6310,99,582,-998,194068,20
-1690,-711,8422,99,607,-955,204230,21
939,-568,7778,97,543,-985,214224,22
554,62,8765,62,487,-1028,224308,23
921,590,8329,26,462,-1065,234054,24
1412,636,7388,36,394,-1105,244068,25
1681,565,6191,31,400,-1144,254074,26
1203,166,5834,37,493,-1171,264081,27
485,182,5653,36,568,-1208,274080,28
284,204,5396,44,597,-1274,284080,29
-223,-512,6101,47,558,-1357,294085,30
-505,-1146,6660,41,487,-1463,304192,31
-621,-1030,7835,36,394,-1585,314148,32
-17,-969,8291,14,317,-1735,324301,33
335,-1342,7593,0,253,-1889,334058,34
26,-2117,7165,3,236,-2055,344083,35
-306,-3701,5903,16,290,-2222,354089,36
-2147,-6393,4083,36,370,-2367,364109,37
-4111,-9461,3608,66,330,-2407,374124,38
-2631,-10052,4369,77,469,-2388,383887,39
-2619,-11252,4740,102,797,-2478,393943,40
-5415,-11485,4527,172,1025,-2508,404045,41
-10476,-13185,6179,170,1350,-2600,413977,42
-17325,-16626,6409,19,1693,-2554,424012,43
-14914,-18574,6952,-72,1707,-2429,434079,44
-8897,-19981,4913,72,1515,-2734,444112,45
-5627,-15496,3500,152,890,-3037,453856,46
-5428,-8440,2784,-16,397,-2931,463938,47
-4609,-1499,4426,-87,279,-2585,473965,48
-1981,3962,6511,-122,312,-2331,483984,49
3984,7991,9431,-24,547,-2129,494056,50
-816,6967,12777,244,667,-1638,504349,51
-7147,5828,8446,285,1471,-819,513788,52
-11008,10316,12270,409,1636,-4,523860,53
-10701,15231,12402,466,1694,498,533958,54
-9224,15922,11067,359,1310,881,544116,55
-8194,13724,10533,227,546,1182,553889,56
-5551,10959,10456,109,-173,1450,563968,57
-4245,10965,8834,14,-787,1750,574019,58
-3471,10112,8334,-84,-1330,2044,583817,59
-2992,8726,8989,-144,-1824,2323,593863,60
-1437,7993,8795,-131,-2167,2578,603961,61
-121,6953,8972,-76,-2356,2767,614032,62
361,5662,8879,18,-2416,2943,623885,63
449,4789,8515,116,-2377,3123,633973,64
228,3609,8242,219,-2280,3306,643758,65
203,2385,7647,312,-2154,3469,653837,66
480,1056,6650,399,-2069,3632,663934,67
775,-708,6376,466,-2042,3767,673993,68
79,-2188,5766,531,-2081,3897,683821,69
1571,-2941,6256,615,-2192,3937,693870,70
2835,-4127,1957,720,-2243,3960,703972,71
903,-5258,2086,785,-2027,3987,713850,72
2436,-4676,1207,836,-1875,4034,723754,73
651,-5974,-2259,774,-1680,4097,733849,74
2537,-8397,-2945,643,-1567,4224,743962,75
4790,-10734,-3147,546,-1528,4101,753745,76
6102,-11529,-56,508,-1351,4016,763846,77
7662,-10892,1379,478,-881,4079,773957,78
8004,-11521,2007,435,-256,4195,783742,79
9553,-13412,3848,417,330,4287,793848,80
11006,-14137,4403,517,1027,4164,803732,81
6402,-15245,872,542,1486,4026,813879,82
14977,-11039,4906,510,1719,4087,823659,83
15992,-10938,6356,391,1916,3527,833749,84
14917,-7827,3070,388,1930,3008,843866,85
13467,-3503,1867,220,1901,2661,853715,86
14206,-1724,595,-49,1857,2395,863852,87
16157,-2560,4873,-334,1079,1838,873716,88
19309,-3381,7616,-311,144,1074,883854,89
20906,-2186,7984,-286,-246,345,893719,90
19152,-971,6656,-269,-255,-343,903856,91
12231,-1477,2746,-369,-257,-680,914215,92
16298,-470,4156,-556,-17,-1231,923775,93
16990,-2832,4297,-626,-294,-1760,933878,94
3384,-6087,16952,-335,-532,-1931,943727,95
-10258,-4517,15374,-91,-796,-1492,953580,96
-21202,-2409,10353,-135,-564,-737,963728,97
-25616,-402,12091,-207,-159,167,973585,98
-7237,-1764,15492,-581,397,130,983733,99
2088,-4979,13594,-562,402,-1466,993593,100
274,-5329,7884,-354,204,-2045,1003743,101
-2394,-850,645,-554,66,-1567,1013596,102
-1704,2203,-2463,-696,-74,-1204,1023625,103
-3450,1803,2887,-725,-377,-1209,1033578,104
-5138,2369,4954,-546,-362,-1230,1043739,105
-6635,3006,7008,-317,-51,-1209,1053756,106
-5603,3182,5694,-107,328,-1046,1063614,107
-1765,2163,6699,-181,634,-809,1073690,108
-2409,938,10376,-146,748,-745,1083539,109
-4347,1138,7308,-171,677,-869,1093657,110
-5997,1071,5211,-286,374,-1056,1103777,111
-4868,1139,6295,-396,96,-1124,1113638,112
-3646,1329,5818,-377,43,-1085,1124375,113
-2930,1283,4929,-297,125,-994,1133654,114
-3209,916,4768,-151,270,-869,1143484,115
