xac,yac,zac,xang,yang,zang,tempo,amostra
-2702,-1115,6564,-267,-436,-207,1,0
-2514,-826,6643,-267,-438,-182,10454,1
-2521,-697,6662,-275,-432,-155,20425,2
-2532,-701,6779,-277,-418,-132,30335,3
-2595,-659,6601,-269,-405,-114,40271,4
-2602,-613,6585,-259,-391,-106,50369,5
-2466,-687,6918,-254,-370,-106,60277,6
-2181,-736,7200,-251,-341,-99,70321,7
-2334,-657,7114,-240,-291,-96,80612,8
-2465,-535,7088,-232,-243,-100,90259,9
-2572,-417,7061,-228,-223,-102,100709,10
-3191,-479,6999,-228,-204,-109,110285,11
-3203,-365,6939,-220,-197,-112,120270,12
-3003,-335,6885,-215,-196,-114,130252,13
-3135,-167,6701,-215,-188,-113,140225,14
-3392,-142,6505,-219,-192,-111,150135,15
-3179,-62,6362,-228,-212,-110,160108,16
-3057,28,6462,-244,-229,-123,170427,17
-2937,23,6500,-256,-248,-137,180393,18
-2551,308,6356,-273,-269,-164,190306,19
-2365,405,6719,-293,-272,-200,201635,20
-2100,663,6692,-314,-268,-239,210286,21
-2209,506,6645,-344,-261,-288,220275,22
-2093,481,6481,-371,-249,-345,230259,23
-2050,527,6328,-405,-236,-397,240241,24
-2264,584,6693,-440,-224,-463,250163,25
-2034,736,6456,-475,-212,-530,260139,26
-1883,922,6653,-515,-191,-604,270162,27
-2206,1137,6794,-545,-152,-687,280147,28
-2143,1221,6826,-572,-140,-759,290139,29
-2309,1509,6674,-602,-123,-833,300319,30
-3302,1499,6943,-620,-94,-917,310237,31
-4594,1740,7678,-640,-106,-982,320167,32
-4654,3282,6335,-677,-161,-1012,330154,33
-4252,4509,3640,-744,-192,-1033,340147,34
-3620,4369,2393,-810,-217,-1072,350172,35
-4433,3750,3352,-848,-274,-1136,360021,36
-3960,4015,3517,-837,-349,-1171,370337,37
-2465,5603,4792,-837,-364,-1236,380314,38
-1713,11645,5529,-844,-262,-1265,390317,39
1597,12754,5059,-761,-228,-1390,400741,40
-294,10865,7578,-756,-300,-1669,410320,41
-657,10588,7656,-732,-296,-1830,420319,42
-1766,9763,8007,-753,-323,-1988,429993,43
-2413,7911,7143,-769,-361,-2073,440321,44
-4418,5833,6539,-777,-389,-2126,449994,45
-5711,4706,6595,-801,-415,-2091,459994,46
-8042,3731,7223,-845,-453,-2034,470054,47
-11247,2455,7208,-922,-503,-1990,480002,48
-10532,2257,8446,-1025,-715,-1831,489995,49
-7612,974,7871,-1080,-726,-1603,499995,50
-1625,-3361,5485,-1037,-591,-1259,510849,51
2851,-3884,7463,-984,-614,-862,520172,52
331,-5152,7073,-883,-400,-762,530171,53
1357,-4893,4773,-682,-336,-435,540170,54
1805,-5602,5730,-547,-358,-179,550172,55
630,-6759,6662,-391,-301,27,560219,56
-175,-6307,6672,-185,-232,255,570209,57
-546,-5527,6343,-15,-163,483,580181,58
90,-5191,6501,122,-85,720,590179,59
161,-4909,7032,236,33,949,600047,60
-587,-4560,7392,354,165,1161,610602,61
-1327,-4035,7459,467,284,1362,619964,62
-1740,-3371,7364,571,392,1554,630006,63
-1983,-2716,7338,657,504,1734,640010,64
-2645,-2244,7376,738,615,1898,650058,65
-3655,-1728,7192,817,722,2050,660022,66
-4072,-1263,6827,894,792,2197,670075,67
-4189,-765,6403,958,826,2337,680043,68
-4272,-264,6200,1019,834,2463,690350,69
-4658,106,6140,1076,811,2573,700021,70
-4875,679,6018,1145,772,2672,710004,71
-5088,1440,5876,1213,711,2766,719992,72
-5121,2128,5774,1277,638,2860,730021,73
-5224,2629,5824,1331,563,2941,740021,74
-4939,3040,5787,1380,480,3007,750021,75
-4710,3390,6023,1421,407,3071,760021,76
-4223,3644,6061,1450,332,3133,770104,77
-3641,4125,6470,1497,264,3171,779812,78
-4020,4756,6342,1543,249,3212,789851,79
-4884,4778,6266,1585,229,3256,799869,80
-6641,4620,6306,1600,201,3238,810372,81
-7888,4372,6944,1586,112,3194,819919,82
-8199,4516,7528,1590,91,3129,829986,83
-8948,5206,8069,1595,165,2980,840030,84
-11151,5396,8611,1561,194,2794,850081,85
-12833,5040,9136,1483,119,2607,860097,86
-13356,4781,9966,1411,11,2438,870098,87
-12998,4227,11012,1278,-89,2276,879811,88
-11842,3467,12474,1135,-150,2059,889871,89
-10465,2599,14007,974,-37,1722,899890,90
-12001,1746,14682,803,137,1292,909891,91
-14670,1276,14554,602,289,844,920030,92
-14903,404,14913,378,291,366,930053,93
-13101,16,15133,161,271,-104,940061,94
-11770,85,15245,-24,330,-512,949734,95
-8700,3996,13252,-114,416,-833,959741,96
-7403,1308,15429,-346,720,-1167,969794,97
-4868,-4413,11759,-596,1053,-1381,979900,98
13023,-2261,7886,-475,612,-894,989914,99
22544,-1337,6058,-278,50,-490,999994,100
11765,3593,11248,-293,385,-633,1009732,101
-553,5667,14837,-520,535,-975,1020637,102
-4210,2094,11859,-423,332,-1001,1029734,103
-5847,871,7031,-235,57,-1033,1039757,104
-7177,1886,3491,-165,54,-1168,1049794,105
-2988,175,1974,-176,32,-1126,1059887,106
559,-1911,2798,-144,25,-1006,1069959,107
-1882,-2152,4229,-186,120,-1002,1079744,108
-3113,-2247,5202,-261,145,-985,1089778,109
-3220,-2675,4690,-282,2,-879,1099860,110
-3385,-2130,4289,-300,-223,-803,1109914,111
-3768,-1611,4800,-332,-427,-741,1119933,112
-3220,-1660,6210,-335,-572,-687,1129740,113
-3818,-1172,8461,-314,-604,-695,1139782,114
-1460,-1354,8952,-294,-578,-645,1149895,115
3157,-2229,9449,-216,-612,-558,1159934,116
2155,-1896,8442,-109,-327,-626,1169727,117
549,-1710,7217,-53,26,-686,1179773,118
-342,-1364,5782,-21,138,-701,1189870,119
-1660,-1364,4832,-39,127,-709,1199927,120
-3332,-1411,4090,-79,39,-694,1209725,121
-3955,-1575,3773,-125,-144,-663,1220072,122
-3327,-1601,4302,-164,-312,-616,1229784,123
-2641,-1428,5242,-178,-382,-565,1239592,124
-1829,-680,5329,-185,-385,-530,1249731,125
-1330,-561,5237,-196,-347,-521,1259797,126
-1875,-703,5814,-208,-300,-510,1269662,127
-2752,-878,6421,-204,-231,-484,1279773,128
-3440,-820,6221,-197,-233,-433,1289887,129
-3871,-1057,6266,-193,-267,-378,1299943,130
-3901,-1207,6142,-189,-315,-315,1309743,131
-3892,-1367,6252,-184,-376,-262,1319811,132
-3673,-1138,6417,-180,-407,-221,1329677,133
-3106,-1060,6336,-167,-419,-186,1339785,134
-2927,-946,6235,-171,-428,-164,1349654,135
-3017,-846,6149,-195,-433,-143,1359667,136
-2910,-996,5848,-224,-433,-124,1369816,137
-2904,-1028,6104,-241,-434,-114,1379634,138
-2678,-1004,5771,-241,-424,-113,1389793,139
-2308,-677,5813,-250,-398,-115,1399616,140
-2292,-907,6103,-283,-356,-121,1409777,141
-2972,-829,6111,-270,-317,-128,1419590,142
-3322,-606,6221,-263,-302,-133,1430153,143
-3299,-610,5968,-246,-305,-144,1439642,144
-3567,-539,5990,-238,-316,-156,1449800,145
-3793,-428,6309,-226,-312,-158,1459629,146
-3429,-359,5971,-223,-297,-155,1469845,147
-3813,-411,5570,-226,-287,-148,1479649,148
-3870,-217,5564,-222,-267,-142,1489633,149
-4006,-356,5956,-221,-274,-139,1499456,150
-4109,-321,6585,-216,-275,-131,1509629,151
-3797,-241,6866,-202,-271,-130,1519806,152
-3893,-291,7097,-193,-276,-135,1529666,153
-3754,-239,6990,-184,-284,-144,1539623,154
-3489,36,6284,-182,-293,-162,1549461,155
-3786,-10,6141,-191,-305,-187,1559640,156
-4311,127,6032,-198,-327,-203,1569524,157
-4703,-40,6141,-206,-375,-218,1579660,158
-4575,151,6201,-205,-436,-227,1589470,159
-3971,41,6015,-205,-498,-249,1599688,160
-3446,171,6123,-205,-520,-290,1609471,161
-3130,265,6547,-210,-504,-344,1619646,162
-3059,557,5838,-227,-471,-405,1629753,163
-3146,541,5748,-247,-435,-470,1639471,164
-3276,625,5897,-263,-398,-537,1649661,165
-3460,825,6009,-291,-376,-602,1659485,166
-3847,916,6030,-319,-375,-674,1669718,167
-3686,1052,6107,-344,-371,-738,1679498,168
-3822,1570,5397,-390,-369,-816,1689677,169
-3649,1478,5136,-435,-375,-889,1699486,170
-3112,2282,4775,-486,-370,-987,1709677,171
-2335,3457,3151,-566,-296,-1074,1719492,172
-2849,3734,2634,-637,-168,-1152,1729682,173
-4430,4206,2938,-672,-110,-1241,1739521,174
-5153,5371,4037,-659,-145,-1304,1749689,175
-4615,8097,6160,-669,-262,-1372,1759499,176
-3384,10043,6636,-725,-299,-1436,1769735,177
-2121,10602,6577,-770,-335,-1504,1779530,178
-2717,9434,7264,-771,-345,-1621,1789347,179
-3113,8309,7389,-742,-378,-1738,1799504,180
-3629,7589,6530,-733,-405,-1818,1809347,181
-1975,7759,5815,-704,-501,-1835,1819504,182
-3795,6286,5254,-668,-470,-1946,1829350,183
-5389,5941,5803,-653,-412,-1917,1839964,184
-5614,5736,6739,-633,-395,-1865,1849565,185
-5488,4559,7743,-670,-330,-1851,1859363,186
