xac,yac,zac,xang,yang,zang,tempo,amostra
26659,9999,21780,258,227,-463,1,0
28123,5658,15078,483,-499,-348,13096,1
7714,4072,9078,773,236,-1510,22714,2
-8821,4181,6728,671,1174,-1839,32678,3
-15005,5437,12119,546,1189,-1556,42898,4
-6641,2892,13878,542,614,-1200,52868,5
5343,-559,11783,687,-46,-1034,62769,6
9236,-1812,9489,677,-247,-1118,72713,7
7080,-2289,8376,568,-173,-1184,82685,8
2114,-2546,6627,502,35,-1122,92585,9
962,-2429,6500,457,78,-994,102738,10
4525,-2161,7772,452,24,-934,112824,11
7354,-2454,8796,451,4,-930,122727,12
6522,-2616,9171,456,41,-933,132696,13
4082,-2247,9768,462,167,-959,142653,14
3371,-1420,9391,459,307,-943,152568,15
3202,-767,9094,449,276,-953,162548,16
2736,-701,9707,428,247,-962,172499,17
2184,-1069,9936,419,214,-949,182738,18
2011,-1391,9658,415,165,-925,192728,19
2087,-1137,9461,416,135,-901,202600,20
2689,-1080,9324,412,124,-887,212684,21
3334,-1197,8843,415,124,-879,222593,22
2997,-1080,8455,398,108,-875,232576,23
2502,-482,8204,373,126,-871,242569,24
2311,-297,7826,352,100,-855,252712,25
1776,-756,7360,352,38,-821,262706,26
1209,-781,7964,351,-24,-788,272703,27
591,-1027,8524,329,-77,-732,282871,28
633,-517,8530,314,-146,-667,292460,29
1652,-147,8098,295,-175,-616,302730,30
1801,-174,7851,261,-179,-588,312468,31
1099,-388,7608,219,-163,-559,322422,32
838,-767,7686,189,-191,-516,332421,33
406,-944,8222,156,-237,-472,342419,34
159,-1239,8265,140,-263,-419,352422,35
-36,-1429,8401,122,-305,-385,362425,36
550,-1366,8116,102,-311,-350,372426,37
1320,-1333,7976,87,-314,-334,382428,38
1585,-1508,7588,74,-297,-330,392429,39
1361,-1675,7679,63,-278,-335,402978,40
1007,-1834,7890,55,-263,-337,412506,41
873,-1867,7960,54,-259,-338,422459,42
1032,-1861,7865,54,-256,-345,432435,43
1281,-2161,7892,58,-233,-356,442437,44
864,-2277,7829,54,-200,-377,452437,45
434,-2338,7599,48,-163,-387,462441,46
185,-2751,7868,55,-145,-391,472440,47
-499,-3247,8143,74,-161,-396,482442,48
-844,-2832,7996,83,-193,-381,492443,49
422,-2057,8048,99,-226,-360,502545,50
1247,-1286,8574,102,-255,-386,512447,51
1229,-1191,8703,88,-172,-439,522447,52
937,-1429,8627,63,-81,-501,532449,53
862,-2136,8309,77,-70,-556,542451,54
907,-1639,9242,120,-98,-586,552450,55
1692,-323,9229,136,-97,-633,562451,56
1769,354,9277,134,-43,-706,572452,57
1103,1017,8712,123,42,-763,582454,58
921,746,8160,106,99,-807,592454,59
1305,648,7130,112,115,-854,602454,60
1037,1247,6720,86,91,-893,612998,61
301,3003,6278,44,35,-902,622624,62
68,5606,5532,-38,-54,-893,632305,63
680,6775,5458,-93,-241,-881,642306,64
823,6224,6860,-126,-465,-872,652309,65
936,5260,8387,-163,-642,-871,662311,66
1753,4727,8977,-167,-728,-856,672312,67
3493,4272,9856,-106,-756,-838,682314,68
4262,3754,10527,-115,-737,-895,692315,69
4228,2308,11873,-222,-672,-1032,702317,70
3529,1055,12032,-253,-526,-1180,712524,71
2835,325,11709,-281,-410,-1308,722456,72
1867,-325,10858,-280,-265,-1424,732476,73
981,-1074,9645,-222,-88,-1514,742478,74
374,-1345,8632,-134,52,-1589,752609,75
445,-1141,8133,-31,189,-1692,762323,76
-535,-209,7169,69,309,-1796,772324,77
-1966,-471,7522,145,435,-1922,782324,78
-1396,-1907,7473,203,500,-1914,792327,79
-3344,-3328,5655,265,477,-1881,802329,80
-6034,-4341,5465,297,475,-1829,812955,81
-6405,-5436,6374,304,392,-1657,822176,82
-2306,-4945,8296,287,117,-1293,832504,83
3594,-4616,10034,219,-137,-901,842500,84
8009,-4675,10760,127,-262,-604,852499,85
9880,-4143,10618,58,-307,-366,862158,86
7510,-3496,9796,37,-253,-278,872154,87
6092,-2969,9492,5,-179,-145,882148,88
6234,-2872,9672,-21,-140,20,892148,89
6411,-3070,9564,-24,-66,150,902150,90
6256,-3444,9386,-27,54,273,912237,91
5511,-3500,9080,-35,184,435,922426,92
4380,-3109,8929,-52,288,599,932153,93
3408,-2830,8819,-73,366,754,942162,94
2828,-2549,8951,-101,425,932,952165,95
2156,-2421,9030,-120,486,1096,962171,96
1651,-1880,8940,-136,549,1268,972189,97
1418,-1564,9009,-157,580,1442,982210,98
1727,-1184,9019,-177,588,1622,992235,99
1673,-1060,8881,-198,566,1763,1002453,100
1526,-829,8767,-214,555,1871,1012216,101
