xac,yac,zac,xang,yang,zang,tempo,amostra
1536,-1589,6277,-87,-192,-744,1,0
1775,-1532,6294,-105,-190,-748,7361,1
1805,-1508,6077,-128,-166,-768,17196,2
1449,-1741,6441,-144,-110,-787,27357,3
1424,-1684,6361,-154,-45,-802,36905,4
748,-1727,6453,-167,-19,-809,47107,5
-34,-1525,6803,-169,-10,-791,56898,6
-145,-1445,6588,-167,-44,-769,67105,7
-557,-1488,7047,-168,-81,-748,77036,8
-742,-1334,7182,-156,-109,-720,86978,9
-312,-1209,6855,-147,-125,-713,97075,10
60,-1095,6796,-153,-140,-719,106861,11
547,-1176,7048,-146,-122,-742,117079,12
655,-1204,7083,-132,-91,-780,127042,13
647,-1201,7520,-120,-57,-828,136997,14
257,-921,6962,-110,-25,-874,146952,15
-232,-687,6747,-114,-16,-911,156924,16
-570,-737,6476,-127,-16,-955,166882,17
-723,-732,6305,-143,-32,-977,176852,18
-962,-597,6388,-162,-58,-999,187067,19
-880,-282,6236,-188,-91,-1022,196961,20
-773,-84,6160,-220,-128,-1050,206881,21
-335,83,6275,-243,-144,-1091,216848,22
-590,193,6651,-282,-164,-1142,227069,23
-459,558,6607,-302,-160,-1190,237047,24
-785,638,6634,-316,-150,-1259,247027,25
-936,1065,7081,-342,-135,-1309,256853,26
-1462,1396,6861,-357,-129,-1357,266833,27
-1542,2044,7140,-371,-114,-1401,276835,28
-1721,2890,7436,-387,-103,-1449,286809,29
-4329,5871,17513,-433,-82,-1413,296801,30
-864,1320,5655,-406,279,-1753,307013,31
-2456,2698,5628,-345,-206,-1672,316997,32
-1286,7192,8157,-375,-68,-1649,326981,33
-2280,4938,8589,-440,-38,-1788,336957,34
-115,6458,8753,-466,-23,-1822,346947,35
482,7707,8173,-533,84,-1892,356990,36
927,6248,8063,-533,218,-1984,366965,37
-215,5292,8190,-518,239,-2115,376968,38
56,6350,8323,-551,191,-2172,386952,39
951,6726,7021,-573,136,-2240,396948,40
1293,6628,5915,-576,33,-2332,407607,41
1435,7388,5696,-584,-157,-2406,416809,42
1691,8264,5251,-600,-447,-2460,426823,43
2088,9465,4991,-624,-800,-2483,436824,44
3706,10302,5095,-644,-1153,-2500,446910,45
5993,9762,4002,-652,-1526,-2469,456699,46
8755,6895,3133,-606,-1740,-2323,466708,47
10491,1274,2219,-495,-1770,-2168,476709,48
5475,-3715,4813,-419,-1543,-2198,486721,49
-4276,-3219,4301,-242,-1183,-2417,496717,50
-8276,3308,2918,-271,-1060,-2872,506831,51
-13794,7011,5854,-418,-722,-3462,516868,52
-16811,7940,8645,-328,205,-2504,526892,53
-814,6300,6321,-192,97,-1024,536975,54
2707,-1936,7408,-141,-231,-592,546710,55
3009,-7836,6864,-49,-548,-508,556710,56
2473,-10320,7036,21,-750,-306,566712,57
-52,-11035,6063,132,-700,30,576718,58
-1200,-10307,6794,171,-384,424,586731,59
-1639,-9263,8230,186,-172,702,596763,60
-2285,-9151,8585,269,-96,950,607491,61
-2545,-8931,7959,382,-63,1267,616786,62
-2783,-8559,7428,437,-45,1628,626809,63
-3515,-7989,7380,448,-121,1982,636850,64
-4106,-7392,7408,437,-280,2310,646619,65
-3958,-7268,7909,448,-472,2611,656762,66
-3721,-6961,8155,497,-648,2881,666822,67
-3237,-6439,8347,547,-802,3146,676579,68
-2058,-5672,9286,594,-896,3425,686615,69
-821,-4953,10275,639,-917,3686,696649,70
