xac,yac,zac,xang,yang,zang,tempo,amostra
1149,747,8550,-67,138,-644,1,0
1264,650,8698,-56,133,-660,9000,1
1351,168,8866,-38,124,-675,19130,2
1453,-679,8037,-2,112,-678,28975,3
1837,-710,7500,24,124,-679,39117,4
2562,82,8141,24,209,-677,49716,5
2694,-231,8757,28,325,-668,58905,6
2426,-786,8532,30,424,-672,69087,7
2088,-1133,8529,22,487,-686,78940,8
2304,-1634,8228,22,529,-707,89108,9
6386,-2065,4738,-78,554,-725,98996,10
-1122,-2966,9227,-27,679,-871,108954,11
2515,-2755,6631,-65,947,-722,119123,12
3820,-2954,8397,-65,857,-828,128990,13
1790,-3043,10472,-74,992,-900,139137,14
1880,-1984,10348,-67,1107,-895,148972,15
2457,-1614,11109,-78,1064,-952,159132,16
2390,-1537,11937,-82,1037,-1023,168976,17
2613,-1032,12222,-83,1003,-1081,178820,18
2334,-885,12370,-70,952,-1148,188986,19
2322,-993,12015,-65,908,-1211,199245,20
2492,-1202,11435,-57,841,-1279,208997,21
2384,-1621,10787,-61,803,-1373,218840,22
1318,-1855,10467,-63,764,-1463,229009,23
1343,-2216,9495,-66,740,-1521,238851,24
1521,-1980,9436,-94,654,-1592,249018,25
1259,-2318,9055,-123,609,-1654,258864,26
660,-2628,9084,-141,515,-1684,269047,27
735,-2257,9116,-161,397,-1675,278918,28
-167,-1595,9495,-159,331,-1654,288802,29
-395,-794,9123,-144,237,-1608,299000,30
176,96,8930,-124,-7,-1571,308769,31
1784,617,8282,-126,-279,-1552,318980,32
5860,2053,7038,-152,-531,-1539,328846,33
9631,2234,5369,-189,-693,-1547,338685,34
5775,1529,6672,-229,-584,-1536,348875,35
-3870,1667,6023,-297,-81,-1265,358744,36
-7596,2905,8074,-269,426,-772,368973,37
-5947,5163,8552,-188,831,-404,378848,38
-3898,6125,9947,-119,1009,-180,388690,39
-2630,5998,10530,-77,1015,44,398880,40
-2741,6050,10615,-89,975,324,409213,41
-4020,6190,10788,-125,893,623,418752,42
-4981,6025,11064,-147,710,935,428698,43
-4334,6185,11247,-156,451,1249,438898,44
-2704,5970,11316,-160,211,1511,448788,45
-1622,5435,11217,-154,18,1715,458672,46
-1335,4979,11157,-141,-115,1905,468868,47
-987,4591,10906,-122,-215,2083,478737,48
-526,4088,10772,-98,-330,2235,488649,49
-202,3155,10358,-76,-454,2353,498862,50
318,2056,10340,-50,-588,2453,508697,51
1085,1029,10539,-21,-709,2541,518856,52
2179,-160,10859,14,-800,2626,528718,53
3290,-1208,11010,58,-839,2697,538620,54
4383,-1665,11664,101,-813,2766,548865,55
5529,-2557,11811,162,-717,2818,558747,56
5685,-3149,11440,221,-595,2846,568665,57
5452,-3493,11132,275,-495,2858,578877,58
5423,-3357,10715,325,-435,2854,588771,59
5700,-3422,10126,347,-414,2829,599014,60
5819,-3557,9580,347,-418,2791,608830,61
6111,-3588,8941,330,-426,2745,618665,62
6389,-3522,8448,292,-455,2685,628891,63
6402,-2972,7985,248,-528,2585,638816,64
6598,-3099,7706,199,-661,2440,648714,65
7048,-3138,7774,149,-822,2279,658634,66
7713,-3044,8208,112,-951,2108,668869,67
8251,-2964,8452,90,-1013,1938,678788,68
8715,-2409,8725,83,-1045,1768,688702,69
9291,-1435,8522,74,-1029,1592,698618,70
9813,-595,8129,63,-967,1404,709390,71
9992,38,7944,36,-848,1206,718571,72
9440,550,7765,3,-681,1008,728896,73
8835,1014,7618,-30,-531,808,738835,74
8252,1397,7568,-66,-415,596,748727,75
7794,1693,7997,-98,-346,376,758676,76
6863,1872,8440,-124,-294,157,768581,77
5994,1748,8810,-143,-229,-39,778839,78
5299,1622,9014,-152,-141,-202,788744,79
4640,1551,9297,-160,-36,-339,798699,80
3805,1649,9315,-167,88,-451,808616,81
2835,1699,9350,-181,213,-537,819038,82
1620,1796,9566,-195,317,-607,828743,83
-396,1985,9372,-202,397,-643,838699,84
-556,2484,6989,-257,405,-617,848621,85
2060,2619,6473,-287,120,-589,858561,86
2058,-1374,3833,-316,-210,-687,868527,87
-820,-12555,7451,-121,-650,-847,878755,88
-5744,-16564,10530,-44,-428,-1010,888715,89
-4461,-6172,15362,-203,250,-980,898688,90
515,2523,15693,-180,266,-988,908620,91
3338,5994,14475,-170,-20,-942,918819,92
1398,5635,13302,-263,-102,-864,928762,93
-1121,2037,12789,-350,-128,-701,938719,94
-2915,-1130,12358,-372,-128,-527,948695,95
-2798,-1689,11173,-417,-108,-353,958638,96
-1261,-621,10442,-495,-184,-259,968570,97
-1538,551,9954,-546,-235,-284,978542,98
-2848,1246,9647,-543,-242,-325,988478,99
-4136,1476,9158,-504,-257,-358,998747,100
-4134,1190,8684,-481,-305,-350,1008723,101
-3129,816,9141,-479,-342,-325,1018622,102
-2174,617,9401,-489,-301,-300,1028744,103
-1534,690,9802,-493,-147,-268,1038615,104
-1727,1078,9513,-489,58,-247,1049049,105
-2486,1143,9123,-486,184,-248,1058450,106
-3376,1114,8987,-489,175,-277,1068314,107
-3894,1195,8976,-501,63,-328,1078460,108
-3814,1294,9223,-519,-84,-378,1088335,109
-3146,1285,9283,-534,-204,-419,1098560,110
-2373,1005,9279,-547,-266,-445,1108451,111
-1684,725,9046,-538,-252,-457,1119057,112
-1323,814,8532,-511,-175,-459,1128288,113
