xac,yac,zac,xang,yang,zang,tempo,amostra
3100,1364,9419,-112,0,215,1,0
3044,1660,9296,-108,48,143,10199,1
3246,1394,9521,-102,89,69,20231,2
3113,1201,9509,-93,133,-7,30332,3
2869,1417,9254,-88,172,-79,40366,4
2940,1765,8847,-82,185,-143,50482,5
3349,1792,8856,-71,176,-221,60166,6
3697,1588,9038,-62,165,-305,70202,7
4298,1517,8885,-41,237,-368,80246,8
5921,1263,9618,-15,349,-409,90333,9
6761,823,10426,26,526,-469,100294,10
5978,477,11200,76,723,-507,110350,11
2086,581,11496,128,820,-512,120103,12
-2868,1391,10690,141,740,-483,130234,13
-6749,1980,10015,161,470,-462,140333,14
-8579,1903,9326,179,124,-455,150381,15
-8174,1091,8296,181,-229,-430,160198,16
-4689,-18,7874,184,-504,-380,170250,17
-502,-626,6971,188,-631,-382,180353,18
2303,-800,6319,181,-614,-433,190112,19
1860,-213,6396,169,-393,-482,200789,20
-1382,652,4947,152,-39,-506,210338,21
-4684,1591,4230,97,218,-505,220366,22
-6447,2148,3660,43,339,-510,230509,23
-6568,1607,5560,-2,300,-530,240347,24
-5696,1474,7157,-7,179,-586,250115,25
-4655,1802,8315,-7,-56,-666,260208,26
-4997,2600,8093,-6,-329,-828,270301,27
-6610,3191,7716,-44,-620,-1047,280074,28
-7546,4058,5974,-90,-824,-1255,290188,29
-5228,4043,4718,-191,-927,-1355,300269,30
2420,2080,7434,-256,-891,-1200,310269,31
11364,-2273,11022,-218,-532,-938,320060,32
13604,-6443,12188,-121,-4,-847,330068,33
6382,-6173,6863,10,622,-886,340073,34
-81,-2395,3546,76,817,-791,350077,35
-1930,340,4091,109,656,-562,360087,36
909,-239,5370,148,502,-332,370098,37
4492,-3622,7586,217,423,-185,380138,38
5488,-6042,8174,329,532,-76,390180,39
4479,-6492,8104,457,655,76,400826,40
2809,-6227,7685,576,734,217,410119,41
1348,-5976,7168,674,739,320,420167,42
20,-6024,6043,717,599,435,430233,43
-1155,-5268,6328,686,385,582,440265,44
-1218,-4385,7007,648,376,666,450041,45
