xac,yac,zac,xang,yang,zang,tempo,amostra
31868,-4737,24062,-195,-3001,-1728,1,0
31830,1125,16229,-524,-1411,1,9665,1
-14554,3071,3200,-1025,1167,218,19814,2
8275,-3163,22156,-1466,681,-1353,29684,3
9079,-10458,7541,-825,-48,-2717,39528,4
10832,-8721,-8551,-935,-380,-3083,49778,5
10304,-12210,-584,-1387,-32,-3129,59621,6
5624,-10142,2447,-1068,-725,-2599,69805,7
4469,-3250,11267,-753,-668,-1754,79978,8
709,761,6248,-388,197,-1384,89819,9
-768,726,5688,-250,606,-1266,99614,10
-3332,496,7698,-130,997,-1097,109635,11
-4456,2714,5958,-204,999,-921,119467,12
-5521,3325,5992,-239,672,-997,129715,13
-5823,2670,5521,-296,413,-1176,139595,14
-5543,1814,5247,-304,294,-1299,150292,15
-3488,1746,5240,-252,217,-1259,159650,16
-2432,1342,4693,-202,381,-1147,169478,17
-993,1833,4051,-63,522,-1020,179653,18
-1204,1415,4262,24,581,-951,189712,19
-3185,1009,4838,112,574,-887,199655,20
-4016,1700,5573,172,629,-826,209549,21
-3984,1902,6267,167,585,-849,219740,22
-3731,1735,6218,150,454,-921,229631,23
-3088,2157,5797,119,368,-971,239491,24
-2751,1896,7659,44,370,-995,249672,25
-2005,1742,8294,51,422,-1016,259519,26
-1800,1407,6938,2,431,-1052,269684,27
-2275,1427,6225,-42,366,-1084,279544,28
-1420,1297,6336,-82,360,-1094,289424,29
177,1186,6622,-98,451,-1049,300161,30
4434,-288,8663,-86,782,-1056,309616,31
1211,1238,7678,128,1496,-981,319497,32
4351,229,8744,167,1771,-948,329414,33
-6179,4021,1183,-45,804,-843,339641,34
-6685,944,7637,44,0,-1361,349507,35
-1929,3053,4804,-112,396,-1305,359347,36
3276,885,6099,-139,309,-1217,369553,37
3222,143,5697,-101,449,-1225,379461,38
915,247,4876,-58,613,-1220,389336,39
-330,224,3969,-47,731,-1215,399598,40
179,592,3734,-31,740,-1243,409543,41
74,460,4064,-41,701,-1313,419448,42
441,-340,5369,-36,700,-1381,429431,43
144,-2692,8987,36,633,-1433,439323,44
746,-3698,6934,67,538,-1585,449533,45
-1489,-4381,6990,80,445,-1738,459403,46
-1803,-5030,7299,62,392,-1878,469318,47
-1092,-5496,8344,55,293,-2046,479534,48
-88,-5156,9224,49,203,-2224,489419,49
-827,-6031,8173,60,145,-2403,499331,50
-2400,-7357,6145,106,83,-2571,510122,51
-3352,-8612,3621,200,13,-2763,519366,52
