xac,yac,zac,xang,yang,zang,tempo,amostra
3192,-2717,5487,50,7,-869,1,0
2380,-2734,5706,44,87,-912,4071,1
1084,-2238,5396,29,117,-924,13877,2
-96,-1708,5678,3,85,-913,24023,3
-507,-1149,5816,-12,27,-889,33848,4
-13,-1113,6027,-28,-26,-869,44016,5
685,-1349,6041,-30,-73,-874,53999,6
623,-1670,5706,-39,-99,-890,63831,7
638,-1828,6115,-46,-96,-903,74006,8
417,-1776,5964,-47,-70,-927,83865,9
404,-1390,6214,-52,-58,-955,94513,10
361,-1504,5604,-49,-82,-989,104020,11
-90,-1493,6147,-60,-115,-1015,113865,12
-418,-1446,6168,-49,-104,-1047,123918,13
-555,-1148,6205,-58,-54,-1063,133912,14
-1265,-865,6256,-64,-43,-1077,143917,15
-1547,-759,5956,-65,-44,-1072,153914,16
-2072,-512,6232,-85,-61,-1052,163918,17
-2242,-509,6372,-83,-77,-1039,174117,18
-2064,-517,6516,-93,-88,-1025,183845,19
-2250,-404,6265,-93,-107,-1004,193877,20
-2065,-298,6387,-94,-104,-994,203974,21
-2610,-186,5795,-96,-104,-989,213710,22
-2646,-10,6147,-112,-113,-969,223744,23
-2876,174,5823,-122,-125,-975,233772,24
-2598,315,5229,-133,-165,-972,243779,25
-2437,470,5384,-148,-193,-975,253784,26
-2813,199,5241,-151,-218,-989,263797,27
-2244,2055,3814,-140,-230,-1005,273792,28
-256,232,4974,-173,-292,-1124,283864,29
-2155,3397,7998,-214,-340,-1051,293633,30
-1859,2775,7954,-218,-254,-1223,303687,31
-1461,2718,8381,-216,-278,-1253,313814,32
-1353,3337,8516,-218,-202,-1350,323818,33
-1616,3399,8753,-229,-150,-1428,333816,34
-1808,3123,8449,-233,-94,-1520,343582,35
-2078,2795,8160,-241,-57,-1599,353647,36
-2211,2851,7532,-260,-35,-1668,363670,37
-2238,2712,6989,-283,-42,-1715,373791,38
-2116,3153,6738,-308,-77,-1766,383846,39
-1234,4871,5854,-378,-107,-1809,393621,40
-474,4830,4937,-421,-133,-1866,403718,41
-1013,3799,5262,-388,-231,-1971,413546,42
-920,4999,6986,-438,-394,-2054,423584,43
988,6611,7301,-505,-562,-2107,433654,44
2612,6826,6826,-522,-684,-2211,443688,45
3975,7124,6879,-501,-781,-2334,453723,46
5449,7629,5639,-497,-978,-2424,463498,47
6305,7902,4980,-498,-1260,-2466,473541,48
7162,7043,3884,-483,-1594,-2448,483749,49
8620,4880,2710,-451,-1890,-2359,493532,50
8479,1701,1868,-417,-1864,-2211,503966,51
3757,-1723,4905,-402,-1752,-2113,513698,52
-5169,-1631,4963,-226,-1452,-2324,523502,53
-6827,4261,4579,-369,-1076,-2956,533555,54
-14571,6228,3871,-461,-353,-3795,543630,55
-22344,4967,9123,-393,995,-3025,553700,56
-4745,5026,5630,-147,809,-1412,563497,57
-364,-159,6146,-96,144,-756,573554,58
1677,-4981,4190,-100,-256,-579,583632,59
2404,-8881,5716,-162,-503,-410,593703,60
76,-11036,6409,-160,-467,-128,603520,61
-1418,-10973,7095,-130,-193,299,613697,62
-2225,-9231,7716,-136,207,594,623490,63
-2526,-8020,8073,-139,445,818,633557,64
-2642,-7461,7472,-93,493,1118,643646,65
-3011,-7001,6881,-70,492,1466,653711,66
-3728,-7015,6806,-92,414,1798,663543,67
-4546,-7051,6833,-94,330,2098,673633,68
-4825,-6900,6698,-74,254,2377,683468,69
-3787,-6713,6581,-48,181,2667,693555,70
-3048,-6666,7037,2,139,2970,703362,71
-2899,-6018,7355,57,151,3245,714069,72
-3300,-5279,7931,121,203,3465,723573,73
-3434,-4464,7827,207,250,3681,733392,74
-3854,-2993,6847,271,260,3911,743458,75
-4708,-1141,6358,261,186,4116,753555,76
-4825,509,6443,256,65,4258,763360,77
-3598,1115,6883,297,-7,4366,773430,78
-2169,1446,7167,365,34,4429,783672,79
-1218,2215,7360,445,201,4438,793444,80
-606,3615,6919,531,410,4453,803558,81
-280,4898,7130,608,624,4454,813773,82
-413,6070,7148,672,828,4442,823459,83
-2431,7807,6534,733,1015,4412,833571,84
-4013,10237,5597,773,1179,4410,843407,85
-3956,12012,5459,757,1249,4418,853489,86
-4075,13171,5441,693,1190,4375,863588,87
-5514,13782,6880,623,1055,4228,873542,88
-7904,14471,7938,565,884,4041,883398,89
-11261,14113,9146,446,795,3792,893471,90
-12457,12476,10393,376,831,3600,903577,91
-12763,9932,9240,387,886,3357,914018,92
-14112,7876,7955,403,920,2959,923357,93
-15440,6853,7352,426,967,2522,933447,94
-16650,5613,7306,439,1005,2053,943292,95
-18132,4260,7835,442,1006,1545,953427,96
-19441,3102,8242,438,939,989,963554,97
-19524,2582,8716,437,851,410,973432,98
-16560,2152,9236,440,825,-94,983287,99
-14268,1783,9087,462,906,-601,993420,100
-12940,1389,8563,483,1082,-1100,1003277,101
-13137,1494,7371,547,1172,-1529,1013414,102
-11364,2609,7180,557,1204,-1793,1023401,103
-3520,4085,8739,449,1222,-1828,1033233,104
8695,3362,16122,-171,1905,-1373,1043335,105
20555,-4517,20997,-185,1429,976,1053458,106
-29866,5889,7547,91,-2065,1155,1063318,107
12886,17077,21220,-158,-2064,-1743,1073458,108
-6661,11867,4487,328,192,-3955,1083321,109
-14452,-178,3956,598,320,-3461,1093459,110
-9077,-4201,4085,880,31,-1842,1103320,111
-1904,-56,4221,717,510,-1472,1113458,112
-80,-927,6814,458,335,-1717,1124179,113
-902,-3093,9111,478,2,-1496,1133465,114
-98,-2899,8116,579,253,-1249,1143328,115
2193,-1814,6402,533,368,-1201,1153466,116
2036,-2329,6676,420,298,-1168,1163331,117
1084,-2814,6642,385,257,-1070,1173469,118
-423,-1506,6808,324,172,-960,1183331,119
-960,-560,7373,261,-44,-843,1193198,120
617,-1297,8079,272,-223,-705,1203339,121
3004,-2749,8538,320,-238,-623,1213200,122
3570,-3415,6300,345,-233,-620,1223231,123
2581,-2243,5244,270,-348,-586,1233393,124
1429,-1469,7536,188,-455,-549,1243254,125
1749,-1128,7716,195,-468,-514,1253413,126
3029,-1179,6523,185,-403,-523,1263279,127
3332,-1503,5983,143,-358,-542,1273159,128
2939,-1459,6453,103,-292,-558,1283331,129
2727,-1309,7126,96,-187,-575,1293212,130
2910,-1472,7313,103,-93,-596,1303355,131
2496,-1731,7366,107,-19,-619,1313220,132
1986,-1740,7747,118,76,-632,1323635,133
1729,-1507,7167,127,151,-645,1333234,134
1449,-1218,6546,115,164,-652,1343371,135
820,-1061,6644,100,153,-655,1353235,136
640,-1108,6222,86,118,-646,1363096,137
389,-1408,5860,63,50,-624,1373087,138
143,-1468,6080,34,-32,-599,1383246,139
230,-1367,5967,17,-128,-568,1393106,140
876,-1403,6067,-7,-233,-566,1403267,141
1730,-1154,6492,-7,-282,-586,1413151,142
2281,-1216,6910,-14,-276,-641,1423340,143
2453,-1086,6670,-2,-222,-711,1433259,144
2021,-845,7189,-6,-152,-784,1443143,145
1666,-728,7150,-8,-75,-863,1453047,146
1236,-758,7229,-6,-13,-926,1463246,147
912,-624,7071,-4,25,-982,1473119,148
142,-664,6681,-8,40,-1030,1483306,149
-438,-570,6480,-12,42,-1054,1493213,150
-838,-508,6650,-11,3,-1065,1503107,151
-927,-468,6145,-22,-35,-1068,1513002,152
-796,-238,5999,-33,-64,-1068,1523219,153
-1015,33,5850,-57,-83,-1078,1533448,154
-1233,374,6272,-76,-96,-1086,1543093,155
-1367,631,5991,-86,-125,-1098,1553270,156
-1110,1035,6049,-93,-161,-1119,1563197,157
-879,1767,5979,-100,-195,-1151,1573109,158
-1551,1738,5651,-104,-205,-1188,1583028,159
-1501,3498,7490,-126,-135,-1246,1593244,160
814,1043,4615,-114,-218,-1373,1603146,161
2,5304,8591,-147,-208,-1322,1613082,162
-988,3750,7804,-144,-176,-1497,1623020,163
-757,3650,8918,-153,-208,-1516,1632968,164
-681,3716,8599,-160,-155,-1615,1643161,165
-562,3535,8552,-163,-143,-1671,1653106,166
-808,3513,7826,-181,-107,-1744,1663015,167
-1011,3367,7510,-197,-115,-1804,1672960,168
-1163,3678,7560,-220,-150,-1851,1683152,169
-378,5101,7735,-264,-184,-1894,1693107,170
1095,6641,5711,-355,-193,-1931,1703019,171
1767,5860,5311,-360,-233,-2020,1712973,172
2208,5855,5960,-352,-339,-2150,1722912,173
3301,7478,6657,-410,-503,-2222,1733304,174
5188,8692,5886,-415,-654,-2293,1743150,175
4065,8683,2740,-382,-854,-2444,1753116,176
5719,9364,8375,-539,-1301,-2529,1763057,177
11120,10113,1571,-456,-1774,-2476,1772997,178
11793,8349,2188,-421,-2201,-2328,1782976,179
11709,4079,2127,-357,-2566,-2165,1792934,180
7462,-1146,3686,-338,-2664,-2122,1802877,181
-879,-2102,5806,-313,-2228,-2320,1813138,182
-9972,4692,10189,-390,-1718,-2879,1823109,183
-16886,8599,5830,-509,-909,-3837,1833066,184
-22878,7042,9798,-304,801,-3148,1843086,185
-1847,6862,5089,-6,809,-1418,1853023,186
3334,1650,5848,27,66,-589,1862992,187
5086,-3189,4084,-3,-440,-471,1873127,188
2909,-7897,6363,-85,-752,-502,1882865,189
-1269,-10654,7253,-53,-743,-186,1892855,190
-2170,-10464,7499,-1,-509,307,1902843,191
-1333,-9018,8147,-19,-200,595,1912832,192
-1347,-8167,8673,1,-42,815,1922810,193
-1159,-7571,8165,64,35,1114,1933036,194
-901,-7624,7880,84,127,1454,1943567,195
-1973,-7985,8095,88,134,1773,1952984,196
-3420,-8123,7746,108,76,2073,1962980,197
-3395,-7918,7309,134,12,2375,1972982,198
-2364,-7849,7501,170,-61,2706,1982987,199
-1944,-7662,7781,224,-145,3041,1992989,200
-2333,-6910,8146,274,-220,3338,2002990,201
-2565,-5874,8461,337,-272,3612,2013004,202
-2365,-4975,8485,418,-311,3873,2023009,203
-2569,-3929,8181,495,-330,4115,2033015,204
-3212,-2197,7514,547,-407,4353,2042775,205
-3563,-265,7198,575,-547,4535,2053018,206
-2899,999,7778,624,-642,4655,2062740,207
-1660,1813,8744,708,-592,4729,2073012,208
-348,2741,8825,800,-406,4755,2082746,209
334,4380,8585,895,-173,4773,2092757,210
337,6208,8296,973,59,4790,2103027,211
121,7870,8247,1020,275,4800,2112757,212
-1582,9988,8087,1037,491,4772,2122818,213
-3568,12443,8010,1004,659,4710,2132792,214
-4363,14250,8201,934,754,4654,2142978,215
-5192,15332,8118,827,800,4561,2152919,216
-6171,15684,9429,722,785,4417,2162923,217
-7513,15378,9976,648,802,4188,2172923,218
-10213,14426,10434,565,868,3879,2182927,219
-12894,12246,10709,498,963,3551,2192927,220
-14339,9762,9523,497,1087,3214,2202928,221
-15072,7938,8102,529,1180,2805,2212933,222
-16162,6337,7680,552,1288,2314,2222937,223
-17454,4615,7641,578,1401,1759,2232943,224
-18449,3388,7764,582,1409,1174,2242943,225
-19209,3008,8722,550,1331,590,2252939,226
-17985,2853,9772,526,1312,106,2262652,227
-16638,2175,9293,536,1331,-399,2272643,228
-15447,1862,8386,539,1342,-893,2282644,229
-13795,2084,8109,534,1268,-1259,2292647,230
-12384,2206,7477,534,1225,-1515,2302657,231
-8070,1475,6426,536,1138,-1678,2312661,232
3697,1364,3470,439,1215,-1683,2322662,233
4612,2581,9929,-205,2194,-179,2332662,234
-29811,10702,12696,-191,-1510,1390,2342664,235
21088,24161,19713,-231,-2216,-1567,2353722,236
-4797,9245,9013,223,-452,-4078,2362643,237
-11452,-3182,6069,665,244,-3130,2372802,238
-7482,-4632,7648,776,844,-1862,2382827,239
-3098,-1049,6579,574,908,-1824,2392574,240
-3334,-3059,6208,432,197,-1893,2402625,241
-3244,-3459,7412,470,-38,-1518,2412655,242
-1815,-1895,7296,462,154,-1248,2422675,243
1210,-2083,7682,372,96,-1121,2432782,244
2745,-3041,7876,353,86,-1047,2442821,245
2347,-2569,8266,365,140,-984,2452582,246
902,-2089,8935,357,120,-897,2462685,247
735,-2255,7583,408,34,-776,2472726,248
1377,-1314,4521,389,-124,-657,2482562,249
1765,-1170,6397,282,-233,-595,2492632,250
2029,-2838,7748,245,-219,-564,2502677,251
1137,-3066,8129,247,-295,-469,2512691,252
1321,-1510,8198,253,-398,-399,2522754,253
2298,-808,7113,267,-438,-384,2532524,254
3355,-1308,6425,238,-421,-387,2542555,255
3664,-2008,6745,200,-361,-410,2552641,256
3196,-1999,5961,188,-259,-438,2562685,257
2532,-1741,5398,151,-204,-442,2572736,258
1942,-1782,5756,110,-186,-432,2582524,259
1768,-2068,6376,76,-205,-421,2592554,260
1950,-2196,6795,66,-186,-412,2602636,261
2339,-1855,6982,75,-128,-408,2612689,262
2120,-1613,6794,84,-87,-418,2622763,263
1618,-1492,6498,82,-74,-429,2632546,264
1265,-1664,6274,72,-99,-432,2642639,265
1123,-1844,5934,63,-141,-422,2652696,266
1323,-1853,5834,39,-213,-424,2662531,267
1792,-1794,6156,19,-272,-437,2672569,268
1962,-1815,6219,17,-296,-466,2682672,269
2363,-1604,6481,17,-309,-513,2692439,270
2443,-1766,6680,25,-296,-576,2702538,271
2290,-1673,6719,39,-265,-637,2712592,272
1938,-1597,6394,51,-238,-698,2722403,273
1578,-1518,6483,57,-223,-750,2732479,274
1150,-1448,6540,59,-203,-794,2742554,275
907,-1237,6233,62,-191,-833,2752647,276
466,-1026,6243,56,-193,-864,2762874,277
121,-1060,6497,54,-198,-878,2772409,278
-90,-962,6326,52,-202,-892,2782498,279
-556,-841,5948,39,-222,-905,2792563,280
-646,-640,6122,20,-256,-909,2802382,281
-462,-521,5740,10,-288,-918,2812442,282
-489,-362,6283,-16,-324,-949,2822555,283
-497,-170,5877,-24,-367,-977,2832663,284
58,144,5884,-54,-413,-1032,2842449,285
325,162,5122,-75,-423,-1100,2852556,286
466,520,5354,-85,-383,-1151,2862642,287
-411,2113,7251,-88,-329,-1183,2872441,288
188,1451,4294,-85,-132,-1283,2882555,289
-1390,1298,5099,-81,-255,-1331,2892371,290
-1242,3230,6539,-63,-298,-1380,2902450,291
-223,2409,5962,-109,-343,-1404,2912565,292
-1107,3275,7653,-145,-341,-1367,2922408,293
-1185,3212,7014,-130,-286,-1486,2932500,294
-1650,3194,7795,-157,-338,-1504,2942595,295
-1401,3416,7318,-181,-343,-1534,2952440,296
-1765,3262,7878,-197,-365,-1595,2963209,297
-1411,3239,7794,-218,-393,-1643,2972465,298
-1107,3681,8102,-246,-425,-1684,2982389,299
-198,5169,8004,-312,-442,-1743,2992482,300
943,6565,6431,-399,-448,-1801,3002314,301
2371,6320,6660,-400,-471,-1894,3012440,302
3090,6177,6708,-408,-518,-2026,3022303,303
4226,6616,7009,-437,-599,-2145,3032442,304
4916,7099,5403,-436,-743,-2279,3042307,305
6302,7291,5824,-451,-922,-2424,3052442,306
7547,7554,4034,-418,-1257,-2497,3062304,307
8076,7498,2646,-375,-1740,-2480,3072398,308
8965,5928,1914,-306,-2151,-2369,3082497,309
10412,3699,1665,-223,-2349,-2198,3092331,310
8885,1204,2861,-190,-2194,-2058,3102470,311
2905,322,6514,-144,-1772,-2062,3112331,312
-1031,4476,8581,-56,-1227,-2569,3122472,313
-9431,6535,7378,-174,-715,-3710,3132321,314
-18811,5141,3966,-244,-119,-4269,3142465,315
-22947,4558,6647,-151,455,-3133,3152331,316
-10054,5163,6133,0,-1,-1363,3162473,317
-1271,583,5021,81,-673,-601,3172547,318
1177,-5396,5942,84,-1100,-337,3182438,319
1983,-9993,5411,120,-1285,-156,3192319,320
2124,-12210,6238,92,-1126,105,3202470,321
2620,-12728,7274,56,-829,366,3212335,322
1103,-11605,8363,54,-506,556,3222477,323
-314,-10156,8855,100,-233,812,3232340,324
-1389,-9156,8913,163,-61,1131,3242199,325
-2103,-8490,8968,192,33,1499,3252345,326
-2769,-8241,8770,182,83,1865,3262204,327
-3708,-8208,9079,169,54,2209,3272174,328
-3752,-7918,8414,159,-28,2565,3282351,329
-2983,-7773,8147,167,-147,2936,3292214,330
-1888,-7528,8517,183,-310,3313,3302362,331
-1345,-6960,8930,224,-419,3644,3312227,332
-1587,-5949,9417,281,-452,3902,3322370,333
-1672,-4643,9762,347,-437,4133,3332235,334
-2049,-3051,9229,400,-401,4353,3342383,335
-3107,-592,8636,411,-412,4545,3352243,336
-3426,1561,8984,393,-455,4700,3362392,337
-2230,2655,9113,408,-455,4823,3372950,338
-577,2964,9658,444,-313,4894,3382344,339
778,3863,9469,502,-73,4917,3392231,340
763,5480,9217,564,164,4928,3402383,341
459,7658,8447,620,415,4951,3412254,342
-1136,10183,8108,641,654,4948,3422153,343
-3782,12657,7329,639,842,4905,3432349,344
-5038,14938,6936,609,976,4891,3442247,345
-4610,15763,7014,585,1065,4870,3452123,346
-5226,16169,6404,593,1138,4717,3462321,347
-8535,16226,7146,605,1216,4420,3472230,348
-12661,15538,7053,578,1330,4099,3482346,349
-15831,13923,8780,429,1332,3745,3492243,350
-17152,11387,8224,424,1346,3388,3502128,351
-15545,9328,6985,487,1510,3030,3512069,352
-16521,7503,6211,537,1733,2465,3522254,353
-18210,5917,5932,565,1888,1855,3532187,354
-20586,4435,6199,544,1851,1226,3542109,355
-22881,2870,5890,530,1703,526,3552028,356
-23598,2173,6418,524,1485,-144,3562245,357
-21940,2537,7534,532,1331,-556,3572147,358
-17604,2081,6967,574,1269,-934,3582351,359
-14610,1295,7061,583,1247,-1401,3592268,360
-12914,1895,5514,673,1182,-1718,3602220,361
-7451,3189,6892,615,1243,-1820,3612144,362
4989,4863,14156,123,1819,-1671,3622123,363
