xac,yac,zac,xang,yang,zang,tempo,amostra
6838,-2845,7458,-23,62,-849,0,0
5712,-3099,6478,14,227,-881,8973,1
3893,-2906,5858,23,302,-904,18762,2
2234,-2311,5168,11,305,-913,28907,3
1298,-2154,3997,-25,174,-894,39049,4
1171,-2440,3918,-66,-40,-836,49046,5
1887,-2318,4257,-98,-239,-778,58763,6
3204,-2172,4658,-131,-362,-769,68918,7
3772,-2393,4980,-158,-368,-775,78751,8
3884,-2427,5479,-169,-286,-788,88907,9
3542,-2272,5766,-173,-185,-811,98804,10
3150,-1890,5758,-178,-83,-824,108969,11
2266,-1534,5852,-189,-44,-834,119112,12
1487,-1565,5759,-205,-67,-815,128937,13
1129,-1771,5732,-218,-139,-791,138772,14
1431,-2001,5669,-221,-213,-764,148928,15
1907,-1858,5661,-230,-265,-747,158768,16
2092,-1836,5501,-235,-285,-737,168696,17
2286,-1946,5708,-247,-288,-736,178829,18
2068,-2160,5858,-250,-263,-741,188980,19
1690,-2086,6108,-252,-228,-747,198687,20
1047,-2084,6417,-250,-199,-753,208817,21
889,-1967,6509,-244,-179,-753,218663,22
730,-1867,6504,-237,-154,-755,228811,23
483,-1899,6510,-233,-135,-750,238638,24
109,-1787,6222,-230,-115,-740,248794,25
-214,-1791,6274,-232,-105,-730,258957,26
-168,-1605,6326,-233,-101,-718,268895,27
-145,-1411,6395,-235,-106,-707,278729,28
-89,-1328,6654,-237,-94,-698,288899,29
-100,-1107,6704,-236,-89,-703,299270,30
-292,-969,6576,-239,-93,-704,308725,31
-212,-890,6566,-245,-110,-709,318881,32
-102,-1012,6567,-250,-122,-721,328724,33
-332,-1052,6480,-255,-133,-731,338886,34
-678,-1085,6683,-258,-131,-738,348740,35
-822,-1110,6395,-263,-141,-749,358598,36
-986,-900,6200,-273,-170,-759,368800,37
-730,-820,6378,-283,-192,-770,378656,38
-576,-704,6348,-292,-206,-792,388838,39
-805,-519,6631,-309,-199,-807,398687,40
-779,-536,6545,-326,-193,-832,408726,41
-1015,-391,6676,-342,-193,-864,418899,42
-1229,-126,6441,-362,-185,-892,428765,43
-1682,-114,6486,-385,-193,-913,438640,44
-1609,23,6499,-414,-205,-937,448829,45
-1394,255,6497,-443,-216,-975,458690,46
-1337,706,6676,-465,-201,-1011,468614,47
-1303,1110,7004,-482,-201,-1044,478821,48
-1687,1567,7727,-489,-190,-1093,488684,49
-1555,1560,6918,-499,-147,-1142,498865,50
-2343,1856,7603,-509,-200,-1175,509311,51
-2951,2230,7706,-539,-185,-1217,518850,52
