xac,yac,zac,xang,yang,zang,tempo,amostra
10034,-2926,12940,-356,-1128,-1113,1,0
9074,-1765,11483,-311,-489,-997,3757,1
2800,-1263,10433,-245,-183,-869,13913,2
-1090,874,10506,-173,-88,-753,23737,3
-430,1771,11221,-176,-248,-652,33899,4
648,785,12761,-245,-528,-607,43729,5
1618,-722,12883,-314,-652,-576,53648,6
2239,-1529,12334,-360,-686,-534,63793,7
2217,-1425,11432,-365,-645,-483,73936,8
3058,-350,10485,-312,-489,-394,83768,9
3257,520,10374,-272,-287,-306,94606,10
2836,230,10737,-217,-78,-230,103793,11
1140,-193,10682,-189,32,-182,113597,12
596,-339,10372,-169,41,-152,123751,13
546,-174,10533,-150,-5,-142,133649,14
686,143,10787,-138,-59,-133,143812,15
924,378,10713,-132,-122,-121,153634,16
1017,570,10617,-132,-175,-114,163800,17
1234,546,10769,-134,-191,-93,173623,18
1265,355,10451,-134,-145,-72,183871,19
828,194,10167,-125,-85,-70,193623,20
200,356,9941,-113,-45,-77,203837,21
4,542,10048,-102,-59,-95,213689,22
79,476,10465,-81,-106,-127,223562,23
329,456,10714,-67,-143,-167,233769,24
72,574,10549,-61,-152,-213,243618,25
56,658,10665,-66,-158,-264,253800,26
204,586,10885,-67,-161,-321,263637,27
304,391,10729,-60,-183,-384,273819,28
23,119,10931,-44,-208,-450,283661,29
-25,222,10647,-15,-216,-517,293503,30
190,331,10285,21,-210,-582,303851,31
288,588,10162,54,-188,-644,313715,32
416,716,10026,74,-171,-702,323602,33
610,621,10665,87,-180,-763,333805,34
981,523,11085,98,-209,-816,343981,35
1262,336,11322,107,-241,-869,353512,36
1346,236,11382,127,-216,-930,363703,37
1105,434,10938,131,-220,-992,373597,38
950,895,10543,114,-257,-1058,383575,39
1526,979,10517,98,-324,-1100,393683,40
2189,958,10723,88,-377,-1144,403477,41
2583,541,11034,77,-359,-1189,413596,42
2257,944,10292,78,-298,-1234,423712,43
2522,1213,10536,52,-302,-1259,433518,44
2853,937,10590,37,-367,-1278,443637,45
3598,651,10544,32,-409,-1292,453438,46
4280,838,10190,26,-427,-1291,463573,47
4542,663,10666,22,-386,-1289,473694,48
4920,503,10532,23,-348,-1270,483499,49
4922,259,10869,27,-304,-1255,493623,50
5124,411,10607,29,-276,-1235,504098,51
5511,896,10541,26,-280,-1211,513425,52
6475,719,11008,27,-284,-1163,523560,53
6605,470,11204,38,-246,-1094,533694,54
6806,175,11208,43,-219,-1025,543512,55
7157,-103,11425,59,-205,-945,553653,56
7442,-98,11347,72,-167,-860,563470,57
7381,-4,11337,88,-138,-763,573603,58
7391,155,11318,107,-90,-676,583401,59
7459,103,11369,129,-78,-585,593687,60
7566,27,11335,153,-69,-487,603407,61
7581,-5,11032,180,-50,-393,613523,62
7626,-400,11164,217,-36,-294,623338,63
7161,-227,10793,260,0,-212,633314,64
6683,-63,10771,293,2,-141,643476,65
6912,-119,10939,320,0,-83,653626,66
6887,-257,11246,345,13,-35,663442,67
6573,52,11370,367,36,6,673585,68
6340,236,11663,374,51,34,683390,69
6430,150,11880,377,71,53,693531,70
6153,524,11888,370,124,60,703423,71
6140,565,12024,359,165,58,713304,72
6056,594,12276,348,207,50,723476,73
6086,779,12202,336,262,33,733305,74
6053,805,12347,324,304,12,743480,75
6278,738,12486,325,359,-7,753306,76
6832,664,12949,327,417,-37,763483,77
5628,858,12665,346,444,-62,773306,78
5704,944,12344,359,533,-85,783487,79
5670,554,12771,382,532,-121,793316,80
5787,519,12463,424,542,-152,803512,81
6038,710,11859,456,557,-188,813419,82
6603,263,11981,492,580,-208,823314,83
6584,-299,12198,531,645,-229,833496,84
5876,-2301,12315,582,697,-260,843349,85
4545,-5235,12296,663,592,-301,853534,86
5279,-6080,12837,727,388,-346,863381,87
7413,-5041,13861,767,174,-383,873233,88
8256,-4413,15394,773,172,-413,883450,89
6003,-5375,13290,770,282,-448,893307,90
6558,-6805,11964,717,487,-469,903509,91
8167,-9348,11386,660,527,-518,913937,92
8031,-10904,10843,614,747,-522,923373,93
7426,-10993,8875,582,1074,-483,933233,94
4787,-10489,5752,490,1200,-475,943403,95
4790,-10948,10620,406,1103,-428,953588,96
4779,-9044,9144,634,1191,-522,963435,97
2998,-5632,5235,706,1249,-631,973296,98
5112,-2525,1736,628,1177,-691,983498,99
3320,-1236,4764,563,1141,-657,993364,100
7992,2332,4535,419,1357,-625,1003328,101
8366,890,5399,285,1288,-719,1013208,102
2381,-563,8548,181,1052,-611,1023786,103
-512,-361,6887,84,665,-595,1033337,104
-2966,467,5732,-116,-380,-703,1043211,105
1436,839,7329,-283,-992,-766,1053403,106
4668,660,8946,-343,-1236,-775,1063288,107
2904,1341,9380,-416,-1338,-713,1073589,108
1474,2153,10310,-494,-1390,-635,1083338,109
2434,3884,8380,-561,-1491,-589,1093221,110
401,4787,10201,-611,-1549,-448,1103178,111
2750,4723,10047,-677,-1502,-332,1113394,112
1634,3837,11146,-680,-1428,-198,1123286,113
-12,5116,10114,-713,-1231,-29,1133616,114
-433,4985,10032,-750,-1271,53,1143397,115
-409,4289,9329,-779,-1387,137,1153353,116
-689,3856,9195,-839,-1483,229,1163273,117
-281,3806,7610,-896,-1545,317,1173167,118
831,3448,7933,-974,-1622,383,1183428,119
2083,2795,9086,-1004,-1509,465,1193362,120
2036,2077,10429,-998,-1295,589,1203360,121
1309,1501,11880,-966,-1044,735,1213269,122
265,718,13192,-920,-822,876,1223253,123
507,327,14168,-887,-693,990,1233138,124
-546,-135,14908,-835,-629,1103,1243370,125
-961,82,14601,-842,-661,1208,1253273,126
-494,-260,13977,-871,-810,1283,1263177,127
-878,-773,14906,-916,-955,1345,1273096,128
-1277,-40,13914,-953,-1056,1477,1283334,129
-441,-1431,14494,-1003,-1054,1584,1293250,130
1137,-1894,14517,-1025,-1035,1698,1303185,131
2574,-2254,14610,-1060,-935,1810,1313105,132
3558,-2935,14546,-1097,-743,1915,1323988,133
4845,-3754,14120,-1140,-502,2002,1333257,134
7666,-4709,13441,-1200,-233,2029,1343176,135
9865,-6299,14373,-1277,82,2001,1353098,136
9795,-6754,16255,-1312,612,2029,1363360,137
10175,-5703,17723,-1327,1213,2023,1373283,138
7940,-6104,21001,-1300,1679,2009,1383247,139
4117,-3240,20289,-1285,1872,2035,1393182,140
1328,-2223,21737,-1345,1939,2062,1403196,141
-329,-1972,22405,-1346,1900,2077,1413140,142
-265,-1872,22397,-1376,1729,2087,1423075,143
233,-3585,24210,-1362,1544,2103,1433007,144
-86,-4206,24744,-1276,1418,2164,1443281,145
-8,-4424,25224,-1172,1331,2229,1453203,146
678,-5099,25226,-1010,1296,2291,1463156,147
2086,-5245,25228,-826,1263,2361,1473103,148
3496,-5382,25227,-633,1268,2410,1483051,149
4328,-5178,25223,-424,1292,2431,1493004,150
5244,-4424,25216,-233,1255,2420,1502983,151
6438,-4493,25205,-74,1144,2366,1513268,152
6564,-4962,24840,88,965,2298,1523196,153
6806,-4809,24820,260,772,2222,1533649,154
8832,-4552,23326,430,623,2118,1543286,155
9323,-4865,23213,618,521,1997,1553223,156
10420,-3723,22340,793,426,1854,1563171,157
11099,-3176,21283,965,333,1709,1573129,158
10727,-2454,19742,1093,260,1562,1583095,159
9389,-2203,19060,1213,194,1411,1593049,160
9649,-541,16338,1312,23,1247,1603095,161
10218,555,15880,1348,-229,1074,1613048,162
10655,517,15571,1416,-408,906,1623025,163
10075,739,14832,1475,-550,758,1633011,164
9288,1710,12908,1516,-617,644,1642979,165
8145,2507,11779,1529,-625,555,1652961,166
7419,3264,10532,1547,-614,481,1662947,167
6239,3929,9184,1539,-652,408,1673234,168
4899,4743,7290,1512,-740,362,1683200,169
4393,5381,5623,1462,-873,337,1693177,170
4602,5473,4211,1397,-945,317,1702920,171
4822,5339,2512,1326,-935,302,1713219,172
4736,5390,691,1228,-794,309,1723201,173
5436,5808,-2299,1081,-542,333,1733423,174
