xac,yac,zac,xang,yang,zang,tempo,amostra
-8728,974,9529,218,2253,-670,1,0
-15373,2330,10069,91,1577,-606,8349,1
-14962,2179,10781,27,612,-634,19205,2
-9968,1781,10403,-47,-427,-769,28396,3
-5238,2189,9893,-113,-1061,-899,38316,4
-749,3155,8699,-89,-1094,-883,48478,5
2845,3642,8345,-25,-596,-789,58318,6
3192,2988,8081,39,103,-716,68495,7
719,2179,8171,93,669,-656,78331,8
-2077,2162,8013,135,959,-644,88490,9
-4303,2297,8412,136,966,-647,98293,10
-5203,2634,8765,113,847,-598,108489,11
-4825,2817,8721,88,509,-563,118330,12
-4687,2489,8722,45,178,-601,128499,13
-3866,2193,8287,39,-32,-616,138384,14
-2426,2362,7856,57,-69,-612,148299,15
-661,2186,7789,85,2,-579,158482,16
244,2127,8236,117,171,-554,168336,17
-492,2080,8492,131,378,-568,178511,18
-2026,2032,8895,135,491,-587,188353,19
-3229,2141,9396,129,473,-594,198788,20
-2921,2166,9664,124,350,-590,208316,21
-2655,1954,9648,112,214,-656,218498,22
-2227,1661,9165,112,117,-706,228349,23
-1531,1830,8343,107,62,-729,238547,24
-1283,1981,7850,70,31,-751,248441,25
-1031,1624,8958,67,34,-768,258337,26
-282,1885,8266,87,80,-781,268582,27
72,1754,8490,88,104,-787,278486,28
121,1722,8609,84,131,-791,288351,29
34,1646,8857,81,152,-784,298234,30
119,1485,9116,76,147,-759,308389,31
489,1486,9106,74,137,-741,318313,32
720,1525,8885,69,126,-731,328191,33
969,1633,9139,58,118,-720,338407,34
1442,1558,9006,59,125,-706,348324,35
1341,1506,8954,55,125,-705,358199,36
867,1402,8539,58,126,-708,368399,37
639,1515,8327,60,108,-702,378330,38
537,1527,8508,55,66,-701,388206,39
489,1405,8403,51,9,-706,398431,40
1159,1360,8655,50,-48,-694,408783,41
1971,1236,8798,47,-79,-692,418355,42
2181,1097,8594,57,-63,-698,428242,43
1829,952,8187,62,-47,-704,438586,44
1056,695,8275,58,-66,-716,448187,45
1254,-517,8268,56,-120,-679,458383,46
4452,-128,9699,37,-64,-612,468329,47
3554,142,9925,49,-99,-667,478215,48
2910,-759,9647,44,58,-647,488128,49
3048,-1343,10100,40,185,-663,498365,50
2156,-1480,9983,56,290,-743,508189,51
1468,-1495,8978,87,404,-831,518254,52
1283,-882,9879,101,523,-959,528023,53
-865,-540,9125,166,663,-1140,538157,54
-834,-488,8352,209,686,-1296,548257,55
493,-1427,8564,264,616,-1461,558025,56
1743,-2017,7846,319,669,-1631,568130,57
2028,-2468,6763,314,725,-1799,578252,58
2524,-3693,7560,285,776,-1937,588017,59
3689,-6739,10591,298,856,-2040,598126,60
3010,-13351,3805,525,824,-2193,608302,61
1806,-17016,3333,399,706,-2433,618042,62
1322,-14911,12565,223,1167,-2469,628138,63
5310,-16935,13390,389,1853,-2407,638025,64
429,-23915,10826,505,2059,-2903,648139,65
-9643,-29993,11072,565,2109,-3382,657972,66
-14476,-30645,12153,688,2183,-3275,668060,67
-15133,-26652,6573,814,2208,-3057,678155,68
-16841,-22528,10847,833,1690,-2808,687993,69
-13076,-14364,6088,1073,1242,-2662,698130,70
3763,-9069,-3271,1096,424,-2744,707981,71
18147,-1420,-13952,967,-2534,-3232,718058,72
18027,-239,1582,460,-3420,-3594,728161,73
17667,-1910,8456,397,-1956,-3247,738042,74
25135,-2110,3983,429,-609,-2633,748160,75
21926,-4591,1224,472,62,-2455,758010,76
15827,-7220,4871,392,879,-1953,768282,77
13703,-8068,12546,513,1780,-1672,778141,78
14950,-5995,3228,762,2454,-1667,788000,79
12048,-1762,10296,774,1687,-1722,798140,80
9682,2799,12136,916,1558,-1464,807998,81
12173,6558,6494,880,1412,-1097,818669,82
10816,6398,8668,720,896,-888,827897,83
8929,8224,9796,507,905,-627,838048,84
12113,10698,12855,544,809,-392,848165,85
13169,12846,12374,597,399,-304,858013,86
12670,14215,12874,426,-103,-214,867870,87
11382,15145,12361,243,-473,-47,878014,88
10182,14969,12996,174,-702,162,887872,89
9676,14043,13529,175,-773,368,898015,90
10311,13547,13893,194,-791,523,907880,91
11852,13908,12069,201,-928,652,918100,92
13732,15097,10470,149,-1180,769,927890,93
12784,15534,12658,111,-1250,844,938078,94
11316,16903,10665,134,-1040,962,947901,95
10142,18330,8792,73,-915,1094,958033,96
7919,18303,10030,12,-863,1194,967888,97
6377,18029,12147,10,-589,1302,978042,98
6940,19279,11579,82,-349,1426,987898,99
7138,21037,9741,57,-341,1494,998042,100
4832,21324,11023,-23,-294,1558,1007905,101
1741,21270,11531,-28,-109,1659,1018131,102
-251,20935,11858,-32,34,1775,1028051,103
-981,20266,11865,-46,3,1869,1037914,104
-1353,19372,12467,-74,-143,1926,1048046,105
-1120,18530,13068,-95,-253,1971,1057914,106
-1701,17864,13415,-89,-437,1995,1068053,107
-2054,17700,14000,-97,-545,2035,1077857,108
