xac,yac,zac,xang,yang,zang,tempo,amostra
-3078,735,6241,-330,-134,-389,1,0
-3464,670,6017,-348,-118,-429,6528,1
-3731,964,6066,-379,-129,-467,16365,2
-4146,1342,6066,-414,-201,-503,26497,3
-4678,1438,6103,-445,-294,-537,36353,4
-4646,1472,6376,-484,-367,-551,46513,5
-3806,2156,6092,-565,-426,-568,56303,6
-2543,3021,4240,-653,-492,-617,66450,7
-2554,3519,3211,-714,-558,-730,76307,8
-2111,3276,3983,-758,-584,-814,86517,9
-2021,4326,5495,-839,-563,-911,96392,10
-2998,5846,9639,-1014,-509,-1096,106523,11
-2925,2904,3422,-912,-191,-1220,116381,12
-1810,5717,4858,-978,-384,-1251,126518,13
-3426,8523,4989,-1032,-564,-1359,136374,14
-4208,9521,6137,-1093,-632,-1590,146586,15
-5024,8855,5609,-1113,-635,-1795,156435,16
-2931,9896,4574,-1133,-754,-1858,166279,17
1048,13395,4702,-1218,-1083,-1881,176398,18
3619,15604,6130,-1301,-1288,-2076,186871,19
5249,16632,5623,-1384,-1249,-2218,196389,20
6846,15520,4741,-1471,-993,-2287,206245,21
8218,13517,4875,-1563,-834,-2265,216393,22
8147,12356,6984,-1624,-759,-2058,226380,23
10633,10638,7282,-1593,-311,-1978,236447,24
3043,10349,9706,-1492,567,-1762,246330,25
1568,8079,9425,-1337,1338,-1944,256213,26
-6020,5772,8048,-1266,2197,-2788,266388,27
-13219,5188,7915,-1274,2630,-3309,276400,28
-22061,7575,9399,-1359,2849,-3459,286258,29
-31730,8327,8584,-1378,2928,-3377,296437,30
-32058,6495,8977,-1368,2819,-2998,306330,31
-31796,4794,11897,-1255,2191,-2362,316230,32
-31613,5297,10245,-1097,633,-1814,326399,33
-24839,5739,9634,-1043,-421,-1500,336269,34
-22387,3300,11368,-1089,-926,-1471,346424,35
-19691,1847,13416,-1133,-1080,-1350,356289,36
-17237,-13,16034,-1153,-950,-1187,366151,37
-15862,-2240,16524,-1019,-699,-1062,376345,38
-15176,-3759,16343,-929,-280,-1011,386252,39
-14921,-5356,16487,-980,87,-977,396937,40
-15700,-6743,17050,-1022,441,-982,406265,41
-16409,-7984,16251,-966,843,-952,416134,42
-15968,-9016,15371,-885,1201,-826,426293,43
-14752,-9974,14308,-807,1359,-668,436196,44
-13774,-11057,13407,-734,1347,-564,446397,45
-13068,-12072,12688,-655,1282,-494,456282,46
-12360,-13077,12224,-574,1209,-408,466158,47
-11463,-13801,11801,-505,1160,-312,476111,48
-10725,-14325,11295,-435,1141,-236,486287,49
-10202,-14491,10445,-361,1111,-154,496232,50
-10188,-13827,10777,-354,1019,-66,506115,51
-9898,-15158,11731,-391,952,51,516297,52
-8772,-16280,11929,-352,827,280,526212,53
-7714,-15912,11453,-291,634,477,536136,54
-6999,-14969,10714,-252,510,575,546317,55
-6546,-14601,10312,-227,438,657,556251,56
-6257,-14918,9756,-195,329,750,566152,57
-6245,-15407,9893,-166,200,860,576085,58
-5843,-15616,9679,-138,32,968,586292,59
-5158,-15286,9772,-112,-176,1061,596844,60
-4291,-14836,9939,-72,-370,1138,606164,61
-3425,-14444,9857,-7,-517,1208,616095,62
-2882,-14068,9879,44,-622,1278,626009,63
-2505,-13620,10288,80,-698,1353,636216,64
-2355,-13098,10752,116,-753,1423,646155,65
-2589,-12496,11278,158,-778,1479,656101,66
-2764,-12080,11363,202,-779,1525,666024,67
-2842,-11528,11980,226,-770,1581,675986,68
-2829,-10466,12178,259,-750,1625,686181,69
-3555,-9363,12117,300,-714,1627,696139,70
-4345,-8569,12146,336,-667,1605,706157,71
-5099,-8129,12371,377,-624,1608,716097,72
-6083,-7740,12552,434,-605,1602,726086,73
-7051,-7137,12377,483,-591,1597,736020,74
-7655,-6146,12201,508,-602,1609,745977,75
-7678,-5364,12954,505,-629,1640,756191,76
-7681,-4791,13557,532,-655,1691,766153,77
-8225,-3555,13218,580,-644,1690,776093,78
-9381,-2591,12466,607,-604,1641,786047,79
-9927,-2171,12264,635,-589,1619,796003,80
-10266,-1765,11701,676,-638,1628,806676,81
-10373,-1230,11800,687,-766,1653,816048,82
-10396,-604,12076,700,-919,1640,826021,83
-10448,-348,12309,709,-1059,1591,835985,84
-9762,-181,12554,724,-1186,1601,846212,85
-8671,161,13038,755,-1268,1659,856183,86
-7977,703,13269,787,-1303,1698,866158,87
-7902,1010,13025,821,-1288,1675,876112,88
-7486,849,13143,838,-1230,1658,886059,89
-6013,690,13614,841,-1157,1696,896035,90
-4193,937,14161,817,-1070,1725,906034,91
-2575,974,14613,804,-954,1732,916022,92
-1525,751,14997,803,-770,1713,926001,93
-903,283,15190,812,-481,1682,935978,94
-424,124,14941,827,-93,1661,945934,95
268,-1296,14133,864,323,1644,955909,96
-953,-1886,16360,882,597,1684,965908,97
645,-790,11603,859,1103,1490,975905,98
-130,881,10917,894,944,1687,985903,99
-3136,1249,11696,876,1082,1796,995900,100
-3398,987,11337,834,1113,1817,1006512,101
-3741,1773,10022,828,1094,1971,1016125,102
-1954,1397,10225,863,901,2130,1026095,103
-2437,1290,10140,880,817,2130,1035939,104
-924,1951,10068,881,674,2283,1045879,105
-2865,4504,10725,828,504,2145,1056057,106
-5986,8115,12165,935,584,2639,1066004,107
1097,5184,10127,935,973,2873,1075911,108
1303,4973,9975,937,929,2414,1085861,109
2990,6981,8364,1008,856,2293,1096044,110
1917,8136,7167,1074,927,2138,1105997,111
2234,7866,5663,1100,1079,1985,1115922,112
799,8328,5621,1075,1198,1789,1125891,113
-1629,9609,5711,918,1173,1524,1135796,114
-1930,10815,6444,732,1078,1375,1146035,115
-528,7840,7955,620,1031,1430,1155942,116
-3775,5541,6523,565,1192,938,1165901,117
-4263,3983,7012,406,661,718,1175886,118
-5736,2138,5437,280,439,467,1185796,119
-6225,-364,457,442,347,260,1196043,120
-4118,5702,-6251,523,227,198,1206016,121
3125,8047,-5211,74,-248,576,1216299,122
14122,9485,3677,-558,-1853,1386,1226651,123
17031,13170,12526,-358,-3268,1284,1235768,124
8594,15597,15459,-354,-3432,-55,1245910,125
-3305,1315,14428,-185,-2610,-1913,1255902,126
-8230,-7491,13744,38,-1297,-2229,1265902,127
-2484,-9746,11011,125,-320,-1095,1276002,128
3371,-9052,7956,242,44,-150,1285935,129
6823,-5383,5512,224,-35,119,1295910,130
6029,-2506,4019,37,30,-231,1305903,131
3218,-1773,5208,-109,359,-730,1315944,132
929,-1980,6523,-89,789,-932,1325744,133
-847,-2179,6431,-40,1003,-746,1335964,134
-1912,-2867,6344,9,891,-441,1345932,135
-3763,-2945,5636,67,643,-297,1355920,136
-5443,-2903,5167,46,279,-251,1365917,137
-3588,-3470,6875,21,-143,-103,1375913,138
-1297,-3578,7832,52,-465,11,1385915,139
1701,-3359,7939,72,-554,41,1395919,140
4973,-2997,8267,74,-420,-10,1405925,141
7146,-1881,9122,87,-164,-120,1416162,142
7611,-781,8366,104,209,-249,1425911,143
5198,-298,7075,102,512,-404,1435921,144
2341,-1094,6645,83,671,-533,1445938,145
-378,-1671,6233,45,652,-642,1455939,146
-1390,-1810,6715,1,504,-591,1465932,147
-1876,-1803,6029,-29,350,-553,1475964,148
-1067,-1286,5353,-72,175,-443,1485946,149
