xac,yac,zac,xang,yang,zang,tempo,amostra
25,1039,8157,137,391,-899,1,0
-1498,1517,7042,157,513,-832,9679,1
-2239,2159,6225,178,480,-791,19506,2
-2245,2180,6075,176,342,-777,29680,3
-1854,2092,6152,207,205,-754,39526,4
-794,1833,6451,240,134,-699,49864,5
31,1237,7273,262,128,-645,59685,6
-164,759,7576,279,187,-593,69514,7
-151,794,7823,286,249,-534,79680,8
-447,880,7668,279,285,-486,89510,9
-642,1164,7512,269,275,-450,99694,10
-596,1306,7618,249,249,-430,109556,11
-284,1109,7666,227,220,-402,119373,12
-176,1174,7218,222,207,-388,129524,13
88,1262,7217,218,240,-369,139415,14
79,1206,7388,223,286,-349,149594,15
-492,1138,7319,222,302,-348,159430,16
-378,1010,7238,222,312,-357,169296,17
-3,764,7325,233,312,-373,179506,18
-89,729,7695,243,309,-391,189351,19
-351,890,7525,260,323,-421,199394,20
-236,856,7587,279,288,-454,209545,21
-1,570,7585,295,255,-487,219383,22
146,473,7492,319,231,-524,230900,23
514,400,7637,338,225,-552,239250,24
721,312,7970,356,214,-580,249239,25
1080,408,7840,375,227,-603,259233,26
1242,146,8045,400,262,-621,269233,27
1125,227,7688,436,312,-651,279231,28
1228,137,7742,470,337,-692,289384,29
212,-115,7815,494,325,-796,299967,30
514,358,8417,518,280,-774,309135,31
1491,-362,9445,530,257,-787,319189,32
2097,-1182,9485,552,282,-797,329218,33
2035,-1185,9026,593,331,-865,339261,34
1622,-1386,9046,625,343,-924,349255,35
1623,-1514,9341,660,328,-974,359256,36
1804,-1473,9559,697,312,-1010,369256,37
2066,-1437,9911,743,328,-1065,379266,38
1651,-2307,10159,806,376,-1128,389267,39
1619,-2976,10197,900,394,-1185,399268,40
1625,-3731,9807,995,382,-1282,409921,41
1742,-3696,8778,1064,375,-1393,419103,42
1426,-3890,8454,1103,385,-1513,429121,43
1691,-5179,9351,1107,439,-1612,439167,44
492,-11338,9960,1149,470,-1683,449227,45
-66,-16044,5253,1279,439,-1807,459256,46
592,-17081,5063,1254,469,-2020,469194,47
1000,-20919,7156,1240,638,-2189,479250,48
-985,-23218,8568,1261,909,-2264,489281,49
-4655,-21147,7987,1273,1343,-2300,499062,50
-9712,-16959,5719,1215,1494,-2305,509267,51
-12532,-12234,3142,1050,1242,-2228,519078,52
-9215,-8627,2715,826,798,-2215,529123,53
119,-5635,6115,678,257,-2257,539188,54
8593,-5403,6819,700,-225,-2492,549255,55
10476,-5315,4839,752,-592,-2586,559012,56
6463,-3990,5019,705,-497,-2382,569086,57
6064,-1677,4579,708,-240,-2006,579131,58
6283,2227,2459,654,-166,-1745,589191,59
3357,4305,5468,529,-111,-1553,599257,60
3165,7433,7714,502,172,-1249,609041,61
2240,10394,5528,457,560,-978,619116,62
