xac,yac,zac,xang,yang,zang,tempo,amostra
1634,1678,4459,219,-31,-925,1,0
1951,1277,4547,247,23,-823,7017,1
2401,1038,4961,274,125,-718,17140,2
1388,813,5636,304,203,-627,26962,3
577,915,6218,310,207,-569,37113,4
386,639,5856,263,137,-536,46945,5
1166,647,5469,210,55,-509,56980,6
1811,903,5773,168,55,-463,67125,7
2076,723,5925,141,117,-400,76958,8
1899,494,5918,120,196,-344,87119,9
1276,621,5603,108,253,-309,96947,10
1408,589,5755,91,288,-292,107163,11
1345,370,5754,79,312,-293,116988,12
1107,544,5595,72,333,-297,127140,13
946,666,5704,62,335,-321,136972,14
1231,624,5718,57,319,-354,147131,15
1291,316,5799,51,302,-380,156973,16
1668,92,5095,70,297,-396,167132,17
1705,121,4951,84,301,-409,176979,18
1753,-29,4795,113,314,-426,187137,19
1849,-242,5230,134,312,-436,197367,20
2150,-383,5256,157,326,-452,207160,21
2169,-683,5436,176,341,-472,216999,22
2242,-889,5520,193,371,-497,226844,23
2173,-1187,5922,213,410,-521,237004,24
1952,-1310,5675,247,434,-535,246846,25
1760,-1742,5433,285,459,-599,256893,26
2057,-1564,5535,316,458,-615,267055,27
2453,-2005,5794,353,481,-628,276897,28
1885,-2210,5542,408,515,-685,287062,29
1996,-2111,5062,470,542,-755,296913,30
1902,-2220,5465,529,576,-848,307014,31
1733,-2518,5716,602,599,-934,316861,32
1270,-2652,6016,672,592,-1024,327030,33
1009,-2883,6362,742,558,-1114,336887,34
1055,-2958,6276,809,489,-1226,347051,35
1121,-3101,6266,881,421,-1336,356905,36
1263,-3405,5746,939,321,-1447,366769,37
1760,-4179,5381,979,227,-1548,376989,38
2716,-5143,5672,1011,173,-1637,386854,39
3245,-5816,5526,1041,208,-1682,397037,40
2984,-6309,5709,1063,290,-1749,407745,41
3093,-6569,5433,1069,382,-1816,416973,42
2619,-7275,6242,1070,492,-1893,426856,43
889,-9389,5664,1091,596,-1961,437043,44
290,-9379,4361,1102,663,-2029,446905,45
-146,-10110,3936,1062,775,-2140,456736,46
-1822,-12074,3165,1051,922,-2225,466876,47
-3402,-13559,1273,1034,1122,-2314,477016,48
-6456,-16044,-1900,1035,1381,-2335,486832,49
-10012,-18678,-5870,1018,1745,-2288,496960,50
-6847,-16791,-5650,954,1944,-2285,506720,51
2973,-14769,-1214,864,1541,-2467,516807,52
12507,-13442,2201,781,611,-2889,527018,53
6460,-11149,901,645,-70,-3060,536834,54
4409,-6753,3999,562,123,-2772,546962,55
5911,-3621,4251,667,429,-2478,556762,56
2950,-2388,5153,709,544,-2152,566895,57
-1476,-1879,5888,683,593,-1773,576704,58
-2139,1239,5602,647,616,-1426,586845,59
-1207,7359,3909,526,647,-1114,596648,60
-1586,13041,4811,378,755,-761,607015,61
559,12514,7486,249,1043,-320,616720,62
6600,5612,9501,112,1083,-112,626876,63
6917,7472,6411,13,743,-57,636696,64
1824,9310,6925,-161,233,283,646845,65
422,9647,6448,-291,-110,717,656653,66
2038,10846,6445,-468,-272,984,666784,67
3207,11948,7329,-624,-295,1177,676605,68
3584,12359,7580,-715,-225,1389,686749,69
2908,13195,6422,-795,-169,1614,696581,70
2574,13742,3474,-949,-115,1836,706746,71
