xac,yac,zac,xang,yang,zang,tempo,amostra
2346,-399,7060,479,1745,-591,1,0
2697,-469,6928,438,1675,-569,10998,1
3222,-832,7102,384,1653,-545,20829,2
3646,-1050,6909,352,1660,-519,30705,3
3792,-1185,7129,314,1701,-481,40853,4
3581,-889,7277,291,1720,-447,50900,5
2976,-404,7296,266,1727,-420,61034,6
2446,216,7379,229,1708,-380,70840,7
2170,742,7378,185,1639,-353,81001,8
3088,491,8337,135,1565,-338,90834,9
2946,876,7671,130,1495,-343,101444,10
1285,939,8472,64,1344,-313,110988,11
-1255,1412,8192,47,1263,-214,120834,12
-1588,2237,8624,-17,1143,-55,130719,13
-380,2133,9548,-88,1022,75,140885,14
-1469,2320,9106,-110,936,154,150702,15
-4298,3412,8880,-129,924,311,160867,16
-9501,4174,8449,-161,1213,551,170698,17
-13550,6302,3215,-269,1669,996,180859,18
-4382,3025,6745,-645,2163,1533,190696,19
12667,-4007,9990,-800,2128,1488,201800,20
23840,-6967,8846,-899,1096,656,210685,21
9454,-6948,15953,-760,-41,190,220868,22
-906,-3730,19123,-778,195,437,230733,23
441,-717,13903,-604,932,531,240925,24
6648,-1945,14509,-620,864,657,250787,25
8130,-2947,13031,-662,171,519,260724,26
3829,-3335,11386,-661,-75,311,270914,27
4336,-2837,11192,-695,-21,381,280780,28
5620,-2759,11512,-735,-27,412,290682,29
5338,-4087,15783,-689,-1,555,300582,30
6460,-4129,15521,-688,68,512,310714,31
5477,-3290,15041,-697,-91,387,320569,32
4696,-1872,14503,-741,-177,277,330777,33
5781,-906,13784,-779,-159,240,340687,34
7042,-444,13632,-810,-131,229,350886,35
7406,346,13160,-808,-140,205,360730,36
6776,729,10928,-812,-118,207,370598,37
6576,913,9926,-835,-105,249,380840,38
6060,381,9453,-833,-127,267,390714,39
6017,-340,9252,-825,-184,289,401099,40
5751,-863,8887,-807,-215,311,410776,41
5345,-1543,9272,-777,-168,353,420686,42
5698,-2163,9772,-743,-128,397,430585,43
6165,-2378,10145,-702,-142,442,440795,44
6643,-1841,10354,-662,-149,450,450512,45
6257,-1262,10426,-635,-90,496,460564,46
6450,-1060,9603,-582,-41,541,470594,47
5706,-771,9061,-534,-4,561,480627,48
4666,-831,8170,-479,21,579,490413,49
4200,-619,7793,-423,23,572,500628,50
3702,-521,8036,-363,21,543,510767,51
4207,-471,8556,-305,39,545,520549,52
4146,-569,8997,-246,96,482,530608,53
3187,-382,8886,-199,120,437,540400,54
2431,-37,8983,-173,107,366,550447,55
2885,519,8996,-165,82,304,560475,56
2839,522,8694,-154,61,227,570568,57
2865,543,8637,-143,39,170,580602,58
2993,354,8665,-133,46,134,590384,59
3718,158,8914,-119,58,108,600448,60
3878,109,9062,-103,55,77,612786,61
3626,181,9058,-91,44,51,620584,62
3499,-4,9012,-89,32,29,630342,63
3829,21,9209,-91,12,15,640415,64
3789,-31,8867,-93,-9,-9,650460,65
3812,83,9053,-95,-34,-14,660528,66
4013,167,8946,-95,-48,-20,670315,67
3937,-206,8973,-95,-61,-19,680388,68
4358,-185,9150,-101,-65,-4,690459,69
4140,-146,9233,-100,-71,-3,700265,70
4026,-103,9189,-102,-78,4,710369,71
4244,-131,9032,-105,-88,12,720347,72
3843,-194,8870,-110,-98,17,730488,73
3796,-79,8802,-112,-92,27,740311,74
3916,-22,8849,-114,-85,26,750379,75
3444,54,8620,-118,-75,35,760463,76
3596,-1,8566,-125,-45,36,770294,77
3729,37,8788,-128,-34,40,780350,78
3477,71,8517,-126,-22,37,790454,79
3533,58,8637,-123,8,40,800260,80
3372,209,8998,-127,19,40,810716,81
3446,408,8854,-137,18,24,820357,82
2985,490,8603,-157,-16,12,830213,83
2833,537,8376,-174,-72,-9,840323,84
2436,485,8251,-195,-115,-29,850432,85
2441,442,7858,-206,-140,-41,860218,86
3431,32,8171,-210,-135,-30,870338,87
3642,-440,7221,-189,-167,-35,880170,88
2662,-193,7134,-153,-191,-56,890270,89
2395,53,7433,-124,-187,-73,900357,90
3219,255,7851,-101,-143,-69,910192,91
3810,203,8285,-86,-97,-52,920324,92
3495,120,8064,-74,-60,-39,930260,93
3054,296,8212,-70,-59,-37,940362,94
3311,193,7728,-60,-80,-38,950334,95
3432,98,7393,-44,-83,-43,960179,96
3090,291,7274,-20,-61,-34,970295,97
3109,697,7449,-1,-2,-13,980376,98
3308,678,7467,19,61,18,990203,99
3054,595,7696,37,97,35,1000358,100
2747,672,8116,48,100,38,1010200,101
2540,624,8301,41,82,30,1020911,102
2793,325,8282,27,73,8,1030095,103
2918,9,8276,17,71,-10,1040209,104
2858,17,8234,13,81,-22,1050345,105
2961,300,8335,9,102,-25,1060199,106
2663,678,8823,0,137,-23,1070341,107
2996,518,8043,-13,140,-18,1080230,108
2544,184,7421,-20,88,-47,1090363,109
2146,133,7029,-15,52,-61,1100210,110
3062,-72,7015,3,62,-49,1110354,111
3726,-71,7117,33,77,-31,1120363,112
3604,152,7136,62,119,9,1130262,113
3326,264,7061,86,148,37,1140083,114
3064,449,6993,99,159,62,1150220,115
3201,614,7104,110,174,89,1160074,116
3452,459,7221,124,200,126,1170234,117
3358,374,7137,143,229,161,1180084,118
3124,119,7430,157,249,185,1190239,119
2958,-28,7352,172,251,198,1200218,120
2496,-124,7641,189,244,209,1210083,121
2337,-26,7697,196,243,205,1220243,122
2314,132,7750,198,214,194,1230000,123
2229,360,7636,200,157,172,1240111,124
1881,648,7371,203,137,137,1249956,125
1624,712,7360,201,128,121,1260096,126
1738,562,7538,203,93,97,1269953,127
1829,494,7568,211,64,70,1280037,128
1872,176,7869,214,44,35,1290179,129
2174,-21,8291,209,27,4,1300044,130
1808,222,8422,201,9,-34,1309924,131
1552,-26,8247,180,-21,-57,1320083,132
1482,-1028,8214,158,-52,-78,1330000,133
1858,-1685,8754,144,-71,-96,1340125,134
2589,-1305,9111,135,-52,-106,1349981,135
3008,-386,9104,120,-27,-91,1360120,136
2987,-63,9115,108,1,-79,1369972,137
2632,65,8702,97,7,-68,1380114,138
2576,-241,8165,76,-12,-49,1389969,139
2317,-992,7587,69,-26,-31,1400113,140
2533,-1407,7369,70,-11,-11,1409977,141
2225,-1565,7145,66,58,-9,1420126,142
849,-2173,9089,78,73,49,1430564,143
3064,-1954,10702,75,156,110,1440138,144
4925,-1713,10937,55,178,53,1450083,145
6279,-1443,11335,53,117,35,1459964,146
6375,-1519,11313,42,31,33,1469840,147
6330,-1137,10958,60,-131,64,1479985,148
6107,-643,10577,87,-210,97,1489855,149
6170,409,10335,94,-204,132,1499910,150
8147,1162,11770,85,-47,201,1509810,151
11892,670,12989,78,264,201,1519981,152
14306,-2054,16291,157,771,203,1529930,153
15419,-3833,17324,357,1203,233,1539879,154
11989,-3435,16912,541,1446,205,1549787,155
7360,-2032,15626,634,1609,227,1559983,156
5705,-1607,15038,646,1530,218,1569869,157
6434,-2092,14374,642,1276,113,1580031,158
7321,-2208,13755,637,923,-17,1589921,159
7463,-2572,13745,619,667,-142,1599838,160
7663,-2770,13492,605,582,-221,1610017,161
8201,-2446,13474,603,574,-279,1619926,162
8232,-2389,13586,626,636,-304,1630007,163
7847,-2513,13202,680,762,-301,1644473,164
7171,-2377,12170,740,883,-311,1649857,165
6183,-2416,11135,784,960,-331,1660029,166
5550,-2430,10324,806,998,-364,1669972,167
5579,-2500,10456,811,1047,-411,1679884,168
5884,-2366,10940,821,1186,-447,1689785,169
5473,-2093,10686,846,1354,-438,1699803,170
4390,-1877,10067,858,1473,-401,1709732,171
3135,-1684,10036,869,1490,-364,1719920,172
2025,-1316,9830,872,1416,-354,1729905,173
1723,-1084,9573,865,1282,-365,1739943,174
1881,-575,9400,847,1129,-366,1749885,175
2486,-110,9305,815,1017,-359,1759799,176
3434,-293,9707,773,984,-315,1769734,177
3556,-391,9434,745,1013,-259,1779662,178
2660,-530,9013,713,1034,-192,1789884,179
1465,-329,8685,692,979,-118,1799791,180
1056,64,8297,655,869,-90,1809741,181
1162,-5,8422,592,764,-113,1819665,182
2043,-199,8700,532,646,-115,1829624,183
2766,-359,9040,487,532,-95,1840262,184
2768,-305,9071,454,458,-70,1849616,185
1924,43,8860,426,384,-46,1859857,186
1348,381,8465,375,285,-40,1869772,187
1334,631,8172,320,170,-39,1879726,188
1546,696,7520,265,66,-32,1889659,189
1632,1168,6641,210,-15,-17,1899894,190
1024,1829,5992,129,-79,31,1909857,191
979,1997,6335,36,-84,99,1919779,192
2984,-47,7595,38,170,135,1929804,193
3926,2803,-1107,11,309,338,1939711,194
2195,3048,2988,-226,579,431,1949777,195
-687,807,10789,-309,979,617,1959743,196
-375,-2388,14450,-265,994,820,1969710,197
-3708,-5997,5643,-182,691,988,1979639,198
-2155,-5742,59,-609,395,1143,1989617,199
-11619,-7113,12879,-798,1049,1155,1999632,200
1847,-8123,10857,-1300,585,930,2009614,201
9475,-9705,14487,-1104,-123,18,2019599,202
4936,-4217,12399,-804,-403,-229,2029655,203
4598,1375,10487,-938,-728,-170,2039685,204
4357,2182,11769,-930,-626,-147,2049682,205
7036,2574,10073,-928,-403,95,2059641,206
8139,-405,10645,-931,-88,419,2069623,207
7521,-3674,11424,-872,191,600,2079617,208
4816,-4274,10319,-797,289,553,2089608,209
2586,-3559,9305,-759,321,519,2099606,210
3412,-2459,9279,-747,266,521,2109603,211
3791,-1502,8641,-724,124,476,2119609,212
3590,-1067,8906,-705,-1,484,2129702,213
2376,-1573,8210,-650,-28,454,2139656,214
2558,-1072,8027,-565,-19,462,2149676,215
2357,-1061,7436,-465,36,448,2159650,216
