xac,yac,zac,xang,yang,zang,tempo,amostra
1864,-4499,4730,-418,290,-1184,0,0
-2274,-1724,-1481,-748,204,-894,7405,1
-5060,-120,-2140,-851,-38,-792,17556,2
-7750,563,2784,-658,-106,-684,27372,3
-6146,3706,3761,-414,-65,-706,37198,4
-6387,2967,7210,-336,10,-934,47362,5
-4963,3297,6611,-138,252,-861,57383,6
-4120,3395,8631,-133,536,-637,67960,7
-5344,2603,9747,-128,808,-602,77280,8
-6726,3086,8541,-186,769,-736,87442,9
-7786,2852,5803,-310,527,-924,97304,10
-6120,1626,5157,-408,219,-1069,107218,11
-4084,247,6035,-429,122,-1121,117383,12
-2672,215,5677,-341,191,-1075,127215,13
-2695,572,4746,-211,369,-971,137395,14
-2156,790,4435,-66,548,-847,147223,15
-3238,917,4822,34,734,-780,157397,16
-3900,2024,5014,101,758,-750,167231,17
-6156,2162,6412,95,687,-793,178152,18
-6285,2346,6215,77,530,-865,187372,19
-4388,1594,6599,56,398,-983,197228,20
-3061,725,6982,60,386,-1066,207409,21
-3287,862,6340,82,382,-1057,217245,22
-3448,1168,5974,104,433,-1056,227514,23
-3204,1696,6016,115,450,-1057,237394,24
-2851,1465,5943,112,457,-1041,247246,25
-2243,1059,6227,117,457,-1025,257422,26
-1528,663,6333,132,428,-1017,267272,27
-1314,517,6771,132,437,-1003,277304,28
-1004,1119,6711,119,489,-997,287189,29
-1217,1076,6739,95,507,-1012,297395,30
-1401,752,6391,79,505,-1025,307248,31
-911,1129,5884,70,498,-1030,317090,32
76,1127,6041,53,517,-1018,327292,33
411,1284,5735,41,572,-995,337172,34
545,1713,6334,11,647,-965,347065,35
-37,2088,7619,-13,680,-962,357253,36
-218,1709,6747,-32,683,-1031,367094,37
-961,472,7131,-31,578,-1050,377280,38
218,-451,5874,-52,476,-1109,387252,39
118,-447,5953,-50,435,-1161,397097,40
1030,-457,6266,-53,487,-1175,407021,41
1475,-229,6441,-30,531,-1223,417252,42
1153,252,6478,-12,572,-1290,427249,43
307,509,6594,-6,584,-1369,437113,44
-770,228,6395,1,507,-1489,447031,45
-1674,-558,6468,-1,397,-1627,457257,46
-1256,-1264,7256,-16,309,-1808,467132,47
-529,-1985,8020,-21,250,-2054,477750,48
-1280,-2663,7066,-10,149,-2296,487281,49
-1659,-3690,6746,11,80,-2472,497174,50
-2253,-5642,5836,3,97,-2663,507111,51
-2707,-9045,5408,20,148,-2857,517026,52
-3208,-14967,5794,84,159,-2986,527272,53
-3900,-18169,5313,229,100,-2996,537140,54
-4254,-20425,5330,280,392,-2938,547072,55
-9203,-24129,6735,141,1022,-2722,556962,56
-18567,-22692,5335,224,1543,-2464,567230,57
-23304,-18987,4767,178,2107,-2286,577129,58
-19073,-14350,6982,393,1949,-2201,587167,59
-12023,-8679,5589,404,1618,-2809,597097,60
-5791,-7195,2970,73,676,-3055,607031,61
4726,-271,2091,-104,3,-2884,616945,62
4720,5986,3758,-182,-256,-2715,627176,63
1830,7488,8615,-207,-419,-2326,637110,64
58,9007,13528,-54,-85,-1763,647058,65
-3551,9261,10887,150,634,-1137,656955,66
-4119,10440,8431,315,895,-538,666891,67
-8090,11155,11540,380,911,45,676869,68
-8060,13830,10877,482,900,497,687313,69
-8409,15570,10059,452,829,806,696928,70
-6493,15486,9785,357,512,1111,706868,71
-4209,13618,9271,247,9,1410,717130,72
-2328,11291,9128,155,-550,1689,727084,73
-1705,9809,9863,122,-1039,1939,736996,74
-724,9096,10635,158,-1371,2217,746953,75
-145,8076,11237,233,-1518,2471,756911,76
194,7763,11208,330,-1574,2726,767151,77
-401,7552,10733,430,-1577,2966,777117,78
-1500,7201,10074,494,-1632,3206,787138,79
-2285,6520,8376,538,-1694,3455,797051,80
-2144,5769,6980,557,-1849,3662,806985,81
-838,4141,7857,591,-1974,3803,816952,82
-944,1575,8133,656,-2042,3941,826919,83
439,1171,7241,786,-1842,4250,836838,84
766,438,7059,815,-1597,4468,846810,85
-1426,-1150,5703,813,-1507,4563,856790,86
-2922,-4056,6635,818,-1529,4733,866773,87
-3278,-5631,4762,865,-1683,4824,877054,88
-2413,-8728,3690,863,-1922,4925,887559,89
-1479,-12492,-3183,808,-1962,5018,897034,90
3300,-22732,-4308,416,-1962,5070,907002,91
4688,-26642,1472,517,-2076,4897,916990,92
4464,-24749,3195,846,-1790,4993,927729,93
-556,-26929,5943,935,-1232,5360,937024,94
6641,-21607,-8438,1095,-477,5414,946945,95
18473,-17872,-10612,332,729,4756,956948,96
29561,-20090,1906,-6,1767,3511,966974,97
31498,-15645,4480,444,2342,2642,976999,98
31608,-9181,6648,249,2530,2590,987004,99
31736,-5224,-1346,556,2734,2116,998190,100
29801,-1256,-9739,522,2658,1054,1006864,101
24449,4644,-8667,114,2094,-160,1016860,102
22839,2821,-8596,-406,1350,-1647,1026856,103
2686,-13337,15988,-637,1003,-2482,1036857,104
-20981,-13464,24619,541,-284,-1761,1046863,105
-26533,-4445,-3306,-101,-631,-775,1056862,106
-17278,-2294,-4085,-947,-1797,-279,1066866,107
26,-9066,24637,-1413,-622,-1393,1076864,108
2284,-11537,17961,-695,338,-3030,1086863,109
1229,-4131,115,-656,48,-3039,1098232,110
3290,788,4239,-736,-65,-2477,1106887,111
4359,1739,3408,-312,151,-1861,1116876,112
-2753,4453,4763,-344,497,-1185,1126874,113
-8982,4255,4897,-329,902,-644,1136877,114
-10252,4738,6639,-81,1293,-546,1146882,115
-9177,4588,3659,-40,1428,-912,1156882,116
-4625,3643,5166,-126,954,-935,1166883,117
-1701,1633,9691,-178,561,-1066,1176945,118
-4438,-672,8411,-244,270,-1340,1186639,119
-4934,-1643,7491,-304,71,-1437,1196613,120
-3325,-1276,7139,-218,140,-1444,1206726,121
-1153,-652,5207,-169,290,-1378,1216730,122
-1199,535,5643,-85,336,-1219,1226742,123
-1784,902,4848,-6,410,-1096,1236751,124
-3028,1714,4789,71,433,-1032,1246782,125
-3783,983,6422,95,398,-998,1256854,126
-2516,-507,7089,91,361,-973,1266888,127
-1781,-994,7097,92,291,-983,1276896,128
-2109,-157,6939,88,301,-982,1286905,129
-2346,829,7056,89,344,-975,1297211,130
-2404,1307,6059,77,385,-961,1306784,131
-2566,1506,5126,68,387,-944,1316865,132
-2752,872,5426,23,376,-922,1326894,133
-1009,111,6282,34,395,-903,1336570,134
-742,-331,6826,44,424,-900,1346570,135
-1626,-719,7473,60,474,-886,1356579,136
768,-324,7859,101,437,-863,1366581,137
-234,-616,7907,72,503,-956,1376595,138
-373,335,7109,79,547,-983,1386612,139
-1410,707,6891,69,529,-1054,1396687,140
-1102,1389,6500,40,455,-1126,1406852,141
224,1408,6651,15,399,-1203,1416569,142
1780,1707,7064,-13,377,-1251,1426738,143
1889,2082,7445,-17,442,-1269,1436776,144
1095,1837,7068,-24,485,-1268,1446522,145
991,1202,6342,-33,450,-1305,1456579,146
1437,764,6111,-38,413,-1372,1466596,147
1626,392,6788,-35,462,-1439,1476623,148
1323,338,7345,-5,501,-1513,1486732,149
771,322,7859,13,498,-1646,1496432,150
-1597,434,8837,22,399,-1818,1507139,151
-3038,659,7451,-9,224,-1997,1516576,152
-2239,-600,7901,-104,18,-2241,1526602,153
-1218,-3028,7076,-164,-172,-2458,1536640,154
-856,-4817,6484,-153,-240,-2599,1546751,155
-1817,-8249,5352,-132,-240,-2666,1556477,156
-2725,-10217,4350,-74,-102,-2694,1566580,157
