xac,yac,zac,xang,yang,zang,tempo,amostra
-4049,-2383,3345,-179,336,-835,1,0
-5200,-1754,3856,-209,127,-750,8162,1
-4169,-1867,3807,-243,-245,-640,18171,2
-2754,-1267,4985,-289,-589,-546,27851,3
-1303,-1266,6236,-300,-785,-478,38183,4
530,-1545,6836,-257,-787,-466,47854,5
61,-1023,7881,-187,-638,-515,57902,6
-247,-1211,7592,-132,-380,-588,68206,7
2074,-1369,6786,-81,-269,-592,78181,8
1069,-761,6431,-63,-211,-602,87855,9
-1216,-439,5411,-74,-106,-652,97846,10
-1731,-569,3780,-91,-101,-663,108060,11
-2176,-659,3689,-142,-160,-653,118028,12
-2806,-851,4387,-179,-228,-625,128033,13
-2923,-516,4941,-204,-289,-589,138034,14
-2693,-512,5252,-219,-333,-557,148084,15
-2078,-215,5148,-218,-332,-526,158049,16
-1884,446,4688,-224,-291,-505,168065,17
-2754,502,4509,-250,-249,-480,178047,18
-3415,252,4423,-283,-265,-444,188044,19
-3475,25,4437,-310,-326,-396,198048,20
-2938,-233,5301,-338,-402,-308,217599,21
-2782,-481,5795,-348,-378,-269,227833,22
-2832,-595,5988,-350,-346,-234,238147,23
-2785,-492,6201,-337,-318,-210,247785,24
-3112,-398,5893,-326,-271,-192,257742,25
-3287,-648,5636,-323,-237,-175,267730,26
-3523,-512,5475,-314,-223,-150,278049,27
-3744,-629,5637,-315,-221,-132,287723,28
-3590,-357,6056,-305,-237,-110,297748,29
-3346,-78,5844,-308,-254,-103,307789,30
-3144,69,5820,-308,-270,-101,317750,31
-3143,119,5916,-312,-292,-102,327725,32
-3138,-49,6016,-316,-319,-109,337729,33
-3043,140,6145,-319,-334,-118,347780,34
-2976,204,6014,-322,-333,-130,357757,35
-3298,375,6112,-331,-334,-136,367743,36
-3492,452,5732,-341,-344,-134,377743,37
-3613,630,5796,-351,-355,-132,387735,38
-3881,709,5755,-369,-372,-126,397738,39
-3986,579,5637,-378,-390,-121,408181,40
-3905,733,5972,-383,-414,-112,417909,41
-3911,709,6649,-384,-434,-111,427917,42
-3659,588,7118,-382,-460,-109,437917,43
-3650,840,6842,-378,-463,-123,447965,44
-3440,1212,6356,-384,-454,-145,457623,45
-2796,1730,5338,-403,-461,-185,467939,46
-2211,1646,4681,-445,-465,-244,477711,47
-1805,1451,4892,-500,-458,-321,487750,48
-1360,1427,4924,-557,-421,-419,497751,49
-982,1788,4590,-620,-363,-528,507753,50
-784,2027,4679,-687,-284,-639,517662,51
-1321,2009,5136,-750,-201,-764,527676,52
-1113,2791,5176,-823,-149,-893,537751,53
-848,3878,3894,-923,-64,-1012,547798,54
-611,4180,1890,-1019,47,-1145,557790,55
-1517,3900,1908,-1122,92,-1298,567791,56
-2949,4802,3152,-1210,2,-1436,577793,57
-2652,6389,4427,-1257,-156,-1584,587793,58
-793,7370,4240,-1286,-234,-1731,597797,59
585,7423,2739,-1212,-192,-1838,607808,60
-812,11716,5602,-1167,-77,-1991,617746,61
-4672,14173,5739,-1119,-130,-2155,627779,62
-3433,13302,6566,-1076,-221,-2228,637804,63
-4412,12024,6573,-1015,-272,-2304,647819,64
-4725,9752,6501,-1000,-332,-2299,657894,65
-5490,7225,7465,-1008,-391,-2282,667626,66
-8692,4825,7884,-1044,-327,-2219,677970,67
-11030,3089,7314,-1162,-532,-2134,687675,68
-7189,3831,11658,-1266,-805,-1890,697771,69
-8398,446,9706,-1189,-499,-1752,707803,70
-6904,-3397,8611,-1116,-246,-1551,718301,71
-533,-5491,7669,-988,-306,-1136,727680,72
2698,-6862,8799,-861,-264,-745,737788,73
-771,-8747,8121,-674,-9,-578,747705,74
425,-8275,5349,-383,69,-276,757792,75
1482,-7304,6699,-217,14,61,767818,76
450,-7844,8201,-67,52,300,777524,77
-1180,-7658,8037,126,83,563,787610,78
-1682,-6635,8043,299,80,875,797637,79
-1308,-5870,8430,421,57,1178,807679,80
-1769,-3551,8830,624,66,1718,827618,81
-2116,-2594,8838,715,113,1950,837641,82
-2438,-1404,8570,800,196,2163,847696,83
-3071,-310,7979,868,268,2341,857463,84
-3839,696,8010,910,309,2503,867497,85
-3853,1328,7977,966,345,2631,877606,86
-4500,2264,7665,1036,361,2719,887654,87
-4839,3367,7433,1104,365,2787,897714,88
-5388,4398,7533,1167,355,2827,907469,89
-6079,4958,7084,1228,342,2865,917579,90
-7153,5611,6692,1259,301,2898,927471,91
-6295,6105,6698,1271,141,2933,937519,92
-6036,5859,6818,1288,34,2882,947631,93
-6187,5903,7128,1311,-54,2858,957686,94
-6129,5711,7274,1347,-150,2826,967476,95
-6840,5460,7235,1374,-261,2803,977535,96
-7237,4903,7081,1392,-401,2802,987638,97
-7341,4416,7462,1385,-577,2781,997705,98
