xac,yac,zac,xang,yang,zang,tempo,amostra
3988,19345,-7585,-1020,-700,-3653,1,0
5613,21920,-7253,-881,-915,-3895,3815,1
5117,24213,-4366,-682,-1173,-4019,13804,2
1579,25407,-1662,-463,-1570,-4027,23799,3
4145,28143,-2634,-424,-2167,-3930,33808,4
8307,28212,-877,-614,-2726,-3695,43803,5
12305,21706,1351,-966,-3056,-3330,53583,6
9899,11999,829,-1332,-3182,-2823,63527,7
8152,701,-586,-1440,-3254,-2283,73499,8
6820,-3846,7264,-1278,-3459,-1907,83806,9
-7356,-17414,12181,-1016,-2824,-1839,93809,10
-30121,-30769,12143,-632,-1161,-1226,103547,11
-25542,-10248,11249,-80,294,-422,113492,12
-7503,-3159,6453,-73,691,256,123481,13
10892,-8369,4837,-169,-331,1481,133478,14
17188,-15253,9680,-111,-1192,2381,143479,15
12196,-16874,10684,114,-807,2743,153482,16
5744,-17883,9285,412,11,2723,163488,17
-149,-17041,8413,752,537,2791,173511,18
-3221,-14333,7114,1079,695,3160,183489,19
-3357,-11397,6576,1300,710,3560,193640,20
-2506,-9885,7586,1387,708,3927,204200,21
-1431,-9406,7794,1425,608,4315,213504,22
-1585,-9400,8348,1452,519,4671,223495,23
-1362,-8396,9453,1567,472,4968,233499,24
198,-6496,9724,1705,402,5143,243623,25
573,-5024,9550,1861,566,5209,253653,26
127,-3280,9629,2028,737,5361,263694,27
-2119,-1211,9510,2200,924,5501,273682,28
-3755,1650,8473,2359,938,5652,283674,29
-3749,4648,8086,2457,861,5859,293676,30
-3157,6839,8021,2563,801,6056,303649,31
-2823,10118,7080,2721,801,6202,313678,32
-3269,16426,5348,2939,821,6310,323689,33
-4638,25444,2420,3211,885,6331,333689,34
-10720,29749,-398,3454,1009,6162,343683,35
-18127,28260,-2288,3515,1136,5959,353355,36
-30328,29725,753,3319,1298,5541,363374,37
-32007,29376,5266,2474,902,5191,373365,38
-32045,19196,16448,1567,258,4898,383356,39
-30398,12156,15414,1443,-330,4022,393360,40
-32176,7383,12802,978,-484,2937,403981,41
-32190,979,23880,264,-499,1903,413573,42
-32127,3365,23799,134,-15,648,423543,43
-31922,4121,14656,-23,876,-1574,433527,44
-29150,12583,11469,-424,942,-3399,443585,45
-14264,11929,13602,-1136,1058,-3479,453579,46
15729,-11,9967,-1463,1234,-2749,463555,47
-31125,1155,696,-936,-1526,-2043,473551,48
16899,13717,25437,-832,-1001,-1360,483553,49
-7623,24845,24597,-1241,754,-2302,493556,50
-31002,11046,22411,-1169,1374,-3602,503557,51
-20607,4004,7566,-631,-789,-2872,513484,52
-11293,7245,-3503,-241,-790,-2298,523535,53
-8352,2838,-3514,-404,432,-2604,533547,54
-11176,-3496,909,-594,785,-2486,543558,55
-13262,-4431,8369,-980,-168,-2057,553561,56
-10960,-6540,8954,-844,-878,-1706,563264,57
-11431,-6992,3989,-581,-898,-1502,573263,58
-9261,-5493,7340,-632,-1320,-1144,583262,59
-5243,-2463,6819,-482,-1477,-812,593264,60
649,-1239,6794,-384,-1084,-713,603268,61
4888,8,8217,-389,-842,-695,614029,62
1996,1094,8268,-343,-410,-810,623383,63
-864,356,7571,-353,-93,-878,633394,64
-1834,-1941,7758,-331,76,-842,643411,65
-4367,-1863,3839,-293,16,-811,653414,66
-8580,-2651,2983,-358,-224,-744,663416,67
-7035,-3577,3484,-356,-526,-617,673422,68
-4197,-2579,6025,-365,-694,-522,683426,69
-2017,-1539,7922,-350,-677,-488,693198,70
-848,-654,8155,-316,-557,-505,703234,71
-1375,-160,7391,-306,-410,-547,713216,72
-3619,-726,7436,-305,-329,-573,723474,73
-4787,-1292,6363,-291,-361,-562,733227,74
-4322,-1176,6615,-284,-435,-539,743258,75
-3717,-797,6710,-280,-450,-531,753291,76
-3276,-671,6508,-276,-447,-533,763384,77
-3515,-333,6588,-277,-438,-563,773080,78
-3318,-57,6244,-286,-447,-586,783101,79
-3387,93,6328,-301,-472,-616,793138,80
-3259,387,6594,-314,-480,-657,803235,81
-3390,621,6774,-341,-461,-697,813784,82
-3873,806,6311,-362,-459,-739,823077,83
-4049,495,6318,-385,-470,-772,833106,84
-4096,917,5891,-408,-495,-810,843216,85
-4571,629,5976,-429,-526,-875,853263,86
-2928,1943,5599,-469,-595,-886,863312,87
-2664,2586,6033,-502,-627,-992,873431,88
-1668,2744,6738,-542,-653,-1089,883155,89
-731,4089,6732,-661,-602,-1213,893249,90
158,4134,5694,-760,-531,-1354,903317,91
-131,3484,4338,-819,-427,-1549,913087,92
869,4704,5698,-881,-385,-1747,923321,93
1063,5878,7366,-958,-262,-1958,933095,94
108,5968,7872,-1032,-129,-2172,943137,95
-428,5938,6039,-1095,-113,-2365,953199,96
-1134,7065,4476,-1144,-112,-2573,963295,97
-1991,10091,2005,-1173,-151,-2789,973083,98
-1233,13560,-857,-1199,-278,-3006,983134,99
1027,16860,-3601,-1222,-432,-3205,993267,100
2996,19817,-4736,-1238,-521,-3428,1003336,101
4205,21880,-5155,-1157,-649,-3657,1013114,102
4431,23761,-3478,-1005,-833,-3808,1025077,103
