xac,yac,zac,xang,yang,zang,tempo,amostra
1101,-2037,8241,87,-205,-313,1,0
1391,-2089,8184,87,-197,-305,3771,1
1220,-2324,8165,96,-174,-300,13724,2
865,-2129,8318,102,-151,-284,23944,3
837,-1838,8243,100,-118,-273,33917,4
883,-1629,7988,99,-83,-248,43860,5
350,-1359,8256,100,-64,-230,53956,6
305,-1339,8234,87,-64,-207,63921,7
616,-1489,8301,98,-94,-178,73821,8
943,-1485,9227,118,-123,-172,83756,9
1338,-1210,9071,109,-100,-195,93745,10
2055,-1400,8217,101,-49,-237,104038,11
2040,-1567,8094,118,-35,-278,113965,12
1473,-562,8191,122,-52,-312,123703,13
1933,-100,7817,102,-62,-356,133966,14
2860,296,7405,94,-114,-415,143951,15
2686,-159,8165,101,-180,-495,153950,16
2810,-148,8804,109,-205,-568,163954,17
2878,674,9075,99,-193,-641,173968,18
1830,1741,8322,85,-143,-703,183959,19
1816,1915,8280,58,-146,-753,193958,20
1962,1983,7640,43,-183,-789,204956,21
1364,2255,7453,17,-206,-826,213958,22
1428,3061,6701,-31,-254,-842,223960,23
2310,3906,5723,-90,-310,-865,233960,24
2178,3464,5951,-128,-366,-890,243960,25
1276,2994,7143,-149,-445,-880,253960,26
859,2850,8138,-183,-509,-878,263961,27
1425,2697,8344,-220,-550,-890,273656,28
1691,2419,8773,-225,-623,-901,283637,29
1626,1782,9448,-231,-678,-937,293634,30
1853,1160,9845,-236,-700,-974,303634,31
2272,171,9783,-238,-702,-1041,313660,32
2534,-508,9410,-218,-677,-1113,323765,33
2589,-1105,9480,-185,-609,-1202,333717,34
1866,-575,8997,-120,-522,-1280,343617,35
2283,-437,10168,-100,-496,-1339,353617,36
1559,-224,8554,-45,-369,-1475,363913,37
2113,636,8832,-41,-335,-1587,373804,38
2323,995,7887,-6,-198,-1716,383774,39
2341,1506,7242,58,11,-1845,393726,40
1635,2041,6527,132,176,-2010,403873,41
527,1456,5971,192,345,-2191,413794,42
-1141,765,4858,326,454,-2313,423776,43
-2905,864,4924,460,549,-2377,433738,44
-4429,1148,4783,526,588,-2370,443642,45
-5397,1734,5156,531,479,-2321,453622,46
-5317,1498,5939,509,268,-2270,463613,47
-4315,839,6350,489,64,-2157,473600,48
-3400,-222,6563,440,-119,-2012,483828,49
-3590,-1421,7068,321,-293,-1856,493800,50
-2544,-2940,8067,219,-436,-1616,504429,51
-523,-3628,8631,140,-563,-1249,513650,52
575,-5329,8566,129,-583,-910,523634,53
2406,-6151,8261,127,-420,-568,533624,54
4028,-6416,9305,67,-266,-219,543625,55
3847,-7441,10085,14,-109,55,553626,56
2989,-8414,10195,-5,49,273,563632,57
1984,-8966,10008,0,189,502,573740,58
1148,-9139,9645,11,304,768,583661,59
536,-9290,9492,26,382,1039,593636,60
419,-9120,9852,37,451,1314,603630,61
-41,-8903,10325,36,505,1571,614069,62
-257,-8337,10447,41,573,1820,623659,63
-58,-7650,10312,45,648,2067,633641,64
328,-6749,10660,33,694,2295,643639,65
187,-5662,11481,-15,678,2482,653637,66
401,-4706,12512,-87,649,2648,663636,67
929,-4028,12652,-157,662,2813,673669,68
660,-3326,12285,-215,706,2954,683654,69
500,-2365,12008,-264,775,3096,693650,70
360,-1169,11646,-306,867,3235,703655,71
-47,329,11219,-357,954,3360,713546,72
-574,1866,10709,-435,1015,3470,723485,73
-1053,2946,10282,-531,1014,3581,733495,74
-1208,3539,9756,-618,919,3687,743492,75
-974,3894,9510,-699,764,3784,753492,76
-710,3954,9247,-764,585,3877,763493,77
-359,4653,9181,-804,417,3967,773509,78
317,5923,8906,-812,295,4044,783498,79
1307,7078,8214,-805,232,4070,793494,80
2402,8155,7576,-787,243,4045,803493,81
2737,8669,7265,-759,318,3971,813501,82
1868,8350,7264,-701,453,3841,823473,83
-782,8089,8106,-624,529,3600,833493,84
-5701,6685,8468,-504,508,3258,843495,85
-9146,5333,8168,-363,426,2993,853520,86
-8244,5371,7001,-170,299,2941,863509,87
-9808,5020,7580,-152,71,2680,873517,88
-13883,4625,8575,-233,-78,2245,883509,89
-13676,1579,7713,-220,-334,1747,893509,90
-10100,-1348,6329,-50,-542,1099,903511,91
-6123,-1082,7054,102,-644,383,914068,92
-4828,938,7933,177,-463,-259,923324,93
-6743,975,7540,257,-107,-776,933344,94
-9980,-687,5975,369,200,-1273,943347,95
-11296,-2054,5429,503,355,-1662,953348,96
-2513,-2500,5715,549,423,-1475,963352,97
12366,-502,6489,621,128,-679,973705,98
20870,2274,6466,740,-394,-235,983365,99
15228,8480,11118,671,-499,-625,993362,100
5397,11829,15666,353,9,-1074,1003364,101
-5331,6348,15598,262,625,-1416,1013363,102
-6534,712,13295,367,673,-1328,1024552,103
-29,-575,13122,405,327,-983,1033542,104
2972,-1243,12531,411,15,-908,1043533,105
2829,-2468,10325,430,-37,-903,1053541,106
4355,-2338,9277,450,-6,-809,1063542,107
5496,-1159,9974,413,64,-750,1073315,108
6478,-1057,10478,396,176,-771,1083362,109
7442,-2222,9003,389,304,-786,1093372,110
6550,-3374,7256,380,300,-753,1103377,111
3420,-3009,6980,367,163,-704,1113380,112
770,-2367,8230,350,-7,-630,1123211,113
1671,-2329,9354,373,-136,-520,1133222,114
3536,-1977,10186,385,-254,-468,1143227,115
4473,-1541,11261,386,-280,-487,1153232,116
5195,-538,11665,398,-202,-514,1163234,117
6327,-387,10341,421,-86,-549,1173244,118
6878,-671,8953,442,1,-597,1183245,119
6189,-1523,8266,427,108,-665,1193244,120
4956,-2157,7610,411,203,-702,1203248,121
3908,-2231,7115,390,258,-695,1213250,122
3289,-1756,7419,363,224,-665,1223274,123
2721,-1139,7722,346,148,-634,1233242,124
2399,-813,8483,331,70,-601,1243246,125
3178,-1106,8932,332,33,-551,1253254,126
4043,-1208,8253,336,1,-502,1263266,127
3265,-1131,8248,311,19,-497,1273323,128
2640,-899,8272,277,75,-480,1283398,129
2189,-958,7824,242,72,-446,1293410,130
1860,-1078,8010,211,18,-415,1303111,131
1819,-993,7962,184,-46,-382,1313203,132
1892,-1103,8180,169,-144,-337,1323815,133
2507,-1030,8095,147,-208,-318,1333298,134
3692,-1308,8487,125,-222,-328,1343394,135
4118,-1638,8412,113,-197,-364,1353245,136
3655,-1808,8854,105,-147,-406,1363273,137
3717,-1794,8838,109,-84,-435,1373401,138
3889,-1685,8019,118,-49,-450,1383108,139
3153,-1329,7760,124,-46,-478,1393213,140
1780,-1349,7721,112,-36,-480,1403262,141
999,-1933,7535,107,-72,-459,1413308,142
850,-2395,7823,114,-135,-424,1423081,143
1205,-2338,7753,114,-176,-386,1433446,144
2318,-1941,7591,118,-183,-365,1443220,145
2723,-1554,7547,111,-171,-371,1453274,146
2679,-1630,7864,109,-153,-400,1463019,147
2603,-1452,7881,118,-128,-412,1473126,148
2889,-1597,8164,129,-106,-433,1483261,149
2472,-1633,8499,145,-69,-456,1493313,150
2035,-1801,8699,155,-21,-487,1503104,151
1645,-2069,8426,157,16,-519,1513229,152
1405,-2074,7906,150,33,-552,1523285,153
