xac,yac,zac,xang,yang,zang,tempo,amostra
141,1863,9379,-378,233,-1313,1,0
-2726,-1038,5281,-305,-204,-1488,10321,1
219,6907,9616,-327,-88,-1272,20475,2
-2673,4624,7841,-381,-20,-1515,30311,3
66,6736,8964,-411,-41,-1483,40473,4
664,8526,8068,-484,53,-1565,50877,5
1454,7473,8170,-498,161,-1641,60353,6
926,6365,8415,-471,211,-1794,70503,7
963,7093,9215,-475,155,-1867,80330,8
1938,7345,8769,-498,160,-1973,90488,9
2497,6870,7827,-510,131,-2114,100676,10
2916,6633,7330,-514,57,-2233,110517,11
2579,6292,6870,-515,-55,-2328,120338,12
2192,6704,6087,-499,-205,-2437,130497,13
2993,6782,5372,-499,-396,-2519,140334,14
3269,7250,4155,-489,-640,-2538,150499,15
4413,7268,4799,-496,-756,-2472,160338,16
4925,4369,3790,-445,-1059,-2301,170173,17
2960,-294,3602,-364,-1256,-2177,180337,18
-3157,-2409,3930,-274,-1217,-2259,190177,19
-10550,751,3118,-225,-1124,-2479,200211,20
-12849,6952,3772,-270,-1084,-2709,210210,21
-12197,8643,7925,-381,-836,-2382,220383,22
132,5722,8605,-273,-842,-1387,230205,23
6906,-1957,8704,-232,-810,-901,241722,24
4367,-7274,8434,-125,-654,-863,250269,25
1821,-7053,7535,-22,-553,-664,260140,26
144,-6547,7152,43,-505,-351,270337,27
-1628,-6898,7187,125,-475,-17,280189,28
-1646,-7442,7780,202,-338,293,290733,29
-1163,-8030,8355,278,-308,563,300794,30
-1043,-8179,8214,369,-262,821,310267,31
-671,-8032,8186,445,-163,1121,320151,32
-785,-7870,8253,519,-48,1432,330353,33
-1479,-7563,7890,597,7,1720,340379,34
-2234,-7033,7719,648,-3,2001,350278,35
-2584,-6491,7561,672,-114,2291,360177,36
-2586,-6073,8153,678,-289,2586,370379,37
-1915,-5516,9013,676,-471,2884,380222,38
-1410,-5140,9480,691,-620,3157,390095,39
-1495,-4339,10253,712,-695,3398,400338,40
-1868,-3025,10383,736,-741,3638,410130,41
-2202,-1369,10391,758,-771,3876,420350,42
-2263,281,10332,754,-814,4061,430218,43
-1691,1065,10900,772,-801,4200,440085,44
-650,1577,10750,825,-717,4320,450345,45
-600,2817,10225,883,-598,4375,460221,46
-569,4490,9707,940,-523,4413,470091,47
-475,6255,9595,993,-458,4452,480306,48
-1341,8106,9504,1041,-369,4455,490203,49
-3237,10648,9261,1078,-230,4408,500076,50
-3617,12620,9869,1085,-82,4359,510268,51
-3096,13241,10551,1072,43,4283,520183,52
-3288,13137,11385,1038,190,4127,530063,53
-5768,13269,11903,1000,382,3885,540271,54
-8627,13118,13036,864,597,3606,550196,55
-9790,11649,13626,745,760,3338,560083,56
-9177,9667,12691,700,954,3109,569995,57
-9109,7938,11658,694,1193,2788,580224,58
-9478,6507,10774,703,1431,2444,590113,59
-10713,5342,9838,726,1550,2130,600041,60
-12197,5375,9750,701,1565,1869,610191,61
-14630,4277,8952,682,1516,1479,625987,62
-14698,3237,8675,663,1388,1135,630281,63
-13278,3013,9470,625,1237,815,640211,64
-13227,2632,10267,578,1232,427,650144,65
-13625,2062,9924,561,1252,28,660064,66
-12846,2001,9483,547,1247,-277,669961,67
-11180,2013,9398,506,1208,-543,680221,68
-10611,1255,8943,488,1149,-824,690122,69
-9848,1295,9131,483,1054,-1024,700062,70
-7550,1458,9647,462,1055,-1103,710128,71
-2730,1434,9676,403,1089,-1142,720799,72
11155,971,11768,51,1556,-944,730076,73
20109,-2210,13076,-93,1344,359,739987,74
30041,8704,11961,41,-1602,594,749929,75
5182,17092,17985,-20,-1099,-1367,760216,76
-13677,8979,10906,103,54,-2797,770127,77
-16010,-3494,8649,419,-527,-1858,780070,78
1432,-3356,2571,770,-342,-673,789980,79
11146,-169,4956,721,417,-796,799927,80
8003,-1269,9641,541,781,-1146,809884,81
1736,-2921,9852,542,677,-1184,822375,82
981,-3894,6940,615,534,-1158,829975,83
4908,-3595,4691,644,511,-1120,839933,84
6751,-2852,5037,571,556,-1093,849910,85
3415,-3206,6452,462,493,-1121,860180,86
-162,-3955,6193,409,292,-1079,870114,87
112,-3268,5935,373,18,-951,880078,88
2098,-2368,5962,326,-186,-861,890019,89
2446,-2258,6527,273,-351,-785,899961,90
1074,-2186,5806,232,-425,-702,909928,91
736,-997,5594,155,-441,-648,921507,92
1714,-638,7355,89,-379,-614,930123,93
2682,-1448,7751,88,-281,-600,940094,94
2754,-1582,7102,81,-230,-599,950062,95
2982,-1817,6704,56,-171,-612,959990,96
3913,-2103,6557,32,-115,-646,969953,97
4735,-2380,6761,11,-65,-700,980262,98
4291,-2450,6860,-1,-13,-753,989915,99
3219,-2174,6641,-6,24,-786,999891,100
2714,-1729,6538,-21,39,-812,1009843,101
2490,-1696,6656,-40,46,-841,1020047,102
2252,-1703,6841,-52,72,-860,1032284,103
1891,-1690,6623,-63,102,-878,1039958,104
1430,-1691,6573,-74,107,-881,1049956,105
