xac,yac,zac,xang,yang,zang,tempo,amostra
-130,-762,6056,106,53,-701,0,0
-632,-1173,5974,81,-17,-693,4750,1
-498,-1138,6185,60,-96,-677,14908,2
-78,-1170,6331,44,-154,-674,24738,3
527,-1141,6086,32,-190,-691,34904,4
508,-1026,6433,25,-192,-718,44738,5
-292,-869,6660,20,-202,-761,54683,6
-478,-1154,6372,28,-205,-793,64881,7
1531,-911,6887,32,-133,-836,74725,8
52,-1107,6539,34,-9,-890,84899,9
-1303,-780,6417,32,-10,-897,95232,10
-2263,-722,6116,27,-42,-899,104777,11
-1677,-497,6034,16,-103,-882,114928,12
-1522,-498,6045,-2,-124,-877,124764,13
-1729,-253,5492,-12,-106,-862,134924,14
-2173,-192,5665,-19,-107,-848,144769,15
-2510,-68,5787,-31,-129,-825,154931,16
-2823,180,5593,-37,-186,-801,164816,17
-2521,257,5700,-43,-262,-786,174652,18
-2250,377,5572,-38,-310,-788,184825,19
-3148,1449,3032,20,-408,-780,194669,20
1334,-440,5149,-51,-294,-899,204625,21
-1901,1827,6593,-74,-495,-806,214788,22
-1264,2005,8026,-83,-318,-979,224615,23
-824,1860,7779,-92,-384,-1013,234786,24
-405,2896,7834,-98,-315,-1097,244617,25
-339,2981,8378,-104,-254,-1205,254620,26
-489,3076,8282,-109,-193,-1298,264809,27
-1115,3286,8207,-113,-142,-1407,274650,28
-1115,3289,7634,-115,-130,-1498,284830,29
-1127,3332,7045,-127,-142,-1575,294701,30
-1561,3198,7070,-142,-182,-1654,305201,31
-1794,3193,6745,-162,-234,-1704,314762,32
-1768,3361,6990,-192,-289,-1758,324617,33
-1045,4219,6825,-236,-332,-1814,334807,34
381,5717,5917,-317,-338,-1866,344653,35
1242,5882,5338,-343,-385,-1939,354529,36
1473,5521,6077,-349,-519,-2037,364497,37
2034,5922,6515,-388,-700,-2144,374708,38
3372,6583,6540,-399,-864,-2261,384607,39
4815,6817,6477,-407,-1126,-2353,394802,40
6098,6693,7364,-406,-1493,-2424,404652,41
3509,7117,6038,-440,-1935,-2466,414760,42
7028,5688,4967,-387,-2296,-2345,424636,43
10171,2451,2085,-319,-2468,-2087,434507,44
6304,-1104,3089,-284,-2548,-1949,444731,45
-4739,-4,6978,-246,-2077,-2191,454618,46
-8209,6777,6612,-294,-1409,-2914,464878,47
-18700,7172,5502,-352,-256,-3762,474783,48
-15414,5809,5879,-180,564,-2744,484652,49
-1941,4920,4268,-23,196,-1396,494556,50
3652,1098,2664,-70,-377,-919,504830,51
3955,-4106,5201,-199,-713,-906,514665,52
-392,-7654,7503,-177,-778,-756,524572,53
-2157,-8877,7503,-107,-657,-379,534475,54
-1484,-8650,7230,-73,-325,-54,544670,55
-833,-8118,7633,-59,-40,222,554587,56
-1011,-7515,8095,-51,112,521,564518,57
-1889,-7577,8345,-28,211,843,574422,58
-2839,-7913,8483,-12,297,1160,584643,59
-3308,-7994,8203,1,354,1487,594538,60
-3342,-7967,7936,12,344,1845,604468,61
-3144,-8001,7534,33,330,2195,614624,62
-2608,-7984,7557,61,312,2514,624511,63
-2745,-7429,7592,100,285,2816,634440,64
-3063,-6717,7521,137,245,3107,644661,65
-3431,-5904,7626,176,169,3368,654583,66
-3728,-5028,7742,216,89,3619,664518,67
-4350,-3994,7547,258,-15,3856,674448,68
-4700,-2365,7046,289,-161,4093,684669,69
-4722,-793,7044,287,-337,4308,694601,70
-3773,-312,8009,322,-515,4464,704501,71
-2040,656,8504,395,-540,4582,714735,72
-684,1465,8992,469,-428,4646,724334,73
