xac,yac,zac,xang,yang,zang,tempo,amostra
3768,7851,12407,-228,-1027,-1600,1,0
-1086,345,11372,-232,-213,-1213,6044,1
3080,-2224,10863,-231,65,-732,15838,2
2023,-1952,10705,-284,69,-747,26006,3
-226,354,10422,-328,362,-686,35813,4
-878,2532,8482,-349,513,-609,45960,5
-3232,2623,7291,-355,289,-630,55987,6
-3896,2139,6651,-346,-38,-633,65801,7
-2248,2136,6734,-331,-229,-595,75968,8
-1198,1692,6614,-305,-210,-558,85799,9
-343,1427,7052,-282,-71,-503,96594,10
75,1529,7814,-250,114,-431,105809,11
-768,1650,7890,-230,289,-363,115990,12
-1843,1511,8058,-230,354,-346,125865,13
-2570,1842,7785,-228,279,-378,136016,14
-2835,2047,7729,-222,100,-433,145838,15
-2065,1669,7619,-209,-59,-471,155848,16
-631,1177,7790,-180,-99,-484,165680,17
49,1048,7603,-143,-9,-484,175838,18
-194,1408,7345,-108,138,-465,185659,19
-722,1532,7524,-75,239,-456,195822,20
-1132,1751,7649,-56,263,-459,205908,21
-1123,1675,7850,-41,245,-477,215769,22
-946,1729,7820,-31,228,-504,225694,23
-902,1660,7913,-24,215,-534,235852,24
-683,1652,8003,-21,226,-558,245685,25
-472,1643,8044,-16,257,-576,255848,26
-314,1531,8149,-15,272,-587,265687,27
-266,1502,8002,-10,259,-598,275852,28
-97,1574,8043,-8,234,-614,285687,29
98,1506,8152,-11,215,-626,295849,30
252,1637,8343,-13,200,-633,305794,31
409,1726,8202,-14,199,-633,315663,32
666,1598,8268,-12,206,-629,325885,33
894,1679,8220,-9,217,-623,335734,34
1388,1716,8059,-5,242,-624,345594,35
566,1585,8155,-6,242,-617,355808,36
667,1676,7836,0,242,-614,365672,37
1046,1679,7937,7,212,-622,375862,38
1151,1614,8156,12,200,-630,385718,39
1444,1495,8178,16,212,-629,395891,40
1489,1457,8349,18,225,-621,405632,41
1560,1421,8184,20,238,-614,415517,42
1466,1449,8109,22,238,-609,425747,43
1485,1535,7955,22,234,-604,435552,44
1555,1565,7919,22,223,-599,445688,45
1682,1667,7917,26,212,-592,455524,46
1951,1738,7819,29,203,-588,465640,47
2268,1739,8116,31,205,-581,475716,48
2437,1722,8285,33,220,-572,485555,49
2585,1625,8115,34,238,-563,495694,50
2707,1573,8104,24,258,-549,506077,51
2694,750,9180,17,282,-537,515592,52
2345,1237,9005,33,322,-526,525728,53
2878,1378,8908,23,317,-514,535857,54
2575,1419,9224,25,291,-531,545412,55
2570,1136,8854,26,286,-539,555551,56
2624,1068,8934,27,269,-554,565698,57
2625,1032,8952,31,256,-572,575546,58
2677,1052,8963,41,247,-596,585399,59
2546,869,8921,53,236,-632,595541,60
2536,618,8785,68,213,-673,605400,61
2447,633,8986,82,178,-718,616022,62
2508,277,9026,99,156,-773,625469,63
2475,-209,9163,119,119,-833,635580,64
2178,-1396,9861,150,72,-895,645428,65
1854,-3857,9845,224,-7,-957,655607,66
1506,-5540,8027,301,-133,-1035,665433,67
1290,-4108,8135,279,-183,-1142,675582,68
2092,-3139,9464,244,-102,-1230,685432,69
2784,-3642,9874,260,7,-1318,695583,70
1931,-4168,9740,267,101,-1430,705433,71
1252,-4123,9299,265,190,-1530,716727,72
1224,-4402,9868,254,256,-1630,725444,73
939,-4858,10576,249,326,-1728,735594,74
1427,-5529,12191,291,438,-1820,745450,75
123,-5746,11453,406,532,-1907,755599,76
-1789,-5386,9895,495,490,-1999,765447,77
-3793,-4416,8680,535,192,-2093,775601,78
-3886,-3257,6505,495,-62,-2199,785456,79
-3957,-2566,6157,411,-378,-2271,795606,80
-3122,-1684,5820,339,-699,-2281,805452,81
-190,45,5177,256,-1084,-2308,815320,82
5589,1131,4444,162,-1474,-2352,825475,83
8356,-775,5591,81,-1630,-2380,835597,84
-3733,-4015,6704,116,-1392,-2129,845462,85
-11000,87,9685,145,-654,-1467,855324,86
-10755,5958,8351,142,-35,-1051,865463,87
-9553,6564,6944,103,37,-726,875323,88
-9082,5060,7455,39,-45,-334,885463,89
-9461,6569,10286,-14,-54,88,895324,90
-8758,8015,11604,-39,-31,489,905489,91
-7994,7863,12399,-35,-48,900,915877,92
-7567,7711,13200,-36,-84,1339,925540,93
-7600,7793,13636,-32,-156,1769,935444,94
-7226,7309,14228,-10,-215,2176,945330,95
-6602,6558,14459,26,-259,2553,955476,96
-6364,5351,14809,76,-299,2909,965333,97
-6082,4150,14852,133,-360,3261,975470,98
-5455,2615,14706,200,-483,3598,985344,99
-4906,597,14224,272,-695,3899,995492,100
-4176,-1072,13256,346,-1042,4149,1005351,101
-2309,-2637,12052,398,-1532,4309,1015509,102
1760,-3244,10691,421,-2080,4348,1025377,103
8724,-5717,12513,433,-2329,4223,1035520,104
13846,-9920,10037,567,-2236,4145,1045383,105
18270,-13198,8591,616,-2001,4036,1055249,106
22497,-12600,7673,670,-1671,3899,1065470,107
24983,-9779,5017,681,-1219,3651,1075289,108
24785,-5451,2094,631,-894,3245,1085493,109
22232,-2478,279,487,-907,2654,1095361,110
21633,-841,511,276,-1106,2037,1105239,111
23184,612,1335,89,-1197,1497,1115446,112
22968,2031,3054,-45,-1019,1032,1125893,113
20649,3004,4613,-127,-698,634,1135506,114
18315,4053,3739,-179,-382,327,1145385,115
22110,4702,-1442,-276,-188,60,1155404,116
29716,4595,-9894,-343,-419,-341,1165345,117
29543,-11,-27794,-865,-575,-1111,1175239,118
5642,-17611,10906,-649,-188,-1936,1185463,119
-27274,-8715,12319,-257,1193,-1375,1195374,120
-31773,-766,8978,-356,3020,-377,1205205,121
-4049,1620,14546,-248,1520,419,1215387,122
11625,4688,18694,-487,-217,77,1225374,123
1555,3064,21728,-806,-658,-421,1235353,124
-971,-1917,16895,-946,-28,-24,1245252,125
-952,177,14270,-922,275,8,1255215,126
-5577,832,12061,-962,-113,-187,1265400,127
-6977,415,9007,-991,-638,-162,1275353,128
-4747,-888,6266,-914,-942,-123,1285262,129
-1143,-1113,5356,-802,-708,-68,1295230,130
1216,2841,5829,-723,-39,23,1305144,131
-3363,4270,4810,-622,631,-130,1315385,132
-11237,3381,2493,-559,810,-408,1325658,133
-15006,3924,1908,-467,506,-611,1335365,134
-12579,1935,2808,-362,32,-746,1345271,135
-6122,693,4945,-288,-329,-818,1355252,136
-1400,526,6366,-215,-370,-889,1365236,137
-971,659,7249,-175,-180,-933,1375149,138
-1831,872,7444,-136,45,-897,1385391,139
-2094,1175,7767,-90,120,-842,1395366,140
-2166,976,8346,-57,80,-804,1405310,141
-2061,437,8958,-23,56,-782,1415262,142
-1944,343,9642,-9,56,-771,1425146,143
-1627,859,9576,-5,38,-767,1435109,144
-1636,1100,9194,-2,-8,-770,1445354,145
-1561,842,8746,4,-47,-758,1455282,146
-1073,870,8498,5,-43,-724,1465262,147
-616,1417,8445,-1,-3,-685,1475247,148
-874,1729,8721,-3,54,-657,1485234,149
-1127,2020,8438,-14,76,-636,1495169,150
-1663,1847,8479,-29,88,-630,1505136,151
-1567,1632,8530,-40,68,-612,1515129,152
-1202,1637,8662,-48,27,-615,1525163,153
-1053,1620,8587,-56,2,-615,1535747,154
