xac,yac,zac,xang,yang,zang,tempo,amostra
-1696,1735,9276,47,44,-925,1,0
-2398,2224,8852,17,64,-922,8539,1
-2207,2339,8238,7,-28,-937,18373,2
-1681,1970,7866,1,-146,-961,28535,3
-931,1719,7608,10,-193,-972,38387,4
-508,1795,7505,10,-173,-957,48223,5
-328,1803,7617,11,-138,-928,58173,6
-372,1766,7745,7,-102,-900,68325,7
-343,1626,7976,2,-68,-870,78455,8
-222,1521,8090,-2,-42,-852,88279,9
-203,1596,8317,-13,-19,-846,98885,10
-123,1580,8284,-27,14,-841,108414,11
54,1561,8386,-41,52,-840,118260,12
230,1492,8177,-48,96,-845,128427,13
253,1444,8138,-61,153,-855,138265,14
461,1303,8109,-68,204,-870,148431,15
191,1465,7792,-73,246,-892,158275,16
-538,1595,7189,-74,241,-920,168437,17
-207,1698,7104,-78,195,-958,178281,18
518,1268,7312,-74,169,-997,188142,19
992,949,7343,-72,202,-1032,198188,20
1048,619,7404,-73,264,-1060,208189,21
1194,429,7675,-72,318,-1090,218388,22
1225,6,7850,-64,363,-1129,228571,23
1241,-14,7208,-56,373,-1169,238097,24
867,-173,8659,-42,350,-1224,248288,25
1253,-127,7514,-34,406,-1260,258166,26
2229,-443,8085,-5,354,-1309,268347,27
1625,-632,7857,20,381,-1369,278158,28
2036,-713,7417,46,399,-1415,288329,29
2312,-874,7238,61,426,-1480,298501,30
2855,-1020,7262,64,488,-1541,308371,31
3047,-1747,8718,71,579,-1601,318228,32
2424,-5746,7600,176,522,-1618,328434,33
2733,-5227,4882,275,455,-1720,338298,34
2535,-2114,7641,99,653,-1772,348149,35
5014,-4855,10353,101,914,-1746,358328,36
2658,-5727,10873,163,973,-1849,368160,37
1198,-4784,10701,185,1010,-1915,378352,38
1513,-4926,9859,194,987,-1963,388231,39
1360,-5286,9529,178,1002,-2065,398126,40
1626,-5476,9267,117,1146,-2132,408319,41
1212,-5990,9802,53,1422,-2191,418166,42
-263,-6184,8927,4,1775,-2236,428361,43
-2646,-5854,8876,-43,1997,-2280,438224,44
-5095,-4879,9470,-111,2130,-2313,448123,45
-5690,-3281,11047,-129,2149,-2286,458332,46
-4482,-2534,13261,-45,2195,-2230,468201,47
-3643,-813,10711,134,2266,-2106,478099,48
-379,-380,8149,200,1859,-1945,488355,49
5932,-1661,7507,244,995,-1886,498215,50
11647,-3231,4297,204,-199,-2021,508751,51
11940,-4131,5580,145,-949,-2336,518321,52
6351,-3635,5845,-35,-776,-2519,528178,53
-1426,-2296,4703,-151,-311,-2334,538051,54
-9353,-477,5838,-11,-62,-1958,548291,55
-14019,2434,5513,178,209,-1413,558168,56
-13482,4361,7532,291,416,-796,568046,57
-8420,4589,9300,438,336,-347,578286,58
-3891,4525,9489,552,69,-116,588203,59
-1905,5131,9197,570,-119,117,598100,60
-1631,5884,8848,510,-249,488,608212,61
-2293,6155,7899,429,-393,943,618019,62
-3157,6144,8168,377,-555,1413,628226,63
-3316,6412,8341,369,-730,1853,638148,64
-2413,6542,7954,360,-878,2236,648033,65
-1272,6584,7325,350,-979,2555,658269,66
-283,6380,6894,334,-1020,2829,668171,67
205,5540,6297,323,-1006,3070,678078,68
501,4777,5639,296,-952,3295,688041,69
912,4261,5216,242,-890,3512,698290,70
1718,3562,4988,191,-815,3702,708193,71
2633,2479,4958,136,-716,3855,717970,72
3156,1110,4677,76,-586,3984,728210,73
3141,-3,5098,-1,-474,4109,738138,74
3164,-469,5627,-107,-408,4230,748036,75
2832,-851,6151,-231,-438,4335,757911,76
2313,-1529,6342,-364,-598,4408,767801,77
1879,-2575,6581,-480,-878,4455,777946,78
1530,-4006,6809,-583,-1187,4495,788037,79
1581,-5661,6963,-658,-1461,4553,797932,80
2374,-7336,6737,-700,-1639,4641,807807,81
6321,-7708,6762,-769,-1674,4733,818005,82
11197,-11028,9111,-727,-1259,4744,827847,83
