xac,yac,zac,xang,yang,zang,tempo,amostra
-9319,-13907,12951,100,423,439,1,0
-7431,-14292,12790,141,304,594,8094,1
-6096,-14398,12511,168,249,724,17919,2
-5332,-14387,12075,196,216,841,28038,3
-4929,-14395,11498,218,163,959,37887,4
-4546,-14369,11268,251,80,1082,48033,5
-4324,-14617,10790,285,-25,1202,57898,6
-3860,-14414,10837,305,-156,1339,69571,7
-3121,-14010,10929,330,-292,1460,78069,8
-2758,-13320,11197,363,-389,1539,87900,9
-2767,-13313,11500,392,-455,1604,98056,10
-2706,-13163,12019,425,-497,1683,107883,11
-2973,-13154,12454,469,-507,1776,118041,12
-3598,-12711,11935,520,-477,1856,128056,13
-4204,-12145,11513,545,-469,1917,137918,14
-4506,-11753,11455,559,-523,1991,148064,15
-4501,-11366,11461,572,-613,2063,157973,16
-4539,-10692,11994,575,-700,2111,168108,17
-4759,-9974,12409,580,-771,2135,177948,18
-5851,-9061,12625,585,-802,2105,188087,19
-6765,-8392,12911,577,-817,2063,198325,20
-7216,-7603,13529,574,-854,2060,207952,21
-7467,-6843,13885,586,-884,2073,218085,22
-7143,-5870,14452,582,-883,2074,227938,23
-6327,-5325,15464,580,-826,2057,237785,24
-5950,-5052,15439,611,-689,2004,247930,25
-5837,-5028,14986,633,-500,1944,257879,26
-5408,-4933,14618,644,-300,1905,268061,27
-4770,-4482,14668,644,-119,1887,277930,28
-4278,-3886,14896,645,34,1878,287791,29
-4356,-3046,14950,654,170,1870,297942,30
-4814,-1962,15411,650,321,1858,307785,31
-5370,-1526,15052,681,512,1836,317941,32
-6295,-1570,13872,732,688,1804,327930,33
-6795,-1060,12926,742,767,1798,337798,34
-6823,-107,12862,727,722,1835,347953,35
-6681,722,12707,759,630,1863,357817,36
-7130,1551,12121,775,534,1862,367973,37
-6325,2833,12045,748,417,1928,377839,38
-5204,3556,12438,770,359,2007,387736,39
-4389,3610,12252,831,395,2040,397939,40
-3598,3928,11515,871,481,2055,408484,41
-3066,4830,10465,920,562,2052,417809,42
-2961,5619,9459,954,609,2040,427976,43
-2520,6864,8912,970,620,2056,437878,44
-1413,9070,9108,945,630,2091,447793,45
-289,10256,8978,933,672,2049,457711,46
247,9320,8834,954,747,1921,467932,47
730,7748,8717,978,860,1771,477818,48
728,6420,8302,986,970,1605,487700,49
-230,6136,7898,936,1002,1409,497898,50
-1001,6072,8009,847,949,1251,507792,51
-753,5277,8128,753,854,1174,517646,52
198,3446,8126,685,755,1145,527821,53
1513,1543,6145,680,690,1102,537700,54
2346,11826,-121,654,824,936,547920,55
1772,30516,-9550,273,873,128,557849,56
5765,30419,-6248,-43,820,-624,567768,57
12288,17286,5730,-11,-1316,-261,577706,58
11124,-5789,17151,29,-2653,-260,587639,59
4641,-17366,18450,-60,-2403,-833,597835,60
-1672,-18398,21268,114,-1090,-1099,608054,61
-3737,-10822,11631,418,414,-1059,617755,62
-3738,-2255,3795,291,732,-873,627679,63
-3648,1385,2254,119,277,-666,637868,64
-3133,1170,3650,90,-218,-465,647814,65
-2444,-331,7157,8,-309,-352,657771,66
25,-2066,9297,-12,-31,-224,667691,67
2187,-1811,6323,79,77,-121,677611,68
1105,-885,4947,50,-127,-113,687839,69
-800,-825,6978,-25,-387,-179,697753,70
-1065,-1592,8728,-34,-466,-227,707689,71
815,-1693,8985,-28,-416,-196,717605,72
3469,-1150,8237,-22,-330,-199,727560,73
4788,-839,7956,-25,-166,-257,737783,74
4161,-873,7284,-32,55,-308,747707,75
2224,-1267,6809,-51,270,-362,757582,76
-461,-1566,5944,-72,301,-419,767549,77
-2574,-1477,6400,-120,142,-441,777760,78
-3646,-1794,7119,-142,-87,-394,787703,79
-3258,-2151,7410,-134,-262,-289,797657,80
-1846,-2242,7938,-126,-308,-171,807591,81
-32,-1967,8168,-110,-302,-94,818052,82
892,-1448,7783,-92,-267,-83,827555,83
728,-1254,7386,-82,-235,-123,837791,84
-91,-1158,7566,-85,-217,-172,847730,85
-1207,-1471,7333,-81,-179,-195,857722,86
-1693,-1644,7521,-77,-158,-185,867688,87
-1461,-1516,7509,-74,-189,-144,877653,88
-1054,-1450,7413,-77,-262,-108,887606,89
