xac,yac,zac,xang,yang,zang,tempo,amostra
3141,10336,6091,-703,-1153,-1981,1,0
3476,10861,5274,-699,-1294,-2094,5051,1
3396,11234,4098,-677,-1543,-2161,14865,2
3993,11744,3035,-629,-1784,-2214,25010,3
4998,10940,1537,-586,-2066,-2230,35125,4
4844,9233,100,-510,-2329,-2143,44952,5
4361,6166,-363,-442,-2382,-2012,54988,6
899,2946,642,-344,-2538,-1907,64778,7
-6523,2057,4413,-355,-2699,-1956,74913,8
-13110,1705,7960,-488,-2451,-2167,85073,9
-15070,-926,6928,-408,-1921,-2269,95101,10
-12659,-3826,4576,-199,-1652,-2039,104951,11
-9092,-6122,3312,-20,-1602,-1590,114759,12
-6209,-7628,5548,40,-1844,-1075,124913,13
-3163,-8015,6560,39,-2146,-507,135102,14
-434,-8375,8660,99,-2062,-51,144961,15
1011,-9240,11299,108,-1910,242,154770,16
1054,-10825,12952,161,-1650,506,164931,17
-367,-10905,13693,285,-1121,716,174760,18
-4197,-10266,12940,524,-525,869,184921,19
-6616,-10478,12045,680,109,970,194967,20
-5619,-11218,11951,873,655,1220,204753,21
-2581,-9894,13648,860,921,1547,214938,22
-723,-9451,14337,891,858,1934,224771,23
-947,-9429,12644,991,1208,2072,234945,24
-1877,-9586,11946,1062,1643,2187,245007,25
-2202,-9040,10285,1174,1853,2440,254833,26
-3001,-7662,9275,1230,1977,2694,265006,27
-3830,-6859,8736,1299,2049,2897,274833,28
-4290,-5820,7998,1412,1972,3104,285003,29
-5227,-5282,7745,1458,1733,3308,294830,30
-5956,-5505,7452,1522,1488,3507,305261,31
-5033,-5335,7861,1617,1233,3725,314784,32
-3167,-3833,8022,1692,898,3949,324967,33
-2073,-1231,8604,1752,645,4113,334806,34
-2351,738,8788,1796,484,4257,344691,35
-3438,2046,8352,1847,372,4389,354849,36
-4781,2481,8373,1918,245,4492,364707,37
-6240,3114,8080,2030,185,4543,374881,38
-6252,4674,9065,2092,246,4548,384750,39
-5448,6391,9478,2163,230,4557,394934,40
-4659,7654,10296,2195,337,4513,404704,41
-5466,7967,10298,2182,509,4419,414835,42
-6841,8218,10159,2093,580,4348,424690,43
-8671,10527,9912,1976,615,4228,434863,44
-9275,12201,11658,1705,645,4109,444758,45
-8630,12770,12470,1481,728,3961,454633,46
-7470,11867,13035,1233,833,3623,464820,47
-6788,9774,13703,1037,1062,3152,474688,48
-11599,6837,11976,992,1424,2488,484866,49
-18820,6208,10744,903,1519,1753,494753,50
-20119,6765,12007,646,1148,972,504702,51
-13899,6297,14055,319,717,32,514818,52
-7091,5394,13444,3,767,-913,524681,53
-6444,4634,11750,-302,1144,-1614,534863,54
-9597,3498,11783,-569,1521,-2137,544768,55
-7958,-51,6904,-603,1922,-2540,554658,56
5134,-2214,-1882,-261,2003,-2583,564846,57
25515,934,-529,-151,1399,-1869,574717,58
-31299,5053,10649,-337,134,-813,584605,59
