xac,yac,zac,xang,yang,zang,tempo,amostra
1149,-8372,7153,216,285,67,0,0
3006,-6449,6498,344,231,110,7620,1
3447,-6492,5841,444,294,131,17710,2
2603,-6944,5180,513,412,152,27753,3
1088,-7286,3961,553,543,136,37779,4
-401,-8064,2696,453,458,79,47877,5
-5203,-8007,10167,346,366,30,57742,6
-3264,-4549,9768,409,786,59,67778,7
-3293,-1506,11118,394,984,-58,77589,8
-3445,-140,10956,397,949,-195,87571,9
-5685,388,10109,377,833,-406,97628,10
-6291,2461,8929,357,682,-552,107733,11
-4501,4298,7509,323,539,-730,117731,12
-2637,4775,6715,288,435,-946,127732,13
-1862,4832,5438,232,328,-1121,137732,14
-720,4914,4856,164,330,-1289,147740,15
1332,5625,4845,63,349,-1451,157737,16
4172,7314,4629,-9,436,-1573,167739,17
7043,8180,4101,-67,676,-1698,178396,18
6747,7650,2848,-130,966,-1815,187569,19
4850,3347,792,-189,1130,-1870,197606,20
2471,-2008,2510,-178,1100,-1913,207604,21
-564,-4977,4232,-104,1128,-1847,217605,22
-3089,-4666,5067,-19,1216,-1639,227882,23
-3747,-1487,5765,47,1239,-1383,237606,24
-3126,1993,6746,80,1300,-1187,247607,25
-3033,1754,6748,103,1346,-1070,257612,26
-3053,-861,6110,133,1176,-959,267623,27
-2861,-2646,5116,168,792,-814,277649,28
-2017,-2528,4068,190,330,-609,287700,29
-509,-652,3794,198,-56,-361,297441,30
1430,1855,3700,199,-252,-105,307647,31
2966,3020,3618,184,-322,116,317406,32
3518,3283,3510,151,-336,311,327443,33
3148,3462,3471,116,-367,485,337460,34
2859,3664,3614,65,-421,627,347480,35
3575,3374,4306,21,-459,770,357487,36
4892,2707,5327,-7,-427,918,367496,37
5690,2337,6732,-33,-348,1047,377525,38
5055,2666,6026,-62,-288,1146,387587,39
3585,2999,6849,-124,-300,1224,397625,40
2781,2853,8019,-169,-348,1275,407687,41
2902,2517,8920,-198,-463,1312,417455,42
3364,2246,9799,-218,-565,1350,427560,43
3752,2082,10298,-221,-584,1392,437620,44
3944,1897,10714,-213,-569,1432,447374,45
3846,1869,10723,-207,-553,1463,457439,46
4035,2040,10669,-204,-561,1485,467484,47
4226,2062,10784,-202,-580,1488,477523,48
4373,1983,10827,-195,-583,1477,487312,49
4595,2049,10474,-178,-600,1452,497352,50
4132,1862,9925,-166,-630,1430,507514,51
5540,1742,9568,-150,-677,1342,517310,52
3300,1826,9533,-149,-551,1343,527356,53
4481,1390,8303,-135,-511,1384,537415,54
3753,990,8634,-127,-674,1234,547506,55
3508,760,9017,-110,-670,1143,557298,56
3698,818,9032,-81,-651,1073,567354,57
4016,728,8861,-68,-626,1010,577438,58
3367,503,8913,-58,-590,953,587504,59
2117,567,9027,-45,-537,910,597284,60
869,749,8702,-32,-532,890,607914,61
522,566,7822,-33,-586,895,617449,62
1415,-70,7821,-34,-658,896,627501,63
2076,-562,8095,-29,-669,877,637307,64
2180,-413,8616,-22,-621,860,647374,65
1742,-407,8843,-11,-545,847,657460,66
1427,-616,8891,-4,-490,820,667506,67
1417,-717,9046,-2,-442,804,677313,68
1427,-612,9020,-5,-410,796,687374,69
918,-748,9194,-6,-384,786,697484,70
46,-1055,9206,-1,-383,781,707245,71
-550,-1242,9142,9,-407,781,717270,72
-670,-1167,8896,22,-460,784,727363,73
-579,-1413,9018,38,-541,769,737467,74
-715,-1463,9180,55,-614,745,747245,75
-1072,-1366,9022,73,-672,729,757351,76
-1349,-1020,8839,91,-733,711,767449,77
-1087,-707,8738,111,-799,681,777241,78
-542,-537,8495,124,-853,648,787353,79
-192,-359,8493,131,-879,618,797438,80
92,-260,8192,135,-862,590,807242,81
524,-298,8088,134,-807,563,817394,82
1215,137,7572,122,-692,536,827214,83
2238,384,7328,106,-524,509,837326,84
3885,605,6619,81,-351,467,847396,85
6306,1052,5999,40,-195,373,857213,86
9160,1356,5703,2,-33,229,867325,87
11760,1562,5658,-50,132,35,877397,88
13814,972,6528,-107,297,-195,887220,89
14390,451,6119,-139,403,-457,897364,90
10668,341,7619,-180,465,-727,907200,91
2889,783,9054,-176,621,-909,917282,92
-6001,1740,9488,-161,792,-929,927387,93
-13768,2641,8940,-124,845,-796,937234,94
-17756,3137,6987,-117,890,-543,947398,95
-14382,2535,4131,-162,806,-225,957242,96
-3863,515,3204,-229,563,15,967377,97
7404,-964,4676,-288,446,22,977235,98
11933,-455,7790,-314,711,-192,987378,99
5161,1726,8804,-306,1417,-441,997238,100
-4399,2138,7469,-307,1955,-522,1007382,101
-9810,1021,6570,-304,1974,-444,1017866,102
-9547,-433,6007,-301,1641,-319,1027270,103
-5804,-1092,6815,-283,1154,-296,1037405,104
-2822,-794,8627,-251,794,-394,1047272,105
-1551,378,10498,-217,620,-531,1057396,106
-1467,1480,11458,-194,573,-628,1067256,107
-1595,1725,11315,-162,461,-701,1077198,108
-2296,1252,11071,-134,273,-815,1087326,109
-3732,1339,10452,-89,5,-944,1097152,110
-4299,2654,9347,-50,-370,-1052,1107271,111
-4020,3906,7190,-29,-755,-1183,1117125,112
-3186,4218,5168,-70,-979,-1290,1127198,113
-1924,3389,2953,-147,-1049,-1338,1137317,114
-705,2192,1139,-203,-1006,-1363,1147151,115
744,1828,321,-241,-927,-1353,1157280,116
2374,2647,406,-273,-722,-1292,1167132,117
3598,3021,1426,-298,-424,-1191,1178378,118
4147,1675,3486,-282,-232,-1096,1187119,119
3470,-210,5777,-233,-108,-1022,1197273,120
2873,-1415,6677,-153,-82,-921,1207138,121
3038,-2578,7347,-70,-187,-802,1217286,122
3527,-4473,6769,15,-219,-707,1227939,123
3810,-6762,6437,83,-161,-617,1237266,124
3761,-8293,6852,146,-28,-512,1247166,125
3810,-8538,7557,213,114,-408,1257303,126
4183,-7716,8290,281,239,-325,1267441,127
4249,-6851,8722,350,335,-276,1277312,128
4081,-6705,8885,409,450,-243,1287171,129
3028,-7069,8940,452,549,-241,1297023,130
1371,-6728,9801,492,608,-209,1307167,131
-168,-5179,8898,515,644,-176,1317307,132
-1047,-4325,8930,527,668,-197,1327302,133
-1813,-3863,8879,513,669,-252,1337210,134
-3169,-2797,6087,429,597,-284,1347176,135
-6390,-1798,10064,289,398,-262,1357322,136
-3923,1232,8105,331,652,-287,1367184,137
-3460,2168,6438,303,721,-491,1377101,138
-3646,2628,4455,252,738,-596,1387290,139
-4010,3539,4196,213,823,-725,1397174,140
-2730,5730,1537,175,862,-834,1407045,141
797,8914,1205,92,772,-956,1417187,142
3032,9889,854,-23,758,-1157,1427646,143
4465,8728,585,-136,832,-1331,1437029,144
5366,5376,776,-217,1006,-1481,1447194,145
5032,885,1536,-220,1135,-1569,1457069,146
1634,-1952,746,-119,1096,-1595,1467253,147
-1926,-2090,-1982,-100,908,-1535,1477172,148
-3862,-1915,1178,-99,645,-1400,1487052,149
-4031,170,5065,-41,862,-1117,1497213,150
-3845,4598,7842,0,1487,-686,1507123,151
-3920,6779,8526,32,2068,-300,1517043,152
-4404,4928,7773,65,2211,-82,1527208,153
-3978,1969,6728,71,1846,54,1537175,154
-2468,565,5923,66,1144,238,1547070,155
-337,1499,5153,22,325,434,1557010,156
1787,3033,5264,-46,-412,600,1567199,157
3701,3679,5120,-115,-966,731,1577169,158
5914,3151,5996,-172,-1321,828,1587064,159
7878,1365,7327,-187,-1409,903,1597016,160
9387,-166,8578,-139,-1221,983,1607207,161
10053,-964,8852,-61,-856,1063,1617151,162
8623,-968,8869,14,-445,1145,1627065,163
6655,-226,8131,55,-95,1191,1637634,164
5308,758,7429,41,40,1187,1647076,165
5232,1755,7461,-38,-27,1172,1657026,166
5545,1909,8781,-138,-190,1133,1666943,167
5573,1812,10102,-226,-346,1067,1677192,168
5902,965,11382,-274,-490,989,1687103,169
6481,544,13148,-262,-579,882,1697058,170
6360,542,13033,-213,-430,875,1706965,171
7131,1090,12298,-158,-421,873,1716916,172
5493,2010,11883,-124,-457,726,1727140,173
3681,2513,10971,-93,-478,644,1737057,174
3277,3008,10428,-72,-596,585,1746955,175
3092,3042,9593,-70,-718,504,1756925,176
2942,2774,9385,-62,-830,441,1766884,177
2698,2793,9161,-45,-864,384,1777100,178
2507,3055,9342,-16,-835,360,1787072,179
2571,3020,8984,14,-763,348,1797047,180
2551,2550,8691,46,-674,338,1806966,181
2151,2206,8357,72,-588,344,1816936,182
1371,2183,8214,88,-505,360,1826913,183
822,2296,7796,95,-462,367,1837182,184
468,1885,7939,96,-481,364,1846929,185
38,1216,7740,105,-540,354,1856901,186
31,543,7985,103,-634,355,1867111,187
39,-268,7961,108,-713,357,1877100,188
128,-762,7744,121,-766,368,1887084,189
196,-1033,7701,134,-810,381,1897072,190
330,-1169,7297,147,-842,398,1907061,191
375,-1371,7057,153,-875,405,1917009,192
473,-1274,6967,154,-905,409,1926970,193
653,-1472,7059,156,-912,420,1936990,194
785,-1364,7010,154,-888,434,1946991,195
895,-1336,7148,151,-837,445,1956962,196
1015,-1142,7150,147,-770,462,1966948,197
1078,-873,7345,139,-712,477,1976949,198
1127,-816,7502,126,-658,490,1986969,199
934,-502,7584,121,-590,517,1996960,200
754,-222,7510,108,-556,534,2006954,201
