xac,yac,zac,xang,yang,zang,tempo,amostra
-3394,6353,5390,-356,211,-2294,0,0
-10565,5320,1363,-237,1108,-2615,11069,1
-16873,4269,-1809,-124,1306,-2821,20917,2
-19330,4113,-1818,-78,904,-2712,31052,3
-19024,5528,-1317,-75,303,-2533,40903,4
-18511,7022,220,-121,-151,-2409,51048,5
-16969,6814,630,-160,-662,-2203,60963,6
-15232,6005,1738,-190,-1042,-1908,70795,7
-14727,4787,2380,-218,-1252,-1691,80921,8
-15907,2593,4009,-252,-1384,-1569,91056,9
-17457,989,6412,-317,-1545,-1381,100914,10
-20196,-171,6127,-286,-1665,-1211,110963,11
-20283,-750,7684,-311,-1668,-1082,121035,12
-20717,-1431,7341,-298,-1784,-955,130914,13
-18699,-1821,8693,-300,-1744,-768,140786,14
-16311,-2832,10989,-340,-1680,-604,150923,15
-15470,-3191,14482,-413,-1449,-526,160791,16
-15816,-4289,15891,-407,-929,-546,170931,17
-16697,-5092,14939,-319,-301,-564,180799,18
-17147,-5477,13638,-287,123,-538,190940,19
-18278,-6209,13210,-283,429,-505,200804,20
-18659,-7931,11885,-262,693,-465,211105,21
-18261,-8832,10631,-246,775,-368,222386,22
-17227,-9199,9693,-227,767,-209,230809,23
-17281,-9307,9421,-226,758,-72,240848,24
-17458,-9439,9024,-211,746,79,250744,25
-16995,-9792,9036,-200,700,231,260918,26
-16219,-11106,9080,-172,613,412,270809,27
-14608,-11583,9687,-173,527,596,280791,28
-12708,-12227,10865,-186,439,742,290946,29
-11610,-13793,10432,-129,543,850,300819,30
-8946,-14431,10958,-125,589,1036,310746,31
-6618,-14391,11132,-103,672,1209,320675,32
-5837,-14754,11267,-70,798,1339,330832,33
-5306,-15421,11775,-69,856,1515,340702,34
-5014,-15498,12407,-64,949,1666,350855,35
-4830,-15299,11820,-38,1044,1811,360750,36
-4675,-15022,11420,-33,1145,1949,370946,37
-3993,-15028,11242,-37,1124,2090,380831,38
-3972,-15076,11416,-45,1097,2186,390984,39
-3621,-15271,11256,-44,1029,2280,400860,40
-3615,-15407,11263,-50,928,2355,411320,41
-4305,-15740,11256,-53,825,2389,421481,42
-4419,-16129,11321,-51,691,2441,430813,43
-4098,-16133,11381,-44,565,2476,440708,44
-3930,-16346,11827,-36,463,2467,450620,45
-3857,-16175,12326,-28,376,2434,460827,46
-4057,-16151,12521,-12,326,2378,471280,47
-4352,-16218,12579,12,288,2315,480623,48
-4571,-16087,12811,30,224,2237,490840,49
-4513,-16031,13330,42,146,2150,500749,50
-4157,-15823,13682,51,90,2062,510706,51
-4203,-15660,14159,67,93,1967,520699,52
-4859,-15790,14379,82,123,1863,530822,53
-5554,-15330,14039,94,148,1771,540726,54
-5695,-14598,14227,88,122,1697,550658,55
-5163,-13824,14390,85,58,1630,560854,56
-4900,-12784,14165,92,37,1560,570789,57
-4891,-11783,13891,95,-4,1497,580713,58
-4869,-10962,13781,90,-69,1457,590626,59
-4656,-10051,13812,94,-97,1436,600555,60
-4911,-9414,13495,111,-72,1438,610770,61
-5301,-8748,13169,119,-36,1459,620789,62
-5780,-8095,13120,124,7,1482,630718,63
-6969,-7236,12035,173,70,1529,640654,64
-9330,-6222,11126,220,168,1634,650575,65
-12160,-5578,10170,251,141,1762,660808,66
-14752,-3539,9663,277,86,1780,670732,67
-15571,-708,9532,285,-26,1711,680698,68
-13867,2512,9049,260,-346,1761,690614,69
-9924,5519,9251,229,-740,1944,700566,70
-5537,7579,9922,229,-938,2109,710804,71
-3131,8409,10646,261,-901,2153,720855,72
-3760,8905,11340,285,-674,2018,730785,73
-5955,9218,11693,286,-318,1879,740730,74
-6844,10592,11444,294,54,1826,750697,75
-5114,12423,10189,320,419,1824,760640,76
-2175,13565,8716,349,790,1778,770596,77
-725,12953,7815,348,1151,1618,780558,78
-1362,11960,7029,331,1396,1436,790795,79
-2567,11767,6224,309,1467,1340,800755,80
-2937,11429,5731,273,1340,1291,810757,81
-2841,11193,5371,229,1019,1250,821273,82
-1400,10955,5386,178,700,1340,830665,83
468,10455,5709,139,351,1272,840612,84
1750,8752,5918,124,71,1144,850596,85
3175,7311,5883,118,-48,1040,860572,86
4428,6538,5991,114,-76,907,870524,87
5095,5705,6179,119,-31,789,880474,88
5404,4959,6102,130,40,606,890438,89
5072,3949,6244,134,93,411,900707,90
4987,2457,5945,139,121,278,910675,91
6771,-182,2840,235,192,162,920627,92
12103,-536,-6235,555,196,109,930641,93
20582,6512,-8767,687,-631,346,940612,94
28821,9878,4326,430,-1757,962,950605,95
19587,10302,10891,151,-1534,500,960594,96
-638,3697,15806,-95,-408,-519,970585,97
-18799,-1473,10988,19,491,-944,980574,98
-16867,-2629,6087,64,250,-931,990545,99
-3248,-5227,6660,71,-1462,-557,1000790,100
7749,-5167,12209,97,-1976,-157,1010481,101
10066,-1272,13468,163,-1046,-265,1020465,102
6845,-727,11870,264,-81,-582,1031285,103
4954,-2931,7614,384,441,-667,1040532,104
2190,-3977,4150,371,582,-725,1050511,105
-2130,-4236,2967,271,351,-727,1060498,106
-4161,-4551,5751,200,-71,-602,1070499,107
-2972,-3710,6312,213,-327,-464,1080499,108
516,-1486,6698,184,-536,-431,1090443,109
2908,-180,7849,166,-553,-498,1100442,110
3314,-161,7726,172,-322,-535,1110444,111
1598,-601,7261,150,-109,-566,1120443,112
-862,-1850,6873,137,-18,-557,1130597,113
-1774,-2038,6288,118,-57,-508,1140466,114
-1712,-1914,5906,87,-164,-463,1150488,115
-855,-1732,5889,58,-250,-428,1160499,116
28,-1539,6301,32,-277,-395,1170499,117
577,-1775,6723,17,-239,-384,1180499,118
595,-1759,7004,12,-164,-383,1190501,119
189,-1705,7155,11,-78,-389,1200504,120
-520,-1841,7284,16,-28,-383,1210526,121
-960,-2020,7226,19,-23,-374,1221836,122
-1078,-2016,6846,16,-56,-372,1230397,123
-763,-2005,6281,15,-81,-370,1240539,124
-368,-2389,6392,11,-106,-374,1250530,125
-172,-2418,6701,12,-101,-378,1260532,126
-256,-2603,6794,16,-66,-380,1270535,127
-55,-2815,6594,16,-15,-395,1280382,128
-123,-2412,6667,14,58,-416,1290387,129
-1166,-1983,6682,9,125,-421,1300386,130
-1879,-1586,6716,2,166,-407,1310387,131
-2476,-1306,7019,-1,141,-387,1320396,132
-2872,-1260,7161,-1,98,-345,1330396,133
-2672,-1092,7200,-1,47,-303,1340476,134
-2162,-1112,6999,0,6,-274,1350509,135
-1775,-1180,6845,-1,-12,-250,1360239,136
-1525,-1288,6728,1,-26,-236,1370241,137
-1322,-1288,6661,-2,-43,-233,1380246,138
-1400,-855,6551,-5,-72,-241,1390258,139
-1245,-1019,6667,-13,-120,-256,1400258,140
-842,-846,6361,-25,-163,-281,1410261,141
-349,-1001,6331,-38,-194,-322,1420278,142
-110,-1433,6447,-49,-204,-360,1430321,143
-38,-1443,6369,-60,-191,-404,1440879,144
-453,-2068,6358,-69,-158,-453,1450360,145
-1064,-1468,6165,-76,-124,-484,1460395,146
-1772,-1545,6357,-86,-126,-516,1470414,147
-1816,-1530,6398,-93,-131,-532,1480223,148
-1587,-1731,6601,-100,-115,-554,1490262,149
-2122,-1615,6948,-102,-102,-571,1500280,150
-2257,-1554,7605,-85,-129,-581,1510341,151
-2279,-1326,7875,-85,-91,-555,1520397,152
-2572,-1421,7650,-77,-6,-580,1530434,153
-3719,-1659,7188,-65,14,-595,1540180,154
-4575,-1558,6842,-53,-46,-554,1550224,155
-3707,-1290,7354,-39,-137,-526,1560275,156
-2706,-1231,7627,-31,-162,-532,1570324,157
-2957,-1131,7256,-22,-117,-541,1580404,158
-3427,-1141,7005,-18,-85,-521,1590433,159
-3811,-1336,6784,-13,-87,-512,1600203,160
-3891,-1248,6850,-8,-116,-512,1610288,161
-3620,-794,6641,-4,-134,-505,1620410,162
-3715,-586,6989,2,-128,-491,1630156,163
-4821,-287,7604,18,-144,-464,1640546,164
-5777,144,6976,33,-213,-432,1650261,165
-5944,862,6878,39,-302,-415,1660298,166
-5447,852,6145,29,-412,-377,1670394,167
-4974,504,6926,25,-465,-317,1680153,168
-5109,630,7795,36,-547,-274,1690231,169
-5000,716,7487,37,-548,-243,1700288,170
-4637,727,8083,9,-561,-252,1710367,171
-4336,866,7422,-18,-552,-229,1720142,172
-4086,663,6555,-57,-505,-228,1730270,173
-4306,306,6074,-90,-491,-234,1740340,174
-4164,160,5617,-116,-501,-233,1750137,175
-4370,186,5747,-139,-523,-243,1760165,176
-4500,293,5911,-156,-571,-251,1770264,177
-4356,171,6451,-174,-615,-260,1780337,178
-3647,-181,6592,-203,-624,-292,1790143,179
-3357,-461,6515,-232,-602,-337,1800232,180
-3841,-892,6619,-251,-590,-375,1810315,181
-4390,-556,6409,-280,-572,-405,1820137,182
-4592,-871,6079,-306,-584,-450,1830217,183
-4729,-1329,5578,-321,-626,-493,1840314,184
-4754,-925,5510,-330,-670,-534,1850827,185
-4924,-723,5784,-338,-738,-575,1860046,186
-4939,-1093,5932,-354,-808,-624,1870159,187
-4559,-1075,6830,-374,-865,-694,1880278,188
-3484,-158,7386,-402,-902,-809,1890085,189
-2028,901,7991,-413,-842,-948,1900178,190
-1580,2103,8828,-426,-704,-1092,1910337,191
-126,5428,7735,-529,-516,-1235,1920167,192
2924,10283,4405,-693,-105,-1442,1930292,193
532,8929,2862,-611,53,-1682,1940132,194
-4269,4440,5958,-455,-232,-1711,1950258,195
-2536,7305,8459,-451,-579,-1859,1960153,196
2619,13176,9284,-507,-843,-2177,1970282,197
6158,16694,10005,-512,-863,-2402,1980143,198
7106,18230,10496,-501,-754,-2540,1990262,199
7027,18362,11034,-502,-629,-2595,2000093,200
7203,17693,10213,-513,-529,-2589,2010201,201
6463,15557,7973,-588,-456,-2467,2020050,202
3223,11948,5560,-704,-290,-2250,2030184,203
-6268,8006,1687,-771,63,-2275,2040037,204
-23094,8599,-1333,-661,1394,-2839,2050233,205
-30859,6278,-4252,-578,2325,-3494,2060071,206
-30624,3707,-6312,-571,1427,-3478,2070200,207
-24274,5150,-5272,-602,-79,-3031,2080056,208
-18192,7972,-2445,-628,-1061,-2633,2090189,209
-15444,8601,-809,-604,-1323,-2341,2100059,210
-14350,6305,1361,-600,-1471,-2100,2110226,211
-15781,3718,3506,-560,-1390,-1959,2120298,212
-16927,2136,6002,-546,-1101,-1866,2130158,213
-18710,49,5825,-460,-1072,-1724,2140031,214
-19378,-1218,6498,-421,-1074,-1560,2150713,215
-19372,-2034,6753,-405,-1185,-1415,2160234,216
-17541,-3060,8861,-410,-1356,-1103,2170084,217
-15868,-4740,12177,-416,-1260,-859,2180234,218
-14001,-6638,14991,-352,-901,-730,2190090,219
-12680,-8154,16007,-228,-351,-657,2200235,220
-13205,-8969,16050,-89,321,-617,2210104,221
-15449,-9490,15084,7,920,-595,2220240,222
-17010,-9955,14531,61,1245,-529,2230115,223
-17606,-10165,13903,97,1330,-430,2239959,224
-17901,-9994,13317,109,1360,-323,2250102,225
-18158,-10442,12586,116,1324,-190,2260505,226
-18210,-10922,12326,87,1280,-39,2270087,227
-17310,-11233,12329,55,1221,92,2279954,228
-16168,-12101,11867,28,1080,227,2290108,229
-14985,-13022,11618,-14,957,381,2299977,230
-13378,-14171,11623,-57,832,533,2310129,231
-11524,-14795,11604,-93,745,691,2320061,232
-9618,-14922,9967,-58,782,830,2329959,233
-7492,-13728,13102,-219,801,1000,2340117,234
-6198,-16414,13072,-232,856,1127,2349986,235
-5695,-16149,12404,-240,1134,1186,2359921,236
-4434,-16875,11411,-283,1184,1319,2370102,237
-4640,-17878,11300,-332,1234,1396,2379990,238
-4626,-18257,10711,-366,1291,1489,2389890,239
-3718,-17943,10651,-415,1190,1624,2400092,240
-3047,-17919,11143,-455,1069,1725,2409983,241
-2392,-18307,11307,-473,982,1798,2419932,242
-2019,-18569,11383,-469,898,1856,2429834,243
-1420,-18364,11578,-451,801,1907,2439999,244
-697,-18086,11866,-432,718,1938,2449926,245
-733,-18567,11738,-378,684,1948,2459913,246
-1219,-18744,11415,-321,668,1962,2470073,247
-1356,-18775,11857,-287,586,1989,2480067,248
-1776,-18621,11916,-228,502,1987,2489979,249
-1846,-18451,11777,-173,416,1970,2499870,250
-2085,-17898,11877,-118,311,1952,2509834,251
-2644,-17652,12150,-65,202,1942,2520035,252
-3857,-17077,12433,-10,66,1914,2529973,253
-4710,-16191,12908,30,-103,1915,2539876,254
-4745,-15043,13327,77,-246,1930,2549807,255
-4869,-13873,13903,121,-304,1923,2560593,256
-5037,-12743,14453,152,-333,1922,2569992,257
-5560,-11877,14738,202,-299,1924,2579913,258
-5540,-10758,15261,231,-242,1932,2589845,259
-5428,-9343,16013,261,-178,1965,2600052,260
-6267,-7586,15858,292,-86,1993,2610012,261
-7479,-5238,15755,296,7,2008,2619987,262
-8817,-2618,15190,303,60,2040,2629895,263
-10755,86,14490,269,76,2050,2639833,264
-11469,1580,14761,186,-5,2083,2650032,265
-10106,2320,15414,95,-137,2154,2659982,266
-8019,2474,15779,21,-186,2209,2670152,267
-6262,3246,14974,-39,-53,2214,2679813,268
-5735,4763,13430,-95,249,2172,2689734,269
-5831,5792,11816,-119,603,2127,2699984,270
-6913,6506,9386,-112,875,2078,2709909,271
-7175,6847,8554,-116,1012,2081,2719864,272
-6089,7310,7702,-68,1034,2131,2729851,273
-4514,8579,7530,-1,1033,2162,2739791,274
-3518,10493,6754,115,1063,2169,2749727,275
-3334,12362,6091,211,1068,2151,2759981,276
-3512,12003,6460,283,1011,2122,2770527,277
-2702,10363,6648,357,922,2096,2779886,278
-1645,9215,6263,440,847,2043,2789854,279
-996,9146,5950,517,803,1980,2799810,280
-826,9020,5565,587,778,1906,2809748,281
-1465,8397,5406,633,741,1805,2819720,282
-2963,8552,5512,643,644,1732,2829981,283
-1952,8106,5850,590,523,1773,2839923,284
-1351,8139,6254,496,341,1654,2849883,285
-26,8295,6176,408,207,1540,2859860,286
425,7781,5640,330,151,1380,2869843,287
-1215,6266,4940,266,53,1180,2879844,288
-3051,4276,4737,251,-149,994,2889791,289
-2793,2029,2702,313,-368,803,2899756,290
2113,2072,-2135,452,-768,649,2909762,291
14892,6954,-382,473,-1624,728,2919738,292
30969,6380,8332,264,-2824,1179,2929731,293
-28963,-1208,17298,215,-3659,1551,2939712,294
23126,-7160,15495,399,-2703,1123,2949662,295
2100,-3679,7077,734,-671,499,2959910,296
-16153,8048,-3715,668,1201,-198,2970191,297
-13841,9656,2827,38,1512,-1170,2979647,298
-828,-450,12030,53,134,-1547,2989914,299
12659,-3321,11806,210,-790,-1047,2999610,300
12488,-4587,10951,222,-780,-689,3009635,301
656,-2976,8142,164,282,-715,3019617,302
-5549,-1802,2609,136,185,-693,3029612,303
-3679,-2921,5555,50,-507,-736,3039615,304
1583,-4417,6484,63,-611,-843,3049617,305
4405,-5176,7491,79,-419,-749,3059618,306
4366,-4360,8142,114,-213,-541,3069618,307
568,-2166,7852,130,78,-528,3079906,308
-2389,-1542,6443,121,92,-552,3089620,309
-3286,-2200,6757,95,-134,-491,3099622,310
-2353,-2598,6466,83,-344,-357,3109645,311
-609,-2403,6645,66,-437,-266,3119640,312
244,-2289,7023,63,-398,-199,3129641,313
380,-2367,7315,66,-359,-159,3139641,314
40,-2783,7109,73,-343,-142,3149643,315
