xac,yac,zac,xang,yang,zang,tempo,amostra
8527,-7413,-6253,661,1246,-1563,0,0
7204,-9541,-8077,576,1501,-1736,5786,1
4304,-13101,-8043,517,1835,-1817,16011,2
2036,-17420,-8370,550,2152,-1880,25829,3
-1250,-18190,-8986,564,2405,-1919,35665,4
427,-20805,-1883,521,2641,-1878,45787,5
12346,-19087,8805,1202,3222,-1930,55624,6
6188,-7364,-8542,1242,3549,-2014,65744,7
-6381,-3942,2627,1123,3264,-1513,75554,8
-7957,1053,7908,1096,2874,-1460,85689,9
-7100,1843,14924,1126,1234,-1601,96252,10
-7278,4696,5875,798,-1895,-1561,105621,11
-10232,2630,2858,145,-4472,-1340,115754,12
-10585,6216,-1458,-236,-5361,-1145,125619,13
-7660,10218,-4844,-510,-6087,-979,135759,14
-1757,13098,-5411,-884,-6317,-618,145620,15
3174,11371,-136,-1194,-5744,-193,155762,16
5147,7479,6402,-1248,-4734,422,165639,17
5162,3664,10627,-1153,-3498,994,175603,18
-535,4530,12150,-1113,-2413,1435,185759,19
-7069,6339,13026,-1140,-1703,1874,195637,20
-10590,5299,14108,-1177,-1515,2322,205593,21
-9703,2381,15615,-1201,-1467,2757,215755,22
-7990,-308,16934,-1201,-1343,3128,225632,23
-7624,-1829,17669,-1202,-1126,3470,235782,24
-9043,-2822,18617,-1211,-895,3796,245654,25
-10774,-3837,18834,-1242,-797,4085,255528,26
-12846,-5667,18827,-1347,-990,4344,265681,27
-14087,-8541,20024,-1479,-1362,4563,275656,28
-13123,-12345,21734,-1522,-1669,4777,285537,29
-7840,-15204,21147,-1484,-1787,4984,295698,30
-2461,-20257,22533,-1362,-1821,5111,305772,31
813,-21677,23546,-1096,-1361,5308,315660,32
-440,-21024,23470,-866,-631,5531,325546,33
-3907,-20114,20354,-727,58,5715,335704,34
-677,-19053,9832,-822,344,5799,345591,35
30415,-30168,11683,-1264,350,5095,355495,36
30449,-29921,18949,-810,200,3089,365675,37
19019,-9735,25465,-385,1809,3494,375688,38
10864,6519,25415,-547,3448,4940,385582,39
-1842,307,16808,-713,3490,4678,395486,40
-10171,-10557,16443,-869,2569,4380,405498,41
-3876,-14318,18689,-760,1868,4057,415685,42
5369,-11528,20814,-652,1312,3541,425585,43
11985,-8223,22384,-622,1168,3217,435494,44
13494,-6284,23813,-519,1297,2911,445408,45
11855,-5747,24458,-343,1452,2536,455592,46
10555,-5648,24240,-101,1537,2168,465521,47
10475,-4561,24258,178,1525,1855,475427,48
10133,-2654,23697,486,1429,1560,485620,49
8626,-547,21992,745,1148,1225,495534,50
6974,646,19560,929,649,894,505819,51
6279,1684,16593,1061,68,602,515699,52
6798,2088,14970,1113,-450,346,525497,53
7801,1555,14411,1149,-827,123,535418,54
8109,814,14034,1211,-1020,-73,545617,55
8077,992,13362,1285,-1117,-261,555538,56
7720,1400,12406,1359,-1171,-430,565463,57
7544,2151,11523,1401,-1198,-588,575671,58
7020,2254,11028,1461,-1204,-728,585580,59
7026,3156,9817,1474,-1171,-842,595521,60
7163,3292,9962,1446,-1079,-943,605451,61
7457,3058,8574,1415,-951,-1047,615369,62
6390,2823,8880,1381,-849,-1157,625584,63
5305,3443,8224,1378,-731,-1186,635518,64
4932,3640,8815,1362,-647,-1207,645459,65
4095,3642,8856,1396,-619,-1196,655402,66
3689,4480,7387,1346,-674,-1162,665616,67
4608,5242,6023,1240,-817,-1191,675622,68
4973,5167,6141,1126,-899,-1305,685559,69
6779,5583,4904,993,-805,-1398,695515,70
11768,2196,19897,891,-528,-1547,705455,71
24235,1420,5310,1038,-358,-2139,715453,72
13765,-2726,1205,965,-1955,-3271,725417,73
-4403,342,3804,974,-3271,-2513,735362,74
15612,8525,-872,4,-1829,-1488,745314,75
8939,806,-996,-8,-504,-2286,755558,76
-24196,-8477,-12646,251,0,-1316,765522,77
-19616,-7128,-28044,-701,-618,863,775575,78
-5814,-8637,-22725,-188,-919,-206,785550,79
-2189,-12994,-15622,-655,287,-2176,795511,80
1460,-6033,-8658,-560,769,-2546,805462,81
7942,2660,7208,-253,1568,-1872,815448,82
3200,1238,24829,-303,2266,-1023,825503,83
-14489,-11263,24772,-67,2225,-383,835466,84
-22513,-9214,24736,-156,625,214,845436,85
-16690,-6341,6153,-380,-1697,-374,855404,86
-15190,-6549,-932,-406,-2139,-1840,865379,87
1692,3300,-593,-492,-2318,-1885,875333,88
13738,5836,14015,-549,-1008,-1733,885299,89
18596,3470,15698,-392,270,-1530,895549,90
7201,-4819,12031,-335,405,-1023,905524,91
-1311,-3467,9721,-261,340,-501,915690,92
-6027,-1921,8578,-247,217,-549,925458,93
-3522,34,9565,-214,-143,-674,935440,94
2290,997,10303,-210,-373,-608,945435,95
5641,459,10097,-172,-243,-549,955415,96
4235,-769,9044,-145,43,-526,965400,97
1662,-802,9222,-103,252,-491,975485,98
-198,246,9227,-78,348,-477,985484,99
-844,1029,9116,-98,314,-493,995483,100
82,600,9866,-103,228,-523,1005486,101
2086,-111,10763,-79,173,-543,1016139,102
2588,-379,9650,-38,250,-566,1025258,103
1345,-255,7739,-67,239,-564,1035243,104
