xac,yac,zac,xang,yang,zang,tempo,amostra
375,1127,1494,-48.14,28.37,-14.05,1,0
416,1175,1518,-47.80,28.45,-13.98,12419,1
694,1056,1663,-47.47,28.54,-13.89,22338,2
1011,1048,1645,-47.14,28.64,-13.82,32303,3
1215,1073,1420,-46.81,28.72,-13.74,42224,4
1053,1046,1456,-46.47,28.80,-13.65,52126,5
742,1061,1482,-46.14,28.86,-13.57,62339,6
564,1302,1269,-45.80,28.92,-13.49,72311,7
746,1128,1446,-45.48,29.00,-13.40,82225,8
896,1096,1323,-45.17,29.10,-13.33,92188,9
980,1303,1190,-44.86,29.23,-13.26,102352,10
1074,1265,1222,-44.57,29.36,-13.18,112334,11
1374,1172,1252,-44.27,29.50,-13.11,122322,12
1573,1062,1479,-43.98,29.64,-13.02,132239,13
1751,1000,1536,-43.69,29.78,-12.95,142205,14
1696,913,1364,-43.39,29.92,-12.87,152194,15
1902,917,1403,-43.09,30.05,-12.79,162208,16
1616,1036,1399,-42.77,30.17,-12.71,172049,17
1210,1201,1075,-42.45,30.29,-12.62,182330,18
1383,1343,1042,-42.13,30.39,-12.53,192268,19
1661,1259,1096,-41.79,30.51,-12.43,202060,20
1648,1089,1183,-41.44,30.62,-12.33,212128,21
1533,1042,1367,-41.08,30.74,-12.22,222070,22
1808,1063,1181,-40.72,30.86,-12.13,232091,23
1902,1213,1074,-40.35,31.01,-12.02,242061,24
1794,1134,1014,-39.97,31.16,-11.91,252058,25
2112,1221,1094,-39.59,31.33,-11.79,262067,26
2314,1028,1025,-39.21,31.51,-11.67,272105,27
2509,982,1034,-38.81,31.68,-11.56,282071,28
2532,999,1132,-38.40,31.84,-11.43,292066,29
2398,796,874,-37.98,31.99,-11.31,302203,30
2554,830,987,-37.55,32.14,-11.19,312222,31
2649,823,1039,-37.12,32.28,-11.07,322219,32
2816,816,867,-36.67,32.43,-10.95,332219,33
2925,697,850,-36.21,32.58,-10.82,342221,34
2832,559,733,-35.75,32.73,-10.69,352235,35
2817,682,686,-35.28,32.89,-10.56,362236,36
3196,673,510,-34.82,33.07,-10.42,372269,37
3319,504,529,-34.35,33.25,-10.28,382252,38
3046,466,139,-33.87,33.42,-10.13,392238,39
3836,426,347,-33.37,33.59,-9.98,402612,40
4126,336,-362,-32.87,33.74,-9.83,412224,41
3834,357,-3020,-32.33,33.87,-9.67,422228,42
1918,-662,793,-31.77,33.94,-9.53,432242,43
3905,614,-196,-31.19,33.92,-9.42,442242,44
4153,-453,723,-30.61,33.95,-9.27,452234,45
3582,-381,651,-29.99,33.95,-9.14,462235,46
3670,-1167,633,-29.38,33.95,-8.98,471989,47
3666,-2756,-440,-28.78,34.00,-8.82,482050,48
4510,-2040,-336,-28.16,34.06,-8.69,492081,49
5899,-750,1327,-27.49,34.03,-8.57,502089,50
4561,-1898,1891,-26.76,33.91,-8.42,512070,51
3277,-2222,1833,-26.02,33.78,-8.27,522092,52
4034,-1786,1816,-25.24,33.67,-8.11,532097,53
4287,-2245,1531,-24.44,33.60,-7.92,542092,54
3875,-2695,1058,-23.57,33.51,-7.75,552100,55
4172,-2347,1065,-22.66,33.41,-7.58,562090,56
4171,-1987,1072,-21.69,33.26,-7.40,572154,57
3613,-2587,939,-20.65,33.06,-7.24,582130,58
