xac,yac,zac,xang,yang,zang,tempo,amostra
9237,4332,-216,43.38,35.63,-7.34,1,0
9405,3039,693,43.93,35.87,-6.99,8167,1
6918,2565,1639,44.44,36.09,-6.71,18098,2
4886,2256,2098,44.88,36.21,-6.45,28007,3
4420,2569,2057,45.25,36.30,-6.22,38241,4
4237,2990,2100,45.58,36.43,-5.98,48155,5
3904,2869,2516,45.87,36.56,-5.75,58008,6
3658,2831,2773,46.10,36.66,-5.55,67961,7
3579,2751,2981,46.24,36.73,-5.38,78157,8
3569,2739,2536,46.29,36.76,-5.24,88107,9
3402,2936,2323,46.27,36.79,-5.14,97967,10
3405,2989,2055,46.18,36.81,-5.08,108173,11
3198,3076,2101,46.03,36.86,-5.06,118114,12
2502,3276,2373,45.79,36.91,-5.07,128029,13
1786,3541,2696,45.48,36.96,-5.11,137970,14
1804,3784,2753,45.07,37.03,-5.18,148182,15
2290,3904,2606,44.61,37.19,-5.27,158119,16
3236,4002,1421,44.10,37.45,-5.39,168057,17
6915,4855,-4131,43.57,37.90,-5.56,177991,18
20279,6404,-14769,43.23,38.86,-5.84,188264,19
27417,5437,-3589,43.44,40.77,-6.08,198440,20
27245,-855,2960,43.95,42.38,-5.90,207991,21
16465,2174,2554,44.22,43.02,-5.77,217983,22
5512,8841,2640,43.96,42.81,-5.80,228198,23
2742,13017,-212,43.48,42.41,-5.73,238145,24
8341,13337,-3234,43.09,42.35,-5.53,248052,25
19644,10108,-4488,42.94,42.87,-5.34,258022,26
27087,7995,-5825,43.14,43.89,-5.20,268024,27
26972,8343,-6526,43.60,45.02,-5.03,278042,28
26878,8904,-749,44.20,45.96,-4.69,288020,29
19506,8182,5162,44.61,46.29,-4.16,297960,30
6753,10923,3956,44.52,45.74,-3.75,308012,31
1868,16032,0,44.13,44.90,-3.49,318012,32
4932,14409,-677,43.85,44.38,-3.13,328009,33
8845,8815,-1047,43.76,44.27,-2.85,338013,34
6392,5306,726,43.70,44.32,-2.84,348053,35
2436,4627,-773,43.48,44.20,-3.03,358008,36
390,5109,-3275,43.19,43.96,-3.24,368008,37
-1042,3916,-4133,43.01,43.76,-3.40,378016,38
-1198,2204,-4716,42.84,43.62,-3.64,388015,39
-1197,947,-3894,42.69,43.48,-3.91,398376,40
697,-244,-1195,42.58,43.40,-4.19,408049,41
3604,-1130,1475,42.50,43.38,-4.43,418022,42
5378,-1188,3940,42.46,43.45,-4.61,428025,43
5861,-1561,5715,42.46,43.58,-4.71,438025,44
6620,-1970,5872,42.44,43.74,-4.77,448051,45
6212,-3231,5345,42.44,43.95,-4.83,458029,46
4673,-4520,4719,42.45,44.21,-4.92,468031,47
4586,-4822,3477,42.48,44.51,-5.04,478033,48
5531,-4535,2796,42.55,44.88,-5.16,488039,49
5993,-4001,2356,42.65,45.24,-5.27,498082,50
5948,-3718,1811,42.74,45.56,-5.37,507873,51
5318,-3696,1440,42.81,45.80,-5.46,517896,52
5374,-3100,961,42.86,45.99,-5.54,527903,53
6241,-1408,1490,42.90,46.12,-5.60,537903,54
6620,27,1719,42.92,46.17,-5.59,547917,55
6138,685,1599,42.92,46.13,-5.54,557904,56
5165,117,1025,42.88,46.00,-5.46,567904,57
4631,-903,1007,42.84,45.80,-5.37,577905,58
3748,-1749,1520,42.75,45.48,-5.28,587907,59
1390,-3317,2429,42.69,45.11,-5.18,597905,60
-532,-2404,3233,42.74,44.76,-5.01,608403,61
-116,-2156,2321,42.94,44.55,-4.71,617811,62
-226,-3810,555,43.33,44.46,-4.35,627804,63
1903,-3416,178,43.85,44.37,-4.05,638075,64
5032,-1602,1508,44.39,44.17,-3.78,647920,65
3926,-1523,1685,44.99,43.81,-3.44,657916,66
-557,-3321,780,45.66,43.38,-3.07,667914,67
-2108,-4992,548,46.36,42.99,-2.78,677912,68
169,-5026,1020,47.12,42.77,-2.57,687914,69
2995,-3666,1235,47.93,42.71,-2.36,697914,70
4492,-2074,1483,48.80,42.79,-2.11,707768,71
5622,-905,1246,49.71,42.97,-1.80,717784,72
7811,553,-81,50.67,43.26,-1.44,727792,73
11113,1216,1474,51.70,43.69,-1.01,737805,74
7709,254,2635,52.68,44.02,-0.51,747836,75
-2566,-697,3227,53.41,43.96,-0.10,757862,76
-11016,949,5480,53.70,43.33,0.08,767928,77
-12822,1885,6286,53.64,42.42,0.17,777955,78
-8508,2263,5800,53.48,41.73,0.21,787974,79
-5230,1668,5538,53.32,41.35,0.22,797720,80
-3562,1250,5625,53.11,41.15,0.16,807878,81
-1804,1207,5362,52.80,41.04,0.04,817931,82
-445,1497,4809,52.43,41.01,-0.10,827679,83
503,1860,3918,52.02,41.08,-0.27,837707,84
1196,2097,3030,51.60,41.24,-0.44,847792,85
2713,1827,2378,51.18,41.52,-0.61,857824,86
5336,1947,1217,50.81,41.96,-0.83,867839,87
8499,1972,1688,50.51,42.58,-1.03,877864,88
10493,1781,2085,50.30,43.28,-1.20,887667,89
11522,2054,1952,50.13,43.93,-1.34,897710,90
11063,2078,2303,49.99,44.51,-1.46,908397,91
11235,2282,220,49.84,44.95,-1.55,917785,92
11364,2254,556,49.75,45.41,-1.60,927822,93
10419,1692,1359,49.70,45.80,-1.61,937852,94
7392,1786,1155,49.62,46.08,-1.61,947671,95
7407,2802,-272,49.51,46.29,-1.67,957719,96
10437,3143,-696,49.51,46.62,-1.69,967810,97
12701,2316,377,49.63,47.08,-1.67,977860,98
12050,1510,1469,49.78,47.50,-1.62,987674,99
9669,1781,1883,49.88,47.78,-1.60,997746,100
7394,2178,2279,49.90,47.91,-1.59,1007816,101
6396,2853,2687,49.84,47.97,-1.58,1019123,102
6042,3046,2640,49.75,48.03,-1.58,1027684,103
6012,3022,2485,49.61,48.09,-1.60,1037670,104
