xac,yac,zac,xang,yang,zang,tempo,amostra
-9113,-5002,2448,-14.57,4.97,13.08,1,0
-10242,211,979,-13.64,4.05,13.53,12190,1
-10038,1739,3226,-12.82,3.10,13.98,21780,2
-7296,2361,4709,-12.18,2.20,14.38,31960,3
-5470,3698,5048,-11.71,1.45,14.75,41826,4
-5255,5293,4987,-11.46,0.84,15.09,51696,5
-6248,6320,5084,-11.49,0.37,15.34,61927,6
-6949,7425,5344,-11.85,0.05,15.50,71669,7
-6724,8341,5846,-12.54,-0.06,15.56,81829,8
-5618,8825,6171,-13.53,0.09,15.51,91768,9
-4655,8516,6185,-14.82,0.46,15.36,101645,10
-3974,8013,6123,-16.37,1.01,15.09,111815,11
-3331,7320,6335,-18.18,1.70,14.68,121696,12
-2710,6412,6214,-20.23,2.51,14.15,131639,13
-2326,5514,5848,-22.53,3.39,13.47,141816,14
-1605,4384,5808,-25.03,4.34,12.66,151711,15
-776,2918,5859,-27.75,5.30,11.69,161670,16
395,1179,6362,-30.64,6.21,10.56,171878,17
1260,-876,6617,-33.69,7.01,9.25,181815,18
1617,-2826,6927,-36.90,7.65,7.75,191732,19
1516,-4727,7214,-40.25,8.11,6.08,202142,20
1769,-7124,7218,-43.72,8.39,4.24,211859,21
2732,-10165,7724,-47.31,8.51,2.20,223278,22
4382,-13271,8068,-50.95,8.52,-0.02,231779,23
6269,-15930,7986,-54.61,8.48,-2.38,241825,24
8056,-18421,8216,-58.24,8.48,-4.86,251838,25
12261,-19362,7052,-61.80,8.60,-7.40,261818,26
18104,-22484,10840,-65.19,8.98,-9.93,271741,27
22167,-21287,13084,-68.47,9.37,-12.33,281694,28
27150,-18128,14154,-71.63,9.68,-14.50,291694,29
28655,-16277,15963,-74.52,10.00,-16.36,301907,30
25758,-14894,16397,-77.04,10.38,-17.92,311576,31
29104,-8011,12872,-79.31,10.96,-19.22,321565,32
31055,-3387,11062,-81.21,12.06,-20.22,331565,33
30899,-3905,14333,-82.55,13.18,-21.02,341560,34
30807,-2128,18074,-83.14,13.84,-21.51,351564,35
30778,-2528,19703,-82.90,14.05,-21.48,361540,36
30769,-4672,17268,-81.93,14.11,-21.02,371784,37
24405,-2286,12911,-80.58,14.38,-20.29,381749,38
-732,4371,25312,-79.09,15.00,-19.55,391723,39
30584,-29111,2246,-78.38,15.47,-20.19,401759,40
-8141,-1026,12169,-78.19,11.20,-20.40,411785,41
8551,-1580,7415,-77.45,9.50,-19.91,421758,42
22828,-3335,14131,-76.55,9.92,-19.34,431727,43
12918,-7277,5377,-75.34,11.69,-18.85,441727,44
-8935,-2811,729,-74.17,13.25,-18.82,451736,45
-11776,152,9906,-73.16,13.80,-18.86,461735,46
4207,4080,3372,-72.28,14.11,-18.60,471741,47
4543,4350,7131,-71.53,15.20,-18.35,481483,48
-1522,2960,7801,-70.92,16.26,-18.14,491752,49
-616,1532,5092,-70.31,16.76,-17.99,501741,50
199,2082,4977,-69.69,17.00,-17.84,511762,51
112,4637,5316,-69.02,16.96,-17.58,521742,52
-774,2906,4576,-68.28,16.62,-17.26,531447,53
-3066,2435,4150,-67.52,16.09,-16.96,541449,54
-3607,3226,3656,-66.81,15.53,-16.70,551450,55
-4102,2644,4171,-66.19,15.12,-16.51,561453,56
-4287,2553,4699,-65.64,14.91,-16.37,571456,57
-4523,2775,4438,-65.11,14.91,-16.27,581461,58
-4204,2730,3805,-64.55,15.04,-16.15,591458,59
-2802,2427,3513,-63.94,15.27,-15.99,601462,60
-1085,2068,3400,-63.27,15.47,-15.76,611497,61
538,1891,3652,-62.59,15.55,-15.43,621446,62
491,2311,3700,-61.90,15.41,-15.02,631465,63
-488,2808,3519,-61.18,15.02,-14.53,641472,64
-1415,2766,3338,-60.40,14.46,-13.96,651477,65
-2246,2871,3810,-59.63,13.85,-13.39,661482,66
-3115,2884,4417,-58.88,13.31,-12.83,671483,67
-3222,2649,4755,-58.13,12.89,-12.29,681486,68
-2002,2229,4818,-57.37,12.61,-11.76,691489,69
-604,2276,4936,-56.60,12.49,-11.25,701492,70
624,2171,5077,-55.85,12.45,-10.74,711615,71
1301,1966,5333,-55.13,12.41,-10.25,721598,72
1193,1841,5281,-54.44,12.33,-9.78,731420,73
604,1962,5267,-53.77,12.19,-9.32,741470,74
425,2015,5249,-53.12,12.04,-8.89,751477,75
209,1913,5224,-52.46,11.93,-8.46,761484,76
607,1849,5222,-51.81,11.87,-8.06,771491,77
1102,1641,5580,-51.15,11.87,-7.65,781513,78
1619,1399,5783,-50.50,11.93,-7.26,791530,79
2077,1285,5941,-49.86,12.01,-6.89,801537,80
2579,889,5858,-49.22,12.10,-6.52,811424,81
2572,925,5751,-48.59,12.18,-6.15,821370,82
2262,1117,5526,-47.94,12.23,-5.76,831395,83
2092,898,5478,-47.27,12.26,-5.35,841413,84
1743,-935,7571,-46.57,12.28,-4.90,851482,85
2451,288,6547,-45.88,12.25,-4.45,861513,86
1088,255,4322,-45.14,12.19,-3.93,871541,87
1993,-693,4704,-44.38,12.16,-3.41,881561,88
2716,-1121,4990,-43.56,12.17,-2.86,891364,89
4038,-1894,5163,-42.73,12.19,-2.29,901397,90
3462,-2355,5708,-41.85,12.18,-1.71,911440,91
3645,-3404,6364,-40.93,12.11,-1.13,921370,92
6343,-4357,4917,-39.98,12.04,-0.53,931414,93
2269,-5273,7369,-38.99,12.02,0.07,941501,94
4311,-4944,6650,-37.98,11.80,0.69,951260,95
3825,-10063,6993,-36.95,11.65,1.31,961363,96
4544,-10941,4886,-35.91,11.59,1.90,971400,97
2664,-8271,5156,-34.81,11.48,2.54,981488,98
3083,-13016,5581,-33.63,11.12,3.19,991259,99
1177,-14491,5208,-32.39,10.69,3.77,1001363,100
-1468,-14483,3178,-31.02,10.14,4.38,1011385,101
-1090,-14238,2179,-29.55,9.50,4.97,1021208,102
-2867,-15592,1520,-28.00,8.79,5.52,1031244,103
-5165,-15308,236,-26.41,7.88,5.96,1041294,104
-7439,-13862,742,-24.82,6.82,6.33,1051384,105
-8583,-11311,4484,-23.24,5.57,6.63,1061432,106
-10435,-10807,4625,-21.69,4.29,6.96,1071234,107
-7039,-8095,7510,-20.30,2.93,7.34,1081269,108
1391,-2912,6328,-18.93,1.64,7.85,1091369,109
10484,-4632,5973,-17.40,0.71,8.28,1101127,110
13689,-9731,5408,-15.67,0.31,8.54,1111259,111
2700,-9044,2294,-13.89,0.20,8.67,1121200,112
-5047,-6871,5110,-12.44,-0.14,8.74,1131354,113
-8549,-3085,4855,-11.42,-0.73,8.89,1141122,114
-11488,2149,3666,-10.79,-1.55,9.09,1151234,115
-11796,5513,5869,-10.43,-2.54,9.35,1161278,116
-8467,6996,6898,-10.24,-3.49,9.67,1171384,117
-4971,7573,6922,-10.20,-4.16,10.01,1181145,118
-3717,7727,6735,-10.31,-4.51,10.32,1191253,119
-4313,7553,6863,-10.64,-4.60,10.56,1201310,120
-5207,7670,6965,-11.28,-4.43,10.72,1211135,121
