xac,yac,zac,xang,yang,zang,tempo,amostra
2312,-186,5451,157.05,13.55,0.78,1,0
2164,-730,5308,157.66,13.06,1.26,3572,1
2494,-968,5796,158.31,12.59,1.71,13492,2
2331,-1132,6006,159.02,12.13,2.15,23672,3
2292,-1214,7174,159.78,11.66,2.56,33548,4
2710,-1371,7778,160.56,11.16,2.95,43479,5
3366,-1487,8563,161.38,10.65,3.33,53559,6
4077,-1821,9266,162.22,10.13,3.68,63492,7
4342,-2444,9854,163.08,9.58,4.01,73678,8
3885,-3101,10693,163.98,9.01,4.32,83557,9
3352,-3542,10426,164.90,8.41,4.62,93705,10
2811,-4070,10938,165.83,7.80,4.91,103558,11
3083,-4173,10431,166.77,7.26,5.22,113799,12
4136,-4667,10453,167.72,6.76,5.55,123415,13
4083,-4706,9925,168.66,6.28,5.92,133659,14
3702,-4353,9429,169.58,5.80,6.32,143563,15
3807,-2583,8381,170.48,5.37,6.76,153513,16
4765,-538,7439,171.33,5.07,7.23,163401,17
5531,1176,7311,172.12,4.89,7.71,173602,18
4604,2140,7650,172.83,4.78,8.18,183616,19
-1147,1944,5851,173.39,4.66,8.61,193519,20
-6505,1729,5268,173.76,4.48,8.92,203444,21
-8595,2142,6386,173.91,4.25,9.13,213377,22
-6064,3818,4660,173.89,4.12,9.29,223571,23
-1988,4678,3830,173.75,4.27,9.45,233870,24
937,4211,5254,173.52,4.71,9.52,243519,25
2742,3665,6029,173.19,5.29,9.49,253432,26
3578,3416,6843,172.71,5.88,9.33,263383,27
3419,3287,7525,172.09,6.36,9.09,273587,28
2729,3300,7997,171.35,6.66,8.76,283532,29
2314,3524,8144,170.48,6.81,8.36,293448,30
2062,3348,8238,169.47,6.89,7.89,303430,31
1947,2903,8523,168.35,6.96,7.34,313393,32
2032,2285,8865,167.13,7.03,6.70,323588,33
2287,1679,9234,165.82,7.11,5.99,333542,34
3092,950,10042,164.41,7.23,5.22,343472,35
3464,521,10426,162.95,7.39,4.39,353401,36
3917,253,11015,161.43,7.61,3.53,363331,37
5355,-920,11326,159.90,7.93,2.63,373550,38
6899,-2000,12034,158.38,8.43,1.69,383529,39
8805,-1937,13552,156.88,9.13,0.74,393457,40
12415,-1744,13537,155.40,9.94,-0.19,403557,41
16139,-2157,13603,153.92,10.77,-1.09,413496,42
19060,-2143,14541,152.51,11.59,-1.93,423462,43
19954,-1502,16387,151.22,12.30,-2.66,433551,44
20420,-605,15277,150.09,12.77,-3.25,443577,45
21010,692,14627,149.15,13.12,-3.70,453582,46
21958,1219,14555,148.39,13.52,-4.02,463301,47
24393,1795,13736,147.81,14.05,-4.24,473305,48
29875,1841,15646,147.46,14.72,-4.39,483309,49
30580,1114,17268,147.39,15.48,-4.42,493306,50
30481,-3165,13980,147.63,16.20,-4.32,503380,51
24717,149,21015,148.07,17.14,-4.17,513318,52
3721,6227,14479,148.77,17.85,-3.71,523311,53
-20540,5357,10502,149.66,17.98,-3.16,533315,54
30328,943,7677,150.51,17.33,-2.77,543317,55
-29749,-4902,5227,151.04,16.36,-2.63,553317,56
-3676,-10276,-2477,150.97,16.18,-2.73,563317,57
27951,-8419,-1442,150.41,17.55,-3.14,573322,58
29990,4538,14956,149.93,19.81,-3.44,583335,59
16579,5322,14407,150.14,20.65,-3.26,593334,60
-1245,-1753,8714,150.78,19.94,-3.10,603353,61
-9625,-2996,10987,151.34,19.05,-3.16,613380,62
-11519,-2709,11715,151.65,18.46,-3.22,623363,63
-6426,-2534,9993,151.68,18.30,-3.27,633355,64
-222,-18,8535,151.55,18.65,-3.27,643355,65
3753,1737,7225,151.40,19.31,-3.19,653353,66
5523,2430,7393,151.27,20.04,-3.07,663346,67
4944,2230,7396,151.21,20.68,-2.95,673345,68
3380,1498,7470,151.15,21.16,-2.85,683372,69
2036,1869,6888,151.08,21.52,-2.79,693363,70
1251,2471,5038,150.96,21.86,-2.74,703345,71
1325,2345,3866,150.82,22.24,-2.69,713516,72
3083,2598,2313,150.67,22.68,-2.67,723515,73
4657,3013,1754,150.51,23.17,-2.69,733238,74
5159,2837,1325,150.37,23.59,-2.77,743241,75
5214,1957,3930,150.26,23.87,-2.91,753248,76
3491,925,4976,150.15,23.98,-3.09,763250,77
1099,501,5800,150.06,23.96,-3.30,773252,78
43,868,5948,149.95,23.90,-3.53,783259,79
720,1073,6449,149.80,23.87,-3.76,793273,80
1971,1109,6581,149.63,23.91,-4.01,803375,81
2769,1284,6395,149.42,23.99,-4.28,813115,82
2834,1419,6473,149.21,24.03,-4.58,823096,83
2867,1503,6615,148.98,23.99,-4.90,833394,84
2795,1512,6735,148.75,23.86,-5.24,843123,85
2525,1382,6856,148.53,23.61,-5.62,853209,86
2131,1475,7164,148.32,23.24,-6.01,863233,87
995,996,7291,148.16,22.76,-6.39,873255,88
-821,1055,7579,148.02,22.16,-6.75,883277,89
-2849,863,7384,147.94,21.48,-7.04,893360,90
-4656,943,6601,147.92,20.81,-7.22,903103,91
-5177,965,5702,147.99,20.21,-7.29,913800,92
-4689,786,5042,148.13,19.72,-7.24,923087,93
-2469,-209,5480,148.34,19.34,-7.14,933377,94
-113,-454,5463,148.57,19.06,-7.00,943073,95
1125,303,5886,148.81,18.88,-6.83,953062,96
1829,471,6585,149.04,18.67,-6.61,963052,97
2398,282,6929,149.28,18.40,-6.39,973077,98
2262,243,7562,149.49,18.10,-6.15,983104,99
1947,469,7182,149.68,17.78,-5.90,993077,100
1517,591,7030,149.87,17.42,-5.62,1003060,101
1269,854,6714,150.05,17.05,-5.33,1013101,102
657,714,6434,150.25,16.67,-4.99,1023221,103
-797,-1257,3707,150.48,16.27,-4.63,1033217,104
-2884,-1269,1785,150.74,16.00,-4.29,1043211,105
-3799,-667,2762,151.08,15.90,-3.89,1053218,106
-1505,-1776,2772,151.47,15.85,-3.47,1063104,107
2738,-879,3948,151.86,15.94,-3.06,1073096,108
5177,-584,5014,152.26,16.02,-2.62,1083082,109
4528,-577,4645,152.68,15.99,-2.17,1093080,110
2973,-513,4322,153.13,15.87,-1.72,1103093,111
2082,-341,4513,153.62,15.68,-1.27,1113094,112
2596,-244,5503,154.10,15.46,-0.82,1123748,113
3128,-464,6367,154.62,15.26,-0.37,1133225,114
2457,-751,7198,155.16,15.07,0.09,1143238,115
2018,-899,8178,155.74,14.85,0.55,1153239,116
1704,-925,8826,156.34,14.62,1.01,1163242,117
1128,-553,8801,156.94,14.39,1.49,1173245,118
1329,-719,8982,157.57,14.12,1.94,1182985,119
2257,-1200,9792,158.20,13.86,2.38,1193034,120
3138,-1319,10266,158.84,13.60,2.81,1203079,121
3695,-1116,10650,159.47,13.35,3.21,1213082,122
4008,-1067,10976,160.11,13.08,3.63,1223148,123
4064,-1099,10902,160.76,12.80,4.05,1232931,124
3660,-1273,10918,161.43,12.55,4.46,1242955,125
3550,-1552,10478,162.13,12.27,4.89,1252958,126
3638,-2162,10558,162.86,12.02,5.32,1262960,127
3216,-2504,10486,163.63,11.82,5.77,1272962,128
2621,-2778,10173,164.43,11.63,6.23,1282969,129
2513,-3361,10295,165.25,11.43,6.68,1292962,130
2924,-3984,9078,166.08,11.26,7.14,1302965,131
3172,-4782,9212,166.92,11.16,7.60,1312981,132
3207,-5031,8903,167.77,11.12,8.06,1323579,133
4057,-4693,8338,168.61,11.07,8.55,1333029,134
4183,-3979,8529,169.41,10.98,9.08,1343093,135
4132,-2798,7349,170.19,10.88,9.65,1353113,136
4495,-1163,6807,170.94,10.84,10.25,1363124,137
5522,15,6810,171.63,10.92,10.86,1373138,138
6589,743,7424,172.27,11.04,11.45,1382945,139
5021,730,6332,172.83,11.21,12.02,1392987,140
-1011,1131,5771,173.25,11.40,12.52,1403114,141
-5596,1460,6523,173.48,11.44,12.90,1412856,142
-7618,2284,4843,173.52,11.28,13.18,1422953,143
-5411,3545,5465,173.40,11.15,13.39,1433107,144
-2011,3833,4985,173.16,11.20,13.52,1442860,145
403,4021,4016,172.83,11.53,13.58,1452961,146
1681,3872,5044,172.37,12.05,13.50,1462996,147
2117,3876,6231,171.80,12.61,13.27,1473096,148
2093,3954,6582,171.12,13.07,12.92,1483129,149
2165,4058,6848,170.31,13.39,12.45,1492927,150
2043,3924,7393,169.41,13.59,11.85,1502997,151
1653,3521,7958,168.41,13.69,11.12,1512826,152
1720,2961,8189,167.30,13.71,10.27,1522884,153
1979,2396,8364,166.09,13.70,9.30,1533008,154
2011,1644,9218,164.79,13.66,8.20,1542831,155
1827,1087,10095,163.43,13.56,7.01,1552875,156
1922,973,10690,162.00,13.39,5.75,1562985,157
2471,584,11406,160.53,13.19,4.43,1573058,158
3451,-555,12531,159.03,12.99,3.07,1582858,159
4868,-1780,14186,157.53,12.84,1.67,1592975,160
8669,-2332,15462,156.03,12.74,0.28,1603027,161
12308,-3070,16541,154.51,12.63,-1.10,1612878,162
14760,-3315,17297,153.04,12.49,-2.39,1623018,163
16654,-2896,18527,151.63,12.29,-3.55,1632880,164
18124,-2213,18873,150.34,11.98,-4.53,1643021,165
18816,-1145,17781,149.23,11.59,-5.31,1652876,166
21701,127,18012,148.29,11.24,-5.93,1663023,167
24370,455,18936,147.56,11.07,-6.38,1672882,168
28399,662,18858,147.12,11.13,-6.68,1682789,169
31141,226,19526,146.98,11.45,-6.85,1692898,170
31060,-3328,17294,147.24,12.03,-6.91,1703038,171
30917,-4635,17237,147.77,13.05,-6.89,1712897,172
3702,4069,15668,148.54,14.28,-6.61,1723041,173
-31235,4143,8158,149.47,14.61,-6.13,1733011,174
30846,-5690,4539,150.28,13.58,-5.90,1742888,175
-17786,-10523,-3999,150.47,12.72,-5.95,1752746,176
10820,-11345,-3459,150.26,13.61,-6.18,1762900,177
30548,4178,7057,149.86,15.71,-6.44,1772761,178
28051,10814,14828,149.95,17.14,-6.21,1782910,179
5233,2019,8762,150.66,17.03,-5.83,1792763,180
-7331,-1158,10933,151.43,16.29,-5.69,1802919,181
-11827,-1853,11053,151.99,15.60,-5.60,1812776,182
-6833,-1793,9040,152.27,15.27,-5.54,1822922,183
-235,-102,7408,152.42,15.52,-5.42,1832771,184
4306,1386,6353,152.54,16.12,-5.24,1842852,185
6263,1914,6488,152.68,16.82,-5.03,1852741,186
4952,1642,6997,152.85,17.46,-4.80,1862915,187
2931,1164,7128,153.04,17.95,-4.58,1872783,188
2678,1524,8144,153.19,18.34,-4.37,1882929,189
2665,1563,6184,153.28,18.70,-4.15,1892781,190
1246,2162,6200,153.33,19.15,-3.96,1902936,191
1858,1161,5874,153.36,19.61,-3.76,1912787,192
3071,2320,5162,153.30,20.18,-3.58,1922942,193
3741,2388,4897,153.22,20.80,-3.40,1932832,194
4064,2367,4459,153.12,21.41,-3.26,1942794,195
3829,2049,4418,153.00,21.99,-3.15,1952650,196
3874,1489,4278,152.86,22.52,-3.09,1962787,197
3552,1793,4302,152.70,23.01,-3.07,1972649,198
3511,2266,4471,152.52,23.44,-3.07,1982793,199
4118,2329,5150,152.32,23.85,-3.09,1992654,200
4194,2421,5691,152.12,24.20,-3.13,2002802,201
3647,2025,5879,151.89,24.50,-3.18,2012666,202
2702,1160,5841,151.66,24.73,-3.27,2022804,203
1743,381,5972,151.42,24.90,-3.40,2032665,204
857,122,6731,151.18,25.02,-3.57,2042821,205
213,129,7260,150.93,25.10,-3.75,2052702,206
382,341,8079,150.67,25.18,-3.94,2062576,207
