xac,yac,zac,xang,yang,zang,tempo,amostra
-7215,5148,4782,-88.43,-24.74,-12.91,1,0
-12669,1474,-1401,-86.44,-26.11,-14.46,9020,1
-19258,-2980,-3732,-84.39,-27.62,-16.01,18369,2
-22596,-7049,-4239,-82.74,-28.78,-17.41,28364,3
-23255,-7809,-2952,-81.77,-29.26,-18.46,38345,4
-18031,-5688,-177,-81.62,-29.09,-19.01,48543,5
-9407,-4548,2342,-82.18,-28.27,-19.09,58364,6
-3284,-5528,6161,-83.17,-26.96,-18.93,68345,7
-302,-7655,9849,-84.35,-25.46,-18.66,78551,8
1111,-8726,11825,-85.58,-24.07,-18.27,88499,9
1779,-8130,12062,-86.80,-23.06,-17.78,98618,10
1057,-7284,11927,-87.96,-22.54,-17.17,108349,11
-467,-6643,11110,-89.09,-22.52,-16.43,118548,12
-2127,-6246,9901,-90.19,-22.92,-15.57,128537,13
-4071,-6349,8543,-91.32,-23.64,-14.58,138499,14
-6042,-6513,7286,-92.50,-24.56,-13.46,148445,15
-6289,-6533,6367,-93.79,-25.61,-12.18,158398,16
-5759,-6068,6321,-95.18,-26.67,-10.73,168382,17
-5494,-5525,6902,-96.69,-27.76,-9.10,178382,18
-5997,-4422,7063,-98.29,-28.85,-7.25,188661,19
-6788,-2661,7269,-99.99,-29.95,-5.15,198984,20
-7523,-1196,7260,-101.83,-30.98,-2.80,208330,21
-7983,-457,7649,-103.80,-31.85,-0.25,218384,22
-7516,350,8887,-105.95,-32.47,2.47,228411,23
-6057,1098,10336,-108.23,-32.81,5.33,238387,24
-4561,2342,11368,-110.65,-32.92,8.33,248392,25
-4304,3935,11354,-113.17,-32.91,11.46,258395,26
-5450,6176,10030,-115.80,-32.82,14.74,268532,27
-7259,8343,8672,-118.55,-32.60,18.14,278534,28
-8176,9727,8239,-121.41,-32.19,21.64,288532,29
-7039,12217,8304,-124.38,-31.55,25.13,298261,30
-5990,14520,9026,-127.41,-30.80,28.63,308255,31
-7783,15819,9312,-130.39,-30.09,32.05,318268,32
-12414,17392,9111,-133.24,-29.58,35.35,328343,33
-21527,18740,8659,-135.84,-29.28,38.46,338311,34
-28076,17253,7774,-138.08,-29.10,41.20,348296,35
-26547,12763,7634,-140.09,-28.75,43.49,358275,36
-27574,6791,8695,-141.75,-28.32,45.24,368267,37
-28922,4012,10841,-142.84,-28.00,46.41,378276,38
-28942,4380,11868,-143.40,-27.84,47.14,388274,39
-28948,6095,12272,-143.50,-27.80,47.48,398275,40
-28929,5202,15592,-143.15,-27.94,47.34,408407,41
-19586,3142,18021,-142.28,-28.48,46.69,418423,42
-17952,2270,16904,-140.99,-29.37,45.66,428446,43
-9455,-1989,2319,-139.37,-30.72,44.55,438443,44
-28407,17814,-13101,-138.63,-32.18,44.96,448439,45
-28645,-1003,27741,-139.94,-30.23,44.76,458436,46
4498,-3901,27602,-139.45,-29.78,43.41,468455,47
-28450,8847,26342,-137.99,-31.81,42.66,478171,48
-28048,6036,-9587,-135.83,-35.18,42.71,488172,49
-27578,5240,-13477,-133.17,-39.31,43.49,498454,50
-21642,5944,3013,-131.16,-41.78,43.59,508267,51
-3155,-2446,12918,-129.89,-42.66,42.62,518294,52
3497,-4840,12526,-128.64,-43.33,41.19,528377,53
-6263,-7414,2590,-127.35,-44.13,39.83,538141,54
-17200,-5310,2495,-126.19,-44.76,38.50,548446,55
-19508,996,10218,-125.31,-44.95,37.13,558172,56
-6227,1838,12380,-124.78,-44.71,35.90,568188,57
3551,673,12333,-124.40,-44.11,34.68,578207,58
6833,-1947,13004,-123.95,-43.72,33.59,588217,59
2459,-1877,11454,-123.39,-43.76,32.70,598239,60
-5554,-708,8098,-122.66,-44.25,32.01,608931,61
-8617,729,6020,-121.91,-44.92,31.48,618126,62
-8711,-453,5356,-121.25,-45.42,30.95,628195,63
-9705,-1765,4134,-120.70,-45.62,30.29,638216,64
-7824,-1339,4072,-120.32,-45.57,29.61,648238,65
-1808,-270,7299,-120.07,-45.30,28.92,658319,66
2334,67,9441,-119.85,-44.92,28.21,668347,67
487,87,9978,-119.56,-44.68,27.53,678077,68
-4050,67,8831,-119.18,-44.66,26.90,688149,69
-6083,-156,6916,-118.77,-44.74,26.32,698182,70
-5145,-465,6103,-118.37,-44.78,25.76,708213,71
-3543,-624,6136,-118.01,-44.73,25.19,718137,72
-2904,-376,6661,-117.64,-44.64,24.59,728045,73
-2652,-160,6972,-117.28,-44.54,23.99,738087,74
-2736,275,7423,-116.89,-44.46,23.38,748180,75
-2627,517,7375,-116.48,-44.41,22.75,758213,76
-2836,446,7269,-116.03,-44.38,22.09,768306,77
-3164,566,7087,-115.56,-44.38,21.41,778052,78
-3137,521,7145,-115.05,-44.41,20.70,788095,79
-3494,421,6767,-114.51,-44.46,19.94,798182,80
-4232,669,7036,-113.94,-44.54,19.16,808219,81
-4947,803,6951,-113.37,-44.63,18.37,818076,82
-5499,1029,7076,-112.78,-44.72,17.54,828118,83
-5568,1141,7401,-112.21,-44.79,16.72,838195,84
-5642,1213,7256,-111.62,-44.85,15.89,848244,85
-5951,1217,7378,-111.05,-44.88,15.05,858045,86
-6398,1482,7101,-110.48,-44.90,14.20,868106,87
-6612,1514,6862,-109.91,-44.89,13.35,878205,88
-7030,1666,6662,-109.36,-44.86,12.51,887965,89
-6966,2066,6517,-108.82,-44.77,11.67,898061,90
-6997,2261,6598,-108.29,-44.65,10.83,908114,91
-6943,2599,7245,-107.76,-44.47,9.99,918039,92
-6153,3773,7338,-107.25,-44.24,9.16,928101,93
-5519,3971,7234,-106.75,-43.98,8.34,938211,94
-6056,3393,6880,-106.20,-43.68,7.47,947978,95
-5439,4864,7315,-105.64,-43.42,6.58,958062,96
-4866,5359,8062,-105.05,-43.14,5.67,968120,97
-4311,5967,9146,-104.43,-42.84,4.72,978218,98
-4036,6435,10111,-103.77,-42.54,3.73,987995,99
-4565,7332,9850,-103.05,-42.24,2.68,998077,100
-5035,8140,8938,-102.30,-41.99,1.60,1008133,101
-4704,9469,8517,-101.49,-41.73,0.47,1018599,102
-3010,14259,4729,-100.67,-41.48,-0.69,1028099,103
-7723,12474,2099,-99.83,-41.30,-1.82,1038229,104
-9130,11847,3893,-98.90,-41.05,-3.02,1048074,105
-2778,18894,5648,-98.01,-40.38,-4.17,1058151,106
3133,22744,4745,-97.23,-39.42,-5.19,1067946,107
6640,21921,3864,-96.39,-38.41,-6.22,1077981,108
6899,19864,4124,-95.43,-37.37,-7.30,1088090,109
4889,18667,3864,-94.41,-36.32,-8.36,1097933,110
4106,16649,1993,-93.40,-35.24,-9.41,1108048,111
5498,13148,786,-92.47,-34.20,-10.52,1118134,112
8691,6851,4760,-91.61,-33.05,-11.76,1127988,113
5781,3206,9159,-90.59,-32.05,-13.24,1138105,114
-1830,3276,9908,-89.10,-31.69,-14.97,1147962,115
-10812,1206,2850,-87.03,-32.53,-16.84,1158099,116
-19828,-1756,-4290,-84.77,-33.92,-18.72,1167963,117
