xac,yac,zac,xang,yang,zang,tempo,amostra
-870,1781,5295,143,432,-484,1,0
-769,1900,5161,133,342,-458,4064,1
-253,1445,5097,125,318,-417,13895,2
227,1284,4808,134,337,-382,24019,3
2,1371,4397,150,382,-366,33822,4
15,1911,3683,179,439,-353,43993,5
-400,2204,3535,201,478,-361,53808,6
-520,2132,3436,220,503,-371,63743,7
-568,2098,3584,229,508,-397,73899,8
-384,1679,4182,242,515,-424,84028,9
-139,1230,4903,257,535,-446,93844,10
71,1338,4834,269,545,-471,104051,11
63,1383,4683,280,531,-502,113885,12
308,1483,4405,299,525,-531,124017,13
302,1480,4244,315,513,-565,133846,14
566,1422,4539,327,491,-594,143698,15
966,915,4581,337,466,-614,153856,16
1521,632,4765,358,447,-629,164013,17
1070,564,4844,377,452,-682,173852,18
1725,376,5219,377,433,-638,184002,19
2231,41,5455,378,431,-602,193843,20
1796,65,5882,382,422,-586,204371,21
2409,-104,5763,388,424,-588,213876,22
2627,-337,5847,406,451,-588,223697,23
2368,-358,5776,430,497,-589,233864,24
2297,-284,5438,487,512,-581,243709,25
2499,16,4713,533,515,-581,253875,26
2205,-17,4636,569,524,-602,264101,27
2347,-60,4749,616,539,-639,273641,28
2019,-108,4754,656,538,-693,283824,29
1715,-372,4923,699,517,-768,293671,30
1432,-1010,5429,744,480,-846,303710,31
1299,-1537,5203,803,431,-934,313704,32
1258,-1698,5786,850,363,-1029,323885,33
1222,-1894,6162,905,281,-1132,333711,34
1366,-2150,6439,948,186,-1232,343899,35
1332,-2874,6425,1001,91,-1339,353756,36
1821,-3681,5613,1051,4,-1426,363629,37
2920,-4528,5277,1080,-71,-1507,373824,38
3836,-5116,5183,1101,-61,-1577,383693,39
3545,-6761,6157,1119,6,-1620,393884,40
2057,-9201,5359,1175,32,-1638,403940,41
3113,-7963,4298,1208,37,-1665,413672,42
2444,-8355,5454,1195,159,-1744,423879,43
371,-10207,5676,1240,240,-1785,433732,44
-629,-10601,4459,1262,245,-1881,443607,45
