xac,yac,zac,xang,yang,zang,tempo,amostra
-6311,12139,6689,-116,1305,224,0,0
-4970,11897,7206,-243,1281,525,10644,1
-3983,10963,8297,-372,1206,747,20788,2
-3530,10521,8227,-468,1113,974,30616,3
-3172,10182,7821,-584,978,1185,40774,4
-2916,9612,7900,-715,808,1397,51148,5
-2550,8670,8010,-838,595,1587,60633,6
-2100,7869,8355,-953,323,1755,70796,7
-1468,7291,8650,-1072,36,1909,80629,8
-925,6447,8683,-1187,-258,2046,90798,9
-406,5322,8870,-1286,-553,2184,101420,10
407,4098,8703,-1363,-816,2321,110627,11
914,3090,8343,-1424,-1013,2463,120802,12
1512,2148,8319,-1480,-1171,2600,130641,13
2498,875,8096,-1515,-1286,2721,140818,14
3230,-863,8080,-1534,-1313,2839,150825,15
3780,-2616,7766,-1535,-1240,2959,160667,16
4270,-4428,7228,-1525,-1124,3077,170495,17
5029,-5755,6565,-1505,-978,3194,180666,18
5130,-6628,6351,-1490,-777,3289,190490,19
5254,-7238,6084,-1473,-555,3368,200716,20
5058,-7769,5884,-1460,-360,3415,210802,21
5088,-7831,5887,-1443,-181,3453,220647,22
5524,-7992,6159,-1443,30,3489,230490,23
5531,-7601,5869,-1448,267,3500,240672,24
4835,-7526,6160,-1480,494,3496,250505,25
3920,-7679,6252,-1524,659,3467,260702,26
3583,-7890,6421,-1587,739,3424,270555,27
3315,-8037,6846,-1664,736,3349,280444,28
3561,-8376,7828,-1745,678,3264,290653,29
4370,-8393,9100,-1787,600,3152,300844,30
4467,-9020,11138,-1787,471,2976,310538,31
5079,-8665,12598,-1723,360,2794,320436,32
6359,-8183,13643,-1622,267,2601,330656,33
7503,-5979,13786,-1494,173,2394,340513,34
7426,-4256,13645,-1375,76,2109,350448,35
8910,-2704,13287,-1283,-41,1815,360671,36
11394,-1255,14009,-1189,-72,1431,370521,37
13877,-1025,16522,-1068,21,1050,380405,38
14613,-1125,18212,-849,153,704,390657,39
12776,-572,18617,-586,186,349,400552,40
9735,171,17989,-361,85,-36,410469,41
8122,291,17130,-177,-208,-393,420676,42
7926,128,16879,-43,-571,-730,430533,43
7948,-326,16865,68,-851,-1039,440431,44
7615,-592,16427,175,-1057,-1319,450338,45
4526,-2174,11141,230,-1208,-1569,460537,46
836,-1080,14960,274,-1386,-1615,470462,47
-8584,1310,6190,310,-1569,-1641,480349,48
-17835,5544,-4876,85,-1868,-1514,490554,49
32557,3606,4253,-226,-1901,-1226,500831,50
-25762,2182,21485,46,-833,-500,510949,51
