xac,yac,zac,xang,yang,zang,tempo,amostra
-3648,452,7553,-258,-322,-191,1,0
-3862,261,8082,-271,-312,-229,6460,1
-3412,766,7671,-289,-286,-256,16338,2
-3875,934,7071,-312,-249,-302,26639,3
-3966,1113,6627,-340,-238,-339,36540,4
-3926,1476,6596,-366,-240,-371,46495,5
-3794,1654,6402,-392,-237,-415,56326,6
-3974,1794,6753,-419,-230,-458,66471,7
-4181,2018,6727,-447,-229,-502,76437,8
-4421,2257,6940,-471,-226,-538,86329,9
-4125,2657,6982,-502,-231,-577,96376,10
-4198,2771,6540,-535,-218,-618,106505,11
-4581,2703,6268,-560,-228,-674,116653,12
-4336,3028,6622,-590,-245,-728,126563,13
-4067,3522,6506,-634,-240,-793,136498,14
-3950,3872,6207,-687,-221,-865,146489,15
-4137,3988,6461,-711,-207,-947,156465,16
-4493,4557,6674,-724,-225,-1031,166370,17
-4795,5382,6284,-735,-278,-1098,176343,18
-3447,5898,6730,-728,-353,-1144,186329,19
-1664,6341,6495,-710,-357,-1229,196294,20
-1201,7416,6192,-721,-316,-1336,206408,21
-1466,7667,6041,-735,-291,-1460,216356,22
-1911,7708,5314,-737,-348,-1583,226343,23
-2228,7753,5007,-729,-461,-1726,236343,24
-2020,8054,4604,-717,-611,-1846,246363,25
-1706,7812,3987,-699,-703,-1958,256353,26
-1914,7521,4006,-652,-736,-2068,266351,27
-3434,7903,5100,-610,-762,-2190,276350,28
-5203,8087,5154,-652,-850,-2238,286354,29
-6860,7658,5521,-782,-926,-2305,296355,30
-9582,4920,3704,-969,-996,-2327,306211,31
-6404,4595,7153,-1114,-1083,-2039,316550,32
-9147,1659,5705,-1074,-793,-1891,326540,33
-7804,-8264,3872,-985,-469,-1450,336538,34
2077,-5884,4248,-764,-942,-515,346212,35
8422,-5999,1952,-502,-913,41,356206,36
13301,-9720,2457,-278,-901,564,366206,37
11424,-11262,4881,0,-731,928,376208,38
7069,-12601,5087,341,-348,1206,386208,39
4099,-12222,4687,691,-99,1611,396212,40
3764,-10695,5043,978,26,2052,406258,41
3082,-8778,5926,1207,152,2454,416467,42
4195,-7012,7273,1391,308,2838,426483,43
2191,-6055,7655,1585,539,3106,436175,44
852,-4458,7972,1775,756,3363,446548,45
-1058,-2709,7587,1914,931,3579,456218,46
-3038,-259,7473,2012,910,3780,466221,47
-3133,1666,8157,2060,838,3981,476218,48
-3408,2813,8390,2108,819,4122,486222,49
-4495,4098,7850,2153,809,4219,496220,50
-5536,5656,6924,2183,775,4287,506441,51
-6244,7525,7026,2196,672,4370,516272,52
