xac,yac,zac,xang,yang,zang,tempo,amostra
-3352,-2439,3930,758,839,-1650,0,0
10574,2996,6101,876,-115,-906,5425,1
18323,5618,8256,758,-710,-635,15371,2
17798,6325,12837,539,-809,-880,25260,3
16020,7558,14837,411,-249,-1166,35548,4
10705,5222,14361,376,429,-1446,45518,5
2728,1739,12850,402,966,-1687,55399,6
-236,-830,12129,467,1211,-1755,65372,7
2210,-1119,12083,587,1179,-1606,75333,8
3409,-529,11766,672,1107,-1518,85243,9
1352,-198,11146,679,1048,-1509,95848,10
340,-802,9729,680,900,-1436,105435,11
100,-2108,7051,636,448,-1325,115380,12
2238,-3974,6645,637,-53,-1078,125341,13
3652,-3081,4069,681,-253,-857,135250,14
4311,-3304,3411,678,-550,-731,145231,15
6621,-4127,5022,705,-789,-598,155215,16
6176,-1372,7498,690,-822,-577,165200,17
3202,2317,11333,583,-517,-760,175506,18
3690,1957,11120,523,-263,-796,185424,19
4225,652,11176,545,-385,-794,195399,20
4454,-219,11603,543,-316,-864,205372,21
4408,-552,10203,511,-85,-915,215287,22
3343,-971,8637,479,-33,-921,225245,23
3776,-1030,7684,454,-86,-882,235242,24
3932,-822,7188,419,-141,-841,245247,25
3452,-433,6748,357,-135,-813,255250,26
3066,-1167,6622,306,-165,-761,265251,27
3612,-1660,6903,290,-211,-695,275378,28
3990,-2116,7624,292,-236,-663,285371,29
3631,-1558,7858,279,-202,-668,295297,30
3293,-1526,8000,274,-216,-671,306940,31
3863,-1346,7650,281,-243,-659,315256,32
3985,-1333,8208,289,-271,-664,325256,33
2676,-1173,8468,270,-256,-674,335257,34
1338,-1347,8719,237,-293,-663,345258,35
1594,-1177,8958,244,-352,-630,355260,36
2747,-1054,9708,241,-392,-623,365261,37
3600,-1393,9702,230,-319,-655,375292,38
3750,-1618,8726,223,-206,-697,385290,39
3016,-1922,8292,217,-128,-746,395268,40
2509,-2588,7591,215,-75,-776,405201,41
2127,-2449,6852,219,-69,-780,415107,42
1439,-2404,6714,212,-69,-780,425105,43
1018,-2690,6367,200,-97,-762,435104,44
645,-2760,6635,204,-147,-732,445105,45
430,-2165,7206,202,-162,-707,455107,46
573,-2271,7666,186,-198,-696,465115,47
943,-2147,7763,186,-190,-681,475128,48
1045,-2338,7816,182,-150,-685,485124,49
610,-2264,8147,177,-102,-686,495120,50
-42,-2314,8287,171,-43,-675,505755,51
-285,-2208,8191,156,-7,-671,515066,52
-559,-2565,7868,160,-24,-670,525265,53
-156,-2838,8058,189,-107,-661,535284,54
692,-2379,8995,204,-165,-692,545287,55
1019,-2069,9329,215,-140,-742,555288,56
1272,-1765,9327,219,-85,-788,564948,57
1174,-913,8462,215,-9,-847,574968,58
916,-607,8089,201,48,-880,584968,59
996,-540,6490,192,71,-884,595288,60
578,-1027,6231,174,45,-908,605293,61
-649,-1587,6171,161,25,-910,615088,62
-1362,-1527,6386,140,-85,-914,625117,63
-377,-1145,6615,129,-183,-912,635142,64
382,-956,7034,120,-235,-936,645146,65
50,-338,7674,105,-258,-962,655146,66
50,211,8050,94,-270,-971,665146,67
-135,487,8522,77,-288,-994,675180,68
-578,62,8468,54,-264,-1008,685160,69
-283,-348,7844,36,-242,-1009,695148,70
-75,-236,7212,5,-232,-1034,705152,71
57,246,6671,-23,-234,-1056,715624,72
-319,-18,6566,-51,-262,-1082,724965,73
-145,11,6513,-79,-308,-1103,734968,74
322,912,6838,-112,-360,-1124,744969,75
544,1432,7229,-146,-394,-1148,754971,76
516,1532,7853,-170,-429,-1177,764974,77
985,1593,8133,-196,-472,-1223,775139,78
2089,1932,8178,-200,-478,-1286,785164,79
3150,1733,7970,-181,-465,-1374,794816,80
3381,1670,7300,-138,-438,-1484,804819,81
3532,2222,6943,-90,-389,-1625,814813,82
3857,3574,5964,-22,-345,-1745,825168,83
3644,4600,5188,52,-290,-1906,834822,84
3121,4907,4437,160,-230,-2034,844823,85
2035,4978,4718,276,-216,-2135,855173,86
-553,4155,4561,381,-301,-2242,864835,87
-2918,3325,4643,498,-372,-2268,874861,88
-4085,3010,5438,559,-466,-2184,884858,89
-4268,1925,6093,577,-537,-2100,894856,90
-3475,614,6444,554,-539,-2024,904856,91
-2254,-749,7247,511,-521,-1915,915429,92
-1081,-2785,8007,452,-486,-1790,925059,93
-629,-5237,8789,391,-417,-1670,935023,94
-946,-6905,8633,400,-365,-1596,944983,95
-1974,-8605,7883,403,-335,-1502,954973,96
