xac,yac,zac,xang,yang,zang,tempo,amostra
2001,-561,6843,53,156,-1076,1,0
1105,-119,6799,40,190,-1139,11322,1
-226,93,6729,22,200,-1171,21146,2
-549,94,6209,9,165,-1177,31321,3
-966,243,6276,-5,77,-1160,41144,4
-1142,428,6405,-21,-2,-1145,51785,5
-1231,855,5895,-47,-63,-1131,61302,6
-887,1417,6438,-57,-132,-1128,71130,7
-618,1749,7083,-69,-160,-1153,81309,8
-597,2320,6666,-74,-172,-1195,91143,9
-1950,2297,6261,-67,-204,-1217,102027,10
2592,4363,10736,-113,-13,-1298,111204,11
-927,1026,6265,-106,-262,-1391,121366,12
59,6188,10539,-162,-44,-1357,131208,13
-648,3504,8586,-148,-88,-1541,141371,14
522,4173,8835,-162,-93,-1532,151213,15
-120,4310,8456,-176,-17,-1655,161372,16
-20,4171,8271,-187,-27,-1678,171210,17
-366,3859,8009,-204,-13,-1747,181051,18
-451,3799,7617,-227,-18,-1802,191193,19
-23,4468,7535,-259,-50,-1842,201186,20
1087,5844,6285,-326,-78,-1880,211043,21
2114,5625,6074,-358,-107,-1935,221220,22
2051,5287,6809,-359,-190,-2023,231058,23
1959,6094,7344,-410,-344,-2096,241228,24
2579,6994,7728,-454,-549,-2174,251069,25
4257,7148,8031,-461,-768,-2267,261074,26
6133,7552,7621,-469,-976,-2335,271251,27
7618,7424,6990,-500,-1236,-2375,281083,28
8698,6380,5793,-512,-1553,-2375,291275,29
9539,4002,4017,-467,-1871,-2290,301427,30
9379,1204,3006,-434,-2027,-2113,311248,31
6083,-194,4560,-410,-1892,-2040,321087,32
-2126,445,4524,-363,-1621,-2270,331278,33
-5280,5724,4740,-334,-1206,-2960,341120,34
-13047,8540,3698,-328,-361,-3743,350998,35
-18789,8428,7369,-295,935,-3055,361215,36
-1371,7313,6877,-148,1051,-1563,371081,37
3381,1413,4803,7,525,-867,381272,38
4779,-3075,5040,1,72,-658,391118,39
2864,-5933,5554,-1,-181,-684,400996,40
298,-7717,6655,5,-99,-413,410947,41
-403,-7929,6392,27,27,-3,421142,42
-583,-7526,6666,-5,190,321,431027,43
-478,-6620,7712,-28,301,612,440987,44
-246,-6432,7795,-31,358,933,451208,45
-354,-6841,7393,-30,382,1273,461084,46
-1548,-7289,6912,-23,375,1598,470957,47
-2569,-7054,6193,-14,302,1939,481168,48
-2880,-6803,6304,-19,191,2281,491070,49
-2422,-6973,6786,-3,82,2625,500943,50
-2468,-6908,7292,26,-17,2947,511737,51
-2310,-6302,7387,66,-133,3259,520948,52
-2185,-5427,7477,108,-236,3551,531145,53
-1875,-4689,7916,171,-302,3813,541056,54
