xac,yac,zac,xang,yang,zang,tempo,amostra
-1454,-9020,8077,-11,-571,363,1,0
-1822,-9101,8533,47,-423,620,10643,1
-1732,-8633,8480,128,-323,928,20773,2
-2087,-8074,8315,195,-242,1252,30601,3
-3045,-7612,8166,240,-208,1581,40758,4
-4086,-7275,7695,279,-265,1899,51076,5
-4511,-6750,7397,297,-386,2214,60594,6
-4089,-6661,7346,321,-539,2511,70775,7
-4079,-6311,7344,365,-676,2766,80610,8
-3974,-5493,7711,419,-746,3005,90771,9
-2697,-4583,8700,479,-772,3271,102038,10
-1662,-4315,9301,548,-719,3508,110733,11
-2384,-3375,9233,644,-626,3692,120600,12
-3539,-1082,8326,701,-590,3880,130774,13
-4118,1442,8375,692,-651,4012,140619,14
-3794,2339,9495,714,-670,4064,150786,15
-2901,2570,9827,786,-553,4108,160697,16
-2417,3579,9897,869,-370,4110,170894,17
-2746,4807,10295,943,-168,4101,180749,18
-2746,6124,10434,991,34,4098,190619,19
-3831,7417,10782,1012,267,4065,200737,20
-5179,9157,10711,1003,501,4022,210617,21
-5861,10411,10723,959,717,3967,220793,22
-5698,10861,10930,900,854,3912,230646,23
-6172,11185,10872,843,941,3816,240810,24
-7212,11427,10879,799,1046,3671,250655,25
-8788,11171,10392,776,1166,3479,260516,26
-10336,10572,10048,748,1266,3274,270689,27
-11490,10113,10073,681,1274,3036,280555,28
-12450,8947,10337,601,1233,2771,290752,29
-11886,7674,9983,564,1232,2520,300895,30
-11719,6295,9450,541,1242,2231,310597,31
-11443,5158,9508,520,1247,1904,320478,32
-11642,4665,9450,503,1291,1581,330664,33
-12150,4150,9611,491,1338,1277,340521,34
-12971,3541,9582,482,1341,982,350713,35
-13720,3256,9415,457,1299,692,360429,36
-14185,2861,9284,421,1228,405,370452,37
-13944,2497,9223,399,1152,154,380502,38
-13737,1841,9058,388,1057,-109,390554,39
-13897,1776,9012,368,943,-407,400293,40
-13663,1941,9765,331,821,-683,410443,41
-12598,1777,9474,333,691,-934,420490,42
-7739,1746,8363,320,593,-1054,430259,43
6877,2248,7260,104,744,-918,440286,44
18167,-616,12093,-295,680,360,450311,45
-30710,3547,9156,-70,-2461,1171,460360,46
9449,11444,12978,9,-1923,-614,470451,47
-6390,11747,7732,186,-7,-2193,480502,48
-13320,549,5980,427,158,-1778,490267,49
115,-1794,5601,688,-6,-538,500304,50
6643,534,7106,518,358,-837,510954,51
5075,-1374,11211,416,354,-1109,520445,52
3678,-3299,10510,528,267,-1015,530507,53
4045,-4186,6421,611,392,-1070,540293,54
5684,-3796,5390,622,485,-1064,550326,55
5071,-2821,5684,585,575,-1026,560412,56
2344,-2841,6575,530,516,-1036,570464,57
670,-3889,6844,521,302,-971,580259,58
506,-3263,6562,497,71,-880,590308,59
1032,-1714,6157,423,-148,-815,600394,60
1530,-1460,5768,363,-328,-743,610236,61
1569,-1716,5747,304,-428,-672,620322,62
1247,-1445,6203,241,-454,-626,630427,63
1370,-1063,6390,185,-447,-588,640200,64
1655,-924,6579,147,-422,-552,650290,65
2153,-1379,6538,119,-384,-534,660373,66
2829,-1995,6489,97,-346,-533,670191,67
