xac,yac,zac,xang,yang,zang,tempo,amostra
307,1413,7831,-55,35,-431,1,0
264,1473,7950,-47,32,-445,2752,1
324,1478,7815,-43,26,-459,12881,2
415,1397,7980,-40,17,-476,22936,3
545,1332,7927,-37,13,-489,32723,4
777,1278,8176,-35,10,-501,42870,5
855,1358,8209,-37,17,-514,52884,6
1026,1405,8120,-40,32,-527,62703,7
1024,1357,8205,-42,43,-537,72863,8
940,1384,8184,-45,52,-549,82696,9
1073,1225,8311,-45,55,-560,92860,10
1303,1226,8474,-43,59,-569,102677,11
1366,1154,8184,-41,69,-581,112848,12
1461,1161,8333,-38,87,-591,122710,13
1484,1132,8284,-35,105,-599,132888,14
1559,1257,8153,-29,122,-613,142717,15
1701,1187,8419,-27,136,-627,152888,16
1848,1281,8265,-20,153,-638,162721,17
1975,1185,8287,-14,166,-653,172896,18
2075,1165,8280,-6,186,-663,182737,19
2279,1189,8310,-2,208,-672,192904,20
2395,1061,8520,6,238,-680,203376,21
2550,809,8542,22,264,-686,212895,22
2349,28,8707,53,269,-691,222804,23
2318,-716,7506,100,227,-688,232979,24
3412,-666,7273,101,212,-709,242838,25
2540,380,8685,84,249,-732,252796,26
2165,-158,8145,84,412,-698,262611,27
3410,-627,8590,97,410,-687,272655,28
2672,-978,8864,103,411,-743,282758,29
2844,-1130,8135,115,430,-754,292798,30
3780,-1215,7535,110,413,-803,302592,31
3444,-1791,8649,141,418,-874,312627,32
928,-1798,8732,141,528,-928,322669,33
1015,-1557,8862,161,559,-929,332783,34
2209,-1548,9172,167,518,-989,342614,35
2914,-1462,9999,174,476,-1068,352755,36
2488,-1302,10387,179,482,-1142,362527,37
2277,-1220,10673,187,481,-1204,372646,38
2236,-1358,10869,196,446,-1272,382767,39
1925,-1543,10999,211,389,-1345,392537,40
1717,-1919,11054,229,322,-1413,402800,41
1598,-2021,11036,243,240,-1483,412644,42
1778,-1836,11140,255,178,-1559,422535,43
2140,-2118,10985,266,152,-1637,432646,44
2002,-2375,10917,299,141,-1709,442490,45
1674,-2466,9879,334,214,-1738,452603,46
1099,-2255,8264,330,225,-1734,462667,47
80,-1929,7558,304,70,-1719,472798,48
-553,-930,7455,279,-111,-1633,482639,49
-379,541,6985,246,-280,-1559,492459,50
-81,1709,6441,217,-551,-1512,502549,51
466,2612,6673,136,-760,-1440,512608,52
3429,3538,6365,89,-843,-1366,522458,53
6970,3686,6940,96,-816,-1320,532535,54
6764,3089,5695,118,-708,-1265,542658,55
-4273,2845,7676,83,-286,-1005,552515,56
-9095,4400,8413,68,307,-500,562659,57
-10451,6436,8231,84,866,-57,572512,58
-6365,7995,8318,79,1053,354,582378,59
-2570,7252,8800,99,953,616,592517,60
-2667,6539,9282,51,923,850,602382,61
-4392,6391,9433,-30,983,1194,612959,62
-5087,6112,9372,-96,974,1562,622555,63
-4548,5743,9317,-148,870,1878,632403,64
-3357,5540,9409,-215,733,2125,642536,65
-2534,5065,9375,-298,583,2322,652401,66
-2463,4246,9096,-383,403,2492,662537,67
-2313,3116,8998,-458,162,2651,672403,68
-1421,1425,9033,-523,-118,2806,682541,69
-470,-519,9535,-556,-357,2940,692404,70
157,-1430,9517,-560,-531,3060,702540,71
984,-2107,9491,-564,-716,3165,712457,72
1815,-3040,9458,-566,-958,3227,722568,73
2763,-4027,9241,-563,-1220,3256,732419,74
4505,-4484,8789,-564,-1465,3270,742553,75
8931,-5751,11637,-557,-1551,3210,752462,76
11207,-7796,11505,-391,-1329,3153,762574,77
12209,-7693,11502,-259,-1031,3106,772418,78
13244,-6422,11381,-129,-744,2999,782556,79
13388,-5148,10224,-55,-547,2812,792430,80
12532,-4111,8987,-51,-511,2593,802561,81
12413,-3426,8041,-86,-572,2350,812433,82
13553,-2142,7782,-145,-634,2076,822590,83
14474,-1166,8242,-219,-633,1764,832435,84
15453,-566,8941,-264,-589,1430,842563,85
15993,-76,9856,-285,-488,1093,852436,86
16150,213,10730,-265,-337,782,862565,87
15811,1061,11194,-209,-142,495,872437,88
15685,2085,9409,-175,63,227,882291,89
17632,2094,8340,-159,175,-52,892431,90
20691,1620,7768,-108,202,-413,902298,91
20962,921,8105,-33,193,-860,912434,92
12616,266,5395,-45,166,-1273,922324,93
-4331,-1226,5351,-146,135,-1413,932459,94
-19515,-4864,7163,-150,189,-1156,942317,95
-23567,-5877,8185,-122,474,-646,952455,96
-8803,-1671,10679,-28,149,-209,962320,97
2727,709,14586,65,-409,-192,972470,98
14567,3457,13164,19,-695,-354,982335,99
8169,2576,14824,-195,-365,-664,992484,100
-736,245,13430,-308,228,-520,1002355,101
-4617,-327,10649,-325,412,-294,1012246,102
-5161,406,9381,-357,246,-230,1023436,103
-4778,1164,8426,-376,67,-262,1032458,104
-3896,1675,7566,-379,-124,-317,1042334,105
-3771,1431,7393,-370,-340,-379,1052490,106
-3360,976,7604,-343,-446,-402,1062413,107
-2347,638,7682,-311,-386,-403,1072320,108
-1241,449,8178,-288,-242,-378,1082494,109
-607,942,9031,-273,-52,-345,1092445,110
-1031,1118,9577,-263,116,-328,1102325,111
-2190,1090,9605,-268,169,-346,1112200,112
-3098,1049,9078,-272,109,-385,1122333,113
-3393,1033,8536,-270,-7,-429,1132333,114
