xac,yac,zac,xang,yang,zang,tempo,amostra
2428,-24955,7119,-346,-1188,171,0,0
19650,-24937,7609,-249,-1135,-193,7045,1
20485,-23235,8629,-182,-222,-75,17127,2
7279,-17988,2646,-59,836,58,27166,3
-5534,-16164,-9942,-31,1282,-18,36952,4
-8512,-16845,-10793,-316,884,-80,47012,5
-3364,-23157,-5891,-302,74,-229,56984,6
1502,-24074,3908,15,-479,-399,67007,7
-2191,-18837,3082,21,-187,-465,77020,8
-6077,-17130,41,19,-54,-482,87037,9
-5841,-18177,-1357,39,16,-391,96951,10
-2842,-19607,1012,53,154,-276,107000,11
-2766,-20598,3793,86,250,-262,117025,12
-5491,-20519,3503,-6,200,-323,127091,13
-7686,-20451,3324,-84,-36,-398,137144,14
-5886,-20169,2430,-135,-180,-416,147096,15
-3069,-19925,2122,-165,-198,-405,156861,16
-2055,-19386,1145,-155,-83,-371,166887,17
-3564,-18612,-425,-125,56,-333,176952,18
-5058,-18223,-1133,-91,138,-299,187007,19
-5290,-18364,-516,-61,177,-274,197087,20
-4327,-18894,-71,-45,179,-263,207011,21
-4066,-19311,800,-42,180,-264,217045,22
-4509,-19396,741,-50,194,-266,226850,23
-5231,-18998,738,-67,180,-282,236886,24
-5520,-18922,644,-86,163,-301,246960,25
-4805,-18616,888,-90,113,-313,256920,26
-4709,-18735,673,-97,62,-344,267024,27
-4720,-19047,585,-93,36,-351,276826,28
-4575,-19147,429,-94,28,-348,286883,29
-4199,-18714,608,-100,4,-340,297000,30
-3899,-18508,614,-89,-46,-334,306897,31
-4145,-18539,492,-79,-130,-339,317004,32
-4902,-18654,684,-90,-178,-336,327045,33
-4167,-18747,651,-75,-219,-324,336874,34
-3774,-18964,1223,-89,-265,-318,346934,35
-3710,-18978,1261,-90,-266,-307,357037,36
-3428,-19054,1565,-77,-265,-300,366868,37
-3151,-19505,2067,-75,-249,-278,377214,38
-2776,-19959,2066,-66,-175,-258,387036,39
-3164,-19686,1684,-66,-99,-244,396871,40
-3896,-19245,1175,-71,-48,-224,407207,41
-4252,-18853,702,-74,-39,-214,416746,42
-4187,-18680,265,-79,-62,-221,426866,43
-4402,-18601,-121,-79,-81,-226,436929,44
-4715,-18048,-274,-81,-115,-233,446775,45
-4594,-18296,-251,-65,-145,-242,456903,46
-4363,-18489,-56,-61,-193,-255,466742,47
-4885,-18578,189,-71,-232,-276,476859,48
-4342,-18456,494,-57,-273,-296,486935,49
-4399,-18667,868,-58,-326,-326,496766,50
-4856,-18696,709,-76,-364,-351,506860,51
-4814,-18293,197,-97,-426,-390,516936,52
-4919,-17994,-14,-115,-516,-429,526769,53
-4715,-17880,-231,-133,-602,-454,536907,54
-3713,-18434,276,-132,-662,-468,546795,55
-2702,-19201,1088,-112,-643,-477,556736,56
-2482,-19802,1673,-85,-546,-495,566870,57
-2650,-19873,1915,-59,-443,-508,576951,58
-3250,-19644,1774,-55,-366,-518,586782,59
-3326,-19324,1599,-60,-334,-516,596922,60
-3071,-19215,1232,-67,-323,-514,607431,61
-2882,-19219,1366,-67,-289,-501,616944,62
-2401,-19257,1011,-60,-239,-488,626782,63
-2590,-19300,815,-41,-180,-465,636927,64
-2534,-19323,345,-20,-162,-440,646805,65
-2213,-19315,621,-5,-137,-414,656930,66
-1495,-19162,1323,11,-55,-372,666790,67
-1495,-19087,1695,28,29,-333,676655,68
-2455,-18929,1351,46,79,-307,686789,69
-4003,-18732,770,56,65,-307,696658,70
-5811,-18532,-175,61,2,-320,706795,71
-4544,-18808,468,45,-128,-341,716665,72
-2953,-19019,843,31,-205,-360,726797,73
-1983,-18962,1214,12,-180,-352,736661,74
-2162,-19047,1272,2,-117,-338,746819,75
-2636,-18832,790,8,-97,-320,756674,76
-2664,-18474,462,-3,-94,-309,766805,77
-2109,-18583,487,-13,-93,-293,776666,78
-2320,-18860,586,-21,-59,-278,786807,79
-2561,-18897,656,-15,-8,-262,796671,80
-2941,-18693,721,-21,35,-255,806535,81
-3066,-18697,910,-38,58,-249,816859,82
-3098,-18871,1017,-59,45,-262,826697,83
-3078,-19258,952,-77,30,-273,836541,84
-2556,-19038,634,-90,43,-285,846689,85
-2297,-19013,539,-99,82,-296,856536,86
-2228,-18957,652,-110,146,-298,866678,87
-2465,-19149,607,-109,212,-310,876548,88
-2315,-19153,715,-108,270,-317,886683,89
-2497,-19654,670,-101,303,-339,896543,90
-2287,-20432,512,-79,337,-360,906687,91
-2415,-21110,379,-52,373,-383,916816,92
-2961,-21564,651,-67,413,-375,926653,93
-1644,-20834,1601,-94,550,-360,936551,94
-631,-18856,1951,-150,588,-314,946707,95
-3002,-19944,1409,-224,453,-259,956573,96
-5078,-21946,3219,-235,206,-170,966721,97
-1896,-20488,2439,-149,144,-174,976584,98
