xac,yac,zac,xang,yang,zang,tempo,amostra
-5121,-18992,701,237,87,-185,1,0
-4993,-19116,677,251,78,-217,4484,1
-4713,-18821,696,266,72,-242,14249,2
-4094,-18753,856,284,103,-245,24274,3
-3971,-18879,1093,308,152,-243,34301,4
-3978,-18992,1018,320,190,-236,44405,5
-4223,-19108,920,333,213,-237,54403,6
-4273,-19449,821,349,200,-230,64439,7
-4209,-19696,981,361,164,-228,74243,8
-4098,-19949,1508,374,143,-222,84275,9
-4208,-19981,2177,388,175,-227,94996,10
-3831,-19291,2297,392,241,-216,104485,11
-3541,-19296,1764,385,259,-199,115349,12
-3981,-19631,1573,388,223,-193,124278,13
-4341,-19742,1543,384,180,-188,134329,14
-3879,-19679,1305,393,142,-178,144429,15
-3112,-19958,1779,420,174,-169,154250,16
-3118,-20017,1926,449,274,-159,164301,17
-3363,-20167,1662,492,386,-154,174254,18
-3634,-20265,1354,532,474,-173,184307,19
-4343,-20461,1176,584,531,-196,194418,20
-4636,-21639,1022,654,551,-233,204322,21
-4585,-21959,1161,722,600,-289,214428,22
-4508,-21238,1395,783,710,-371,224259,23
-5185,-20646,799,838,808,-474,234313,24
-8073,-21198,-76,868,719,-565,244439,25
-10437,-21879,580,879,525,-644,254279,26
-9942,-20977,1978,883,298,-764,264331,27
-8202,-20174,1418,836,134,-1013,274158,28
-6448,-19341,-3141,684,-2,-1183,284290,29
-5980,-22358,-3138,574,238,-1221,294419,30
-4174,-21891,-7035,594,670,-1148,304833,31
-4160,-20760,-12498,421,1011,-1117,314326,32
-4046,-19118,-16130,113,1161,-1067,324445,33
-4816,-18593,-15171,-158,1309,-943,334331,34
-6603,-16245,-13018,-366,1344,-772,344167,35
-13780,-14284,-9201,-504,1600,-489,354302,36
-17591,-12192,-7365,-561,1802,-108,364151,37
-17163,-12478,-7040,-677,1666,181,374359,38
-15333,-14201,-7426,-803,1384,417,384175,39
-15608,-15716,-6605,-917,1116,641,394309,40
-14232,-16882,-5800,-1006,891,806,404244,41
-10821,-18071,-4557,-1080,671,888,414181,42
-8608,-19292,-2881,-1110,629,949,424316,43
-7434,-19818,-1688,-1096,701,1022,434193,44
-6113,-20214,-657,-1083,787,1071,444352,45
-4587,-20443,128,-1064,904,1113,454185,46
-3793,-20462,687,-1047,1058,1156,464229,47
-2997,-20139,1288,-1036,1200,1179,474329,48
-2575,-19874,1597,-1038,1274,1177,484183,49
-2900,-19597,2196,-1052,1254,1163,494326,50
-3346,-19581,2764,-1066,1137,1143,504570,51
-3518,-19403,3680,-1077,945,1112,514095,52
-3160,-19547,4349,-1088,716,1072,524488,53
-2286,-19802,4729,-1093,486,1043,534082,54
-1600,-20140,4967,-1082,299,1006,544197,55
-240,-19961,5211,-1056,120,972,554053,56
529,-20122,5200,-1032,-40,914,564191,57
204,-20440,5697,-1000,-194,863,574055,58
62,-20402,5950,-955,-326,820,584193,59
517,-20940,6412,-910,-440,766,594057,60
1389,-21351,6581,-864,-514,722,604198,61
2114,-21922,6790,-804,-509,681,614729,62
2438,-21941,7143,-735,-439,650,624041,63
2188,-21470,7380,-662,-336,611,634213,64
2195,-21257,7655,-583,-246,557,644086,65
2232,-20952,7359,-514,-201,480,654209,66
2667,-20735,7815,-449,-185,394,664351,67
3061,-20736,8472,-393,-168,302,674192,68
1974,-21034,8566,-343,-133,219,684070,69
1090,-21712,11804,-231,-161,167,694214,70
1103,-21501,12527,-112,-266,54,704084,71
-589,-21494,12275,-47,-536,-56,714662,72
-2389,-21357,12697,33,-876,-92,723934,73
-3773,-21554,14321,110,-1315,-133,734107,74
-11403,-24969,17660,247,-1863,-112,744236,75
-13501,-21594,11834,342,-2178,-14,754092,76
-1623,-25015,11221,68,-2109,-275,764234,77
4578,-24993,10330,188,-1695,-390,774096,78
4370,-24969,9,-40,-1024,-304,784236,79
-1708,-24950,8464,-32,-735,-303,794096,80
-5173,-21922,4136,278,-118,-427,803962,81
-8870,-15742,-1762,71,-405,-501,814197,82
-8730,-16740,-1543,-3,-915,-467,824072,83
-5259,-15559,-3109,52,-973,-448,833992,84
-2214,-15802,-2364,42,-1021,-440,844139,85
-2484,-17698,-838,98,-779,-386,853986,86
-3634,-18362,-556,161,-419,-334,864115,87
-5018,-18939,-461,191,-254,-342,873977,88
-5241,-19662,-76,224,-190,-360,884123,89
-5425,-19905,685,246,-187,-412,893978,90
-5753,-20071,1257,239,-221,-472,904125,91
-5718,-19730,1261,199,-308,-519,914550,92
-5242,-19508,1287,156,-420,-534,923857,93
-4512,-19887,1279,130,-503,-532,933851,94
-3757,-20027,1110,120,-521,-506,943968,95
-3304,-20017,993,134,-451,-455,954115,96
-3211,-19840,930,167,-320,-400,963974,97
-3372,-19544,706,202,-171,-342,973827,98
-3599,-19467,354,240,-23,-288,983976,99
-4450,-19339,293,272,52,-250,994124,100
-5050,-19042,252,288,55,-233,1003991,101
-4919,-18889,497,285,15,-220,1013862,102
-4368,-18819,785,270,-40,-207,1024304,103
-4269,-18958,951,264,-60,-191,1033996,104
-4821,-18902,761,257,-65,-180,1043878,105
-5090,-18741,716,248,-88,-175,1054083,106
-5149,-18512,916,239,-121,-181,1063981,107
-4584,-18610,997,234,-138,-181,1074138,108
-4086,-18829,817,242,-103,-182,1084019,109
-4368,-18884,735,245,-54,-176,1093956,110
-4649,-18911,874,249,-26,-166,1103836,111
-4516,-19066,794,254,-13,-176,1114016,112
-4460,-19101,715,265,13,-181,1124330,113
-4237,-19099,637,282,55,-181,1134024,114
-4379,-19209,690,300,99,-185,1143995,115
-4311,-19329,525,330,159,-192,1153892,116
-4330,-19394,231,375,249,-202,1163824,117
-4460,-19010,246,421,359,-223,1173944,118
-5054,-19062,-246,479,460,-258,1183859,119
-6230,-19143,-291,541,498,-324,1193796,120
-7007,-19133,359,596,510,-408,1204005,121
-5756,-18860,1785,602,470,-479,1213981,122
-4575,-18830,2672,578,402,-537,1223911,123
-3577,-19029,2057,542,350,-565,1233892,124
-3204,-19589,1716,514,273,-557,1243858,125
-3304,-19653,1506,502,233,-538,1253821,126
-3021,-19432,1447,502,234,-496,1263730,127
-1838,-19703,1545,519,270,-436,1273957,128
-2098,-20512,1943,546,339,-384,1283869,129
-2792,-21092,1972,577,446,-353,1293835,130
-3890,-21602,1966,606,515,-351,1303747,131
-4313,-22456,1856,637,518,-354,1313699,132
-4468,-22263,2753,645,499,-392,1324195,133
-4606,-21505,3589,632,484,-442,1333795,134
-5110,-20559,3679,624,430,-488,1343729,135
-6159,-20593,2030,642,350,-574,1353675,136
-7753,-21223,680,676,230,-696,1363883,137
-8798,-22029,-496,683,86,-803,1373908,138
-6501,-19656,-6068,516,7,-907,1383876,139
-4437,-20294,-5914,323,212,-894,1393848,140
-1581,-20216,-5443,283,710,-760,1403768,141
-410,-19548,-7349,211,1085,-652,1413748,142
-2117,-18998,-8222,133,1457,-551,1423728,143
601,-15766,-13995,-46,1675,-498,1433680,144
-2966,-14976,-15787,-295,2135,-414,1443918,145
-8895,-14576,-13079,-313,2958,-51,1453892,146
-15069,-13733,-10652,-296,3551,314,1463884,147
-15252,-13979,-8687,-348,3393,533,1473881,148
-15329,-14630,-7587,-469,2940,683,1483882,149
-15966,-15306,-6846,-617,2444,802,1493882,150
-14251,-16279,-7212,-774,1816,824,1503882,151
-12342,-17560,-5806,-927,1229,841,1513879,152
-10163,-18526,-4362,-1038,838,860,1523880,153
-8499,-19229,-2466,-1131,543,853,1533931,154
-6812,-20070,-463,-1172,353,857,1543638,155
-5926,-20759,1185,-1153,278,868,1553622,156
-4750,-20882,1577,-1095,241,889,1563621,157
-3137,-20826,1299,-1046,210,884,1573618,158
-1739,-20514,603,-1018,192,858,1583622,159
-1782,-20340,575,-1013,156,828,1593627,160
-2076,-20014,910,-1021,94,806,1603627,161
-2175,-19881,1423,-1034,31,781,1613630,162
-1626,-19942,2246,-1042,-23,764,1623631,163
-895,-20122,3067,-1037,-44,746,1633664,164
-424,-20179,3669,-1011,-38,734,1643573,165
-6,-20296,4005,-978,-23,716,1653575,166
107,-20360,4655,-942,-33,690,1663582,167
-373,-20369,5137,-901,-60,664,1673574,168
-799,-20289,5357,-859,-114,626,1683576,169
-312,-20148,5363,-820,-217,579,1693514,170
665,-20271,5478,-794,-373,497,1703497,171
1244,-20675,5395,-772,-525,414,1713494,172
670,-20888,5908,-737,-642,348,1723781,173
401,-20751,6378,-691,-740,280,1733911,174
840,-20516,6834,-650,-817,202,1743667,175
1304,-20579,7248,-602,-849,127,1753642,176
1389,-20580,7448,-540,-843,70,1763650,177
931,-20491,7342,-476,-850,9,1773655,178
502,-20451,7122,-422,-896,-65,1783640,179
617,-20430,7305,-380,-965,-137,1793650,180
1040,-20461,7526,-338,-1011,-210,1803655,181
879,-20331,8179,-291,-1013,-278,1813667,182
552,-20385,8466,-237,-985,-331,1823655,183
-197,-20163,8717,-174,-966,-371,1833681,184
