xac,yac,zac,xang,yang,zang,tempo,amostra
1809,111,7670,213,225,-896,0,0
1298,-302,8638,242,194,-892,3082,1
1213,-300,8699,287,134,-888,13227,2
1395,-778,7905,324,67,-884,23038,3
2829,-690,7675,340,14,-874,33194,4
4012,-320,7791,342,68,-864,43021,5
3930,-159,7991,338,187,-857,53022,6
3377,-534,8415,338,273,-843,63173,7
3076,-395,8380,345,300,-828,73015,8
2863,-258,8333,348,324,-815,83176,9
3441,-533,8625,345,348,-787,93018,10
4406,-327,7839,354,402,-747,103186,11
5197,-69,7698,339,506,-713,113028,12
4856,-53,7722,327,663,-683,122859,13
5108,-177,7577,323,796,-648,133049,14
5009,-253,8186,310,936,-638,142877,15
4004,-499,8674,307,1064,-637,153039,16
3358,-487,9012,320,1127,-641,162875,17
3695,-300,9284,333,1162,-658,173042,18
3718,-773,9413,351,1232,-695,182881,19
3555,-1411,9936,391,1271,-739,193047,20
2281,-6169,11984,466,1375,-779,203359,21
-2849,-9386,5943,660,1149,-839,212884,22
2315,-3483,6927,673,795,-825,223052,23
3281,-6797,7966,721,812,-914,233145,24
-1107,-10015,6992,788,886,-1010,243025,25
-1792,-10295,6785,845,713,-1072,253055,26
-2980,-10429,7406,895,621,-1172,262908,27
-4218,-10499,8300,949,576,-1260,273085,28
-5035,-11370,9450,1024,602,-1321,282950,29
-7646,-12852,9765,1120,687,-1374,292822,30
-9573,-12948,10710,1245,712,-1372,303091,31
-7174,-11490,13667,1417,485,-1364,312898,32
2872,-12409,10948,1644,-197,-1434,323084,33
9290,-11319,881,1715,-1375,-1755,332958,34
6299,-10771,-393,1528,-2225,-2153,342861,35
7080,-11146,5791,1525,-2000,-2141,353072,36
10654,-11696,6493,1612,-1462,-2097,362940,37
17502,-14095,10644,1569,-998,-2177,372837,38
20141,-17246,5582,1586,-533,-2336,383057,39
24428,-19577,8586,1492,-128,-2280,392923,40
25355,-23210,11012,1603,469,-2293,403132,41
24970,-23420,11821,1767,1272,-2221,412890,42
25626,-19498,11347,1981,1887,-2191,423087,43
21563,-15370,11611,2063,2289,-2256,432999,44
17273,-11157,11254,2055,2426,-2218,442907,45
13240,-6306,11104,1979,2313,-2128,453065,46
9369,-1886,11712,1853,2115,-1966,462873,47
5437,2495,12668,1686,1877,-1697,472995,48
1048,6523,13206,1495,1469,-1372,482783,49
-3236,10168,12711,1298,792,-1017,492919,50
-5785,12842,11942,1023,-64,-612,503726,51
-5550,14583,11098,738,-812,-161,512738,52
-4139,16314,10101,458,-1361,258,522877,53
-3194,18082,9659,206,-1631,649,532745,54
-2642,19938,8191,-23,-1716,1044,542894,55
-2842,20734,7001,-237,-1670,1449,553040,56
-3562,21192,5874,-425,-1524,1869,562858,57
-4751,21652,5430,-601,-1333,2265,572992,58
-5679,21944,4834,-760,-1132,2661,582801,59
-6483,21668,4085,-907,-942,3042,592941,60
-6870,20473,3384,-1048,-767,3382,602769,61
-6701,19251,2927,-1186,-623,3662,612866,62
-6581,18136,2224,-1332,-541,3866,622683,63
-6580,16953,1938,-1481,-498,4021,632927,64
-6018,15747,2361,-1618,-456,4135,642758,65
-5912,15301,3412,-1735,-443,4188,652918,66
-6258,15230,4024,-1837,-570,4195,662741,67
-6210,15542,5806,-1931,-808,4193,672899,68
228,14398,5578,-2011,-980,4200,682726,69
3002,13358,6206,-2017,-1021,3898,692875,70
2201,16040,8016,-1994,-857,3782,702753,71
5305,16069,9369,-1957,-531,3694,712810,72
5362,15677,11464,-1896,-425,3409,722817,73
5811,16842,12588,-1844,-285,3209,732788,74
8002,17675,13463,-1777,-75,3048,742972,75
9355,17753,14037,-1706,171,2847,752801,76
8848,17563,15041,-1634,391,2615,762644,77
7701,16808,15741,-1549,520,2398,772802,78
7588,15848,16426,-1470,526,2196,782653,79
6982,14952,16596,-1401,472,2003,792803,80
6104,14104,16323,-1339,406,1847,802640,81
5348,13067,15968,-1283,297,1735,812775,82
4652,11790,15193,-1246,136,1643,822876,83
3842,9885,14508,-1228,-88,1567,832785,84
3450,7869,13969,-1214,-294,1530,842641,85
3214,5652,13310,-1197,-390,1546,852813,86
2635,3073,13186,-1176,-408,1580,862660,87
2222,347,12864,-1133,-410,1635,872840,88
2100,-1713,11918,-1092,-450,1682,882691,89
1549,-2954,10429,-1066,-513,1706,892874,90
879,-4416,9276,-1059,-518,1740,902744,91
977,-5828,8096,-1052,-447,1784,912613,92
1003,-6721,6800,-1063,-375,1790,922831,93
1557,-8661,5917,-1096,-288,1799,932755,94
3011,-11139,5664,-1135,-180,1769,942625,95
3274,-14139,6064,-1147,-19,1716,952887,96
2791,-16816,6015,-1127,133,1639,962764,97
2100,-17155,5813,-1083,166,1496,972635,98
1977,-15307,6442,-1014,134,1319,982822,99
3348,-12614,7264,-912,222,1149,992705,100
4479,-9999,6485,-808,454,955,1002802,101
3425,-9186,6451,-734,790,758,1012698,102
1076,-9715,6944,-631,1138,604,1022698,103
-2980,-9962,7625,-508,1330,444,1032653,104
-5976,-9662,7813,-378,1227,290,1042531,105
-6841,-7897,7609,-262,842,92,1052731,106
-7062,-5407,7719,-142,354,-175,1062607,107
-6026,-2399,7180,-44,-63,-415,1072811,108
-4863,-17,6187,1,-275,-607,1082690,109
-5048,1480,6685,2,-242,-732,1092570,110
-5329,2534,7272,5,-32,-757,1102781,111
-14950,2801,-9823,-27,147,-724,1112671,112
31843,-6782,25196,-1335,-756,-659,1122806,113
-30385,-29619,22216,95,4227,443,1132781,114
-10082,-3240,25188,956,2322,34,1142681,115
17113,-4819,25156,499,-520,-528,1152558,116
32478,2803,7025,581,909,-668,1162775,117
