xac,yac,zac,xang,yang,zang,tempo,amostra
-2780,-7826,18763,-1231,1634,2994,1,0
-3298,-7482,19731,-1147,1685,2868,9813,1
-3527,-6980,20885,-1043,1696,2746,19729,2
-3099,-6117,21552,-908,1641,2632,29576,3
-1782,-5166,21808,-765,1502,2499,39714,4
329,-4389,21976,-617,1294,2344,49576,5
2390,-3694,21391,-475,1130,2155,59471,6
3101,-2994,20279,-338,1068,1940,69609,7
2125,-2541,19628,-192,1090,1739,79463,8
1213,-2110,19228,-28,1081,1542,89602,9
987,-1755,18867,140,996,1352,99803,10
1097,-1459,18387,310,869,1171,109609,11
1214,-890,18207,483,746,993,119473,12
1326,-319,17524,657,634,826,129606,13
1226,295,16554,810,495,666,139473,14
1411,741,15683,934,360,514,149608,15
1416,1111,14551,1045,214,380,159476,16
1507,1484,13849,1135,65,255,169622,17
1735,1841,13145,1223,-55,148,179483,18
1837,2261,12156,1297,-184,41,189630,19
1580,2463,11525,1355,-314,-61,199589,20
1598,2572,10533,1416,-458,-159,209640,21
1175,3067,9584,1445,-622,-258,219458,22
887,3899,8140,1449,-755,-340,229603,23
496,4483,7390,1404,-844,-394,239487,24
346,4555,7144,1369,-842,-407,249636,25
245,4941,6753,1348,-819,-415,259546,26
584,5496,6035,1335,-815,-432,269448,27
1318,5407,6745,1272,-780,-474,279603,28
1674,4638,7847,1269,-715,-510,289493,29
1735,4600,6964,1296,-692,-536,299494,30
2840,5297,5617,1263,-771,-585,309424,31
4049,4640,5157,1203,-949,-737,319377,32
2134,3588,5816,1182,-1059,-859,329538,33
4022,3947,8878,1145,-1045,-852,339426,34
19085,-921,10218,1421,-1044,-998,349618,35
17463,411,-7132,1299,-2580,-1580,359792,36
-2551,3890,-3124,782,-2949,-1772,369409,37
3301,577,-7231,819,-1980,-1562,379600,38
5467,-3641,-8460,608,-597,-1600,389512,39
-3898,-5387,-8397,416,905,-1448,399413,40
-19277,-4032,-14254,256,1605,-1310,409444,41
-13165,-10131,-10532,-57,407,-1357,419392,42
7694,-12240,-4010,-238,-295,-1363,429590,43
5644,-4701,2712,-360,367,-1543,439502,44
-7325,-174,5757,-392,1335,-1561,449392,45
-11953,-3302,12257,-439,1225,-1433,459596,46
-11941,-4774,18421,-407,544,-1384,469520,47
-16630,-6331,22393,-206,-57,-1332,479442,48
-15164,-4539,14393,-140,-740,-1214,489365,49
-4784,-4546,4078,-122,-1381,-1088,499562,50
4921,-5555,-63,-211,-1354,-1055,509462,51
6463,-3262,5958,-279,-526,-1018,519392,52
-1235,1202,10629,-267,66,-977,529323,53
-7209,1455,11006,-245,-63,-892,539534,54
-6104,-985,8578,-217,-497,-800,549452,55
-812,-1803,7755,-219,-693,-711,559373,56
1486,-401,8256,-215,-514,-657,569287,57
-393,158,8782,-218,-271,-618,579513,58
-2812,-538,8692,-201,-210,-584,589453,59
-2315,-405,8347,-184,-221,-526,599389,60
-517,192,8762,-177,-208,-460,609512,61
-738,283,8583,-168,-116,-424,619271,62
-1467,156,8065,-161,-47,-383,629507,63
-1356,-162,8605,-166,-20,-348,639421,64
-1925,65,8423,-148,1,-330,649367,65
-970,193,8325,-141,22,-296,659289,66
-451,391,8479,-139,93,-274,669512,67
-1518,433,7917,-140,180,-269,679465,68
-1448,328,8066,-144,220,-247,689411,69
-760,342,8356,-141,266,-235,699361,70
-1506,314,8468,-131,323,-240,709383,71
-1491,401,8664,-120,331,-223,719328,72
-807,343,8758,-100,339,-211,729318,73
