xac,yac,zac,xang,yang,zang,tempo,amostra
-6137,6603,8342,1156,958,1616,0,0
-5363,8563,7623,1150,884,1638,5988,1
-4478,9504,6802,1137,683,1597,16138,2
-4081,9286,6460,1116,346,1475,25996,3
-4245,8582,6479,1060,-34,1352,36143,4
-3173,8350,6636,975,-327,1234,46080,5
-2197,7688,7550,878,-519,1199,55925,6
-781,7414,8291,761,-686,1074,66052,7
1092,6418,8355,650,-873,932,76186,8
1919,4834,8886,539,-979,781,85949,9
3155,2205,9885,443,-969,665,96030,10
3787,-769,9830,439,-913,593,106168,11
5496,5921,4410,314,-680,478,116016,12
7789,26164,-1806,-13,-698,117,126162,13
10563,28120,2140,-78,-522,-423,136017,14
10268,16798,697,418,-486,-992,145882,15
9411,2004,7659,-35,-993,-1368,156024,16
4109,-9769,15058,-230,-1492,-1713,166171,17
-6108,-14029,22060,131,-974,-1961,176031,18
-15178,-11528,12251,324,388,-1989,186125,19
-14920,-6678,6656,34,702,-1316,196088,20
-11061,-1378,4978,16,130,-642,205943,21
-6862,1694,5375,11,-461,-257,216108,22
-3187,1078,7938,-33,-896,-84,226005,23
-984,-318,8353,29,-1077,-135,235882,24
75,-1329,7414,79,-859,-241,246037,25
-281,-1773,6747,74,-521,-272,255894,26
-1840,-1875,6533,45,-329,-224,266043,27
-3281,-2544,6640,29,-242,-163,275907,28
-4104,-2634,6227,13,-221,-81,286608,29
-3242,-2274,7047,-28,-245,-26,296023,30
-1397,-1842,7362,-47,-259,-38,305904,31
533,-1466,7709,-55,-234,-105,315772,32
1327,-868,6882,-44,-163,-198,325918,33
736,-1134,7262,-46,24,-272,336072,34
-714,-1931,7722,-41,257,-295,345932,35
-2911,-2143,7647,-40,401,-271,356092,36
-4885,-1925,6704,-55,378,-231,365998,37
-5738,-1632,6637,-65,202,-172,375902,38
-5146,-1854,6994,-68,-10,-78,386035,39
-3847,-1881,7065,-61,-169,20,395760,40
-2402,-1896,7703,-61,-237,61,405919,41
-1462,-1569,7535,-72,-236,46,415789,42
-1234,-1254,7379,-83,-203,-3,425974,43
-1169,-1167,7046,-89,-175,-51,435893,44
-1283,-1300,7154,-98,-144,-89,445779,45
-1627,-1456,6959,-100,-91,-122,455942,46
-2099,-1405,7140,-109,-50,-152,465843,47
-2548,-1467,6967,-113,-41,-170,475762,48
-3090,-1561,6806,-116,-60,-168,486384,49
-3554,-1629,6607,-122,-104,-145,496112,50
-3776,-1717,6487,-132,-151,-117,505754,51
-3602,-1960,6771,-149,-188,-84,515930,52
-3574,-1905,6759,-155,-219,-81,525830,53
-3203,-1688,7127,-162,-261,-46,535759,54
-2427,-1641,7432,-165,-241,-22,545944,55
-2030,-1604,7723,-163,-210,-40,555863,56
-2414,-1625,7712,-163,-168,-65,565789,57
-2624,-1352,7507,-159,-117,-75,575711,58
-2659,-1132,7084,-158,-104,-68,585927,59
-4163,-1810,8997,-170,40,-22,595697,60
-2375,-1395,7529,-152,48,-49,605909,61
-2641,-1650,7257,-152,-8,-147,615815,62
-3118,-1557,7485,-145,-29,-103,625753,63
-3560,-1675,7775,-139,21,-69,635667,64
-3247,-1575,7673,-133,48,-56,645892,65
-3284,-1574,7271,-134,71,-74,655801,66
-3410,-1332,7391,-137,44,-81,665715,67
-3560,-1552,7594,-130,29,-60,675647,68
-3347,-1599,7673,-120,12,-51,685848,69
-2818,-1444,7891,-119,-14,-50,696739,70
-2449,-1436,7780,-111,-1,-64,705801,71
-2291,-1237,7423,-110,32,-97,715753,72
-2791,-1019,7690,-112,81,-138,725669,73
-3395,-790,7537,-127,118,-155,735616,74
-3500,-390,7208,-136,124,-153,745826,75
-3444,-328,7303,-144,94,-145,755785,76
-3214,-231,7714,-155,28,-146,765709,77
-2999,-390,7800,-152,-37,-157,775657,78
-2794,-300,7854,-154,-117,-173,785598,79
-3087,-247,7653,-158,-162,-197,795696,80
-3596,-188,7854,-175,-182,-216,805738,81
-3716,11,7841,-185,-191,-215,815688,82
-3706,-290,7744,-188,-188,-199,825654,83
-3306,-457,7447,-197,-188,-184,835578,84
-3251,-591,7237,-209,-206,-183,845833,85
-3289,-908,7397,-226,-219,-198,855800,86
-3696,-591,7409,-252,-204,-221,865742,87
-3683,-460,7460,-283,-168,-242,875695,88
-3366,-437,7151,-308,-148,-249,885675,89
-2978,-421,7275,-330,-148,-261,896019,90
-2945,-172,7646,-361,-145,-293,905674,91
-3223,165,7852,-391,-107,-341,915651,92
-3565,168,7985,-418,-66,-380,925581,93
-3927,351,7532,-448,-79,-403,935549,94
-4365,552,8079,-480,-141,-422,945529,95
-4364,644,8453,-510,-188,-439,955803,96
-4155,879,8196,-565,-226,-455,965763,97
-4066,1218,7791,-619,-271,-477,975717,98
-3736,1399,7764,-669,-322,-484,985701,99
-4056,2228,8496,-745,-327,-559,995690,100
-4683,1885,10416,-837,-282,-655,1005698,101
-3254,1053,7413,-838,-185,-614,1015549,102
-3143,1858,9115,-863,-298,-595,1025770,103
-5540,2385,11097,-901,-263,-689,1035660,104
-2104,3034,8271,-927,-212,-646,1045722,105
-1857,4001,8129,-992,-76,-718,1055655,106
-2818,5442,8073,-1078,27,-831,1065541,107
-2034,5489,6987,-1109,180,-906,1075719,108
-693,4762,5991,-1070,318,-946,1085658,109
-1110,5018,5810,-1075,420,-1026,1095668,110
-2916,5517,6206,-1118,504,-1166,1106010,111
-4102,5678,6159,-1169,509,-1281,1115615,112
-4038,6328,5889,-1208,411,-1355,1125824,113
-2945,6678,5754,-1224,250,-1442,1135726,114
-2909,7326,6202,-1244,99,-1572,1145676,115
-1343,8495,5956,-1274,-108,-1680,1155574,116
-329,9681,6881,-1299,-284,-1783,1165538,117
68,10680,7068,-1325,-446,-1889,1175431,118
1299,10419,4471,-1353,-447,-1999,1185686,119
2917,9991,3313,-1372,-368,-2028,1196558,120
3458,11484,4114,-1366,-259,-1985,1205676,121
2347,11280,7103,-1330,224,-1834,1215427,122
843,7400,8371,-1268,788,-1887,1225689,123
-3878,4823,9540,-1220,1280,-2377,1235597,124
-9852,3029,8794,-1135,1714,-2903,1245547,125
-13123,1572,8446,-1033,1732,-2994,1255534,126
-16001,1876,9977,-1009,1459,-2723,1265606,127
-18943,3909,10805,-943,1062,-2379,1275553,128
-21698,5053,12274,-992,611,-2047,1285534,129
