xac,yac,zac,xang,yang,zang,tempo,amostra
-1067,1611,6976,88,657,-865,1,0
-151,1286,6660,47,608,-877,6396,1
547,1106,6275,13,592,-884,16231,2
794,1146,5515,-1,606,-872,26396,3
251,1072,4843,-9,653,-842,36228,4
1179,1360,5523,-4,689,-798,46396,5
1738,1469,6746,5,759,-786,56156,6
106,916,8435,22,728,-758,66325,7
1373,503,7649,14,632,-806,76189,8
687,204,7497,14,534,-861,86383,9
812,-81,7107,-7,528,-922,96632,10
991,371,6772,-7,552,-966,106114,11
307,404,6767,-3,577,-1042,116259,12
-138,155,7080,-2,558,-1145,126287,13
-805,-200,7670,-9,503,-1282,136110,14
-560,-941,7811,-8,366,-1433,146264,15
166,-1618,7651,-19,217,-1615,156112,16
349,-1922,7488,-20,131,-1770,166268,17
748,-2006,7070,-3,122,-1924,176452,18
451,-2747,6727,22,163,-2082,186278,19
145,-4566,6403,72,236,-2240,196110,20
-183,-6780,6715,161,325,-2395,206263,21
-1397,-9252,7022,258,428,-2567,216101,22
-2966,-10852,7384,378,532,-2693,226275,23
-5343,-11806,5755,497,579,-2758,236130,24
-8479,-14835,5924,395,697,-2710,246299,25
-12616,-17156,3049,284,1107,-2550,256161,26
-15496,-17870,2591,170,1091,-2395,266051,27
-15454,-13128,4553,100,1063,-2369,276265,28
-7551,-9365,6013,69,977,-2627,286116,29
-2517,-8656,1036,18,621,-3011,296291,30
4064,-4215,4077,-147,189,-2989,306834,31
7358,1276,4014,-101,-18,-2773,316067,32
3972,3488,7317,-152,-22,-2484,326277,33
-273,8293,9086,90,-26,-1935,336142,34
-5524,10931,10854,223,606,-1388,346016,35
-9701,12402,8819,396,1392,-722,356256,36
-9914,15047,12381,464,1665,-57,366124,37
-6177,15316,10690,490,1712,420,376010,38
-3713,15043,10375,476,1536,681,386254,39
-3743,13464,9958,415,1035,906,396128,40
-4323,11621,9500,307,510,1197,406265,41
-4970,10180,9251,251,7,1466,415963,42
-3565,9062,9391,186,-506,1702,426163,43
-2951,7883,9523,129,-978,1867,436065,44
-2177,7157,9442,96,-1494,2058,445968,45
-1482,6274,9923,82,-1948,2258,456181,46
-951,5101,9598,99,-2249,2420,466105,47
-721,4285,9013,162,-2504,2595,475987,48
-61,3380,8267,208,-2692,2787,486223,49
621,2329,7604,263,-2816,2961,496134,50
718,511,6745,325,-2878,3124,506349,51
-135,-1122,6200,392,-2940,3283,516037,52
243,-2124,6271,472,-3151,3399,525965,53
2898,-3900,8471,593,-3164,3418,536176,54
1245,-4067,4082,692,-2636,3580,546110,55
2241,-5107,5045,762,-2470,3588,556006,56
-562,-6173,2976,864,-2232,3645,565958,57
1498,-7097,-847,902,-2215,3726,576172,58
872,-9355,541,877,-2116,3652,586114,59
1783,-10631,2106,1060,-1955,3698,596010,60
2389,-9556,-2754,935,-1602,3746,606003,61
2343,-9152,51,832,-1307,3878,616016,62
1434,-8740,3383,852,-879,4013,626004,63
-1658,-9556,2558,802,-373,4093,635964,64
2771,-9148,-1774,840,-49,4152,645876,65
6574,-8102,-2072,333,437,3817,656067,66
8821,-11976,2848,185,801,3418,665996,67
13654,-12553,5694,121,1000,3060,675956,68
17969,-10978,5043,348,1301,2679,685879,69
18484,-4556,4933,475,1560,2522,695826,70
16803,-1275,3757,363,1710,2348,705842,71
14424,-1916,3655,170,1753,2060,716650,72
7950,-1393,2123,64,1434,1670,725918,73
5596,1225,4402,1,920,1274,735842,74
5039,2240,3741,-93,593,780,745805,75
10784,287,2358,-244,352,255,756038,76
19377,-920,815,-408,215,-285,766000,77
22310,-2411,3277,-521,257,-859,775981,78
22134,-4167,5622,-557,208,-1394,785937,79
8884,-10979,20263,-377,-167,-1838,795858,80
-11428,-8517,18408,-37,-351,-1686,805873,81
-22952,-5816,12947,-117,-258,-992,815738,82
-15035,-1178,3474,-550,-63,-532,825932,83
-1371,-3405,9131,-1187,122,-1356,835860,84
3682,-6215,11514,-1001,-467,-2200,845831,85
1004,-2640,7781,-735,-574,-2132,856117,86
-2747,1533,4055,-636,-357,-1716,865701,87
-3237,3786,1364,-656,-306,-1432,875668,88
-4109,3853,4218,-560,-180,-1227,885619,89
-6141,3978,6677,-422,276,-992,895564,90
-7980,3765,5466,-325,562,-831,905806,91
-6065,3165,6229,-262,711,-819,915848,92
-2657,1409,7926,-313,740,-825,925777,93
-2023,1420,8594,-316,619,-838,935743,94
-4536,922,8225,-356,420,-942,945686,95
-5466,-681,6786,-447,275,-1050,955638,96
-4357,-1463,6367,-490,175,-1127,965593,97
-2771,-348,6445,-389,180,-1121,975528,98
-1347,667,4728,-273,306,-1023,985754,99
-1928,1241,5239,-127,475,-868,995704,100
-3617,1977,3664,16,647,-795,1005687,101
-5569,1972,3500,119,663,-793,1015646,102
-4291,1784,4265,159,601,-822,1025562,103
-3524,1612,6171,181,526,-867,1035515,104
-4271,1013,8094,174,501,-905,1045754,105
-4314,610,7662,132,475,-971,1055722,106
-3408,397,6661,108,385,-1043,1065666,107
-2673,402,5560,119,333,-1082,1075591,108
-1713,1050,5571,114,396,-1061,1085544,109
-1252,1225,5553,134,481,-1002,1095499,110
-1208,988,5998,139,557,-976,1105549,111
-1718,1224,5840,148,601,-959,1115512,112
-2268,1479,6330,137,620,-966,1125596,113
-1281,907,6735,97,599,-989,1135509,114
-1472,607,6887,81,544,-986,1145495,115
-818,797,6671,68,564,-984,1155509,116
702,702,6772,53,577,-984,1165496,117
1041,764,6639,30,612,-985,1175458,118
-1198,229,7937,26,634,-941,1185436,119
1431,265,7126,22,574,-938,1195667,120
550,883,7237,23,540,-990,1205437,121
443,1288,6487,-13,536,-1015,1215393,122
367,731,6613,-19,526,-1066,1225534,123
597,488,6270,-28,512,-1117,1235398,124
694,-107,6700,-43,555,-1164,1245379,125
672,-279,7005,-31,571,-1215,1255631,126
91,-596,7274,-30,610,-1289,1265625,127
-980,-1162,8012,-33,607,-1394,1275344,128
-1389,-2154,8942,-38,512,-1543,1285344,129
-1383,-2365,9636,-42,351,-1744,1295621,130
-1366,-2113,8938,-42,177,-1977,1305459,131
-1312,-2225,7507,-36,22,-2190,1315467,132
-2170,-2507,5748,-31,-43,-2381,1325517,133
-2693,-4128,4423,-23,-7,-2545,1335469,134
-3870,-7880,3694,11,6,-2740,1345465,135
-6480,-12536,2800,82,8,-2889,1355464,136
-7819,-15039,2000,112,-86,-2921,1365467,137
-6023,-16636,3304,73,82,-2922,1375550,138
-8425,-19598,647,172,541,-2816,1385548,139
-17041,-20083,4216,181,885,-2687,1395547,140
-21869,-19944,3623,67,1854,-2388,1405312,141
-13740,-14829,3807,227,2583,-2228,1415313,142
-6920,-9129,5384,200,2201,-2624,1426011,143
-445,-5731,5013,165,1514,-2634,1435439,144
5139,-1212,3384,22,1084,-2472,1445438,145
4476,4819,6949,-38,885,-2298,1455440,146
4404,5948,7331,-17,784,-2083,1465441,147
3848,6820,12064,11,772,-1727,1475468,148
575,7745,10595,156,1165,-1260,1485498,149
-153,7712,6672,211,1428,-746,1495258,150
-8501,10720,10605,236,1284,-150,1505324,151
-7975,16302,11070,282,1240,401,1515350,152
-9414,16746,11484,189,1093,680,1525379,153
-7617,15487,11561,64,569,1027,1535731,154
-4764,13276,11252,-88,-208,1256,1545196,155
-1225,11131,12484,-187,-885,1436,1555220,156
-1582,9936,11169,-216,-1350,1637,1565258,157
90,10174,10112,-223,-1744,1929,1575295,158
425,8957,10817,-211,-2029,2147,1585337,159
831,7800,11248,-138,-2221,2375,1595374,160
1491,6759,11367,-36,-2323,2582,1605217,161
