xac,yac,zac,xang,yang,zang,tempo,amostra
-17450,2867,8277,486,1924,345,1,0
-17947,2411,7777,463,1726,-37,4720,1
-17497,1931,8087,436,1510,-397,14536,2
-15772,1829,7698,423,1298,-720,24675,3
-11315,1006,5920,432,1053,-959,34670,4
-2125,-518,-2140,533,892,-1151,44480,5
3651,1070,3546,-17,1506,-376,54515,6
24535,3331,10240,-141,-1032,1436,64654,7
25745,16921,10731,-5,-2183,181,74487,8
-1638,13625,13932,75,-796,-2059,84644,9
-8865,1061,5682,453,-275,-1982,95207,10
-4322,-1848,6497,673,35,-852,104707,11
914,2585,7021,451,225,-861,114521,12
308,223,11531,235,-289,-1110,124670,13
2115,-2985,9739,382,-581,-907,134560,14
6204,-4161,6393,498,-317,-854,144713,15
7834,-4276,6392,481,-83,-933,154540,16
6695,-3921,7795,469,57,-945,164689,17
3663,-3723,7458,500,175,-972,175763,18
2232,-3383,6683,516,218,-975,184640,19
3102,-3288,5771,494,185,-969,194490,20
3183,-2989,4675,434,90,-955,206357,21
1939,-1811,4208,338,-17,-912,214547,22
398,-1142,4885,225,-88,-844,224367,23
-229,-1308,5144,125,-185,-755,234539,24
404,-1456,6165,41,-298,-656,244361,25
818,-1532,6489,-5,-392,-577,254973,26
1439,-1387,6512,-46,-459,-516,264501,27
2415,-1298,6645,-78,-485,-497,274347,28
3896,-1764,7266,-98,-471,-523,284531,29
5179,-2408,7873,-85,-409,-587,294365,30
5417,-2579,7828,-47,-273,-677,306537,31
4978,-2357,7459,-15,-111,-772,314398,32
3660,-2020,7596,0,27,-847,324588,33
2365,-1563,7279,15,139,-896,334489,34
1593,-1170,6740,10,184,-926,344364,35
930,-1086,6121,-8,180,-930,354554,36
545,-1123,6028,-42,115,-917,364386,37
185,-1412,5971,-70,38,-886,374245,38
150,-1664,6010,-101,-63,-849,384441,39
136,-1512,6493,-120,-143,-819,394335,40
58,-1406,6666,-127,-179,-790,404480,41
208,-1098,6925,-129,-205,-775,414366,42
223,-915,7191,-132,-204,-778,424232,43
346,-990,7077,-126,-189,-778,434427,44
299,-1128,7047,-119,-180,-788,444336,45
202,-1229,6939,-117,-160,-802,454205,46
-368,-1201,6678,-117,-139,-805,464390,47
-308,-1150,6592,-123,-133,-805,474260,48
-138,-1082,7029,-125,-135,-815,484485,49
-280,-1094,7051,-116,-121,-826,494364,50
-443,-928,6871,-107,-108,-837,504920,51
-869,-717,7011,-103,-97,-849,514485,52
-901,-423,7060,-103,-93,-856,524369,53
-799,-283,6609,-98,-111,-875,534303,54
-443,-126,6499,-106,-121,-897,544225,55
-31,26,6671,-123,-123,-939,554423,56
-3,81,6702,-136,-106,-996,564338,57
349,395,6648,-137,-65,-1063,574220,58
-234,1498,8929,-179,-32,-1106,584429,59
-466,819,5709,-143,151,-1201,594352,60
-1856,1142,7299,-179,32,-1294,604234,61
-1861,2971,8053,-215,31,-1282,614231,62
-1754,3660,7428,-233,1,-1340,624444,63
-1335,3208,8399,-247,-45,-1390,634375,64
-789,3475,9236,-264,-50,-1450,644270,65
-80,3062,7908,-260,-19,-1492,654188,66
-881,3687,8241,-273,44,-1521,664417,67
-1474,4138,8217,-288,105,-1611,674340,68
-1877,3898,8274,-322,85,-1670,684243,69
-1708,3910,8118,-348,40,-1707,694163,70
-1647,3995,8394,-383,-14,-1758,704082,71
-908,4741,8490,-433,-54,-1805,715720,72
423,6564,7925,-514,-58,-1855,724317,73
1412,7636,7167,-584,-67,-1923,734277,74
2201,7419,7320,-596,-104,-2024,744246,75
3154,7268,7986,-610,-166,-2151,754171,76
4840,7429,8024,-610,-252,-2264,764095,77
6459,7500,7356,-588,-298,-2376,774061,78
7358,7532,5827,-543,-369,-2488,784305,79
8175,7129,4802,-471,-506,-2560,794242,80
9820,7079,3604,-400,-681,-2550,804182,81
11069,6854,2220,-321,-777,-2489,814323,82
10346,4186,907,-240,-810,-2438,824290,83
6568,-125,1991,-149,-800,-2586,834290,84
-2791,578,3452,-78,-388,-2985,844263,85
-5009,4929,1561,-146,-520,-3704,854216,86
-12369,6316,4500,-266,26,-4456,864138,87
-20326,6638,7857,-181,604,-3720,874091,88
-10018,7523,5074,-96,482,-1850,884065,89
-409,2130,5780,-117,25,-934,894036,90
1873,-3751,6385,-81,-351,-641,904294,91
3494,-7934,6647,-39,-623,-439,914939,92
3779,-9954,5970,10,-623,-160,924138,93
1508,-10289,6812,3,-458,172,934107,94
136,-9684,7253,-8,-250,478,944120,95
-1500,-9134,7736,-5,-104,749,954088,96
-1885,-8661,7825,22,-81,1088,964072,97
-1943,-8097,7083,55,-83,1468,974043,98
-2376,-7894,6816,54,-120,1839,984000,99
-3112,-7994,7077,54,-249,2176,993957,100
-3397,-7731,6867,78,-415,2467,1004251,101
-3222,-7599,6752,120,-551,2754,1014227,102
-2394,-6988,7185,165,-628,3053,1024300,103
