xac,yac,zac,xang,yang,zang,tempo,amostra
-1419,1545,10789,765,540,1312,1,0
-1382,1653,10865,754,521,1258,9354,1
-1693,1724,11208,739,524,1190,19159,2
-1566,1627,11483,721,516,1104,29212,3
-1196,1896,11645,693,524,1003,39311,4
-1347,2109,12008,651,570,874,49693,5
-2100,2294,12074,601,613,719,59087,6
-2990,2475,12330,542,622,556,69169,7
-3530,2417,12474,478,598,389,79216,8
-4030,2518,12473,416,554,212,89321,9
-4884,2490,12639,356,501,21,99950,10
-5867,2068,12855,300,442,-178,109177,11
-5961,985,13384,262,433,-389,119376,12
-6142,1043,13041,236,446,-591,129181,13
-6894,1079,12232,194,383,-786,139267,14
-7781,796,11566,129,211,-953,149335,15
-8300,218,11386,56,-47,-1083,159179,16
-7862,-407,11657,4,-334,-1169,169397,17
-7008,-1002,12178,-30,-603,-1241,179334,18
-5728,-1548,12617,-61,-828,-1304,189185,19
-3863,-2103,13503,-89,-988,-1360,199258,20
-2442,-2614,14250,-110,-1082,-1398,209215,21
-2085,-3126,15451,-142,-1124,-1385,219335,22
-1976,-4359,16624,-173,-1178,-1366,229196,23
3156,-5789,16860,-163,-1053,-1300,239078,24
10591,-7141,16180,-146,-636,-1138,249197,25
18200,-7798,19803,-248,-313,-829,259048,26
14088,-6332,16194,-160,43,-661,269199,27
100,1425,11304,-203,867,-916,279049,28
-13444,8376,10863,-289,1552,-1345,289484,29
-19497,6530,4334,-303,1620,-1545,299574,30
-7343,-305,7998,-544,307,-1004,309202,31
4916,-6561,7102,-621,-681,-598,319058,32
7143,-4918,6244,-430,-427,-679,329203,33
1216,607,4084,-253,267,-909,339070,34
-4085,420,5730,-212,202,-843,349206,35
-6272,-1044,8477,-200,-259,-746,359064,36
-2886,-482,11488,-204,-556,-699,369280,37
2167,-1307,13849,-232,-628,-667,379099,38
3703,-2065,14616,-220,-415,-747,389219,39
1605,-1349,13552,-202,-98,-854,399071,40
-1728,-946,11476,-184,108,-904,409115,41
-4627,-764,9150,-160,126,-893,419239,42
-5301,-429,7099,-142,3,-825,429080,43
-5370,-809,6270,-136,-172,-736,439270,44
-5572,-1372,6213,-120,-316,-645,449101,45
-5191,-1134,6842,-107,-485,-563,459241,46
-4786,394,8114,-113,-607,-486,469088,47
-3465,1853,9743,-153,-683,-432,479235,48
-1938,2203,10751,-207,-701,-405,489090,49
-1244,2744,11051,-251,-589,-414,498944,50
-1397,3746,10686,-293,-459,-423,509106,51
-2382,4204,10338,-341,-370,-431,518973,52
-3154,4103,9873,-387,-340,-422,529092,53
-3266,3727,9445,-434,-370,-400,538988,54
-2770,3150,9118,-471,-419,-387,549111,55
-2377,2740,9048,-499,-480,-375,558952,56
-2269,2223,9267,-529,-532,-383,569096,57
-2119,1673,9518,-556,-567,-395,578955,58
-1762,1300,9930,-585,-612,-417,589099,59
-1297,1007,10273,-610,-656,-457,598957,60
-962,589,10492,-628,-702,-517,609092,61
-990,421,10281,-632,-754,-599,618991,62
-828,901,9761,-624,-871,-688,629133,63
-490,1545,9460,-613,-1036,-790,638987,64
608,1498,9593,-618,-1249,-907,649129,65
483,1027,10704,-626,-1422,-1040,658996,66
-1495,249,11368,-624,-1437,-1154,669137,67
-1473,466,11975,-652,-1563,-1226,678999,68
