xac,yac,zac,xang,yang,zang,tempo,amostra
264,11985,4742,472,822,-826,1,0
5223,9650,8319,330,924,-512,5367,1
7610,9939,6282,203,881,-398,15502,2
3760,10323,6086,90,559,-223,25333,3
1422,12352,6552,-13,401,143,35467,4
1083,13698,5606,-160,423,482,45287,5
729,13942,7616,-291,444,724,55313,6
-686,13393,7441,-349,382,958,65454,7
-1194,13471,6183,-459,146,1195,75293,8
-2333,12264,6650,-604,-165,1461,85435,9
-1982,10939,6472,-725,-413,1736,95355,10
-972,9485,6072,-840,-629,1958,105181,11
-315,8767,5742,-951,-881,2169,115329,12
436,7897,5565,-1050,-1135,2374,125184,13
1119,7000,5116,-1143,-1337,2578,135319,14
1515,5778,5527,-1234,-1515,2792,145160,15
2283,4409,5506,-1300,-1627,2987,155323,16
2367,2614,5734,-1358,-1741,3163,165162,17
2309,955,6339,-1383,-1776,3328,175325,18
1878,-789,6181,-1400,-1740,3487,185164,19
1583,-2732,5906,-1416,-1648,3645,195879,20
1945,-4764,5711,-1422,-1563,3784,205214,21
3393,-5960,5037,-1436,-1436,3918,215370,22
4661,-7320,4915,-1443,-1224,4055,225223,23
5485,-8643,4512,-1456,-961,4207,235060,24
5632,-9765,4156,-1479,-613,4360,245462,25
5366,-11051,3984,-1516,-274,4485,255330,26
5207,-12538,4491,-1563,-20,4558,265188,27
5794,-13641,4740,-1595,184,4575,275361,28
7047,-14455,4973,-1630,371,4548,285210,29
7180,-15269,5441,-1666,527,4466,295260,30
7404,-16235,5706,-1685,601,4352,305622,31
8474,-16481,5915,-1681,596,4214,315173,32
10112,-15062,6467,-1657,475,4031,325055,33
12364,-13101,7403,-1628,295,3777,335235,34
14802,-11698,9001,-1611,140,3416,345078,35
15772,-11555,11862,-1566,49,3020,355289,36
16350,-9568,14037,-1465,-92,2627,365161,37
19127,-6907,14782,-1356,-385,2182,375021,38
24855,-4640,16576,-1219,-534,1619,385215,39
30946,-3243,20638,-962,-373,957,395061,40
30894,-2873,21470,-545,-73,202,404985,41
24159,-1190,18404,-139,-78,-488,415037,42
17890,-872,15326,83,-449,-1106,425247,43
