xac,yac,zac,xang,yang,zang,tempo,amostra
-5954,-917,193,-278,-335,-2329,1,0
-11248,-4033,-2652,-140,789,-2283,8477,1
-10327,-4758,4097,-746,380,-1996,18461,2
-5863,-6909,7414,-763,-665,-1472,28455,3
-9030,-6703,3537,-553,-486,-1376,38455,4
-11187,-5470,5296,-642,-696,-1195,48457,5
-7617,-3482,5383,-565,-1197,-765,58187,6
-3569,-2087,5825,-483,-1233,-600,68163,7
1885,-358,6841,-433,-1149,-420,78492,8
5818,380,8900,-403,-900,-455,88460,9
5901,1362,8669,-368,-446,-621,98457,10
1559,36,7994,-388,-91,-724,108475,11
-1731,-3013,8392,-332,241,-764,118131,12
-4363,-2589,3702,-267,226,-713,128467,13
-6692,-2208,3226,-329,-68,-638,138138,14
-7323,-2631,2367,-362,-436,-475,148135,15
-4751,-2284,4951,-377,-684,-380,158140,16
-1179,-1758,7312,-382,-771,-324,168166,17
356,-1299,8818,-350,-640,-337,178175,18
-132,-760,8595,-313,-454,-385,188138,19
-2167,-476,7932,-305,-373,-422,198454,20
-3137,-894,6709,-291,-400,-428,208354,21
-3033,-1000,6039,-283,-477,-414,218324,22
-2888,-904,6061,-283,-526,-410,228329,23
-2567,-815,5665,-285,-562,-425,238323,24
-1976,-789,5933,-291,-576,-460,248234,25
-1547,-574,6423,-295,-563,-514,258175,26
-1417,-436,6690,-296,-553,-566,268177,27
-1549,-351,6928,-307,-505,-625,278183,28
-1685,315,6607,-359,-462,-700,288166,29
-1614,249,6177,-376,-434,-768,298200,30
-2633,438,6298,-398,-428,-828,308355,31
-3160,337,6457,-425,-430,-874,318332,32
-3123,1213,5407,-454,-441,-910,328333,33
-3535,2310,4992,-492,-502,-936,338344,34
-3129,2565,5232,-527,-576,-969,348007,35
-943,3311,4877,-594,-620,-1021,358009,36
297,2717,6054,-676,-587,-1136,368033,37
1141,2734,5358,-739,-501,-1289,378019,38
1088,4010,5723,-816,-366,-1484,388013,39
941,4832,6942,-870,-301,-1664,398014,40
1722,5216,8836,-933,-205,-1866,408844,41
836,5354,9316,-990,-61,-2047,418171,42
-120,5307,7675,-1044,-5,-2213,428169,43
-1255,5698,5029,-1080,50,-2414,438172,44
-2458,7241,2765,-1102,-33,-2594,448176,45
-1758,10837,146,-1132,-206,-2773,458174,46
87,14202,-1725,-1184,-369,-2974,468240,47
2582,17206,-4336,-1252,-471,-3180,478236,48
4226,19320,-5342,-1248,-553,-3431,488214,49
4375,21180,-5134,-1138,-708,-3678,498245,50
4626,22769,-2878,-934,-955,-3836,508185,51
3524,24782,-1546,-775,-1294,-3867,518151,52
3506,26371,-1286,-756,-1655,-3807,528186,53
6432,26267,-1838,-948,-2116,-3629,538203,54
9781,24271,1116,-1224,-2450,-3292,548217,55
