xac,yac,zac,xang,yang,zang,tempo,amostra
-4964,6556,11144,-114,328,2456,1,0
-8138,4356,10827,-199,469,1834,2887,1
-6059,-2466,8827,-86,665,1112,12809,2
-2607,-4718,9226,161,743,450,23159,3
-2767,567,11482,236,800,-198,32784,4
-5101,1559,10194,209,1037,-673,43007,5
-5528,299,8994,232,1184,-919,52817,6
-4589,-1438,9036,280,1333,-1105,63119,7
-3973,-2254,9055,299,1481,-1226,73023,8
-4286,-2018,9016,302,1510,-1317,82973,9
-3896,-1711,8719,317,1453,-1386,92928,10
-2093,-1894,7264,355,1384,-1446,102874,11
1401,-1901,2280,528,1351,-1447,112823,12
8276,-6600,1253,687,1169,-1377,122884,13
15787,-4007,3850,819,1059,-957,132823,14
18202,-1637,6353,798,633,-714,142805,15
16882,3557,13927,648,368,-634,152747,16
13407,8609,19929,315,314,-764,162995,17
4643,6462,19279,236,566,-1143,172840,18
-1995,3869,16495,300,869,-1337,182840,19
-4343,4403,15873,388,733,-1294,192841,20
-3031,3151,15791,480,249,-1255,205340,21
1684,636,13863,619,20,-1229,212999,22
6550,-373,11811,695,79,-1191,223028,23
9595,-1284,9655,714,306,-1218,233003,24
9443,-2499,7292,672,501,-1287,243001,25
6696,-3153,5901,613,522,-1339,253003,26
3395,-2583,4096,604,358,-1331,262723,27
1474,-2952,3587,549,-24,-1206,273007,28
1723,-3195,5049,545,-346,-1031,282668,29
4781,-2078,6078,529,-471,-918,293007,30
7814,-1996,8327,493,-552,-889,302970,31
8585,-1689,10984,483,-404,-941,312996,32
7346,-989,11445,487,-113,-1000,323046,33
4591,-896,10823,479,53,-1036,332688,34
2145,-1351,10785,476,66,-1036,342682,35
2097,-1749,10157,495,-4,-965,352682,36
3399,-1769,8861,506,-104,-901,362687,37
4675,-1814,8352,491,-146,-888,372686,38
5241,-2212,7288,475,-131,-858,382686,39
4788,-2378,6907,452,-95,-840,392688,40
4388,-2205,7305,424,-79,-818,403317,41
3996,-1650,7730,409,-100,-779,412850,42
4596,-1248,7273,392,-149,-747,422919,43
4623,-1542,7640,370,-219,-746,432846,44
4238,-1791,8196,351,-209,-746,442831,45
3457,-2018,7983,335,-190,-744,452786,46
2703,-1552,8699,311,-194,-745,462694,47
2685,-1154,9120,286,-221,-743,472667,48
3528,-1298,8307,278,-262,-736,482664,49
3359,-1471,8609,265,-281,-740,492640,50
2866,-1328,8622,259,-225,-731,502617,51
2485,-1577,8579,248,-187,-725,512800,52
2230,-1778,8288,244,-158,-714,522739,53
1844,-1573,8048,232,-152,-708,532688,54
2464,-1684,7474,232,-158,-697,542672,55
3118,-2040,7214,246,-161,-687,552672,56
3201,-2144,7470,255,-119,-699,562673,57
2725,-2286,7421,241,-74,-728,572684,58
1771,-2421,7687,242,-43,-738,582674,59
964,-2018,7658,232,-39,-730,592684,60
840,-2106,7698,234,-42,-723,602682,61
858,-2691,7744,235,-47,-702,613926,62
1323,-2631,7775,248,-7,-682,622551,63
1444,-2726,7522,253,46,-680,632518,64
764,-2973,7635,254,86,-684,642511,65
203,-2888,7533,247,108,-676,652511,66
761,-2575,7257,242,97,-678,662511,67
1196,-2414,7119,244,62,-690,672692,68
1270,-2547,7779,249,28,-709,682697,69
979,-2183,8133,267,29,-716,692697,70
863,-1745,8778,265,48,-741,702696,71
249,-1877,8785,266,75,-765,712708,72
-293,-1907,8812,266,59,-783,722597,73
42,-1566,8684,275,44,-789,732544,74
