xac,yac,zac,xang,yang,zang,tempo,amostra
-4454,-192,5747,-249,561,-1963,1,0
-9130,691,7609,-150,697,-1675,11410,1
-9713,2781,8236,-26,820,-1270,21541,2
-7255,4290,9398,51,843,-875,31334,3
-4725,4256,10972,117,796,-515,41471,4
-2849,4630,11035,176,736,-170,51473,5
-1996,5635,10530,176,655,187,61466,6
-2108,6164,10617,137,489,562,71287,7
-2584,6315,10763,113,246,936,81451,8
-2263,6776,10335,96,-16,1303,91500,9
-1566,7132,10106,74,-268,1622,101306,10
-726,7192,9405,38,-490,1895,111683,11
309,7015,8694,4,-681,2146,121507,12
1269,6505,8143,-20,-816,2377,131321,13
1956,5610,7870,-31,-928,2583,141471,14
2646,4666,7975,-32,-1001,2765,151303,15
3500,3654,7869,-43,-1016,2924,161471,16
4444,2673,8254,-53,-987,3072,171306,17
5469,1680,8327,-82,-892,3219,181470,18
6263,604,8541,-108,-773,3361,191979,19
6455,106,8817,-123,-648,3489,201366,20
6142,-203,9007,-142,-567,3606,211175,21
5625,-728,9065,-170,-577,3686,221332,22
4994,-1137,8874,-209,-680,3739,231166,23
4667,-1537,8449,-259,-858,3786,241323,24
4400,-2408,8046,-308,-1059,3827,251491,25
4092,-3297,7760,-352,-1225,3873,261331,26
3962,-4017,7319,-390,-1344,3919,271172,27
4313,-4602,6921,-427,-1430,3962,281342,28
5103,-4878,6569,-460,-1445,3989,291179,29
7598,-5463,8040,-505,-1329,3983,301261,30
8095,-7688,8727,-460,-992,3986,311154,31
8063,-8289,9490,-429,-513,4037,321335,32
9387,-8313,10350,-385,-65,4070,331179,33
10319,-8272,10541,-342,303,4024,341365,34
12104,-7172,10046,-311,546,3942,351202,35
13937,-6829,8949,-315,701,3807,361392,36
14255,-6798,8648,-351,757,3624,371228,37
14458,-5305,8466,-414,848,3423,381093,38
14878,-3404,7983,-487,818,3152,391287,39
14441,-2093,8319,-566,584,2761,401099,40
15055,-1109,9317,-625,226,2325,411302,41
17706,-1091,11003,-628,-88,1873,421173,42
20878,-1185,12406,-558,-178,1410,431366,43
23984,-362,13243,-431,-3,944,441210,44
25390,851,13255,-283,248,419,451074,45
23647,1769,12358,-160,393,-175,461268,46
18836,1703,10719,-78,327,-745,471166,47
10162,3096,-2597,-137,54,-1187,481365,48
-15612,-12786,14792,-639,-490,-1413,491222,49
32604,-20028,12868,41,1484,-1243,501200,50
-18230,712,7673,-153,2171,-137,511058,51
6594,5684,10804,-78,371,-209,521251,52
15153,1967,13100,13,-549,-976,531134,53
12370,-228,9770,-85,-293,-1347,541023,54
-219,-3295,5528,-384,297,-1551,551216,55
-13145,-4229,6329,-379,428,-1472,561118,56
-10183,-1361,5711,-269,202,-1036,571011,57
-389,2192,7444,-202,-339,-947,581217,58
271,3212,9278,-236,-634,-1145,591097,59
-3646,2398,9206,-278,-471,-1180,601520,60
-3815,1742,8222,-226,-139,-1093,611028,61
-2858,1535,7459,-152,124,-1073,621235,62
-2653,2019,7665,-143,386,-1032,631130,63
-3343,3088,7641,-178,633,-944,641035,64
-4880,3188,7725,-211,693,-889,651249,65
-5136,2551,7966,-235,538,-835,661147,66
-4514,1902,7932,-258,351,-850,671059,67
-4196,2025,7985,-273,250,-918,681268,68
-3861,2559,7607,-290,162,-969,691195,69
-3532,2388,7188,-296,83,-983,701089,70
-2815,1977,7019,-294,36,-970,711120,71
-2358,2130,6974,-275,52,-946,721041,72
-2330,2393,7000,-248,99,-925,731259,73
-2449,2587,6898,-226,123,-902,741182,74
-2338,2351,6952,-216,109,-875,751086,75
-2010,2246,7130,-208,103,-844,761001,76
-1940,2163,6944,-197,107,-812,771234,77
-2105,2264,6678,-184,107,-788,781146,78
-2158,2257,6570,-164,77,-771,791065,79
-1660,2312,6796,-140,27,-753,800968,80
-816,2074,7086,-111,10,-728,811765,81
-668,1641,7516,-91,32,-698,821029,82
-757,1758,7551,-75,87,-660,830935,83
-1005,1984,7487,-63,129,-634,841197,84
-1344,1970,7338,-51,131,-614,851103,85
-1587,2081,6999,-41,109,-609,861043,86
-1445,1996,7112,-30,72,-611,870951,87
-1243,2117,7117,-21,59,-617,880902,88
-1106,2172,7068,-15,59,-625,891160,89
-1034,2196,7012,-13,65,-628,901084,90
-853,2217,7160,-13,76,-628,910925,91
-736,2258,7072,-13,96,-626,921048,92
-715,2159,7268,-17,120,-624,930965,93
-573,2143,7422,-18,142,-622,940917,94
-631,2069,7483,-21,147,-624,950886,95
-690,2155,7337,-25,140,-628,961142,96
-655,2087,7353,-32,114,-635,971084,97
-590,2064,7302,-39,70,-643,981029,98
-95,1872,7431,-36,27,-648,990958,99
131,1879,7538,-33,8,-656,1000921,100
339,1765,7707,-34,10,-655,1011131,101
482,1736,7701,-30,27,-656,1021511,102
464,1847,7625,-30,43,-650,1030948,103
422,1775,7529,-32,50,-646,1040815,104
586,1736,7515,-27,49,-648,1051001,105
696,1767,7561,-25,52,-652,1061095,106
663,1726,7627,-28,61,-657,1070979,107
497,1826,7599,-36,58,-661,1080859,108
723,1829,7655,-39,45,-669,1090999,109
1000,1827,7877,-43,43,-687,1100677,110
1032,1756,7571,-45,44,-698,1111868,111
1161,1640,7722,-47,57,-718,1120884,112
1235,1719,7723,-51,82,-736,1130860,113
1260,1709,7531,-52,99,-760,1140845,114
1072,1716,7498,-48,120,-787,1150813,115
1218,1748,7358,-50,127,-814,1160793,116
1572,1810,7325,-44,133,-847,1170752,117
1906,1963,7377,-41,131,-881,1180738,118
605,1409,5581,-32,175,-912,1190725,119
1586,1628,7653,-18,129,-919,1200691,120
2379,1690,6957,-21,135,-928,1210671,121
2084,1584,7433,-1,140,-960,1221212,122
2704,1488,7597,0,145,-950,1230787,123
2954,1173,7694,11,163,-962,1240759,124
2791,1163,7604,14,181,-968,1250745,125
3667,1227,6277,11,196,-977,1260735,126
2371,776,8263,25,212,-997,1270729,127
3478,894,7093,24,307,-980,1280721,128
3838,650,7969,25,311,-1012,1290720,129
3610,445,8055,33,368,-1029,1300713,130
4016,139,7681,39,420,-1053,1310783,131
3612,-602,8743,53,456,-1086,1320818,132
2826,-3508,7609,165,366,-1098,1330647,133
3340,-2652,5301,236,254,-1169,1340638,134
3459,-395,7910,112,384,-1244,1350631,135
5371,-2168,10098,132,575,-1240,1360616,136
3628,-2783,10950,203,576,-1332,1370601,137
2204,-2234,10735,256,524,-1416,1380606,138
2618,-2591,10026,308,376,-1478,1390602,139
2830,-2983,9472,345,275,-1576,1400601,140
3373,-2755,9448,340,291,-1647,1410601,141
3874,-2737,9296,334,408,-1697,1420694,142
3608,-2437,8916,318,537,-1753,1430819,143
3325,-1881,8583,285,666,-1814,1440549,144
3371,-1486,8442,249,813,-1861,1450561,145
2499,-1481,8556,213,941,-1926,1460577,146
1477,-1356,8743,183,1057,-1990,1470877,147
2211,-737,8398,143,1163,-2051,1480625,148
970,-916,8768,80,1239,-2148,1490629,149
-250,-1490,11281,12,1390,-2149,1500649,150
779,-1033,9805,-12,1529,-2052,1510673,151
1506,-1343,11027,-32,1657,-2013,1521282,152
973,-1855,12062,73,1696,-1996,1530714,153
1157,-1119,9190,161,1576,-1907,1540749,154
5442,-1937,8524,214,1021,-1820,1550789,155
9949,-2912,7941,291,236,-1946,1560545,156
10191,-3107,7267,177,-312,-2107,1570576,157
9168,-3713,7115,74,-440,-2186,1580600,158
5277,-1592,5299,-28,-389,-2151,1590641,159
-993,783,5720,-89,-319,-1990,1600661,160
-6305,2266,5899,-38,-272,-1755,1610694,161
-9432,3085,6442,80,-228,-1356,1620748,162
-9281,3773,7076,153,-105,-857,1630900,163
-6275,4079,8926,217,-28,-377,1640649,164
-2267,4579,10777,301,34,-9,1650692,165
466,5704,11242,371,172,286,1660451,166
747,7174,11043,380,317,620,1670488,167
-596,7110,10840,359,433,1018,1680515,168
-2268,6956,11002,375,406,1448,1690553,169
-2730,7355,10728,386,266,1845,1700594,170
-1774,7544,9868,384,29,2157,1710645,171
-372,7068,8756,361,-252,2386,1720694,172
266,5963,7660,336,-521,2568,1730545,173
946,4933,7326,311,-741,2760,1740545,174
1815,4167,6731,294,-874,2927,1750590,175
2559,3308,6461,266,-957,3059,1760654,176
3525,2459,6184,228,-1016,3158,1770428,177
4398,1630,5977,177,-1017,3249,1780488,178
5163,559,6093,133,-993,3338,1790545,179
5232,-355,6331,92,-953,3421,1800597,180
5224,-724,6925,40,-926,3511,1810451,181
5188,-944,7223,-22,-956,3584,1820515,182
4865,-1315,7521,-82,-1043,3638,1830633,183
4267,-1726,7526,-134,-1174,3675,1840461,184
3782,-2262,7365,-180,-1327,3715,1850529,185
3568,-3064,6957,-216,-1457,3763,1860591,186
3500,-3799,6613,-241,-1543,3830,1870658,187
3768,-4388,6122,-264,-1545,3905,1880442,188
5071,-3906,5597,-293,-1464,3962,1890526,189
6860,-5008,6159,-305,-1212,3976,1900614,190
6254,-6310,6143,-299,-845,4019,1910407,191
5657,-7143,6227,-330,-458,4091,1920482,192
6867,-7865,7073,-336,-141,4131,1930986,193
8752,-8045,7772,-340,142,4101,1940518,194
10440,-7460,8297,-337,425,4015,1950576,195
11542,-7034,8454,-341,721,3879,1960361,196
12252,-6870,8352,-375,1007,3731,1970440,197
12833,-5855,8177,-434,1269,3580,1980536,198
13537,-3649,7642,-534,1480,3398,1990469,199
14590,-1555,7543,-668,1564,3130,2000548,200
15502,-609,8880,-779,1553,2755,2010368,201
16214,-583,10954,-817,1485,2300,2020464,202
17203,-524,13602,-764,1400,1810,2030563,203
18862,-303,15990,-625,1306,1289,2040531,204
20503,342,16352,-429,1157,707,2050349,205
20743,1836,15011,-239,914,64,2060462,206
18837,2611,13006,-110,587,-599,2070561,207
15366,2471,11043,-36,184,-1192,2080655,208
11361,1677,9313,-9,-229,-1648,2090508,209
-7452,2306,-15270,-185,-822,-1898,2100313,210
32313,-20759,24801,-218,-868,-1593,2110426,211
32643,-9047,4638,-69,3198,-533,2120545,212
-9271,15210,-3560,-310,323,1143,2130390,213
26617,10090,8059,-74,-2874,251,2141103,214
30046,1582,12281,-124,-3155,-1306,2150392,215
15932,-3144,13929,-336,-2069,-1886,2160506,216
-5353,-6907,8152,-549,-793,-2238,2170332,217
-23082,-6348,7484,-519,-420,-1847,2180437,218
-13667,554,6238,-454,-693,-926,2190335,219
4775,2733,6652,-347,-1462,-658,2200441,220
7706,1295,9624,-301,-1758,-1164,2210283,221
-3181,532,12329,-330,-959,-1415,2220410,222
-6001,3430,8921,-330,-75,-1246,2230258,223
-5333,3289,7500,-274,113,-1158,2240437,224
-5398,2174,7496,-224,208,-1113,2250267,225
-3820,3375,7336,-251,427,-975,2260394,226
-4146,3181,8018,-264,609,-919,2270229,227
-5538,2187,8724,-272,592,-893,2280352,228
-6161,2001,8332,-336,455,-874,2290475,229
-6626,2890,8737,-358,118,-970,2300328,230
-7483,2767,8053,-409,-133,-1065,2310213,231
-5535,2433,7947,-448,-325,-1060,2320349,232
-3174,2063,8027,-452,-351,-1038,2330189,233
-2178,1805,7894,-454,-282,-989,2340613,234
-2495,1473,7930,-438,-204,-949,2350443,235
-3032,1594,7476,-414,-157,-900,2360303,236
-2802,1762,7315,-378,-92,-846,2370173,237
-2128,1881,7349,-339,16,-781,2380310,238
-2197,1964,7193,-301,140,-728,2390187,239
-2846,1898,7336,-261,228,-686,2400322,240
-3206,1887,7166,-222,252,-655,2410192,241
-3359,1884,7120,-187,206,-630,2420328,242
-3190,1944,6925,-159,120,-602,2430197,243
-3107,2059,6678,-127,32,-575,2440347,244
-2948,2029,6580,-87,-20,-548,2450228,245
-2657,2024,6482,-40,-9,-534,2460387,246
-2482,2106,6601,14,55,-532,2470261,247
-2573,2212,6689,64,152,-545,2480146,248
-2857,2302,7011,99,247,-571,2490338,249
-3208,2451,7319,121,318,-609,2500214,250
-3556,2431,7583,128,328,-650,2510388,251
-3755,2565,7303,121,293,-700,2520270,252
-3849,2349,7431,115,216,-750,2530157,253
-3381,2278,7571,110,132,-799,2540334,254
-2738,2161,7558,104,69,-844,2550814,255
-2081,2115,7860,97,59,-869,2560262,256
-1337,1928,8034,91,86,-881,2570160,257
-1172,1869,8014,81,132,-888,2580337,258
-1387,1961,8001,75,165,-891,2590331,259
-1679,1933,7857,66,150,-893,2600217,260
-1557,1808,7883,56,99,-896,2610108,261
-1337,1781,7881,51,48,-906,2620282,262
-1090,1733,7762,49,3,-911,2630184,263
-988,1576,7690,52,-26,-915,2640080,264
-537,1650,7583,55,-29,-914,2650087,265
-368,1510,7672,61,-19,-916,2660318,266
-289,1560,7828,63,-6,-918,2670212,267
-324,1479,7858,66,17,-918,2680115,268
-248,1580,8039,64,6,-923,2690336,269
-90,1420,8110,63,-11,-932,2700227,270
217,1519,8155,60,-14,-950,2710131,271
567,1400,8163,64,0,-961,2720052,272
404,1471,8188,61,15,-974,2730231,273
734,1387,8081,59,30,-984,2740141,274
1045,1408,8198,58,53,-997,2750197,275
867,1338,8385,47,69,-1001,2760101,276
1077,1231,8236,45,77,-1009,2770023,277
1391,1145,8448,42,77,-1019,2780213,278
1667,1165,8507,38,79,-1028,2790185,279
1888,1180,8623,38,92,-1036,2800114,280
1949,1070,8374,41,106,-1037,2810048,281
2275,951,8280,45,114,-1040,2820257,282
2473,852,8358,53,132,-1046,2830197,283
2781,801,8155,61,154,-1046,2840127,284
3015,474,8208,70,185,-1052,2850074,285
3241,113,8265,78,240,-1061,2860151,286
3534,-225,8286,86,314,-1080,2870092,287
6639,-2281,10727,106,429,-1123,2880031,288
-304,238,8273,110,421,-1161,2890329,289
3034,-1970,7659,86,502,-1162,2900263,290
3103,-5811,8141,135,412,-1200,2910213,291
4027,-5701,5486,282,358,-1259,2920150,292
2363,-2968,7390,176,459,-1349,2930104,293
