xac,yac,zac,xang,yang,zang,tempo,amostra
7,7828,9828,-192,-1455,-1604,1,0
2628,9117,10667,-245,-1475,-1702,2749,1
4024,11257,10886,-294,-1346,-1822,12552,2
4248,12531,11136,-320,-1196,-1939,22701,3
3519,12268,10970,-328,-1165,-1984,32569,4
3448,11366,10586,-328,-1250,-1974,42712,5
4229,10388,9711,-315,-1356,-1935,52668,6
5701,8825,9249,-373,-1416,-1881,62786,7
6465,5862,8766,-471,-1306,-1787,72589,8
5060,2896,8388,-636,-1131,-1647,82736,9
201,-308,7887,-844,-1091,-1495,93205,10
-5165,-1599,8839,-947,-989,-1519,102647,11
-11108,-2052,7932,-861,-126,-1825,112776,12
-16305,-2821,7032,-733,491,-2060,122592,13
-17523,-4536,5538,-652,611,-1969,132763,14
-14370,-6617,3850,-537,510,-1673,142763,15
-10373,-8551,2349,-367,315,-1323,152590,16
-7243,-9762,1534,-168,-84,-953,162744,17
-3950,-9587,3266,-80,-539,-639,172576,18
-1572,-6584,8318,-222,-1040,-249,182741,19
-502,-7879,5614,-94,-1459,81,192666,20
-2330,-11494,7283,-113,-1185,237,202650,21
-3274,-12888,9912,-197,-1234,590,212792,22
-4121,-11402,9700,-118,-1243,924,222618,23
-4016,-10404,9677,-43,-1142,1175,232777,24
-2580,-10283,8912,41,-1188,1503,242611,25
-1590,-10029,8663,65,-1308,1846,252446,26
-1579,-9733,9290,58,-1310,2093,262613,27
-2241,-9732,9903,128,-1131,2255,272769,28
-2263,-9674,9943,236,-918,2459,282605,29
-1529,-8840,10131,345,-707,2677,292450,30
-875,-7764,10463,459,-459,2848,303156,31
-682,-6475,10897,584,-179,2968,312666,32
-650,-5460,11292,706,177,3054,322498,33
-956,-4873,11562,821,592,3114,332678,34
-1522,-4220,11500,935,966,3182,342522,35
-2376,-3204,10833,1035,1262,3285,352722,36
-3113,-1922,9971,1105,1465,3409,362590,37
-3503,-516,9138,1138,1516,3553,372459,38
-3532,808,8567,1126,1457,3708,382635,39
-3430,1792,8503,1114,1375,3844,392538,40
-3067,2743,8735,1123,1331,3963,402662,41
-2685,3673,8845,1141,1348,4071,412481,42
-2579,5078,8667,1154,1445,4146,422668,43
-3169,6821,8316,1134,1619,4161,432550,44
-4566,7944,7675,1073,1808,4147,442441,45
-3877,8476,7454,965,2000,4151,452625,46
-2022,9301,7116,875,2216,4089,462498,47
-2684,10428,6387,835,2499,3879,472694,48
-6014,11170,5695,816,2789,3586,482579,49
-9777,11718,5203,786,2926,3247,492465,50
-12669,11188,6274,752,2860,2882,503254,51
-15435,8699,6890,702,2651,2465,512371,52
-20091,4322,4448,749,2440,1906,522569,53
-22882,1873,2981,762,1643,1470,532496,54
-22016,2244,3096,670,565,977,542386,55
-16190,3019,5274,452,-289,325,552593,56
-10535,2608,6326,271,-527,-317,562480,57
-8222,1375,6943,154,-291,-869,572356,58
-7053,1182,7428,96,91,-1364,582564,59
-3082,2617,9616,24,372,-1753,592471,60
5232,3698,10495,-38,688,-1937,602347,61
15541,1168,13282,-172,825,-1725,612355,62
21814,-1823,14879,4,695,-1351,622582,63
14594,757,14858,177,553,-1265,632506,64
-3121,4782,14093,125,844,-1426,642404,65
-16730,5666,15283,104,1079,-1751,652616,66
-19557,5763,11755,271,1033,-2102,662511,67
-5772,4043,15433,189,442,-2033,672428,68
9557,-2761,14886,293,-11,-1646,682333,69
13633,-5302,9081,412,247,-1442,692549,70
6165,-2682,6828,369,620,-1454,702478,71
-877,-1031,6132,313,843,-1470,712910,72
-1957,-2447,5153,278,716,-1359,722497,73
354,-3348,5121,237,338,-1195,732416,74
2340,-2648,6249,209,118,-1090,742332,75
3993,-1700,8147,209,103,-1026,752560,76
5489,-308,9037,220,238,-1022,762492,77
5305,686,9136,206,368,-1079,772411,78
3682,320,9015,200,410,-1129,782333,79
2308,-150,8230,192,378,-1094,792563,80
2015,-822,7624,188,288,-1073,802507,81
2740,-1249,6764,176,203,-1063,812439,82
2661,-1346,6850,168,161,-1052,822602,83
2667,-1231,6831,154,193,-1030,832442,84
2058,-1281,7193,138,220,-1008,842359,85
1023,-1056,7362,132,284,-974,852279,86
293,-978,7977,130,299,-914,862529,87
56,-807,8145,135,297,-850,872482,88
-62,-760,8125,134,267,-796,882400,89
-274,-137,8123,132,219,-744,892332,90
-218,-218,8159,137,137,-699,902231,91
557,-534,7951,138,61,-654,912934,92
1034,-728,7529,139,37,-636,922438,93
574,-890,7449,138,23,-616,932386,94
488,-900,7307,133,13,-596,942325,95
408,-760,7147,126,-31,-584,952225,96
492,-683,7308,125,-73,-566,962493,97
696,-521,7269,120,-111,-562,972432,98
750,-697,7529,120,-116,-555,982369,99
712,-620,7673,119,-117,-554,992316,100
360,-499,7718,118,-112,-553,1002226,101
152,-448,7600,119,-132,-552,1012178,102
89,-635,7679,124,-149,-548,1022977,103
-206,-924,7317,131,-162,-548,1032193,104
-533,-841,7145,140,-181,-544,1042404,105
-620,-752,7076,146,-223,-528,1052273,106
-718,-847,7129,147,-255,-511,1062146,107
-1033,-962,6966,160,-296,-497,1072383,108
-1166,-871,6791,174,-352,-476,1082269,109
-1478,-1010,6590,188,-421,-467,1092156,110
-1184,-1003,6351,207,-477,-454,1102357,111
-398,-644,6500,205,-571,-442,1112242,112
-535,-473,7403,223,-603,-446,1122783,113
-331,394,7766,194,-613,-457,1132332,114
584,-188,9192,186,-647,-504,1142225,115
1041,496,9182,175,-626,-556,1152227,116
1087,912,8560,135,-592,-640,1162106,117
990,978,7180,78,-537,-726,1172313,118
7,836,5593,50,-539,-806,1182199,119
-469,496,5096,39,-586,-861,1192096,120
-171,327,5275,19,-667,-923,1202364,121
167,490,5749,-8,-693,-994,1212251,122
-87,720,5961,-47,-676,-1066,1222350,123
-856,782,5825,-78,-664,-1133,1232047,124
-1955,833,5807,-85,-697,-1183,1242267,125
-2817,1097,6081,-74,-803,-1216,1252173,126
-2917,2535,6212,-84,-920,-1242,1262073,127
