xac,yac,zac,xang,yang,zang,tempo,amostra
5372,-539,10175,202,-373,-935,1,0
5572,-848,10622,210,-396,-881,6467,1
5438,-950,10744,210,-364,-819,16296,2
5519,-792,10434,208,-304,-757,26094,3
5688,-616,10095,204,-271,-697,36356,4
5385,-631,10131,195,-248,-649,46294,5
5374,-526,9782,199,-225,-601,56084,6
4878,-591,9514,206,-224,-559,66225,7
4977,-431,9111,217,-237,-512,76045,8
5009,-488,9177,230,-286,-476,86204,9
5104,-588,9394,250,-322,-434,96259,10
5239,-883,9937,281,-349,-393,106098,11
5028,-988,9691,320,-342,-360,116251,12
4777,-937,9358,357,-328,-332,126079,13
4839,-655,9682,385,-333,-306,136232,14
4613,-516,9765,403,-356,-283,146068,15
5022,-449,9574,408,-399,-250,155996,16
4949,-458,10110,409,-421,-222,166177,17
5455,-560,10441,408,-397,-187,176045,18
5385,-695,10880,400,-365,-151,186225,19
5385,-692,11291,392,-317,-114,196090,20
5384,-843,11514,384,-269,-76,206142,21
5531,-994,11923,376,-199,-43,216003,22
5350,-915,11833,368,-123,-12,226195,23
5439,-934,11901,358,-37,11,236055,24
5256,-807,11926,358,71,22,246242,25
4722,-900,11545,357,137,44,256177,26
4505,-922,11422,359,172,44,266042,27
4690,-884,11323,375,220,35,276234,28
4651,-699,11102,392,265,20,286086,29
4189,-844,11335,422,330,3,295923,30
3940,-971,11203,451,375,-20,305947,31
3710,-1126,11228,485,380,-51,316109,32
3881,-1233,11048,529,379,-84,325951,33
4320,-1171,10965,569,369,-113,336119,34
4638,-1466,10867,619,388,-136,345972,35
4599,-1100,10334,664,427,-157,356145,36
4737,-774,10472,697,454,-173,366016,37
5002,-1109,10661,739,481,-188,376222,38
4798,-1322,11203,784,542,-213,386090,39
4286,-2088,10775,840,612,-247,395945,40
3658,-2878,10968,887,632,-287,406213,41
3942,-3125,10780,940,562,-331,416094,42
4110,-3112,10320,983,421,-383,425956,43
5020,-3116,10601,1001,335,-399,436141,44
6015,-3566,11514,1014,346,-350,446035,45
5785,-4679,11459,1053,483,-336,455974,46
3014,-7981,6871,1041,522,-338,466169,47
3510,-11186,15492,1044,357,-326,476069,48
3132,-10609,9699,1291,150,-643,485952,49
-3736,-7707,7751,1240,-55,-822,496142,50
4500,-10392,7675,1315,112,-966,506008,51
5025,-10116,4227,1324,31,-1167,516167,52
7494,-8223,1820,1279,-6,-1254,526074,53
7410,-7342,1995,1262,-156,-1399,535961,54
6967,-4569,2466,1209,-458,-1482,546164,55
6110,-6497,-2214,1129,-1115,-1677,556091,56
-2139,-4935,-1553,847,-2369,-1725,565977,57
2280,-2405,-859,707,-3216,-1971,575874,58
2508,-508,-656,506,-4114,-2101,586111,59
973,650,-49,301,-4506,-1996,596005,60
794,2283,-686,83,-4641,-1880,606489,61
-215,4268,-1057,-170,-4570,-1658,616085,62
-756,5182,-1178,-418,-4232,-1376,625975,63
-103,4552,147,-618,-3621,-1000,635888,64
249,3355,1324,-778,-2677,-595,646123,65
-1765,1765,2953,-888,-1617,-105,656022,66
-4656,162,4894,-955,-696,352,665951,67
-7719,-1055,6980,-991,-100,724,675848,68
-10605,-1313,8260,-1032,58,986,686119,69
-11865,-1518,8992,-1131,-210,1154,696016,70
-11665,-2745,9750,-1239,-748,1277,705939,71
-10859,-4139,10201,-1331,-1323,1383,715899,72
-9489,-5300,10164,-1390,-1816,1506,725820,73
-8473,-6521,10996,-1418,-2154,1672,736082,74
-4429,-6204,10105,-1421,-2308,1830,745991,75
7333,-7229,7653,-1591,-2493,1790,755709,76
12805,-18985,18724,-1371,-2030,1853,765762,77
14960,-15186,21346,-1137,-627,2038,775816,78
9131,-10313,20471,-1174,133,2162,785861,79
-2680,-10579,18836,-1216,144,2424,795674,80
-2476,-7015,17614,-1475,-131,2280,805726,81
8656,-12234,21871,-1503,-909,1952,815830,82
15503,-16792,22940,-1439,-1240,1663,825629,83
7364,-11312,23389,-1353,-967,1786,835698,84
-278,-4147,21833,-1245,-189,2204,845762,85
-2611,-3472,20148,-1275,366,2391,855614,86
799,-7092,19621,-1262,638,2548,865689,87
4134,-9009,21456,-1248,993,2699,875752,88
7341,-9229,23599,-1155,1599,2827,885559,89
6887,-9058,24723,-1066,2149,2927,895615,90
5032,-8786,25744,-1017,2439,2943,905675,91
4528,-8170,25669,-954,2392,2852,915578,92
5245,-7032,25610,-868,2105,2693,925653,93
7183,-5972,25567,-762,1745,2523,935726,94
9792,-5234,25535,-636,1520,2383,945534,95
11436,-4034,25507,-487,1465,2261,955631,96
12151,-2688,25477,-334,1501,2149,965712,97
12669,-1341,25443,-184,1577,2024,975739,98
13177,-562,25403,-30,1644,1885,985595,99
13519,-78,25360,128,1680,1726,995700,100
13081,618,25315,293,1590,1531,1005581,101
13096,1299,25269,456,1398,1301,1015876,102
13691,2279,24971,607,1142,1056,1025569,103
14398,3577,23986,755,870,831,1035719,104
16371,4995,23143,906,640,609,1045588,105
15772,4696,21904,1053,529,409,1055573,106
15868,4470,20850,1203,536,227,1065803,107
15549,4980,19479,1336,479,12,1075691,108
