xac,yac,zac,xang,yang,zang,tempo,amostra
-15175,-6609,15725,-608,222,-457,1,0
-15367,-7722,15356,-521,331,-437,8247,1
-15315,-9039,14569,-435,447,-391,18363,2
-14595,-10143,14139,-357,558,-296,28209,3
-13673,-11129,13892,-290,627,-193,38358,4
-12779,-11773,13153,-230,645,-115,48199,5
-12360,-11933,12803,-211,602,-55,58068,6
-11926,-12220,12640,-196,537,35,68208,7
-11318,-12708,12471,-179,458,159,78060,8
-10195,-12714,12374,-171,364,304,88141,9
-9338,-12610,12511,-183,272,430,98291,10
-8991,-13077,12350,-173,197,493,108149,11
-8140,-14238,12067,-152,173,594,118298,12
-6919,-14567,11925,-150,61,763,128169,13
-6421,-14507,12290,-149,-86,872,138045,14
-6735,-14608,10841,-104,-126,948,148197,15
-6214,-14434,9731,-33,-244,1080,158071,16
-6143,-14407,9754,-12,-295,1152,168232,17
-5617,-14178,10276,-10,-401,1231,178090,18
-4324,-13760,10353,25,-567,1329,188633,19
-3888,-13481,10205,100,-678,1348,198250,20
-4699,-13057,10328,160,-721,1344,208106,21
-5194,-12190,10554,193,-773,1387,218059,22
-5249,-11346,11037,232,-819,1451,228079,23
-5094,-10970,11232,285,-840,1508,238239,24
-4918,-10963,11628,344,-822,1568,248101,25
-5072,-10400,11984,413,-774,1600,258254,26
-5690,-9702,12026,485,-718,1580,268263,27
-6631,-9015,11758,544,-682,1536,278111,28
-7259,-8293,11552,585,-700,1509,288013,29
-8006,-7427,12012,623,-764,1509,297978,30
-8212,-6633,12402,662,-835,1550,308123,31
-7878,-5654,13112,704,-900,1612,317978,32
-7668,-5002,13171,756,-924,1654,328126,33
-7847,-4133,12930,806,-930,1654,337988,34
-8066,-3391,12708,834,-917,1659,348130,35
-7916,-2947,12953,857,-874,1696,357989,36
-7218,-2536,13227,893,-818,1742,368140,37
-6821,-2167,12776,939,-776,1749,378014,38
-6740,-1864,12707,963,-772,1727,388385,39
-7030,-1509,12636,996,-807,1717,398114,40
-7941,-573,12573,1015,-916,1700,408003,41
-9587,598,12060,995,-1103,1672,418184,42
-10681,1550,12031,945,-1316,1713,428095,43
-10359,2196,12820,917,-1531,1842,437981,44
-8547,2688,13583,944,-1677,1976,448150,45
-6629,2841,13843,1004,-1690,2033,458041,46
-4686,2650,14361,1045,-1523,2027,467997,47
-2917,2246,14824,1097,-1231,1961,477889,48
-2116,2528,14331,1156,-882,1807,488099,49
-1757,2896,13663,1180,-446,1659,497926,50
-1177,3592,13096,1180,25,1573,508128,51
-329,4255,12904,1188,429,1523,518011,52
-50,4649,12557,1202,742,1461,527928,53
945,3758,11330,1196,994,1372,537846,54
-33,3443,13242,1191,1245,1315,548015,55
-2083,4201,12512,1142,1863,1156,557937,56
-713,4805,9973,1164,1868,1160,568145,57
-2058,5444,8994,1126,2045,1104,578042,58
-4494,5406,9699,1053,2169,1148,587981,59
-5205,5638,9908,991,2238,1267,598237,60
-3396,5300,8784,952,2111,1349,607862,61
-2891,5008,7903,902,1891,1301,618066,62
-3419,5974,6653,854,1677,1231,627994,63
-3025,5492,7532,831,1483,1236,637918,64
-1487,2913,7560,780,1298,1147,647863,65
-4396,6896,8489,746,1070,1062,657813,66
-4934,4782,7766,762,985,1354,668019,67
-1944,2771,6419,652,1084,1350,677960,68
782,1667,6637,555,776,994,687892,69
-620,1740,7519,537,452,768,697853,70
-620,1338,7988,489,429,730,707997,71
2106,2790,5610,409,364,614,717917,72
2782,11719,-2893,488,653,469,727876,73
7964,20771,-3418,134,467,411,737832,74
14525,18538,1331,160,-247,310,748040,75
12265,12266,6936,252,-1063,-5,757992,76
4165,2878,12272,69,-1391,-658,767916,77
-3483,-6034,12776,-83,-1203,-1270,777883,78
-7228,-11309,16095,-77,-607,-1208,787849,79
-5798,-10753,12559,156,-90,-643,798042,80
-3665,-4777,9621,239,-79,-182,807986,81
-2693,-209,8089,206,-279,-77,817914,82
-2102,305,6425,235,-398,-51,827883,83
-829,-581,5473,285,-394,7,837872,84
637,-1381,5452,286,-281,75,847842,85
1967,-1647,5181,226,-208,117,857771,86
2187,-2211,5186,169,-293,92,867743,87
868,-3052,6424,144,-408,-2,878003,88
116,-4020,6494,184,-428,-78,887962,89
247,-3961,5616,221,-390,-104,897942,90
932,-2955,5732,197,-344,-90,907888,91
1877,-1768,6817,151,-294,-115,917728,92
2551,-855,7496,134,-173,-195,927883,93
2903,-323,6387,153,-11,-263,937755,94
3137,-73,5491,123,78,-324,947976,95
1557,-549,4923,59,75,-436,958138,96
492,-1704,4663,4,18,-478,968509,97
22,-2071,4806,-52,-18,-481,977853,98
-693,-2183,4852,-125,2,-500,987737,99
-710,-2115,5458,-205,109,-507,997899,100
225,-1927,5686,-238,169,-494,1008319,101
831,-1420,5518,-253,144,-502,1017914,102
-65,-971,5848,-292,131,-533,1027862,103
-1240,-1223,6252,-333,231,-549,1037753,104
-2294,-1660,6557,-331,313,-511,1047704,105
-2657,-1917,7295,-312,316,-400,1057893,106
-689,-1238,7373,-288,313,-311,1067852,107
-1785,-1827,7842,-235,310,-165,1077752,108
-2425,-1939,6789,-239,265,-284,1087716,109
-2775,-1799,6413,-244,105,-242,1097894,110
-2761,-1668,6420,-226,67,-126,1107696,111
-2487,-1593,6884,-215,45,-74,1117627,112
-2333,-1569,7901,-201,-14,-41,1127879,113
-1275,-1463,7891,-177,-52,-4,1137774,114
-688,-1328,7554,-156,-54,5,1147732,115
-716,-995,7217,-140,-58,-6,1157635,116
-670,-779,7666,-138,-78,-22,1167580,117
-419,-739,7653,-129,-123,-34,1177770,118
-605,-1007,7711,-121,-176,-56,1187733,119
-632,-1085,7069,-123,-201,-89,1197646,120
-652,-1260,7043,-130,-191,-113,1207677,121
-651,-1124,6876,-135,-190,-123,1217659,122
-1108,-745,6901,-159,-172,-143,1227614,123
-961,-988,6871,-166,-176,-186,1237575,124
-930,-1004,6710,-164,-223,-209,1247784,125
-1378,-1078,7390,-169,-249,-233,1257765,126
-1804,-1209,7390,-169,-250,-274,1267746,127
-1800,-982,7496,-166,-267,-261,1277657,128
-1442,-788,7510,-159,-298,-244,1287622,129
-1566,-579,7515,-149,-318,-255,1297628,130
-1785,-780,7625,-148,-296,-252,1307609,131
-1607,-873,7543,-138,-259,-215,1317584,132
-2042,-802,7282,-144,-206,-227,1327509,133
-2405,-930,7567,-142,-171,-241,1337775,134
-2637,-755,7205,-124,-156,-226,1347768,135
-2537,-807,7080,-113,-149,-199,1357764,136
-2582,-1190,7440,-100,-140,-180,1367760,137
-2632,-1116,7576,-95,-133,-165,1377759,138
-2924,-1022,7229,-89,-145,-158,1387452,139
-2990,-1065,7031,-85,-159,-157,1397645,140
-2815,-934,7016,-87,-165,-155,1407631,141
-2829,-557,6968,-97,-156,-146,1417969,142
-2945,-167,6898,-104,-145,-142,1427646,143
-2923,66,6964,-120,-154,-142,1437637,144
-2812,-253,7118,-127,-176,-138,1447628,145
-2737,-526,7134,-127,-204,-131,1457626,146
-2695,-854,7516,-133,-209,-148,1467724,147
-2501,-702,7506,-133,-221,-130,1477672,148
-2156,-461,7096,-143,-186,-137,1487645,149
-2652,-260,6940,-164,-148,-198,1497656,150
-3101,-149,6844,-182,-139,-211,1507645,151
-3296,-246,6521,-198,-127,-205,1517460,152
-3447,-332,6084,-215,-128,-205,1527700,153
-3714,-439,6340,-237,-150,-200,1537657,154
-3831,-589,7110,-246,-171,-187,1547650,155
-3683,-607,7737,-242,-189,-173,1557648,156
-3205,-550,8113,-234,-188,-167,1567648,157
-3004,-395,7626,-231,-175,-171,1577374,158
-3287,274,7532,-239,-153,-180,1587657,159
-3039,446,7636,-245,-107,-182,1597400,160
-3341,168,7368,-247,-62,-215,1607384,161
-3730,-233,7402,-241,-69,-210,1617377,162
-3935,-777,7779,-231,-92,-205,1627402,163
-4121,-617,7790,-233,-116,-201,1637389,164
-4401,-303,7851,-229,-144,-202,1647384,165
-4386,-174,8285,-226,-175,-198,1657392,166
-4108,183,8221,-222,-210,-187,1667389,167
-3837,283,7945,-221,-243,-180,1677388,168
-3556,47,7537,-219,-235,-181,1687392,169
-3679,-77,7678,-235,-208,-196,1697409,170
-3833,-141,7984,-243,-166,-211,1707392,171
-3740,28,8007,-257,-140,-224,1717396,172
-4107,469,7959,-270,-133,-239,1727374,173
-4405,707,7725,-278,-149,-255,1737393,174
-4556,800,7801,-295,-179,-254,1747400,175
-4496,966,7704,-319,-209,-242,1757403,176
-4265,790,7798,-342,-246,-246,1767400,177
-3920,488,7914,-369,-285,-289,1777408,178
-3986,813,7462,-412,-350,-318,1787408,179
-3913,1375,7242,-451,-390,-336,1797427,180
-4031,1733,7099,-491,-408,-406,1807421,181
-4104,2163,6892,-525,-450,-459,1817416,182
-4799,2977,10876,-651,-462,-605,1827611,183
-1937,2397,5722,-656,-308,-579,1837384,184
-1663,5480,6392,-823,-420,-540,1847416,185
-2456,6421,4732,-836,-248,-653,1857416,186
-2968,3795,6081,-762,-73,-800,1867420,187
-2693,3097,9067,-786,33,-852,1877423,188
-2101,4720,8063,-892,57,-848,1887426,189
-2635,6151,7094,-945,41,-925,1897476,190
-2843,6207,7314,-944,61,-1050,1907540,191
-2608,6179,8261,-972,80,-1134,1917279,192
-2343,6199,8451,-1009,81,-1152,1927254,193
-2246,5449,8597,-1025,76,-1171,1937321,194
-2649,5332,8635,-1051,87,-1279,1947329,195
-1834,6313,8167,-1099,57,-1371,1957400,196
-445,7208,7659,-1163,-3,-1444,1967425,197
441,7696,7135,-1225,-59,-1516,1977444,198
710,7653,5612,-1273,-23,-1618,1987459,199
1430,7244,3452,-1298,38,-1768,1997490,200
1591,7133,3459,-1311,-27,-1936,2007274,201
-3191,6965,6661,-1316,18,-2216,2017300,202
706,8758,4109,-1223,47,-2006,2027952,203
-3600,9154,7297,-1143,431,-1841,2037250,204
-5573,6206,9520,-1075,785,-1768,2047301,205
-6322,3947,8766,-1026,1134,-2061,2057327,206
-8710,4096,8235,-982,1207,-2291,2067408,207
-11241,4489,8266,-965,1013,-2235,2077446,208
-12779,4545,9013,-964,744,-2050,2087191,209
-14648,4101,10079,-930,537,-1913,2097334,210
-18524,5108,10897,-986,495,-1917,2107429,211
-22227,4035,11795,-1055,568,-1960,2117176,212
-23136,2172,12813,-1079,601,-1719,2127208,213
-21438,332,13447,-1017,360,-1222,2137420,214
-17534,458,13245,-920,0,-762,2147176,215
-16284,2234,13479,-890,-246,-552,2157212,216
-15526,805,14386,-833,-387,-458,2167315,217
-14236,-1747,15355,-809,-322,-402,2177363,218
-12614,-2983,16224,-826,-218,-240,2187172,219
-12833,-3642,17454,-816,-118,-213,2197228,220
-13755,-4403,17101,-713,191,-255,2207334,221
-13982,-4981,15824,-595,575,-225,2217439,222
-13312,-5892,15060,-539,808,-106,2227209,223
-12985,-6021,14841,-497,881,-11,2237327,224
-13743,-5794,15211,-467,834,-16,2247154,225
-14730,-5497,15232,-441,788,-60,2257212,226
-15442,-4870,15634,-421,731,-68,2267327,227
-15873,-5795,16453,-408,698,-37,2277159,228
-14956,-7401,16347,-359,695,100,2287229,229
-13546,-8083,15791,-305,613,255,2297365,230
-12738,-7755,15589,-304,482,302,2307196,231
-12286,-7299,15563,-309,353,276,2317327,232
-12469,-7349,15317,-307,288,246,2327167,233
-12187,-7869,15253,-312,248,291,2337199,234
-11754,-8140,15531,-314,188,379,2347309,235
-11310,-8267,15298,-303,118,435,2357102,236
-11245,-8256,14967,-279,76,444,2367207,237
-11066,-8512,14554,-262,54,461,2377060,238
-10356,-8686,14543,-248,18,510,2387197,239
-10121,-8605,14076,-221,-22,532,2397074,240
-10253,-8766,13774,-194,-68,523,2407207,241
-10103,-9122,13528,-169,-133,524,2417068,242
-9738,-9443,13340,-140,-199,556,2427206,243
-7666,-9632,12620,-102,-257,614,2437601,244
-8229,-9442,12728,-37,-302,690,2447166,245
-7688,-9501,12801,5,-317,725,2457251,246
-6698,-9320,12589,29,-322,736,2467089,247
-6165,-9159,12498,69,-378,749,2477216,248
-6386,-8999,12163,113,-430,755,2487074,249
-6834,-8733,12555,140,-459,781,2497237,250
-6937,-8520,12808,182,-474,825,2507086,251
-6659,-8300,12820,237,-476,868,2517230,252
-6315,-8040,12526,292,-473,898,2527088,253
-6418,-7523,12619,338,-458,909,2537233,254
-6690,-7330,12805,394,-435,911,2547118,255
-7174,-7243,12634,457,-424,914,2557235,256
-7435,-6962,12549,508,-450,934,2567094,257
-7749,-6575,12118,561,-505,954,2577234,258
-8104,-6187,11865,610,-594,979,2587098,259
-8232,-5709,12216,637,-704,1019,2596984,260
-8265,-5150,12944,658,-784,1051,2607103,261
-8011,-4649,13251,689,-804,1073,2617240,262
-8073,-4366,13409,720,-784,1077,2627104,263
-7710,-4125,13524,757,-753,1102,2636962,264
-7405,-3405,13370,789,-734,1124,2647708,265
-7440,-2574,13795,802,-736,1120,2656981,266
-7341,-1820,14185,811,-734,1117,2667110,267
-7774,-1145,14191,829,-703,1090,2676972,268
-8156,-946,14172,832,-679,1086,2687113,269
-7756,-873,14163,845,-702,1123,2696993,270
-7490,-822,14078,852,-752,1151,2707135,271
-6808,-629,14504,845,-794,1185,2716993,272
-6137,-520,14350,848,-772,1202,2727137,273
-5773,-638,14023,852,-715,1202,2736998,274
-5390,1593,13850,841,-681,1215,2747140,275
-6680,-2944,15103,841,-714,1264,2757110,276
-5314,-1494,16214,764,-490,1305,2766983,277
-1115,-945,13700,792,-484,1276,2777133,278
-1688,-1336,13219,800,-423,1243,2787274,279
-3870,-2138,14576,788,-340,1338,2796851,280
-3359,-2745,14900,794,-202,1474,2807001,281
-1661,-2784,13204,821,-105,1573,2816858,282
-764,-3086,12874,820,-13,1563,2827005,283
-6821,-1114,14684,803,26,1566,2836868,284
-3252,-1180,12071,790,79,1618,2847561,285
-1083,-380,9836,786,132,1764,2857145,286
-4305,-487,12452,759,103,1669,2867009,287
-6320,1193,12807,808,-62,2000,2876879,288
-1564,-847,11282,781,-14,2255,2887027,289
547,-606,11914,758,-103,2224,2896925,290
-1140,147,12863,749,-175,2123,2906844,291
-102,1936,12396,756,-62,2237,2917003,292
982,3024,10713,763,69,2270,2926880,293
476,3319,11045,778,238,2287,2937044,294
-349,3837,10835,796,369,2243,2946982,295
-1012,4262,10473,807,461,2204,2956924,296
352,4390,9512,828,570,2177,2966853,297
1544,5156,8607,842,819,2251,2977037,298
-59,4359,9758,824,1090,1920,2986913,299
159,6387,8387,836,1077,1713,2996865,300
478,5502,7948,839,1314,1662,3007044,301
587,3923,8771,844,1562,1529,3016991,302
46,2346,9561,861,1798,1327,3026888,303
920,1764,8750,894,1953,1136,3037057,304
1036,668,7570,912,2097,918,3047005,305
1318,473,6615,915,2207,742,3057647,306
-13,1183,6535,710,2354,494,3067019,307
-750,11294,-2331,616,2184,103,3076909,308
-2702,30212,-7555,490,1476,-811,3086867,309
-15089,28731,-10801,189,791,-2140,3096762,310
-13271,14104,1640,-200,-1312,-1133,3107014,311
-6855,-2032,5641,41,-2560,72,3116914,312
298,-12366,7872,-82,-3172,540,3126868,313
8287,-12346,13100,-317,-3574,293,3136766,314
9134,-12536,14955,-259,-3111,-478,3146722,315
5279,-8967,11780,-123,-1951,-908,3156947,316
3523,-4030,8172,-183,-824,-808,3166851,317
3779,-477,7449,-199,-17,-510,3176756,318
3643,2077,7286,-93,380,-309,3186714,319
2361,2422,8042,-54,491,-354,3196934,320
-496,57,10116,-10,414,-556,3206890,321
-2852,-2842,9745,75,337,-585,3216799,322
-3272,-4461,8675,123,211,-424,3226746,323
-3107,-4366,8334,131,-52,-254,3236949,324
-2367,-3265,9688,131,-311,-194,3246896,325
-814,-2433,9865,153,-411,-188,3257215,326
1043,-1829,9089,186,-349,-148,3266910,327
2369,-1545,8492,219,-152,-110,3276889,328
3094,-1451,7141,227,55,-170,3286809,329
2628,-1476,7089,205,121,-272,3296787,330
928,-1718,6436,159,69,-360,3306764,331
-401,-2030,5541,123,-5,-388,3316745,332
-498,-2209,5216,70,-67,-431,3326951,333
-848,-1863,5961,1,-29,-479,3336629,334
-72,-1233,5838,-45,30,-482,3346900,335
499,-908,6180,-91,70,-500,3357536,336
285,-1042,6949,-129,107,-532,3366914,337
-300,-1244,6871,-149,162,-537,3376902,338
-1229,-1512,7398,-171,191,-548,3386897,339
-1883,-1743,7836,-185,182,-559,3396931,340
-1938,-1497,7897,-192,123,-534,3406636,341
-2203,-1094,7935,-196,54,-475,3416629,342
-2590,-1367,8115,-192,13,-434,3426622,343
-2289,-1648,8002,-191,19,-383,3436620,344
-2180,-1403,7518,-192,49,-330,3446617,345
-2820,-1645,7514,-187,79,-289,3456622,346
-3231,-2013,7717,-173,94,-233,3467092,347
-3505,-2216,7492,-163,111,-168,3476789,348
-3088,-2226,7720,-147,120,-101,3486787,349
-2227,-2003,7786,-143,116,-48,3496804,350
-2419,-1445,7616,-144,135,-52,3506798,351
-2100,-1139,7809,-141,111,-23,3516790,352
-1961,-1190,7812,-130,122,14,3526799,353
-1753,-1268,8003,-127,153,35,3536791,354
-1512,-1340,8193,-116,175,40,3546790,355
-1637,-1151,8592,-109,184,37,3556792,356
-1657,-1385,8718,-90,188,51,3566798,357
-1572,-1522,8681,-69,197,53,3576798,358
-1732,-1240,8159,-55,208,53,3586511,359
-1786,-1422,8072,-47,199,90,3596538,360
-2913,-1670,8253,-41,167,64,3606525,361
-2339,-1985,8326,-29,122,75,3616512,362
-1513,-1638,8128,-9,98,104,3626515,363
-1856,-1375,8312,4,93,121,3636517,364
-1718,-1198,8515,26,78,150,3646518,365
-1771,-1003,9031,40,80,165,3656520,366
-1212,-694,8008,44,64,134,3666868,367
-603,-551,7964,53,18,119,3676530,368
-450,-701,8651,55,-35,121,3686529,369
-436,-618,8178,56,-72,95,3696548,370
-581,-936,7640,47,-74,64,3706529,371
-581,-1065,7007,40,-67,41,3716520,372
-970,-995,7338,21,-41,4,3726528,373
-1220,-1102,7020,5,-33,-16,3736532,374
-1336,-797,7201,-12,-57,-37,3746536,375
-930,-772,6934,-37,-85,-74,3756540,376
-547,-571,6573,-66,-156,-117,3767147,377
-549,-544,6737,-94,-225,-162,3776532,378
