xac,yac,zac,xang,yang,zang,tempo,amostra
1556,-2006,6079,103,-139,-258,1,0
697,-1717,5831,76,-107,-257,10524,1
-54,-1816,5575,48,-130,-240,20355,2
229,-2180,5292,15,-202,-201,30482,3
524,-1986,5659,-19,-282,-192,40327,4
493,-1923,6356,-42,-300,-196,51809,5
677,-1930,6644,-47,-287,-198,60499,6
522,-1870,7172,-54,-268,-208,70354,7
196,-1861,6842,-48,-246,-222,80490,8
330,-1980,5994,-58,-238,-232,90347,9
850,-2120,5703,-81,-231,-249,100494,10
1305,-2672,5612,-96,-203,-263,110353,11
1306,-2781,5531,-112,-151,-261,120499,12
534,-2394,5958,-133,-90,-257,130362,13
-105,-1765,6585,-149,-58,-260,140504,14
-409,-1411,7495,-154,-58,-268,150490,15
-484,-966,7633,-148,-59,-267,160350,16
-582,-810,7818,-138,-37,-262,170509,17
-409,-900,7278,-128,-25,-266,180372,18
-527,-1256,6868,-130,-29,-271,190518,19
-444,-1417,6623,-134,-36,-269,200382,20
-407,-1535,6411,-139,-56,-271,210522,21
-177,-1719,6305,-144,-60,-265,220386,22
518,-1454,6272,-141,-34,-277,230238,23
453,-1438,6581,-142,6,-303,240419,24
305,-1833,6527,-138,72,-300,250279,25
424,-1536,6192,-145,103,-327,260425,26
185,-894,6550,-162,98,-387,270277,27
-672,-481,7081,-186,46,-423,280404,28
-661,-831,7213,-205,-15,-438,290402,29
-18,-1201,6965,-214,-72,-480,300254,30
405,-1226,6981,-220,-65,-539,310400,31
151,-643,7578,-217,-18,-566,320254,32
-164,-728,8169,-215,-44,-602,330402,33
-1209,-1704,7206,-181,65,-606,340260,34
-1478,-1523,7081,-158,152,-567,350409,35
-2661,-1374,7618,-146,167,-545,360432,36
-3345,-1134,7647,-126,185,-525,370409,37
-3575,-907,7997,-131,183,-480,380277,38
-3034,-463,8633,-117,165,-447,390433,39
-2331,-771,9152,-87,127,-420,400330,40
-2202,-1104,8688,-52,150,-403,410231,41
-1882,-883,8108,-25,216,-405,420403,42
-2040,-474,7589,-9,226,-416,430280,43
-2290,-417,7435,0,209,-400,440150,44
-2378,-499,7481,5,161,-373,450327,45
-1702,-635,7334,8,119,-379,460282,46
-1359,-453,7288,14,104,-404,470129,47
-1410,-369,7684,17,117,-430,480285,48
-1622,-297,7711,24,135,-451,490180,49
-1770,-382,7458,28,139,-479,500393,50
-1747,-132,7270,25,133,-516,510274,51
-1923,-313,7002,21,124,-540,520434,52
-2397,-683,6847,16,135,-534,530348,53
-2569,-780,6804,9,121,-544,540256,54
-2835,-612,6947,5,108,-548,550137,55
-2983,-398,7420,2,118,-543,560298,56
-3198,-39,7366,0,128,-544,570428,57
-4124,-175,7356,-1,115,-527,580321,58
-4634,-179,7243,-1,80,-489,590247,59
-4576,-249,7170,-7,6,-465,600143,60
-4009,-603,6917,-13,-53,-451,610066,61
-3099,-167,6456,-30,-88,-451,620277,62
-3125,255,6880,-47,-116,-456,630173,63
-3177,132,7145,-65,-138,-442,640104,64
-3212,298,7281,-83,-208,-460,650293,65
-2796,335,7051,-99,-241,-489,660680,66
-2377,419,6462,-121,-264,-532,670279,67
-1804,383,6618,-150,-322,-596,680191,68
-726,20,6721,-181,-327,-669,690124,69
-632,141,6581,-217,-253,-762,700029,70
-1494,736,6467,-263,-147,-854,710264,71
-2473,578,6192,-304,-80,-930,720174,72
-3204,706,6006,-349,-68,-994,730128,73
-3579,2622,6179,-399,-101,-1064,740051,74
-3671,5979,2318,-553,-16,-1125,750290,75
-4816,5115,2841,-567,4,-1253,760214,76
-7878,117,7765,-418,-432,-1156,770275,77
-7127,1920,10710,-370,-834,-1006,780193,78
-4218,7297,10758,-453,-931,-1265,790155,79
-458,9501,9665,-579,-701,-1591,800091,80
3004,7896,7446,-667,-672,-1781,810024,81
1856,7736,6069,-654,-655,-1792,820274,82
-1606,11057,5415,-666,-553,-1963,830194,83
