xac,yac,zac,xang,yang,zang,tempo,amostra
985,878,7762,157,181,-318,1,0
979,734,7443,148,185,-276,5067,1
1122,615,7249,141,187,-235,15229,2
1007,675,7454,130,181,-203,25058,3
1044,850,7862,115,170,-175,35220,4
1144,844,7701,101,163,-141,45057,5
1285,666,7708,88,172,-100,54902,6
1315,516,7542,72,183,-59,65062,7
1296,542,7475,61,196,-13,74890,8
1178,446,7717,53,203,22,85055,9
991,400,7564,39,187,59,95495,10
1282,445,7584,33,187,84,104916,11
996,256,8077,20,214,45,114897,12
1592,589,7435,17,244,104,124891,13
1389,386,7721,7,296,152,134891,14
749,474,7814,5,353,132,145142,15
161,302,7435,18,399,88,154910,16
-294,347,6948,51,429,3,164903,17
-616,715,7094,88,427,-84,174903,18
-1083,984,6520,145,403,-192,184909,19
-1184,438,6102,212,354,-338,194914,20
-277,-877,6407,288,329,-463,204814,21
590,-1629,7391,377,345,-557,214784,22
668,-1179,7207,491,406,-647,224775,23
-382,-549,6764,592,465,-751,234780,24
-1037,-429,6999,664,473,-859,245064,25
-606,-1194,7868,727,429,-985,254795,26
87,-2048,8662,795,361,-1106,264791,27
668,-2631,8835,865,354,-1216,274790,28
1081,-3024,9712,935,379,-1309,284790,29
1273,-3303,10104,1004,416,-1385,294795,30
1548,-3392,9761,1078,474,-1461,305146,31
1687,-4041,10157,1136,527,-1525,314903,32
-548,-6758,10261,1234,518,-1599,324931,33
-1695,-8974,5969,1390,427,-1668,334656,34
-752,-8289,2902,1415,399,-1826,344744,35
-1457,-10619,3747,1303,487,-2028,354796,36
-1329,-14072,5239,1229,542,-2225,364812,37
-2005,-15707,6089,1160,578,-2422,374823,38
-2683,-15905,8549,1074,652,-2507,384823,39
-3698,-16800,10014,1036,741,-2498,394827,40
-5732,-15548,9820,1013,854,-2433,404648,41
-5988,-12036,8325,993,859,-2325,414688,42
-2610,-6650,5771,979,616,-2313,424722,43
3245,-5734,6706,926,115,-2507,434780,44
7376,-5919,4186,911,-489,-2688,444813,45
5687,-4809,4585,794,-804,-2742,454826,46
4794,-2905,4741,720,-784,-2554,464574,47
8308,-718,6597,746,-617,-2233,474632,48
6956,1897,5959,770,-351,-1974,484672,49
3213,5180,6275,742,64,-1615,494717,50
-254,7615,5227,663,561,-1234,505353,51
-3273,9293,5831,588,903,-866,514760,52
-3034,10432,6879,521,1095,-501,524813,53
-274,10844,6082,352,1010,-339,534566,54
-1804,10907,6197,187,778,-126,544642,55
-3680,11019,7050,49,669,209,554675,56
-3645,10582,7336,-75,581,494,564736,57
-2833,9996,7730,-192,437,731,574531,58
-1872,10634,8197,-296,259,930,584590,59
-1168,9610,8739,-387,133,1142,594811,60
-568,8691,9073,-460,87,1365,604566,61
-533,8070,9220,-524,71,1580,614501,62
-885,7813,8909,-598,15,1790,624558,63
-907,7684,8994,-695,-118,1992,634634,64
-1184,7188,8720,-807,-330,2174,644719,65
-1372,6333,8624,-918,-610,2339,654561,66
-1062,5489,8509,-1025,-901,2501,664654,67
-474,4346,8264,-1110,-1136,2651,674708,68
263,3057,7774,-1185,-1293,2791,684527,69
705,1544,7347,-1251,-1379,2928,694578,70
1093,92,6977,-1309,-1404,3063,704684,71
1995,-1495,6496,-1350,-1389,3185,714800,72
2852,-3090,6538,-1368,-1314,3306,724583,73
3201,-4839,6586,-1394,-1124,3430,734689,74
3291,-6353,6603,-1422,-885,3554,744494,75
2822,-7640,7031,-1434,-638,3684,754587,76
2526,-8714,7462,-1429,-354,3806,764692,77
2460,-9943,7387,-1407,-86,3906,774506,78
3085,-10568,7414,-1374,135,3973,784581,79
4259,-10616,7300,-1370,375,4026,794412,80
5070,-10690,7145,-1397,586,4028,804509,81
4749,-11385,7004,-1463,711,3979,814599,82
5174,-11807,7414,-1531,726,3894,824654,83
5364,-11734,8376,-1603,685,3766,834444,84
5773,-11485,9594,-1661,584,3591,844681,85
7333,-11321,11613,-1698,420,3380,854590,86
9608,-11606,13801,-1670,279,3091,864420,87
11967,-11397,16467,-1559,116,2804,874542,88
13470,-10065,17850,-1385,-26,2481,884638,89
14981,-7620,17332,-1213,-216,2155,894461,90
16982,-5083,16355,-1074,-404,1738,904586,91
20172,-3519,17835,-939,-486,1246,915017,92
23086,-2849,19771,-728,-400,705,924464,93
22010,-2497,20642,-432,-295,148,934586,94
17584,-1394,19233,-138,-301,-388,944434,95
12862,-2892,15353,82,-505,-865,954312,96
10994,-2611,17733,200,-860,-1187,964440,97
5305,-48,9307,366,-1255,-1645,974584,98
-11706,4998,-5233,239,-1611,-1645,984440,99
-31722,4578,-6454,-94,-1736,-1402,994584,100
31715,4609,24937,-71,-404,-556,1004440,101
-5647,-3203,17088,117,829,-320,1014586,102
14650,-6365,6833,265,-972,-1034,1024914,103
4556,-5172,10754,-55,-1630,-1487,1034472,104
-1159,715,2164,-70,-758,-1153,1044315,105
850,-1331,1536,-283,-587,-1170,1054481,106
3176,-4256,5531,-225,-818,-1320,1064315,107
-244,-2330,8706,-115,-969,-1406,1075018,108
-3406,1051,9638,30,-767,-1359,1084315,109
-1208,2702,7959,164,-378,-1243,1096092,110
3279,2823,6541,260,75,-1071,1104504,111
497,1933,7368,326,568,-954,1114333,112
-3412,2721,7559,364,938,-848,1125209,113
-6197,3221,7194,288,917,-854,1134495,114
-6272,3406,7755,132,536,-905,1144286,115
-4877,3052,7811,33,176,-938,1154491,116
-3753,2701,7097,0,6,-955,1164334,117
-2719,2185,7433,-6,-22,-931,1174549,118
-1736,1602,7704,14,68,-868,1184346,119
-1171,1479,7122,37,192,-790,1194194,120
-1806,1306,7144,64,291,-725,1204334,121
-2737,1871,6918,84,318,-673,1214196,122
-3090,1955,6802,77,236,-652,1224185,123
-2586,1757,6892,69,148,-639,1234366,124
-2217,1641,6822,77,106,-622,1244212,125
-1629,1350,6608,106,125,-592,1254369,126
-1652,1260,6734,139,185,-565,1264217,127
-1635,1345,6588,185,238,-546,1274360,128
-1816,1294,6616,224,269,-539,1284220,129
-2504,1436,6659,253,280,-558,1294356,130
-2233,1359,6843,276,275,-585,1304216,131
-1798,1455,6974,300,266,-602,1314366,132
-1781,1404,7081,315,262,-639,1324806,133
-1748,1586,6963,324,262,-657,1334342,134
-1348,1332,7283,336,266,-665,1344225,135
-1297,1408,6998,336,260,-683,1354368,136
-1013,1390,7042,334,249,-690,1364230,137
-609,1234,7274,336,231,-687,1374103,138
-125,1020,7370,339,220,-671,1384249,139
59,1026,7345,345,231,-660,1394122,140
202,832,7714,350,258,-643,1404284,141
298,772,7793,351,277,-618,1414190,142
304,640,8105,341,284,-597,1424082,143
597,529,8215,330,293,-572,1434138,144
930,392,7948,322,302,-538,1444035,145
859,307,7903,319,327,-510,1454240,146
977,283,7801,318,329,-478,1464397,147
949,-150,7608,317,312,-511,1474274,148
767,570,7463,335,311,-511,1484189,149
1088,307,7690,340,310,-456,1494092,150
1056,-66,7840,354,334,-457,1504258,151
622,-186,7977,374,350,-476,1514155,152
510,-170,7987,400,363,-517,1524070,153
739,-615,7895,427,361,-551,1535204,154
1046,-903,8087,459,363,-580,1544250,155
857,-1140,8265,498,376,-634,1554151,156
805,-1358,8556,526,396,-673,1564082,157
914,-1770,9074,570,406,-722,1574263,158
985,-2064,9110,606,432,-769,1584169,159
935,-2246,9707,648,458,-821,1594259,160
