xac,yac,zac,xang,yang,zang,tempo,amostra
-1660,-737,5399,-366,-508,-476,1,0
-1730,-360,6293,-394,-532,-532,11505,1
-1456,-137,6690,-398,-541,-585,21543,2
-967,347,8085,-411,-531,-654,31370,3
-1223,662,8669,-444,-456,-731,41675,4
-1791,1180,7652,-475,-408,-809,51675,5
-2749,587,6475,-528,-422,-887,61669,6
-1861,1211,4581,-567,-451,-935,71444,7
-2654,1817,4658,-618,-477,-1019,81360,8
-2422,2533,5039,-675,-541,-1088,91331,9
-1424,3735,4847,-758,-593,-1152,101749,10
199,3201,6818,-833,-595,-1262,111359,11
1480,4298,6000,-914,-497,-1388,121333,12
167,5520,4652,-985,-366,-1574,131335,13
838,6445,6472,-1031,-383,-1750,141383,14
2544,6877,7428,-1107,-342,-1923,151349,15
2437,7034,8262,-1188,-219,-2139,161346,16
1974,6807,8674,-1257,-106,-2366,171344,17
1717,9072,6015,-1356,4,-2570,181347,18
424,11607,2204,-1433,79,-2800,191343,19
1008,15518,-2684,-1506,29,-3014,202217,20
906,18137,-5439,-1534,-87,-3264,211519,21
2194,20697,-7190,-1482,-326,-3510,221521,22
3347,23461,-6039,-1395,-614,-3714,231534,23
2826,25389,-4389,-1235,-917,-3847,241575,24
2140,26614,-2979,-1046,-1385,-3894,251545,25
2819,26924,-2412,-980,-2001,-3772,261536,26
7566,27196,-2880,-1189,-2557,-3563,271244,27
9898,22918,-1640,-1477,-2802,-3239,281551,28
8626,13358,-2806,-1688,-2764,-2814,291533,29
11232,-1218,801,-1685,-2704,-2219,301390,30
5479,-7081,13587,-1587,-2761,-1824,311367,31
-14084,-17922,10383,-1005,-1344,-1578,321379,32
-23977,-19820,17095,-903,-317,-1012,331372,33
-16728,-7382,9650,-271,811,-543,341394,34
2169,-5874,1200,25,1097,480,351380,35
19471,-10056,-844,66,190,1642,361365,36
17156,-12211,7416,151,-252,2082,371368,37
7002,-14236,8175,384,374,2106,381373,38
846,-15426,6486,765,775,2123,391370,39
-2879,-15250,4911,1126,987,2346,401967,40
-4564,-13641,4122,1456,1022,2754,411317,41
-4305,-10784,4808,1648,931,3209,421371,42
-2420,-8653,5753,1731,752,3633,431377,43
-1196,-7875,6699,1746,568,3990,441407,44
-1216,-7707,7856,1807,486,4286,451407,45
-1100,-7235,8112,1921,490,4536,461410,46
-762,-6528,8246,2065,527,4732,471412,47
-661,-5148,8224,2216,615,4950,481412,48
-626,-3190,8301,2346,733,5155,491414,49
-977,-761,8089,2462,823,5336,501413,50
-155,1829,7461,2564,875,5516,512125,51
-3128,4438,8678,2678,894,5751,521198,52
-2432,7028,7296,2814,895,5992,531237,53
-3201,10887,6250,2996,877,6129,541253,54
-3022,17694,4318,3229,902,6236,551263,55
-5483,24127,2489,3406,1132,6062,561261,56
-12096,25185,1419,3422,1268,5856,571266,57
-21085,25951,1638,3316,1271,5577,581267,58
-28398,27447,2407,3018,1129,5326,591283,59
-28245,22958,8189,2541,659,5122,601295,60
-28252,20100,10925,1987,-59,4503,611877,61
-30079,13713,12180,1394,-670,3647,621245,62
-31140,5560,16599,1002,-574,2736,631270,63
-31146,1754,22824,773,-122,1575,641308,64
-31070,3297,22660,524,117,279,651107,65
-30931,4218,19337,229,156,-1071,661117,66
-24542,10763,12317,-120,324,-2502,671155,67
-13161,13293,17929,-774,450,-2824,681249,68
6542,2031,20281,-1676,1310,-2635,691278,69
-30207,3556,12139,-1253,145,-2050,701314,70
-30344,15942,19250,-855,-963,-1445,711356,71
1489,29027,25872,-1389,478,-1986,721282,72
-25355,12776,25850,-1569,1286,-3556,731317,73
-20717,849,15265,-850,-124,-3185,741101,74
-11571,3300,2126,-267,-691,-2440,751128,75
-10222,2899,-4338,7,557,-2778,761239,76
-16396,-6450,-5012,-122,1650,-3126,771060,77
-13363,-11221,2207,-812,783,-2231,781117,78
-10868,-8809,6544,-770,-335,-1389,791173,79
-13431,-5228,897,-614,-201,-1525,801271,80
-12695,-2370,4796,-836,-1165,-1170,811567,81
-7163,-2403,7016,-782,-1812,-717,821244,82
-1124,-4179,5292,-602,-1743,-623,831296,83
6308,-1040,9678,-535,-1546,-375,841075,84
9220,1566,8672,-466,-826,-466,851135,85
5801,860,7781,-455,-154,-696,861268,86
93,-241,7232,-471,127,-822,870996,87
-3481,-2744,8405,-436,329,-843,881114,88
-4458,-3403,5372,-352,268,-786,891162,89
-6630,-2959,3152,-369,10,-700,900930,90
-8128,-2272,2051,-415,-355,-549,910973,91
-6047,-2026,5116,-435,-631,-406,920930,92
-1809,-1791,7319,-430,-743,-333,930975,93
379,-1357,8886,-392,-614,-332,941115,94
297,-358,8437,-340,-400,-368,951190,95
-1567,-170,7927,-340,-257,-419,960941,96
-3828,-965,7289,-326,-243,-426,971017,97
-4357,-726,5703,-307,-360,-395,981140,98
-3905,-757,5343,-304,-485,-379,990946,99
-2980,-782,5861,-314,-531,-389,1001021,100
-1952,-555,6038,-327,-575,-417,1011137,101
-1157,-506,6699,-338,-571,-473,1022031,102
-352,84,7060,-346,-535,-542,1031342,103
-712,408,7599,-358,-451,-631,1041163,104
-1647,527,7840,-374,-392,-710,1050989,105
-2220,438,7458,-393,-374,-789,1061142,106
-2036,105,6472,-413,-384,-849,1070966,107
-2501,840,5990,-465,-366,-905,1080982,108
-2943,1216,5285,-520,-406,-995,1091147,109
-2324,1576,4900,-563,-495,-1052,1100977,110
-1329,3137,5900,-627,-522,-1133,1111146,111
-1103,3575,5927,-714,-506,-1214,1120939,112
-547,3687,5427,-780,-502,-1338,1131031,113
148,4145,4701,-865,-430,-1487,1140864,114
1162,4810,5722,-928,-401,-1649,1151005,115
2019,5624,7472,-1006,-283,-1849,1160822,116
1909,6427,8211,-1084,-98,-2045,1170980,117
387,5915,8166,-1137,-7,-2249,1180811,118
-53,6717,6705,-1202,35,-2446,1190979,119
-600,8990,3138,-1269,74,-2636,1200806,120
-1082,12074,-372,-1337,24,-2848,1210980,121
-57,14861,-3826,-1389,-108,-3074,1221143,122
1539,17526,-5453,-1397,-285,-3320,1230856,123
3208,20353,-5777,-1359,-496,-3563,1241058,124
4233,23176,-4404,-1250,-732,-3770,1250855,125
5307,25280,-2142,-1092,-993,-3892,1260997,126
2272,26157,-1078,-936,-1400,-3922,1271072,127
4457,27242,-1128,-957,-1918,-3776,1280856,128
6419,27680,-1139,-1209,-2362,-3602,1291005,129
9906,21914,-1477,-1495,-2698,-3234,1300849,130
9741,11641,-2034,-1775,-2813,-2741,1311003,131
10456,-969,1092,-1723,-2711,-2185,1320872,132
7169,-5608,12368,-1626,-2648,-1748,1330853,133
-13684,-17684,10634,-1046,-1426,-1580,1341074,134
-25053,-21583,14305,-884,-227,-1128,1350874,135
-20780,-7949,10830,-362,929,-650,1361017,136
-4105,-4001,4025,-158,1439,220,1370862,137
14829,-8557,305,-114,517,1495,1381015,138
16899,-13065,7031,-60,-232,2207,1390857,139
8866,-14786,8480,150,218,2342,1401017,140
2785,-16059,6811,493,760,2316,1410863,141
-1251,-15450,5235,843,1101,2468,1421017,142
-3923,-13474,4593,1151,1223,2863,1431366,143
-4434,-10758,4431,1349,1206,3333,1440901,144
-3348,-8723,5383,1421,1106,3769,1450719,145
-2202,-7906,6480,1450,943,4136,1460865,146
-1467,-7868,7027,1453,813,4471,1470695,147
-1087,-7426,7492,1558,792,4751,1480868,148
-1089,-6254,7366,1678,844,4977,1490697,149
-1485,-4782,7824,1814,904,5198,1500872,150
-1548,-2753,7538,1967,935,5411,1510699,151
-1923,-628,7458,2115,963,5599,1520901,152
-2432,1502,7012,2264,944,5782,1530755,153
-1924,4092,6989,2410,930,5994,1540699,154
-3144,6866,6853,2594,917,6198,1550890,155
-3560,11645,5675,2842,867,6349,1560719,156
-4862,18348,3350,3118,918,6397,1570890,157
-8289,24427,444,3356,970,6300,1580721,158
-14543,26172,-1340,3471,919,6099,1590892,159
-21518,26603,-1042,3419,829,5814,1600721,160
-28719,27528,2764,3123,593,5477,1610901,161
-26590,24662,11130,2434,44,5221,1620738,162
-21655,19181,15426,1832,-575,4676,1631322,163
-28041,12602,11988,1530,-511,3798,1640731,164
-31097,6900,16912,1024,99,2788,1650597,165
-31058,761,26128,501,490,1464,1660749,166
-30924,1132,25273,372,814,11,1670583,167
-30729,4346,15438,176,697,-1561,1680745,168
-24562,12689,11363,-267,485,-2862,1690584,169
-12969,10760,15245,-995,891,-3121,1700749,170
