xac,yac,zac,xang,yang,zang,tempo,amostra
12266,-8227,8966,-585,1537,4256,1,0
13607,-7211,10289,-565,1838,4085,3412,1
14883,-6417,11323,-543,2087,3874,13573,2
15790,-5916,11313,-528,2266,3631,23392,3
16932,-4292,10282,-556,2354,3348,33531,4
17591,-1899,8862,-641,2255,2986,43344,5
18105,113,9030,-759,1955,2510,53338,6
18650,755,10941,-826,1523,1943,63483,7
19995,168,13465,-817,1097,1362,73633,8
21282,-336,15927,-704,763,780,83472,9
21441,-159,16572,-508,487,168,93325,10
20635,666,14916,-294,191,-440,103266,11
19112,1309,12602,-136,-153,-1005,114629,12
16299,1235,10021,-67,-502,-1500,123490,13
-4879,1198,-14923,-216,-1094,-1828,133329,14
32188,-23215,9855,-75,-1490,-1917,143495,15
32499,-7450,9552,-68,3170,-516,153343,16
-1309,12154,5000,-393,-287,1345,163501,17
32409,7723,3580,-101,-4525,-68,173365,18
27236,1447,10763,-246,-3811,-1580,183524,19
17579,-2942,6247,-688,-2705,-1943,193395,20
-2953,-12667,12905,-830,-1615,-2510,204046,21
-20039,-7671,9959,-481,-971,-2153,213548,22
-7437,5548,7331,-480,-933,-1116,223387,23
3425,6927,8028,-444,-1469,-1042,233236,24
-366,2720,10286,-370,-1144,-1339,243421,25
-2803,2302,8250,-345,-132,-1134,253312,26
-2951,2454,6579,-302,469,-1034,263502,27
-5255,1446,7033,-237,678,-1039,273361,28
-5847,2325,7686,-221,836,-927,283532,29
-5491,3809,8030,-257,972,-859,293420,30
-6311,3527,8223,-286,954,-818,303233,31
-6667,2711,7976,-324,748,-798,313246,32
-7533,2757,7870,-376,446,-873,323453,33
-8079,3560,7751,-417,122,-981,333341,34
-6916,3209,7655,-440,-145,-1062,343208,35
-4505,2252,7537,-449,-276,-1085,353388,36
-2281,1547,7548,-436,-247,-1056,363256,37
-1727,1422,7625,-409,-88,-1003,373213,38
-2083,1931,7521,-354,155,-937,383393,39
-2698,2370,6937,-295,369,-879,393464,40
-3407,2408,6817,-247,501,-840,403558,41
-4085,2315,6646,-205,539,-822,413400,42
-4081,2159,6802,-170,478,-824,423289,43
-3869,2031,7037,-140,387,-848,433190,44
-3370,2045,6975,-109,295,-864,443389,45
-2679,1974,6883,-76,257,-864,453267,46
-2222,1980,7091,-49,255,-836,463176,47
-2314,1833,7007,-26,289,-792,473392,48
-2037,2031,6849,0,374,-748,483294,49
-2439,2401,6474,14,452,-707,493222,50
-3033,2601,6448,23,470,-679,503418,51
-3225,2592,6616,31,443,-679,513523,52
-3089,2644,6631,34,379,-694,523399,53
-2827,2520,6917,27,319,-715,533319,54
-2490,2536,6994,23,282,-742,543228,55
-2271,2474,7022,16,260,-764,553110,56
-2071,2339,7140,13,258,-785,563363,57
-1815,2334,7309,8,271,-805,573249,58
-1561,2367,6883,5,282,-820,583146,59
-1616,2247,7202,3,275,-835,593407,60
-1524,2300,7099,2,242,-850,603330,61
-1362,2051,7184,0,192,-867,614017,62
-957,2013,7195,-5,142,-882,623281,63
-573,1794,7358,-11,111,-892,633216,64
-102,1725,7376,-16,102,-892,643091,65
3,1714,7486,-22,111,-879,653360,66
114,1678,7404,-31,129,-869,663250,67
202,1562,7386,-44,151,-856,673176,68
364,1690,7541,-57,171,-844,683079,69
476,1666,7427,-70,186,-837,693349,70
750,1621,7447,-82,206,-838,703257,71
1034,1493,7656,-97,234,-839,713107,72
1112,1282,7556,-107,268,-838,723256,73
1219,1255,7563,-121,312,-842,733181,74
1214,1363,7554,-134,356,-849,743081,75
1141,1493,7153,-147,381,-858,753020,76
1098,1693,5750,-172,402,-875,763252,77
929,959,6990,-205,460,-897,773184,78
1514,1105,7047,-169,546,-913,783084,79
1793,950,7644,-152,549,-953,793037,80
1529,1103,7948,-134,573,-1011,803283,81
1576,940,7950,-118,560,-1054,813165,82
1907,726,7929,-99,517,-1109,823012,83
2171,564,7915,-93,478,-1163,833264,84
2481,474,7758,-79,469,-1212,843217,85
2788,304,7657,-66,468,-1258,853117,86
3097,319,7620,-48,491,-1305,863073,87
3004,118,7783,-27,526,-1353,873101,88
3203,132,7638,-10,563,-1403,883065,89
3354,72,7354,11,602,-1455,893020,90
3745,-206,7612,22,650,-1509,903279,91
3495,-2284,9699,82,720,-1564,913906,92
3134,-6160,5826,287,513,-1583,923116,93
2469,-2666,5236,216,455,-1710,933079,94
3548,-2249,9848,121,684,-1738,943057,95
5809,-4523,11176,227,835,-1745,953002,96
2377,-5881,11008,306,837,-1899,963283,97
850,-5306,11079,319,866,-1985,973254,98
1829,-4990,11418,333,835,-2037,983228,99
1955,-6154,11597,352,865,-2148,993193,100
1214,-7631,11023,336,1046,-2245,1003123,101
-695,-7802,10623,306,1300,-2327,1013084,102
-3201,-7656,10290,260,1545,-2373,1024891,103
-5793,-6356,10347,222,1620,-2387,1033195,104
-6146,-4075,10402,201,1693,-2347,1043137,105
-7116,-2259,8833,254,1669,-2250,1053114,106
-8397,-1259,6156,269,1263,-2059,1063111,107
-5831,-355,5652,249,508,-1823,1073688,108
5067,-952,9399,389,-346,-1806,1082989,109
12359,-1575,2214,392,-849,-2086,1093015,110
17016,-2824,3207,292,-1506,-2371,1102972,111
10113,-2026,4628,43,-1378,-2689,1112965,112
-562,-1529,7049,-71,-706,-2501,1123193,113
-8315,31,6334,88,-39,-1937,1132997,114
-11821,2216,4972,225,432,-1280,1142969,115
-10724,3116,7344,312,741,-714,1152962,116
-6405,3086,9153,462,799,-309,1162961,117
-1358,3171,10125,639,737,-82,1172969,118
157,4076,10022,756,751,97,1183001,119
-1813,5205,8881,749,783,466,1193023,120
-4072,5421,8837,696,690,1002,1202992,121
-5764,5866,9181,689,336,1540,1212982,122
-4499,6240,8951,688,-99,2008,1222929,123
-2300,6160,8137,688,-458,2349,1232891,124
-557,5547,7276,683,-791,2590,1242861,125
-432,4292,6495,677,-1033,2778,1253165,126
-460,3617,5654,668,-1215,2992,1263166,127
253,3539,4657,649,-1410,3186,1273165,128
1063,3076,3980,623,-1590,3315,1282827,129
1937,2232,3210,598,-1745,3399,1292900,130
2667,1163,3244,569,-1825,3486,1302899,131
3447,-29,2990,537,-1799,3607,1312898,132
4090,-923,3271,494,-1701,3743,1323476,133
4762,-1103,3748,430,-1533,3871,1332799,134
4822,-1397,4178,353,-1409,3974,1342823,135
3903,-1510,4266,261,-1336,4048,1352832,136
2924,-1938,4114,162,-1393,4108,1362838,137
2206,-2783,3865,60,-1540,4155,1372861,138
2365,-3683,3440,-47,-1675,4207,1382848,139
3442,-4643,3438,-145,-1741,4283,1393111,140
5803,-4731,3133,-249,-1632,4361,1402821,141
8596,-5951,5096,-336,-1184,4417,1412845,142
10026,-7058,4784,-356,-433,4518,1422866,143
10912,-7567,5054,-428,392,4630,1433094,144
12157,-7850,6039,-502,1162,4684,1442824,145
13008,-8145,6617,-567,1811,4611,1452852,146
13227,-7839,7546,-629,2242,4458,1462871,147
13804,-7635,9244,-653,2454,4238,1472885,148
15496,-7688,11313,-626,2552,3986,1482899,149
18235,-7264,12634,-582,2690,3722,1492934,150
20074,-5443,12710,-564,2854,3402,1502999,151
19918,-2735,11565,-602,2826,2980,1513033,152
18927,-639,11542,-673,2370,2433,1523058,153
19247,244,13096,-730,1594,1818,1533056,154
22342,-141,16181,-695,804,1193,1542997,155
25774,-559,18531,-572,265,551,1553033,156
26417,-360,18999,-378,-27,-73,1562726,157
23977,257,17054,-172,-240,-683,1572785,158
20579,915,13578,-19,-554,-1247,1582850,159
6760,5544,-14486,-148,-1041,-1697,1592950,160
31894,-23454,24872,-1076,-924,-1974,1603027,161
32119,-27201,24864,185,3380,-1229,1612727,162
32524,9699,14751,-266,2226,1307,1622652,163
24726,9355,7815,50,-2170,799,1632669,164
31516,2962,5530,-112,-2899,-1076,1642614,165
19558,-148,1022,-723,-1989,-1702,1652614,166
-289,-9801,9616,-778,-1034,-2401,1662611,167
-21337,-10164,9468,-303,-347,-2306,1672610,168
-12672,2724,9494,-217,-360,-1316,1682616,169
-869,7866,9053,-332,-934,-1038,1692654,170
1423,5085,9736,-381,-1175,-1204,1702625,171
-280,1498,9181,-326,-567,-1202,1712627,172
-2680,806,7446,-240,166,-1171,1722623,173
-5155,1221,7028,-227,532,-1149,1733204,174
-5723,3004,7440,-250,662,-1047,1742624,175
-6298,4442,7632,-287,711,-992,1752635,176
-6943,4523,7433,-344,680,-926,1762633,177
-6511,3510,7402,-397,483,-844,1772625,178
-6377,2553,7099,-430,206,-874,1782634,179
-6537,2479,7219,-444,-49,-982,1792663,180
-5574,2198,7453,-431,-232,-1084,1802634,181
-3657,1595,7433,-419,-310,-1105,1812638,182
-1678,1362,7580,-404,-225,-1047,1822639,183
-737,1557,7862,-362,18,-959,1832639,184
-1114,1736,7701,-294,314,-886,1842614,185
-2553,1788,6855,-237,538,-850,1852636,186
-3848,2197,5966,-186,627,-825,1862643,187
-4414,2539,6120,-136,562,-818,1872715,188
-4518,2323,6054,-90,431,-833,1882483,189
-4172,2172,6122,-57,261,-855,1892532,190
-3279,1946,6523,-26,129,-865,1902529,191
-2260,1799,6751,16,112,-850,1912533,192
-1549,1824,7181,45,201,-800,1922534,193
-1651,1953,7212,56,328,-735,1932531,194
-2357,2089,7088,64,426,-678,1943274,195
-2907,2475,7037,66,461,-653,1952465,196
-3216,2364,6733,69,414,-657,1962515,197
-3477,2276,6570,67,328,-682,1972531,198
-3172,2504,6530,66,231,-705,1982538,199
-2667,2546,6684,57,183,-728,1992558,200
-1969,2310,6928,51,161,-736,2002561,201
-1496,2227,7221,44,192,-736,2012601,202
-1312,2295,7341,33,240,-737,2022659,203
-1322,2147,7318,16,291,-739,2032668,204
-1416,2168,7432,8,296,-744,2042449,205
-1564,2163,7329,-1,267,-759,2052538,206
-1263,2234,7304,-11,222,-779,2062557,207
-953,2064,7296,-15,167,-798,2072572,208
-614,1932,7295,-18,135,-809,2082649,209
-359,1757,7500,-19,131,-808,2092426,210
-3,1597,7407,-23,151,-807,2102515,211
78,1466,7473,-30,177,-802,2112538,212
52,1634,7518,-38,206,-800,2122384,213
112,1610,7499,-44,230,-805,2132411,214
110,1651,7622,-50,250,-817,2142809,215
193,1614,7410,-58,264,-832,2152581,216
317,1510,7219,-62,276,-853,2162383,217
436,1633,7204,-65,296,-880,2172417,218
725,1499,7113,-74,318,-904,2182495,219
909,1390,7215,-72,348,-925,2192581,220
1093,1340,7277,-84,383,-947,2202388,221
946,1164,7308,-87,412,-973,2212435,222
921,1219,7166,-89,426,-1005,2222530,223
1046,1250,6380,-103,423,-1045,2232575,224
1092,1008,6761,-101,440,-1087,2242393,225
1550,965,7115,-58,471,-1115,2252393,226
2183,992,7579,-38,452,-1152,2262445,227
2085,1179,8018,-16,458,-1199,2272556,228
2402,1001,7905,4,452,-1230,2282598,229
2445,648,7584,22,418,-1276,2292450,230
2645,482,7254,35,396,-1319,2302557,231
3053,211,6929,47,402,-1357,2312601,232
3432,-88,6654,58,447,-1401,2322427,233
3926,-535,6583,66,541,-1448,2332548,234
4012,-923,7239,77,668,-1496,2342597,235
3676,-2561,10193,121,807,-1545,2353010,236
3079,-6371,6738,302,650,-1561,2362562,237
2528,-3794,5318,279,545,-1693,2372473,238
3149,-2989,10676,150,721,-1759,2382573,239
5833,-5095,12266,260,878,-1738,2392351,240
3183,-6353,12228,339,856,-1894,2402440,241
641,-6145,12081,351,858,-2016,2412567,242
1790,-5411,13021,351,795,-2065,2422412,243
1824,-6445,13887,387,781,-2169,2432256,244
1002,-7585,13452,421,920,-2283,2442329,245
-709,-7862,11834,427,1034,-2373,2452431,246
-3141,-7419,11046,406,1130,-2446,2462285,247
-5366,-6550,10423,357,1198,-2482,2472423,248
-6225,-4920,10249,336,1248,-2463,2482272,249
-7374,-3648,8611,373,1221,-2378,2492455,250
-9125,-2587,5539,385,929,-2206,2502301,251
-8466,-620,3090,375,163,-1981,2512438,252
-127,-151,8633,420,-634,-1857,2522286,253
11792,-1182,4641,541,-1087,-2111,2532434,254
18445,-2546,1447,449,-1787,-2369,2542291,255
13292,-2330,3308,253,-2014,-2789,2553038,256
260,-2988,6506,54,-1239,-2712,2562355,257
-9030,-1060,4597,217,-456,-2043,2572462,258
-12285,1661,3617,374,167,-1336,2582314,259
-10968,2936,5507,496,558,-798,2592203,260
-6574,2882,7834,619,734,-395,2602324,261
-1089,3269,8785,795,707,-148,2612465,262
-19,4388,8742,901,700,37,2622364,263
-2037,5059,8630,883,813,438,2632462,264
-3899,5496,8250,840,777,987,2642319,265
-4824,6153,8223,789,506,1522,2652168,266
-4414,6590,8215,757,130,1971,2662369,267
-2926,6366,7512,729,-246,2302,2672177,268
-1858,5714,6813,693,-579,2548,2682326,269
-1295,4753,5999,655,-851,2774,2692220,270
-647,3920,5226,615,-1059,2992,2702335,271
61,3775,4282,560,-1268,3184,2712184,272
738,3421,3519,507,-1456,3327,2722331,273
1307,2844,3020,470,-1628,3404,2732182,274
1669,1628,2595,428,-1757,3459,2742331,275
2286,468,2498,386,-1813,3542,2752180,276
2940,-564,2676,333,-1776,3660,2762601,277
3955,-929,3494,266,-1678,3788,2772187,278
4806,-1035,4290,189,-1528,3894,2782345,279
4430,-1182,4855,109,-1409,3976,2792248,280
3137,-1659,5110,23,-1350,4047,2802371,281
2211,-2459,5017,-56,-1402,4106,2812200,282
2195,-3224,4747,-136,-1506,4166,2822357,283
3680,-3670,4317,-225,-1546,4227,2832195,284
6282,-4864,6343,-312,-1335,4265,2842360,285
