xac,yac,zac,xang,yang,zang,tempo,amostra
-3776,716,14285,1043,-208,2636,1,0
-4607,1963,13010,1091,-51,2617,9712,1
-5285,3301,11955,1094,90,2632,19838,2
-5140,4389,11812,1079,174,2697,29699,3
-4668,5218,12090,1072,183,2756,39549,4
-2894,7906,11567,1088,167,2791,49640,5
288,4456,10341,1177,-97,2804,59832,6
-2348,6598,11241,1130,789,2716,69692,7
-3495,8942,10957,1155,711,2532,79549,8
-3887,9540,9331,1147,766,2410,89697,9
-4077,9979,8521,1100,898,2400,99969,10
-1132,8446,7559,1091,1004,2389,109527,11
-3013,8438,7485,1111,1161,2283,119683,12
-803,7527,5402,1136,1110,2164,129578,13
-2359,5710,7597,1123,1113,1993,139713,14
-2634,5005,8166,1051,1052,1820,149567,15
-3998,8412,8561,944,837,1548,159713,16
-5744,5996,8612,887,589,1638,169569,17
-3760,3596,8902,763,603,1643,179717,18
-2223,2832,9431,673,329,1464,189585,19
-2797,1591,10700,583,-22,1257,199617,20
-3740,-312,10912,511,-253,1099,209555,21
-1452,-2702,9761,489,-395,1119,219718,22
438,163,6334,464,-371,1006,229582,23
1688,14597,-2234,234,-609,565,239726,24
6694,30368,-1164,-29,-533,139,249593,25
8402,30253,-348,281,-180,-151,259734,26
8778,19920,6551,-47,-429,-545,269591,27
2483,-1929,11269,-235,-996,-1151,279734,28
-993,-17497,19399,-242,-1125,-1031,289595,29
-933,-20766,16982,67,-680,-585,299526,30
-2248,-14627,13722,205,198,-358,309565,31
-2261,-3990,8821,185,635,-312,319447,32
-2937,3322,5665,106,612,-378,329601,33
-4109,4475,5457,60,297,-365,339462,34
-3788,777,6698,91,-227,-108,349605,35
-2503,-2484,7439,156,-613,156,359465,36
-1295,-3162,7261,153,-671,291,369612,37
374,-3094,7250,120,-586,348,379482,38
1617,-3542,6456,111,-483,317,389635,39
2736,-3820,6582,102,-539,254,399543,40
2739,-3178,7544,91,-572,154,409447,41
3372,-2419,7660,129,-466,88,419604,42
4343,-2002,7094,142,-185,-20,429486,43
4776,-1548,6575,112,56,-145,439383,44
4536,-1474,6511,88,218,-256,449585,45
3168,-1758,5976,75,308,-364,459475,46
930,-2298,5030,0,458,-449,469649,47
-1333,-2398,4556,-109,609,-454,479549,48
-1620,-2146,5183,-168,438,-401,489461,49
-1767,-2499,7012,-167,167,-369,499629,50
-1014,-2788,7020,-117,-24,-306,509665,51
-610,-2774,6073,-91,-60,-244,519589,52
1035,-2765,6800,-66,-48,-214,529489,53
2090,-2191,7215,-39,18,-269,539401,54
1823,-1584,8223,-21,160,-325,549320,55
1107,-960,8708,-16,310,-371,559490,56
726,-646,7879,-8,397,-365,569407,57
-444,-1099,7493,-22,438,-365,579617,58
-1249,-1517,7665,-18,420,-308,589501,59
-1988,-1509,7382,-8,414,-254,599432,60
-2212,-1593,7234,-18,342,-193,609299,61
-1937,-1685,6746,-31,206,-145,619469,62
-1416,-1924,6136,-48,41,-90,629374,63
-1066,-1921,6397,-80,-76,-82,639305,64
-469,-1967,7232,-104,-135,-89,649494,65
270,-1707,6922,-104,-128,-123,659416,66
953,-1331,6638,-114,-99,-140,669338,67
1448,-1285,6789,-130,-100,-169,679523,68
1435,420,5454,-145,-112,-210,689465,69
410,-2295,7919,-131,-98,-183,699372,70
-1805,-1901,7230,-150,21,-290,709871,71
-1596,-1983,6984,-156,-17,-218,719288,72
-1172,-1577,6944,-152,21,-138,729281,73
-1163,-1589,7279,-151,45,-134,739497,74
-1174,-1493,7324,-149,55,-136,749447,75
-1129,-1503,7083,-146,39,-118,759360,76
-919,-1257,7194,-141,7,-74,769325,77
-1210,-1353,7289,-139,-15,-72,779244,78
-1222,-1446,7624,-140,-31,-85,789199,79
-771,-1149,7469,-138,-26,-79,799397,80
-555,-1201,7140,-146,-16,-74,809352,81
-256,-1344,6717,-147,-16,-77,819296,82
-361,-1149,6912,-164,-5,-99,829241,83
-592,-1124,6834,-173,15,-131,839203,84
-831,-1188,7048,-184,19,-158,849425,85
-779,-1101,7383,-198,-4,-172,859364,86
-734,-1070,7306,-193,-20,-186,869320,87
-966,-1007,7322,-204,-30,-210,879253,88
-1211,-823,7584,-208,-46,-227,889216,89
-1212,-814,7647,-211,-54,-219,899183,90
-1176,-781,7373,-216,-58,-219,909408,91
-1062,-803,7226,-227,-68,-231,919407,92
-1412,-656,7246,-236,-71,-244,929393,93
-1606,-1076,6953,-243,-73,-250,939364,94
-1890,-1261,7384,-248,-79,-248,949333,95
-1903,-987,7886,-248,-69,-234,959270,96
-1910,-958,7516,-243,-52,-223,969244,97
-1846,-893,7649,-240,-55,-216,979217,98
-1716,-634,7838,-235,-59,-217,989188,99
-1903,-681,8164,-229,-58,-237,999131,100
-1961,-764,8152,-206,-58,-245,1009108,101
-2383,-640,8417,-192,-89,-234,1019119,102
-2540,-757,8564,-171,-109,-244,1029208,103
-2679,-562,8297,-159,-131,-243,1039369,104
-2243,-594,8283,-139,-157,-222,1049182,105
-1994,-576,8016,-115,-187,-223,1059210,106
-2040,-497,7854,-109,-194,-211,1069099,107
-2300,-421,7713,-112,-157,-194,1079336,108
-2340,-466,7337,-109,-115,-185,1089224,109
-2624,-473,7940,-111,-83,-191,1099111,110
-2838,-513,7742,-106,-76,-181,1109474,111
-2939,-460,7809,-103,-73,-163,1119721,112
-2708,-367,7712,-110,-59,-142,1129256,113
-2332,-359,7152,-124,-85,-140,1139203,114
-2535,-2,7492,-148,-160,-152,1149100,115
-2967,102,7809,-167,-246,-177,1159064,116
-3246,73,7745,-175,-323,-201,1169250,117
-3187,-367,8000,-178,-382,-211,1179199,118
-2700,-258,7898,-199,-408,-219,1189107,119
-2221,219,7163,-224,-414,-240,1199074,120
-1787,698,7358,-270,-424,-290,1209255,121
